學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別,國家(地區)區域別,境外學位生總人數(A)(A=B+C+D+E)小計,境外學生總人數(A)(A=B+C+D+E)男,境外學生總人數(A)(A=B+C+D+E)女,外國學生(B)小計,外國學生(B)男,外國學生(B)女,僑生(C)小計,僑生(C)男,僑生(C)女,港澳生(D)小計,港澳生(D)男,港澳生(D)女,大陸地區來臺學位生(E)小計,大陸地區來臺學位生(E)男,大陸地區來臺學位生(E)女
108,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),菲律賓共和國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),越南社會主義共和國,東協,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),新加坡共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,大陸地區,大陸地區,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,捷克共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,澳大利亞,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,印度尼西亞共和國,東協,3,2,1,3,2,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,泰國,東協,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,菲律賓共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0047,國立高雄餐旅大學,博士班,越南社會主義共和國,東協,4,2,2,4,2,2,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),大陸地區,大陸地區,93,57,36,0,0,0,0,0,0,0,0,0,93,57,36
108,公立,一般大學,0048,國立金門大學,學士班(日間),香港,港澳,11,5,6,0,0,0,0,0,0,11,5,6,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),馬來西亞,東協,18,10,8,0,0,0,18,10,8,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),加拿大,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),印度尼西亞共和國,東協,15,7,8,12,7,5,3,0,3,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),阿根廷,中南美洲,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,學士班(日間),澳門,港澳,4,2,2,0,0,0,0,0,0,4,2,2,0,0,0
108,公立,一般大學,0048,國立金門大學,碩士班(日間),大陸地區,大陸地區,12,6,6,0,0,0,0,0,0,0,0,0,12,6,6
108,公立,一般大學,0048,國立金門大學,碩士班(日間),印度尼西亞共和國,東協,7,3,4,7,3,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,碩士班(日間),越南社會主義共和國,東協,2,1,1,1,0,1,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0048,國立金門大學,碩士班(日間),馬來西亞,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),日本,其他亞洲地區,3,2,1,2,1,1,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),貝里斯,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),香港,港澳,23,12,11,0,0,0,0,0,0,23,12,11,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),緬甸,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),澳門,港澳,16,12,4,0,0,0,0,0,0,16,12,4,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),大陸地區,大陸地區,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),大韓民國(南韓),其他亞洲地區,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),阿根廷,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),南非共和國,非洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),馬來西亞,東協,24,12,12,0,0,0,24,12,12,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),葡萄牙共和國,歐洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),大陸地區,大陸地區,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),馬來西亞,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),香港,港澳,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0
108,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),澳門,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,五專,印度尼西亞共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,五專,貝里斯,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,五專,泰國,東協,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,五專,越南社會主義共和國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),大陸地區,大陸地區,26,13,13,0,0,0,0,0,0,0,0,0,26,13,13
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),日本,其他亞洲地區,7,4,3,3,2,1,4,2,2,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),香港,港澳,15,12,3,0,0,0,0,0,0,15,12,3,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),緬甸,東協,5,1,4,0,0,0,5,1,4,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),印度尼西亞共和國,東協,39,19,20,0,0,0,39,19,20,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),美國,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),泰國,東協,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),馬來西亞,東協,38,26,12,2,1,1,36,25,11,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),越南社會主義共和國,東協,8,2,6,1,0,1,7,2,5,0,0,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,學士班(日間),澳門,港澳,5,2,3,0,0,0,0,0,0,5,2,3,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),大陸地區,大陸地區,8,6,2,0,0,0,0,0,0,0,0,0,8,6,2
108,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),香港,港澳,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
108,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),日本,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,加拿大,北美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,印度尼西亞共和國,東協,5,0,5,0,0,0,5,0,5,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,約旦哈什米王國,其他亞洲地區,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,泰國,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,阿根廷,中南美洲,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,越南社會主義共和國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,五專,緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),大陸地區,大陸地區,74,34,40,0,0,0,0,0,0,0,0,0,74,34,40
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),日本,其他亞洲地區,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),印度尼西亞共和國,東協,35,11,24,2,0,2,33,11,22,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),西班牙王國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),阿根廷,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),南非共和國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),泰國,東協,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),緬甸,東協,41,13,28,0,0,0,41,13,28,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),巴西聯邦共和國,中南美洲,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),俄羅斯聯邦,其他亞洲地區,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),美國,北美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),香港,港澳,7,3,4,0,0,0,0,0,0,7,3,4,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),馬來西亞,東協,45,23,22,2,0,2,43,23,20,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),馬拉威共和國,非洲,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),菲律賓共和國,東協,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),越南社會主義共和國,東協,42,11,31,10,1,9,32,10,22,0,0,0,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,學士班(日間),澳門,港澳,2,1,1,0,0,0,0,0,0,2,1,1,0,0,0
108,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),大陸地區,大陸地區,8,5,3,0,0,0,0,0,0,0,0,0,8,5,3
108,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),阿根廷,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),大陸地區,大陸地區,18,15,3,0,0,0,0,0,0,0,0,0,18,15,3
108,公立,一般大學,0052,國立屏東大學,學士班(日間),史瓦帝尼王國,非洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),印度尼西亞共和國,東協,4,1,3,0,0,0,4,1,3,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),香港,港澳,17,10,7,0,0,0,0,0,0,17,10,7,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),緬甸,東協,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),馬來西亞,東協,72,33,39,9,2,7,63,31,32,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),越南社會主義共和國,東協,6,2,4,5,1,4,1,1,0,0,0,0,0,0,0
108,公立,一般大學,0052,國立屏東大學,學士班(日間),奧地利共和國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
