學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,2,1,1,0,0,0,1,1,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,4,3,1,2,0,0,0,1,0,0,1,0,0,3,3,0,4,3,1
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,5,4,1,1,1,2,0,1,0,0,0,0,0,5,4,1,5,4,1
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,6,6,0,3,0,1,0,2,0,0,0,0,0,6,6,0,6,6,0
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,5,4,1,0,0,0,0,4,0,0,1,0,0,4,4,0,5,4,1
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,3,2,1,2,0,0,0,0,1,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,4,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,4,2,2
106,公立,一般大學,0002,國立清華大學,99999999,推廣教育中心,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
106,公立,一般大學,0002,國立清華大學,99999Z01,通識教育中心,68,41,27,7,2,1,2,15,12,18,11,0,0,39,23,16,68,41,27
106,公立,一般大學,0002,國立清華大學,99999Z05,師資培育中心,30,14,16,2,0,1,1,0,5,11,10,0,0,9,3,6,30,14,16
106,公立,一般大學,0002,國立清華大學,99999Z07,體育室,33,22,11,1,0,1,2,2,0,18,9,0,0,6,4,2,33,22,11
106,公立,一般大學,0002,國立清華大學,99999Z08,華語中心,11,4,7,0,0,0,0,0,0,4,7,0,0,0,0,0,11,4,7
106,公立,一般大學,0002,國立清華大學,99999Z08,語言中心,34,10,24,0,1,0,1,1,2,9,20,0,0,5,1,4,34,10,24
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,30,2,28,0,0,0,0,0,0,2,28,0,0,0,0,0,30,2,28
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,5,3,2,0,1,1,0,2,0,0,1,0,0,4,3,1,5,3,2
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,15,7,8,1,1,2,0,1,2,3,5,0,0,7,4,3,15,7,8
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,6,1,5,0,4,1,1,0,0,0,0,0,0,6,1,5,6,1,5
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,16,12,4,10,1,2,0,0,2,0,1,0,0,15,12,3,16,12,4
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,3,2,1,0,0,1,0,1,1,0,0,0,0,3,2,1,3,2,1
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0003,國立臺灣大學,02299Y15,文學院,8,3,5,0,0,0,0,0,2,3,3,0,0,2,0,2,8,3,5
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,32,12,20,2,0,0,0,6,6,4,14,0,0,14,8,6,32,12,20
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,23,6,17,4,1,0,0,0,0,2,16,0,0,5,4,1,23,6,17
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,4,1,3,0,0,0,0,0,2,1,1,0,0,2,0,2,4,1,3
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,45,26,19,9,4,3,2,13,11,1,2,0,0,42,25,17,45,26,19
106,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,8,7,1,7,0,0,0,0,0,0,1,0,0,7,7,0,8,7,1
106,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,15,14,1,10,1,1,0,2,0,1,0,0,0,14,13,1,15,14,1
106,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,10,8,2,6,1,0,0,2,1,0,0,0,0,10,8,2,10,8,2
106,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,7,6,1,3,0,2,0,0,1,1,0,0,0,6,5,1,7,6,1
106,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,10,7,3,0,0,6,0,0,3,1,0,0,0,9,6,3,10,7,3
106,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,3,1,2,0,1,1,1,0,0,0,0,0,0,3,1,2,3,1,2
106,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,5,5,0,3,0,1,0,0,0,1,0,0,0,4,4,0,5,5,0
106,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,11,8,3,5,2,1,0,1,1,1,0,0,0,10,7,3,11,8,3
106,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,6,5,1,2,0,1,1,2,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0003,國立臺灣大學,04131029,工商管理學系,6,6,0,2,0,2,0,1,0,1,0,0,0,5,5,0,6,6,0
106,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,11,9,2,4,0,1,1,3,1,1,0,0,0,10,8,2,11,9,2
106,公立,一般大學,0003,國立臺灣大學,04134022,公共事務研究所,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,04199148,管理學院創業創新管理碩士在職專班,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,19,19,0,19,0,0,0,0,0,0,0,0,0,19,19,0,19,19,0
106,公立,一般大學,0003,國立臺灣大學,04212036,科際整合法律學研究所,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,10,7,3,4,2,3,0,0,1,0,0,0,0,10,7,3,10,7,3
106,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,05111041,昆蟲學系,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0003,國立臺灣大學,05121044,生物科技研究所,2,1,1,0,0,1,1,0,0,0,0,0,0,2,1,1,2,1,1
106,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,26,23,3,15,0,2,2,5,1,1,0,0,0,25,22,3,26,23,3
106,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,11,8,3,4,2,2,1,2,0,0,0,0,0,11,8,3,11,8,3
106,公立,一般大學,0003,國立臺灣大學,05121047,基因體與系統生物學學位學程,23,16,7,7,4,6,2,3,1,0,0,0,0,23,16,7,23,16,7
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,10,7,3,6,2,1,1,0,0,0,0,0,0,10,7,3,10,7,3
106,公立,一般大學,0003,國立臺灣大學,05123050,生物化學暨分子生物學研究所,3,1,2,1,1,0,0,0,1,0,0,0,0,3,1,2,3,1,2
106,公立,一般大學,0003,國立臺灣大學,05212043,生態學與演化生物學研究所,7,5,2,4,1,1,1,0,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,10,8,2,8,1,0,0,0,1,0,0,0,0,10,8,2,10,8,2
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,7,6,1,6,0,0,0,0,1,0,0,0,0,7,6,1,7,6,1
106,公立,一般大學,0003,國立臺灣大學,05321053,氣候變遷與永續發展國際博士學位學程,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0003,國立臺灣大學,05323057,海洋研究所,3,3,0,1,0,2,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,13,13,0,12,0,1,0,0,0,0,0,0,0,13,13,0,13,13,0
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,27,23,4,9,1,3,0,11,3,0,0,0,0,27,23,4,27,23,4
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,4,4,0,0,0,2,0,1,0,1,0,0,0,3,3,0,4,4,0
106,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,3,2,1,1,1,0,0,1,0,0,0,0,0,3,2,1,3,2,1
