年度,設立別,學校類別,學校統計處代碼,學校名稱,學雜費收入占總收入比率(%)(財務結構，註1),負債占總資產比率(%)(財務結構允當性),速動比率(%)(短期償債能力),營運活動淨現金流量占流動負債比率(%)(指學校營運產生的主要收支現金賸餘，用以償還流動負債之能力)
107,國立,一般大學,0009,國立中山大學,15.79,30.75,174.25,17.74
107,國立,一般大學,0012,國立臺灣海洋大學,18.27,16.92,128.49,31.29
107,國立,一般大學,0013,國立中正大學,21.10,18.09,88.89,25.66
107,國立,一般大學,0014,國立高雄師範大學,23.71,10.54,473.06,29.12
107,國立,一般大學,0015,國立彰化師範大學,25.64,26.00,64.48,19.51
107,國立,一般大學,0016,國立陽明大學,9.53,29.73,125.81,15.30
107,國立,一般大學,0017,國立臺北大學,27.17,8.58,334.65,43.20
107,國立,一般大學,0018,國立嘉義大學,22.30,11.47,323.95,61.80
107,國立,一般大學,0019,國立高雄大學,25.36,7.72,93.69,26.93
107,國立,一般大學,0020,國立東華大學,20.32,10.74,266.72,50.33
107,國立,一般大學,0021,國立暨南國際大學,21.52,17.06,132.68,21.81
107,國立,技專校院,0022,國立臺灣科技大學,18.42,24.70,181.20,34.90
107,國立,技專校院,0023,國立雲林科技大學,22.55,16.41,318.91,39.26
107,國立,技專校院,0024,國立屏東科技大學,22.32,20.15,292.63,50.25
107,國立,技專校院,0025,國立臺北科技大學,23.82,15.27,360.66,64.29
107,國立,一般大學,0028,國立臺北藝術大學,19.15,18.46,355.50,93.65
107,國立,一般大學,0029,國立臺灣藝術大學,27.00,5.40,1329.41,182.42
107,國立,一般大學,0030,國立臺東大學,19.85,5.15,675.40,55.27
107,國立,一般大學,0031,國立宜蘭大學,21.28,12.07,1040.68,107.31
107,國立,一般大學,0032,國立聯合大學,27.23,6.23,471.75,70.01
107,國立,技專校院,0033,國立虎尾科技大學,25.64,10.76,44.41,74.97
107,國立,一般大學,0035,國立臺南藝術大學,15.67,3.13,58.13,112.03
107,國立,一般大學,0036,國立臺南大學,21.45,14.22,362.11,34.20
107,國立,一般大學,0037,國立臺北教育大學,21.48,9.50,124.05,49.14
107,國立,一般大學,0039,國立臺中教育大學,19.85,12.84,362.94,39.03
107,國立,技專校院,0042,國立澎湖科技大學,22.00,2.55,2012.64,177.99
107,國立,技專校院,0043,國立勤益科技大學,33.96,9.69,256.55,70.15
107,國立,一般大學,0044,國立體育大學,14.00,6.00,1107.94,132.89
107,國立,技專校院,0046,國立臺北護理健康大學,26.91,8.44,316.73,131.20
107,國立,技專校院,0047,國立高雄餐旅大學,29.17,11.59,371.54,29.84
107,國立,一般大學,0048,國立金門大學,27.28,12.11,281.15,102.49
107,國立,一般大學,0049,國立臺灣體育運動大學,21.25,4.71,311.56,154.24
107,國立,技專校院,0050,國立臺中科技大學,36.69,3.31,1905.77,246.16
107,國立,技專校院,0051,國立臺北商業大學,32.95,4.24,2255.05,226.46
107,國立,一般大學,0052,國立屏東大學,24.73,6.05,713.11,55.60
107,國立,技專校院,0053,國立高雄科技大學,27.08,13.94,219.87,40.57
107,國立,技專校院,0144,國立臺灣戲曲學院,5.65,7.34,3695.83,345.16
107,國立,技專校院,0221,國立臺南護理專科學校,19.70,1.28,2199.95,487.11
107,國立,技專校院,0222,國立臺東專科學校,13.48,3.09,1918.34,64.45
108,國立,一般大學,0001,國立政治大學,24.46,36.14,57.04,27.56
108,國立,一般大學,0002,國立清華大學,10.94,33.60,119.28,28.27
108,國立,一般大學,0003,國立臺灣大學,9.78,43.16,94.99,22.22
108,國立,一般大學,0004,國立臺灣師範大學,13.33,19.39,302.53,45.38
108,國立,一般大學,0005,國立成功大學,11.58,34.14,117.42,15.36
108,國立,一般大學,0006,國立中興大學,15.41,25.47,112.49,29.20
108,國立,一般大學,0007,國立陽明交通大學,11.38,38.90,15.98,23.00
108,國立,一般大學,0008,國立中央大學,13.40,28.00,16.65,13.77
108,國立,一般大學,0009,國立中山大學,15.70,32.15,165.04,12.32
108,國立,一般大學,0012,國立臺灣海洋大學,18.55,17.43,94.87,9.30
108,國立,一般大學,0013,國立中正大學,19.68,16.91,68.56,-3.59
108,國立,一般大學,0014,國立高雄師範大學,23.73,11.14,349.46,33.09
108,國立,一般大學,0015,國立彰化師範大學,25.32,26.35,212.91,19.02
108,國立,一般大學,0016,國立陽明大學,9.20,26.92,131.61,16.04
108,國立,一般大學,0017,國立臺北大學,27.25,8.79,336.31,48.28
108,國立,一般大學,0018,國立嘉義大學,22.19,12.11,209.07,42.10
108,國立,一般大學,0019,國立高雄大學,26.36,9.30,88.67,37.68
108,國立,一般大學,0020,國立東華大學,20.56,10.92,216.23,43.72
108,國立,一般大學,0021,國立暨南國際大學,21.37,18.67,130.95,22.23
108,國立,技專校院,0022,國立臺灣科技大學,17.94,25.86,172.88,37.71
108,國立,技專校院,0023,國立雲林科技大學,20.49,17.72,307.77,31.56
108,國立,技專校院,0024,國立屏東科技大學,20.94,20.19,279.93,38.60
108,國立,技專校院,0025,國立臺北科技大學,24.89,16.24,296.03,55.16
108,國立,一般大學,0028,國立臺北藝術大學,18.82,19.32,305.47,60.34
108,國立,一般大學,0029,國立臺灣藝術大學,25.50,5.88,862.17,113.43
108,國立,一般大學,0030,國立臺東大學,19.48,5.24,394.40,77.52
108,國立,一般大學,0031,國立宜蘭大學,20.00,12.03,774.18,71.84
108,國立,一般大學,0032,國立聯合大學,26.76,6.87,489.13,50.35
108,國立,技專校院,0033,國立虎尾科技大學,24.62,13.24,36.83,34.13
108,國立,一般大學,0035,國立臺南藝術大學,15.20,4.01,825.77,110.31
108,國立,一般大學,0036,國立臺南大學,20.24,13.73,400.77,24.04
108,國立,一般大學,0037,國立臺北教育大學,20.57,9.36,123.12,48.26
108,國立,一般大學,0039,國立臺中教育大學,18.70,11.47,433.77,53.17
108,國立,技專校院,0042,國立澎湖科技大學,21.33,3.33,1161.66,149.30
108,國立,技專校院,0043,國立勤益科技大學,31.96,10.27,138.08,66.64
108,國立,一般大學,0044,國立體育大學,14.97,6.02,1195.13,140.21
108,國立,技專校院,0046,國立臺北護理健康大學,25.85,6.87,288.72,89.47
108,國立,技專校院,0047,國立高雄餐旅大學,26.56,6.77,645.16,-39.49
108,國立,一般大學,0048,國立金門大學,25.63,13.20,310.38,103.16
108,國立,一般大學,0049,國立臺灣體育運動大學,20.22,4.39,381.62,347.24
108,國立,技專校院,0050,國立臺中科技大學,35.45,2.96,1848.96,77.45
108,國立,技專校院,0051,國立臺北商業大學,31.68,4.58,2165.37,133.86
108,國立,一般大學,0052,國立屏東大學,25.07,6.01,868.17,80.09
108,國立,技專校院,0053,國立高雄科技大學,26.50,15.38,257.71,36.52
108,國立,技專校院,0144,國立臺灣戲曲學院,5.50,5.36,3380.48,369.36
108,國立,技專校院,0221,國立臺南護理專科學校,19.13,2.35,1698.61,216.77
108,國立,技專校院,0222,國立臺東專科學校,13.09,2.90,2223.53,-69.57
109,國立,一般大學,0001,國立政治大學,24.77,36.50,73.46,26.40
109,國立,一般大學,0002,國立清華大學,11.42,34.89,121.03,23.10
109,國立,一般大學,0003,國立臺灣大學,10.20,44.81,96.71,9.08
109,國立,一般大學,0004,國立臺灣師範大學,13.43,25.13,219.01,49.31
109,國立,一般大學,0005,國立成功大學,11.48,35.66,98.47,21.79
109,國立,一般大學,0006,國立中興大學,15.45,26.11,138.39,29.95
109,國立,一般大學,0007,國立陽明交通大學,11.15,36.05,41.96,24.33
109,國立,一般大學,0008,國立中央大學,14.01,29.17,13.84,17.71
109,國立,一般大學,0009,國立中山大學,16.08,36.73,154.03,15.05
109,國立,一般大學,0012,國立臺灣海洋大學,17.58,26.17,76.17,30.10
109,國立,一般大學,0013,國立中正大學,20.79,18.68,70.05,24.21
109,國立,一般大學,0014,國立高雄師範大學,23.97,11.19,417.66,36.85
109,國立,一般大學,0015,國立彰化師範大學,25.50,27.55,107.68,19.83
109,國立,一般大學,0017,國立臺北大學,27.71,10.17,275.73,53.34
109,國立,一般大學,0018,國立嘉義大學,21.58,13.19,273.58,42.32
109,國立,一般大學,0019,國立高雄大學,25.28,10.73,62.47,19.23
109,國立,一般大學,0020,國立東華大學,20.43,11.64,221.86,45.28
109,國立,一般大學,0021,國立暨南國際大學,20.82,21.65,119.83,28.12
109,國立,技專校院,0022,國立臺灣科技大學,17.79,28.85,178.29,26.02
109,國立,技專校院,0023,國立雲林科技大學,19.63,18.61,281.21,33.22
109,國立,技專校院,0024,國立屏東科技大學,20.29,20.03,260.11,34.72
109,國立,技專校院,0025,國立臺北科技大學,26.37,15.70,328.83,44.19
109,國立,一般大學,0028,國立臺北藝術大學,20.47,18.90,297.73,42.51
109,國立,一般大學,0029,國立臺灣藝術大學,24.87,5.75,965.26,211.41
109,國立,一般大學,0030,國立臺東大學,19.74,5.33,334.35,69.31
109,國立,一般大學,0031,國立宜蘭大學,21.18,12.42,744.66,73.34
109,國立,一般大學,0032,國立聯合大學,26.72,7.76,505.19,50.62
109,國立,技專校院,0033,國立虎尾科技大學,26.04,13.46,49.64,40.94
109,國立,一般大學,0035,國立臺南藝術大學,15.86,3.48,908.12,112.76
109,國立,一般大學,0036,國立臺南大學,21.48,13.72,415.57,34.39
109,國立,一般大學,0037,國立臺北教育大學,21.67,8.93,113.25,34.31
109,國立,一般大學,0039,國立臺中教育大學,18.49,11.14,406.02,44.04
109,國立,技專校院,0042,國立澎湖科技大學,20.64,3.09,1313.51,106.13
109,國立,技專校院,0043,國立勤益科技大學,32.31,9.61,147.02,60.19
109,國立,一般大學,0044,國立體育大學,15.83,8.63,672.16,82.97
109,國立,技專校院,0046,國立臺北護理健康大學,25.85,10.18,264.23,84.13
109,國立,技專校院,0047,國立高雄餐旅大學,28.16,6.26,725.07,36.35
109,國立,一般大學,0048,國立金門大學,22.70,12.79,327.47,76.26
109,國立,一般大學,0049,國立臺灣體育運動大學,21.62,4.04,140.69,141.84
109,國立,技專校院,0050,國立臺中科技大學,35.97,3.30,1343.95,163.50
109,國立,技專校院,0051,國立臺北商業大學,31.98,3.60,2672.39,226.44
109,國立,一般大學,0052,國立屏東大學,25.23,6.62,315.34,87.75
109,國立,技專校院,0053,國立高雄科技大學,25.82,16.36,204.89,33.03
109,國立,技專校院,0144,國立臺灣戲曲學院,4.58,4.45,7075.51,555.27
109,國立,技專校院,0221,國立臺南護理專科學校,17.68,1.96,1283.87,134.64
109,國立,技專校院,0222,國立臺東專科學校,12.68,2.85,2114.17,-96.44
