年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「學術研究」計畫經費-小計,學校承接「學術研究」計畫經費-政府部門資助,學校承接「學術研究」計畫經費-企業部門資助,學校承接「學術研究」計畫經費-其他單位資助,學校承接「學術研究」計畫經費-學校自籌經費,專任教師每師平均-承接政府、企業及其他部門資助學術研究計畫經費,專任教師每師平均-承接學校自籌補助學術研究計畫經費
105,私立,技專校院,1047,中臺科技大學,263,22518000,22518000,0,0,0,85619.77,0
105,私立,一般大學,1048,亞洲大學,395,72670000,67220000,0,5450000,0,183974.68,0
105,私立,一般大學,1049,開南大學,272,15992100,14902000,0,0,1090100,54786.76,4007.72
105,私立,一般大學,1050,佛光大學,175,32518700,20518700,0,12000000,0,185821.14,0
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,330,9976000,9976000,0,0,0,30230.30,0
105,私立,技專校院,1052,遠東科技大學,243,24244000,20441000,0,0,3803000,84119.34,15650.21
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,221,14881473,13481473,0,0,1400000,61002.14,6334.84
105,私立,技專校院,1054,景文科技大學,230,12208945,12208945,0,0,0,53082.37,0
105,私立,技專校院,1055,中華醫事科技大學,296,14133540,13821000,312540,0,0,47748.45,0
105,私立,技專校院,1056,東南科技大學,223,5676000,5676000,0,0,0,25452.91,0
105,私立,技專校院,1057,德明財經科技大學,240,7441000,7441000,0,0,0,31004.17,0
105,私立,一般大學,1058,明道學校財團法人明道大學,146,9318000,9318000,0,0,0,63821.92,0
105,私立,技專校院,1060,南開科技大學,198,750000,650000,100000,0,0,3787.88,0
105,私立,技專校院,1061,中華學校財團法人中華科技大學,251,11901580,11801580,100000,0,0,47416.65,0
105,私立,技專校院,1062,僑光科技大學,228,5169000,4489000,0,680000,0,22671.05,0
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,137,1082100,1082100,0,0,0,7898.54,0
105,私立,技專校院,1064,美和學校財團法人美和科技大學,241,7493845,6868845,625000,0,0,31094.79,0
105,私立,技專校院,1065,吳鳳科技大學,159,2989000,2989000,0,0,0,18798.74,0
105,私立,技專校院,1066,環球學校財團法人環球科技大學,182,1322000,1322000,0,0,0,7263.74,0
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,123,3579000,3579000,0,0,0,29097.56,0
105,私立,技專校院,1068,中州學校財團法人中州科技大學,137,4496000,4496000,0,0,0,32817.52,0
105,私立,技專校院,1069,修平學校財團法人修平科技大學,225,7493000,7493000,0,0,0,33302.22,0
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,354,41904359,41904359,0,0,0,118373.90,0
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,249,802788,802788,0,0,0,3224.05,0
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,119,3108000,3108000,0,0,0,26117.65,0
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,244,3885000,3885000,0,0,0,15922.13,0
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,110,661000,661000,0,0,0,6009.09,0
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,272,8769800,8769800,0,0,0,32241.91,0
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,171,6946000,6946000,0,0,0,40619.88,0
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,150,5733000,5733000,0,0,0,38220,0
105,私立,技專校院,1078,致理學校財團法人致理科技大學,268,6894935,6894935,0,0,0,25727.37,0
105,私立,一般大學,1079,康寧學校財團法人康寧大學,171,8879000,8309000,0,0,570000,48590.64,3333.33
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,27,300000,300000,0,0,0,11111.11,0
105,私立,技專校院,1148,大漢技術學院,51,520000,520000,0,0,0,10196.08,0
105,私立,技專校院,1159,和春技術學院,124,1599138,1599138,0,0,0,12896.27,0
105,私立,技專校院,1166,亞東技術學院,171,1989000,1989000,0,0,0,11631.58,0
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,161,1813000,1813000,0,0,0,11260.87,0
105,私立,一般大學,1176,稻江科技暨管理學院,63,733000,733000,0,0,0,11634.92,0
105,私立,技專校院,1179,德霖技術學院,203,3669000,3669000,0,0,0,18073.89,0
105,私立,技專校院,1183,黎明技術學院,147,3050780,2795000,255780,0,0,20753.61,0
105,私立,技專校院,1188,大同技術學院,69,262000,262000,0,0,0,3797.10,0
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,71,895000,895000,0,0,0,12605.63,0
105,私立,技專校院,1192,臺灣觀光學院,47,927469,808050,0,0,119419,17192.55,2540.83
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,107,39143920,34895920,0,0,4248000,326130.09,39700.93
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,21,6863795,1440000,0,5423795,0,326847.38,0
105,私立,技專校院,1197,台北海洋技術學院,174,2504000,2241000,163000,100000,0,14390.80,0
105,私立,技專校院,1283,仁德醫護管理專科學校,208,1896000,1896000,0,0,0,9115.38,0
105,私立,技專校院,1284,樹人醫護管理專科學校,213,580000,580000,0,0,0,2723,0
105,私立,技專校院,1285,慈惠醫護管理專科學校,171,464000,464000,0,0,0,2713.45,0
105,私立,技專校院,1286,耕莘健康管理專科學校,174,514000,514000,0,0,0,2954.02,0
105,私立,技專校院,1289,育英醫護管理專科學校,74,370000,370000,0,0,0,5000,0
105,私立,技專校院,1290,崇仁醫護管理專科學校,121,1400000,1400000,0,0,0,11570.25,0
105,私立,技專校院,1291,聖母醫護管理專科學校,115,3944000,2701000,646000,597000,0,34295.65,0
105,私立,技專校院,1292,新生醫護管理專科學校,190,1500000,1500000,0,0,0,7894.74,0
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,8,80000,80000,0,0,0,10000,0
105,公立,一般大學,3002,臺北市立大學,329,59897030,59897030,0,0,0,182057.84,0
106,公立,一般大學,0001,國立政治大學,722,477117720,453325748,5379047,16684125,1728800,658433.41,2394.46
106,公立,一般大學,0002,國立清華大學,824,1463339234,1457037234,0,0,6302000,1768249.07,7648.06
106,公立,一般大學,0003,國立臺灣大學,2045,3591641818,3591641818,0,0,0,1756304.07,0
106,公立,一般大學,0004,國立臺灣師範大學,826,664284737,656053360,0,0,8231377,794253.46,9965.35
106,公立,一般大學,0005,國立成功大學,1326,1902490000,1902490000,0,0,0,1434758.67,0
106,公立,一般大學,0006,國立中興大學,769,1136571387,1136044387,0,100000,427000,1477430.93,555.27
106,公立,一般大學,0007,國立陽明交通大學,722,1407692773,1407692773,0,0,0,1949712.98,0
106,公立,一般大學,0008,國立中央大學,653,1020767032,1010955032,5740000,330000,3742000,1557465.59,5730.47
106,公立,一般大學,0009,國立中山大學,509,658540038,658540038,0,0,0,1293791.82,0
106,公立,一般大學,0012,國立臺灣海洋大學,414,445495953,445495953,0,0,0,1076077.18,0
106,公立,一般大學,0013,國立中正大學,542,692418287,595594634,35657961,61165692,0,1277524.51,0
106,公立,一般大學,0014,國立高雄師範大學,290,219252213,213748213,0,5504000,0,756042.11,0
106,公立,一般大學,0015,國立彰化師範大學,373,153813691,147532236,0,2143200,4138255,401274.63,11094.52
106,公立,一般大學,0016,國立陽明大學,398,713246564,678867846,0,34378718,0,1792076.79,0
106,公立,一般大學,0017,國立臺北大學,380,148469370,148469370,0,0,0,390708.87,0
106,公立,一般大學,0018,國立嘉義大學,515,291450767,286211200,0,4120374,1119193,563750.63,2173.19
106,公立,一般大學,0019,國立高雄大學,235,95208519,93538519,120000,1550000,0,405142.63,0
106,公立,一般大學,0020,國立東華大學,492,232946046,232946046,0,0,0,473467.57,0
106,公立,一般大學,0021,國立暨南國際大學,268,115572000,115298000,0,0,274000,430216.42,1022.39
106,公立,技專校院,0022,國立臺灣科技大學,458,589746340,582269200,7477140,0,0,1287655.76,0
106,公立,技專校院,0023,國立雲林科技大學,365,115257780,115257780,0,0,0,315774.74,0
106,公立,技專校院,0024,國立屏東科技大學,398,348143156,327606737,2000000,12291500,6244919,859040.80,15690.75
106,公立,技專校院,0025,國立臺北科技大學,470,250818908,250818908,0,0,0,533657.25,0
106,公立,技專校院,0026,國立高雄第一科技大學,269,77696716,77696716,0,0,0,288835.38,0
106,公立,技專校院,0027,國立高雄應用科技大學,351,95974597,93084397,0,0,2890200,265197.71,8234.19
106,公立,一般大學,0028,國立臺北藝術大學,160,18142160,18142160,0,0,0,113388.50,0
106,公立,一般大學,0029,國立臺灣藝術大學,162,6523000,6340000,0,0,183000,39135.80,1129.63
106,公立,一般大學,0030,國立臺東大學,192,48597322,48497322,0,100000,0,253111.05,0
106,公立,一般大學,0031,國立宜蘭大學,233,122762939,112286609,360000,8128000,1988330,518345.96,8533.61
106,公立,一般大學,0032,國立聯合大學,288,96991400,83329500,11105100,1200000,1356800,332064.58,4711.11
106,公立,技專校院,0033,國立虎尾科技大學,329,108342868,108342868,0,0,0,329309.63,0
106,公立,技專校院,0034,國立高雄海洋科技大學,230,56629758,56629758,0,0,0,246216.34,0
106,公立,一般大學,0035,國立臺南藝術大學,105,11465500,11465500,0,0,0,109195.24,0
106,公立,一般大學,0036,國立臺南大學,237,65207188,64466530,0,0,740658,272010.68,3125.14
106,公立,一般大學,0037,國立臺北教育大學,223,66246552,66246552,0,0,0,297069.74,0
106,公立,一般大學,0039,國立臺中教育大學,199,131160833,130912833,0,0,248000,657853.43,1246.23
106,公立,技專校院,0042,國立澎湖科技大學,123,23634000,23634000,0,0,0,192146.34,0
106,公立,技專校院,0043,國立勤益科技大學,281,72615821,62052539,3905953,0,6657329,234727.73,23691.56
106,公立,一般大學,0044,國立體育大學,101,7377000,6377000,0,0,1000000,63138.61,9900.99
106,公立,技專校院,0046,國立臺北護理健康大學,174,48360513,48360513,0,0,0,277933.98,0
106,公立,技專校院,0047,國立高雄餐旅大學,149,16706309,16706309,0,0,0,112122.88,0
106,公立,一般大學,0048,國立金門大學,149,18033002,17643500,314502,0,75000,120523.50,503.36
106,公立,一般大學,0049,國立臺灣體育運動大學,108,9488261,9178261,0,230000,80000,87113.53,740.74
106,公立,技專校院,0050,國立臺中科技大學,405,51822000,51822000,0,0,0,127955.56,0
