,學年度,學校代碼,學校名稱,"人事費支出
（含退休撫卹）",%,"業務費
(不含折舊及攤銷)",%,折舊及攤銷,%,獎學金支出,%,補助弱勢清寒學生之助學性支出,%,"建築物及設備
之維護費用",%,利息費用,%,各項投資、基金及附屬機構損失,%,其他校務支出,%,合計,%
,101,1001,東海大學,1493431,63.59,450013,19.16,215930,9.19,29632,1.26,71995,3.07,50908,2.17,849,0.04,-,-,35866,1.53,2348624,100
,101,1002,輔仁大學,2020130,57.21,717369,20.31,308838,8.75,72973,2.07,230885,6.54,105959,3,1065,0.03,20094,0.57,54070,1.53,3531384,100
,101,1003,東吳大學,1315721,64.14,336305,16.39,187014,9.12,22944,1.12,99030,4.83,80290,3.91,-,-,-,-,10057,0.49,2051360,100
,101,1004,中原大學,1521586,54.86,720286,25.97,251276,9.06,114420,4.13,62053,2.24,75893,2.74,305,0.01,-,-,27876,1.01,2773696,100
,101,1005,淡江大學,2133027,63.51,594068,17.69,256212,7.63,74313,2.21,127331,3.79,139487,4.15,-,-,-,-,34116,1.02,3358554,100
,101,1006,中國文化大學,1997850,57,605605,17.28,430741,12.29,57487,1.64,234793,6.7,167695,4.78,532,0.02,-,-,10248,0.29,3504951,100
,101,1007,逢甲大學,1874680,54.34,548830,15.91,293804,8.52,96251,2.79,191646,5.56,141668,4.11,18284,0.53,222802,6.46,61967,1.8,3449932,100
,101,1008,靜宜大學,952058,56.86,277004,16.54,150810,9.01,35355,2.11,145732,8.7,63354,3.78,1427,0.09,-,-,48759,2.91,1674499,100
,101,1009,長庚大學,1876329,54.35,861097,24.94,447687,12.97,28575,0.83,71370,2.07,105877,3.07,-,-,-,-,61094,1.77,3452030,100
,101,1010,元智大學,974271,54.16,413707,23,188040,10.45,18003,1,57698,3.21,49609,2.76,-,-,-,-,97516,5.42,1798845,100
,101,1011,中華大學,707176,62.28,221849,19.54,80580,7.1,20043,1.77,53728,4.73,41989,3.7,1667,0.15,-,-,8492,0.75,1135524,100
,101,1012,大葉大學,725186,53.42,313416,23.09,138894,10.23,20842,1.54,67855,5,79140,5.83,111,0.01,-,-,11971,0.88,1357416,100
,101,1013,華梵大學,326471,51.85,129568,20.58,102544,16.29,15717,2.5,37670,5.98,16474,2.62,-,-,-,-,1235,0.2,629678,100
,101,1014,義守大學,1207954,51.26,679430,28.83,235225,9.98,37509,1.59,108061,4.59,32462,1.38,27294,1.16,-,-,28437,1.21,2356372,100
,101,1015,世新大學,843196,48.21,548387,31.35,207087,11.84,11913,0.68,61883,3.54,37494,2.14,-,-,17655,1.01,21513,1.23,1749128,100
,101,1016,銘傳大學,1451806,60.96,443517,18.62,206897,8.69,60130,2.52,96481,4.05,64525,2.71,7586,0.32,-,-,50650,2.13,2381593,100
,101,1017,實踐大學,921521,55.75,350975,21.23,171699,10.39,27724,1.68,78892,4.77,80834,4.89,2801,0.17,-,-,18432,1.12,1652878,100
,101,1018,朝陽科技大學,909285,48.75,499230,26.77,150802,8.08,42689,2.29,67410,3.61,163546,8.77,4078,0.22,5299,0.28,22880,1.23,1865220,100
,101,1019,高雄醫學大學,839016,46.54,674447,37.41,169036,9.38,13661,0.76,36320,2.01,36131,2,1333,0.07,-,-,32892,1.82,1802836,100
,101,1020,南華大學,465589,63.58,86403,11.8,118329,16.16,13448,1.84,32041,4.38,10602,1.45,-,-,-,-,5884,0.8,732296,100
,101,1021,真理大學,626037,62.49,123862,12.36,128349,12.81,6899,0.69,50237,5.01,17961,1.79,17381,1.73,-,-,31114,3.11,1001839,100
,101,1022,大同大學,451605,58.43,152660,19.75,100335,12.98,14810,1.92,15056,1.95,29866,3.86,972,0.13,-,-,7592,0.98,772896,100
,101,1023,南臺科技大學,1186780,55.73,515573,24.21,255225,11.99,98660,4.63,22764,1.07,41543,1.95,-,-,86,0,8787,0.41,2129419,100
,101,1024,崑山科技大學,856488,51.69,420415,25.37,249248,15.04,11142,0.67,55802,3.37,54144,3.27,4730,0.29,-,-,5138,0.31,1657107,100
,101,1025,嘉南藥理大學,890421,52.98,438703,26.1,189063,11.25,4277,0.25,59757,3.56,72340,4.3,8013,0.48,-,-,18208,1.08,1680783,100
,101,1026,樹德科技大學,599361,46.35,371124,28.7,124345,9.62,17242,1.33,72050,5.57,76336,5.9,7,0,-,-,32616,2.52,1293080,100
,101,1027,慈濟大學,712332,54.4,261698,19.99,177133,13.53,9254,0.71,72332,5.52,37208,2.84,-,-,33268,2.54,6243,0.48,1309468,100
,101,1028,臺北醫學大學,1129732,49.25,840252,36.63,149142,6.5,39980,1.74,38810,1.69,51111,2.23,16184,0.71,-,-,28743,1.25,2293955,100
,101,1029,中山醫學大學,813902,56.41,334833,23.21,151646,10.51,5511,0.38,70484,4.89,27303,1.89,29535,2.05,-,-,9493,0.66,1442707,100
,101,1030,龍華科技大學,558737,53.33,244883,23.37,140363,13.4,3368,0.32,44119,4.21,40790,3.89,-,-,-,-,15532,1.48,1047792,100
,101,1031,輔英科技大學,688434,59.97,217510,18.95,140529,12.24,2653,0.23,26546,2.31,50520,4.4,737,0.06,223,0.02,20768,1.81,1147919,100
,101,1032,明新科技大學,810056,62.98,195928,15.23,168574,13.11,8761,0.68,52435,4.08,32579,2.53,8855,0.69,-,-,9028,0.7,1286216,100
,101,1033,長榮大學,789399,66.09,196900,16.48,115733,9.69,21363,1.79,30055,2.52,25677,2.15,2901,0.24,-,-,12402,1.04,1194431,100
,101,1034,弘光科技大學,795315,57.99,301492,21.98,153594,11.2,6790,0.5,65871,4.8,26286,1.92,429,0.03,67,0,21535,1.57,1371378,100
,101,1035,中國醫藥大學,1081103,44.82,653060,27.07,373727,15.49,18017,0.75,36139,1.5,24655,1.02,702,0.03,186428,7.73,38213,1.58,2412045,100
,101,1036,健行科技大學,726600,59.4,232153,18.98,146372,11.97,21712,1.78,47900,3.92,26333,2.15,-,-,-,-,22111,1.81,1223181,100
,101,1037,正修科技大學,1063702,56.31,462257,24.47,249152,13.19,10739,0.57,50534,2.68,42638,2.26,5067,0.27,-,-,4981,0.26,1889070,100
,101,1038,萬能科技大學,585891,56.46,232935,22.45,129499,12.48,13618,1.31,24666,2.38,25698,2.48,-,-,-,-,25399,2.45,1037705,100
,101,1039,玄奘大學,326811,55.54,122170,20.76,77102,13.1,3360,0.57,25737,4.37,22017,3.74,-,-,-,-,11257,1.91,588453,100
,101,1040,建國科技大學,628111,60.51,214241,20.64,120166,11.58,5409,0.52,38797,3.74,18922,1.82,4534,0.44,-,-,7856,0.76,1038035,100
,101,1041,明志科技大學,487372,42.1,271868,23.48,220215,19.02,12088,1.04,66444,5.74,93339,8.06,-,-,-,-,6397,0.55,1157722,100
,101,1042,高苑科技大學,545593,58.91,181848,19.64,101645,10.98,33758,3.64,27403,2.96,27260,2.94,425,0.05,-,-,8207,0.89,926138,100
,101,1043,大仁科技大學,574325,65.47,152176,17.35,86904,9.91,10650,1.21,22863,2.61,25257,2.88,523,0.06,-,-,4593,0.52,877290,100
,101,1044,聖約翰科技大學,530872,60.56,155618,17.75,111726,12.74,7294,0.83,35304,4.03,27532,3.14,-,-,-,-,8299,0.95,876645,100
,101,1045,嶺東科技大學,576427,63.72,136085,15.04,112137,12.4,2838,0.31,29288,3.24,25364,2.8,4745,0.52,-,-,17706,1.96,904591,100
,101,1046,中國科技大學,674444,59.45,211721,18.66,146994,12.96,13610,1.2,38624,3.4,33656,2.97,-,-,-,-,15381,1.36,1134429,100
,101,1047,中臺科技大學,651528,64.99,153619,15.32,95707,9.55,35528,3.54,35493,3.54,24130,2.41,2111,0.21,-,-,4314,0.43,1002429,100
,101,1048,亞洲大學,750000,52.11,379649,26.38,133073,9.25,70986,4.93,39769,2.76,56345,3.91,-,-,-,-,9423,0.65,1439246,100
,101,1049,開南大學,542166,52.83,261783,25.51,92892,9.05,10095,0.98,42574,4.15,56218,5.48,8154,0.79,-,-,12368,1.21,1026250,100
,101,1050,佛光大學,322079,54.63,127188,21.57,81401,13.81,21446,3.64,7048,1.2,27279,4.63,-,-,-,-,3076,0.52,589517,100
,101,1051,台南應用科技大學,714987,61.93,189433,16.41,136212,11.8,5278,0.46,54011,4.68,31490,2.73,417,0.04,-,-,22711,1.97,1154539,100
,101,1052,遠東科技大學,593500,52.14,242723,21.32,148121,13.01,25785,2.27,73371,6.45,36852,3.24,3006,0.26,-,-,15019,1.32,1138377,100
,101,1053,元培醫事科技大學,473184,57.55,160735,19.55,110439,13.43,9259,1.13,34920,4.25,29498,3.59,-,-,-,-,4148,0.5,822182,100
,101,1054,景文科技大學,540279,59.05,166804,18.23,112293,12.27,5369,0.59,29590,3.23,23457,2.56,-,-,-,-,37209,4.07,915000,100
,101,1055,中華醫事科技大學,568835,60.8,162892,17.41,120194,12.85,9059,0.97,36189,3.87,25002,2.67,5767,0.62,-,-,7600,0.81,935539,100
,101,1056,東南科技大學,554610,65.05,132956,15.59,87356,10.25,20642,2.42,19550,2.29,35296,4.14,-,-,-,-,2193,0.26,852603,100
,101,1057,德明財經科技大學,490537,61.13,128010,15.95,65668,8.18,6109,0.76,96022,11.97,11954,1.49,-,-,-,-,4130,0.51,802431,100
,101,1058,明道大學,362907,45.91,265297,33.56,84780,10.72,11866,1.5,38149,4.83,10552,1.33,13479,1.71,-,-,3515,0.44,790545,100
,101,1059,康寧大學,107485,45.1,65272,27.38,50317,21.11,2974,1.25,8069,3.39,1450,0.61,1521,0.64,-,-,1265,0.53,238353,100
,101,1060,南開科技大學,415310,61.35,105277,15.55,83459,12.33,9684,1.43,40612,6,11822,1.75,1611,0.24,-,-,9231,1.36,677006,100
,101,1061,中華科技大學,561663,62.15,141350,15.64,106581,11.79,5678,0.63,47572,5.26,31270,3.46,6943,0.77,-,-,2655,0.29,903712,100
,101,1062,僑光科技大學,507917,63.67,109751,13.76,97014,12.16,5389,0.68,37563,4.71,32278,4.05,-,-,-,-,7865,0.99,797778,100
,101,1063,育達科技大學,476390,59.24,162823,20.25,99715,12.4,11344,1.41,25500,3.17,18457,2.3,-,-,-,-,9983,1.24,804212,100
,101,1064,美和科技大學,517117,60.7,188358,22.11,88473,10.39,8793,1.03,19660,2.31,12227,1.44,6575,0.77,-,-,10656,1.25,851859,100
,101,1065,吳鳳科技大學,420571,61.94,109991,16.2,89002,13.11,9993,1.47,24493,3.61,9252,1.36,5175,0.76,-,-,10573,1.56,679051,100
,101,1066,環球科技大學,398993,52.08,198665,25.93,93198,12.17,21482,2.8,25038,3.27,17927,2.34,7743,1.01,-,-,3018,0.39,766064,100
,101,1067,台灣首府大學,282702,57.98,77843,15.96,56750,11.64,4357,0.89,54181,11.11,10244,2.1,969,0.2,-,-,563,0.12,487608,100
,101,1068,中州科技大學,296076,47.85,190965,30.86,88136,14.24,3900,0.63,22154,3.58,9785,1.58,5633,0.91,-,-,2092,0.34,618742,100
,101,1069,修平科技大學,491960,66.58,113007,15.29,85945,11.63,4496,0.61,21814,2.95,11916,1.61,2580,0.35,-,-,7230,0.98,738947,100
,101,1070,長庚科技大學,651327,52.85,289564,23.49,127995,10.39,4467,0.36,31134,2.53,60650,4.92,-,-,55,0,67291,5.46,1232482,100
,101,1071,臺北城市科技大學,553191,65.09,115907,13.64,118232,13.91,5728,0.67,23021,2.71,22447,2.64,-,-,-,-,11377,1.34,849903,100
,101,1072,大華科技大學,315334,56.48,125157,22.42,74004,13.26,18192,3.26,8387,1.5,11541,2.07,-,-,-,-,5693,1.02,558309,100
,101,1073,醒吾科技大學,488662,61.92,154212,19.54,87649,11.11,5347,0.68,20231,2.56,27613,3.5,2912,0.37,-,-,2552,0.32,789179,100
,101,1074,南榮科技大學,236988,61.93,54256,14.18,53907,14.09,2047,0.53,23519,6.15,6521,1.7,546,0.14,-,-,4868,1.27,382653,100
,101,1075,文藻外語大學,577515,58.18,170226,17.15,97940,9.87,22470,2.26,77005,7.76,21143,2.13,-,-,-,-,26416,2.66,992715,100
,101,1076,華夏科技大學,364307,64.52,97481,17.26,61385,10.87,2433,0.43,15621,2.77,10937,1.94,1469,0.26,-,-,11003,1.95,564636,100
,101,1125,中信金融管理學院,89069,50.69,45109,25.67,31948,18.18,2694,1.53,2990,1.7,799,0.45,-,-,-,-,3116,1.77,175724,100
,101,1148,大漢技術學院,124523,50.14,48072,19.36,49229,19.82,5186,2.09,13822,5.57,5426,2.18,47,0.02,-,-,2058,0.83,248363,100
,101,1150,慈濟技術學院,251285,46.99,122781,22.96,67237,12.57,11700,2.19,69874,13.07,9206,1.72,-,-,1,0,2623,0.49,534706,100
,101,1154,永達技術學院,154241,51.95,56760,19.12,58726,19.78,3247,1.09,3910,1.32,2968,1,1435,0.48,-,-,15598,5.25,296885,100
,101,1159,和春技術學院,227623,53.25,80194,18.76,99226,23.21,2074,0.49,11514,2.69,5889,1.38,-,-,-,-,944,0.22,427464,100
,101,1164,致理技術學院,561118,62.12,161984,17.93,111097,12.3,8556,0.95,32360,3.58,22666,2.51,-,-,-,-,5465,0.61,903246,100
,101,1166,亞東技術學院,347726,51.16,114809,16.89,145239,21.37,11546,1.7,15550,2.29,25790,3.79,-,-,-,-,19051,2.8,679712,100
,101,1168,桃園創新技術學院,469742,57.79,146635,18.04,92436,11.37,7739,0.95,23025,2.83,45438,5.59,5050,0.62,-,-,22756,2.8,812820,100
,101,1176,稻江科技暨管理學院,176010,45.44,113968,29.42,37111,9.58,37340,9.64,12795,3.3,7365,1.9,-,-,-,-,2728,0.7,387317,100
,101,1179,德霖技術學院,375319,60.47,88896,14.32,102390,16.5,5343,0.86,17240,2.78,24698,3.98,282,0.05,-,-,6471,1.04,620638,100
,101,1182,蘭陽技術學院,295257,63.62,53149,11.45,68743,14.81,5645,1.22,12187,2.63,16056,3.46,-,-,-,-,13047,2.81,464084,100
,101,1183,黎明技術學院,301072,66.02,50021,10.97,49758,10.91,22945,5.03,10856,2.38,7469,1.64,1906,0.42,-,-,11978,2.63,456006,100
,101,1184,東方設計學院,291347,58.63,112423,22.62,57980,11.67,4502,0.91,11045,2.22,12144,2.44,328,0.07,-,-,7184,1.45,496953,100
,101,1185,經國管理暨健康學院,271658,62.22,73254,16.78,56686,12.98,4918,1.13,10992,2.52,15137,3.47,-,-,-,-,3967,0.91,436612,100
,101,1187,崇右技術學院,228959,61.67,69840,18.81,48109,12.96,3979,1.07,9773,2.63,4988,1.34,2841,0.77,-,-,2762,0.74,371250,100
,101,1188,大同技術學院,173145,52.96,77229,23.62,34888,10.67,17812,5.45,13917,4.26,5800,1.77,71,0.02,-,-,4056,1.24,326918,100
,101,1189,亞太創意技術學院,226626,60.17,68585,18.21,49610,13.17,4393,1.17,9721,2.58,8356,2.22,4344,1.15,-,-,4982,1.32,376618,100
,101,1192,臺灣觀光學院,124267,47.96,48167,18.59,49658,19.16,1194,0.46,6026,2.33,12742,4.92,67,0.03,-,-,16995,6.56,259117,100
,101,1195,馬偕醫學院,129361,42.47,86834,28.51,75745,24.86,1439,0.47,711,0.23,9515,3.12,-,-,-,-,1021,0.34,304625,100
,101,1196,法鼓文理學院,38621,45.43,19940,23.46,15915,18.72,8314,9.78,990,1.16,1207,1.42,-,-,-,-,24,0.03,85011,100
,101,1197,台北海洋技術學院,301779,58.77,97709,19.03,49528,9.64,2500,0.49,15063,2.93,14567,2.84,7392,1.44,7721,1.5,17272,3.36,513530,100
,101,1281,康寧醫護暨管理專科學校,160919,55.19,66586,22.84,44064,15.11,2185,0.75,6870,2.36,9628,3.3,236,0.08,-,-,1071,0.37,291560,100
,101,1282,馬偕醫護管理專科學校,200129,50.18,55357,13.88,83638,20.97,1006,0.25,27158,6.81,20907,5.24,6584,1.65,-,-,4047,1.01,398826,100
,101,1283,仁德醫護管理專科學校,291752,65.68,66147,14.89,46329,10.43,2398,0.54,12566,2.83,11257,2.53,339,0.08,-,-,13425,3.02,444214,100
,101,1284,樹人醫護管理專科學校,274089,64.75,72194,17.06,50322,11.89,5463,1.29,9030,2.13,9268,2.19,-,-,-,-,2929,0.69,423295,100
,101,1285,慈惠醫護管理專科學校,240575,56.18,83992,19.61,58083,13.56,2043,0.48,26340,6.15,11976,2.8,4641,1.08,-,-,582,0.14,428232,100
,101,1286,耕莘健康管理專科學校,218059,55.06,64577,16.3,74548,18.82,1553,0.39,12981,3.28,6658,1.68,5264,1.33,-,-,12420,3.14,396059,100
,101,1287,敏惠醫護管理專科學校,165873,41.11,49920,12.37,51928,12.87,26215,6.5,101157,25.07,6582,1.63,1139,0.28,-,-,674,0.17,403485,100
,101,1288,高美醫護管理專科學校,45199,50.71,13299,14.92,11799,13.24,430,0.48,6254,7.02,926,1.04,639,0.72,-,-,10586,11.88,89132,100
,101,1289,育英醫護管理專科學校,94680,58.86,34329,21.34,19062,11.85,500,0.31,4383,2.72,6240,3.88,-,-,-,-,1652,1.03,160846,100
,101,1290,崇仁醫護管理專科學校,147746,61.77,19555,8.18,57782,24.16,559,0.23,6647,2.78,1547,0.65,689,0.29,-,-,4672,1.95,239196,100
,101,1291,聖母醫護管理專科學校,163803,64.2,42806,16.78,28569,11.2,3431,1.34,9455,3.71,922,0.36,3281,1.29,-,-,2897,1.14,255164,100
,101,1292,新生醫護管理專科學校,255041,58.66,56090,12.9,48354,11.12,4675,1.08,8308,1.91,5360,1.23,2701,0.62,-,-,54223,12.47,434752,100
,101,1R02,基督教台灣浸會神學院,16806,72.18,3866,16.6,241,1.03,773,3.32,149,0.64,1097,4.71,-,-,-,-,353,1.52,23286,100
,101,1R03,臺北基督學院,27932,65.48,10522,24.67,138,0.32,132,0.31,2388,5.6,1239,2.9,-,-,-,-,307,0.72,42658,100
,102,1001,東海大學,1519176,63.2,482489,20.07,221006,9.19,23218,0.97,81676,3.4,45308,1.88,507,0.02,-,-,30507,1.27,2403888,100
,102,1002,輔仁大學,2050150,57.68,744174,20.94,290774,8.18,65738,1.85,240501,6.77,97755,2.75,754,0.02,20441,0.58,44294,1.25,3554581,100
,102,1003,東吳大學,1301347,63.64,348201,17.03,191227,9.35,26406,1.29,90421,4.42,78678,3.85,-,-,-,-,8546,0.42,2044826,100
,102,1004,中原大學,1529884,54.39,712665,25.33,240715,8.56,45536,1.62,139023,4.94,98840,3.51,199,0.01,-,-,46118,1.64,2812981,100
,102,1005,淡江大學,2239837,61.91,745189,20.6,262752,7.26,90755,2.51,115480,3.19,127981,3.54,-,-,-,-,35911,0.99,3617906,100
,102,1006,中國文化大學,2005175,53.46,704572,18.79,464699,12.39,58956,1.57,245074,6.53,254851,6.79,340,0.01,1309,0.03,15656,0.42,3750631,100
,102,1007,逢甲大學,1878650,55.77,649435,19.28,289357,8.59,81372,2.42,194909,5.79,182437,5.42,16854,0.5,11357,0.34,64435,1.91,3368806,100
,102,1008,靜宜大學,961980,51.55,300943,16.13,299688,16.06,38838,2.08,143258,7.68,62145,3.33,1100,0.06,-,-,58225,3.12,1866178,100
,102,1009,長庚大學,2030135,51.26,810494,20.46,455212,11.49,28102,0.71,71439,1.8,96340,2.43,-,-,401000,10.12,67862,1.71,3960584,100
,102,1010,元智大學,954624,54.01,399489,22.6,164927,9.33,15204,0.86,51929,2.94,58453,3.31,-,-,-,-,122979,6.96,1767604,100
,102,1011,中華大學,709703,61.03,247821,21.31,88597,7.62,16032,1.38,52482,4.51,37865,3.26,1552,0.13,-,-,8838,0.76,1162889,100
,102,1012,大葉大學,792581,54.04,348072,23.73,139494,9.51,23016,1.57,78236,5.33,73401,5,105,0.01,-,-,11734,0.8,1466639,100
,102,1013,華梵大學,319613,49.69,137949,21.45,106735,16.6,23346,3.63,37098,5.77,11447,1.78,-,-,-,-,6980,1.09,643168,100
,102,1014,義守大學,1213330,50.75,686518,28.72,248535,10.4,36899,1.54,99708,4.17,40542,1.7,25333,1.06,-,-,39879,1.67,2390744,100
,102,1015,世新大學,848389,48.05,566582,32.09,204436,11.58,12909,0.73,61324,3.47,32147,1.82,-,-,170,0.01,39504,2.24,1765461,100
,102,1016,銘傳大學,1467126,61.72,447299,18.82,198487,8.35,56751,2.39,101144,4.25,53792,2.26,5083,0.21,-,-,47423,2,2377106,100
,102,1017,實踐大學,946971,55.66,396105,23.28,164646,9.68,16383,0.96,79750,4.69,75678,4.45,2086,0.12,-,-,19813,1.16,1701434,100
,102,1018,朝陽科技大學,929860,50.54,514890,27.99,147778,8.03,47243,2.57,75695,4.11,102741,5.58,445,0.02,1184,0.06,19876,1.08,1839711,100
,102,1019,高雄醫學大學,881504,48.85,583977,32.36,183176,10.15,17525,0.97,37526,2.08,58258,3.23,1050,0.06,-,-,41412,2.3,1804428,100
,102,1020,南華大學,498272,61.43,118578,14.62,105254,12.98,28922,3.57,38583,4.76,14550,1.79,-,-,-,-,7028,0.87,811188,100
,102,1021,真理大學,625039,64.85,125332,13,115098,11.94,6561,0.68,40429,4.19,21669,2.25,15071,1.56,-,-,14680,1.52,963879,100
,102,1022,大同大學,456919,58.25,164965,21.03,99397,12.67,16617,2.12,11224,1.43,31239,3.98,547,0.07,-,-,3557,0.45,784464,100
,102,1023,南臺科技大學,1203538,56.18,498167,23.25,258174,12.05,46391,2.17,88294,4.12,37729,1.76,-,-,11,0,9957,0.46,2142262,100
,102,1024,崑山科技大學,840789,49.06,494977,28.88,250765,14.63,12572,0.73,53713,3.13,51062,2.98,3300,0.19,-,-,6614,0.39,1713791,100
,102,1025,嘉南藥理大學,909024,53.8,428475,25.36,181658,10.75,4823,0.29,57672,3.41,77484,4.59,7093,0.42,-,-,23449,1.39,1689678,100
,102,1026,樹德科技大學,606790,45.26,397637,29.66,143351,10.69,12301,0.92,88247,6.58,71751,5.35,16,0,-,-,20487,1.53,1340579,100
,102,1027,慈濟大學,728581,56.11,255914,19.71,176838,13.62,10598,0.82,71263,5.49,37522,2.89,-,-,7833,0.6,9856,0.76,1298405,100
,102,1028,臺北醫學大學,1272238,49.52,875544,34.08,230138,8.96,51445,2,44810,1.74,49629,1.93,16616,0.65,-,-,28547,1.11,2568966,100
,102,1029,中山醫學大學,828196,57.24,329428,22.77,146686,10.14,5901,0.41,71118,4.92,27674,1.91,28876,2,-,-,8976,0.62,1446855,100
,102,1030,龍華科技大學,568765,53.06,252339,23.54,131147,12.24,3891,0.36,46922,4.38,48085,4.49,-,-,-,-,20682,1.93,1071830,100
,102,1031,輔英科技大學,676755,64.01,188493,17.83,94646,8.95,4770,0.45,26144,2.47,56264,5.32,508,0.05,-,-,9709,0.92,1057288,100
,102,1032,明新科技大學,833976,63.29,196387,14.9,160524,12.18,7763,0.59,49294,3.74,54905,4.17,7276,0.55,-,-,7643,0.58,1317768,100
,102,1033,長榮大學,785121,65.97,209832,17.63,104262,8.76,12337,1.04,37599,3.16,20177,1.7,2534,0.21,-,-,18308,1.54,1190169,100
,102,1034,弘光科技大學,833162,58.39,333853,23.4,132533,9.29,9043,0.63,65991,4.62,27252,1.91,-,-,-,-,25083,1.76,1426917,100
,102,1035,中國醫藥大學,1088224,50.93,602690,28.21,139113,6.51,21025,0.98,34150,1.6,22191,1.04,560,0.03,152782,7.15,75843,3.55,2136576,100
,102,1036,健行科技大學,705031,57.66,260597,21.31,141956,11.61,18276,1.49,45208,3.7,24621,2.01,-,-,-,-,27059,2.21,1222747,100
,102,1037,正修科技大學,1105434,56.85,484304,24.91,251065,12.91,9669,0.5,52373,2.69,24443,1.26,4080,0.21,-,-,13065,0.67,1944434,100
,102,1038,萬能科技大學,579015,55.03,251762,23.93,125959,11.97,13762,1.31,27454,2.61,27175,2.58,-,-,-,-,26987,2.57,1052115,100
,102,1039,玄奘大學,350768,55.44,137564,21.74,78266,12.37,3575,0.57,32893,5.2,21154,3.34,-,-,-,-,8531,1.35,632751,100
,102,1040,建國科技大學,635127,60.5,225414,21.47,114334,10.89,5772,0.55,39700,3.78,17472,1.66,3528,0.34,-,-,8377,0.8,1049723,100
,102,1041,明志科技大學,504823,39.74,229568,18.07,247071,19.45,11592,0.91,68182,5.37,82078,6.46,-,-,120000,9.45,6871,0.54,1270186,100
,102,1042,高苑科技大學,561670,62.09,179643,19.86,77195,8.53,28792,3.18,26415,2.92,18931,2.09,224,0.02,-,-,11765,1.3,904635,100
,102,1043,大仁科技大學,569404,62.72,167061,18.4,89981,9.91,18048,1.99,23990,2.64,34093,3.76,-,-,-,-,5266,0.58,907843,100
,102,1044,聖約翰科技大學,522866,59.09,175071,19.78,109556,12.38,5169,0.58,32671,3.69,31344,3.54,-,-,-,-,8212,0.93,884890,100
,102,1045,嶺東科技大學,584639,63.59,150788,16.4,109992,11.96,3322,0.36,27921,3.04,26981,2.93,4306,0.47,-,-,11372,1.24,919321,100
,102,1046,中國科技大學,662337,58.31,196681,17.32,146628,12.91,13399,1.18,36697,3.23,65851,5.8,-,-,-,-,14202,1.25,1135795,100
,102,1047,中臺科技大學,669872,66.31,150038,14.85,91926,9.1,33926,3.36,34244,3.39,24608,2.44,1854,0.18,-,-,3818,0.38,1010286,100
,102,1048,亞洲大學,790443,51.12,437921,28.32,138472,8.96,46919,3.03,62504,4.04,59554,3.85,-,-,-,-,10327,0.67,1546140,100
,102,1049,開南大學,539831,54.99,231124,23.54,101357,10.33,16905,1.72,40650,4.14,36823,3.75,1681,0.17,-,-,13265,1.35,981636,100
,102,1050,佛光大學,344043,55.54,133734,21.59,85997,13.88,20247,3.27,7672,1.24,21819,3.52,-,-,-,-,5894,0.95,619406,100
,102,1051,台南應用科技大學,710451,60.93,215443,18.48,134611,11.54,5852,0.5,47941,4.11,25690,2.2,296,0.03,-,-,25779,2.21,1166063,100
,102,1052,遠東科技大學,601689,52.87,271546,23.86,146385,12.86,18684,1.64,70765,6.22,21905,1.92,1005,0.09,-,-,6087,0.53,1138065,100
,102,1053,元培醫事科技大學,474086,57.48,169400,20.54,103074,12.5,10509,1.27,31284,3.79,27546,3.34,-,-,-,-,8902,1.08,824799,100
,102,1054,景文科技大學,532850,57.52,180858,19.52,105823,11.42,5912,0.64,24171,2.61,15789,1.7,-,-,-,-,60982,6.58,926385,100
,102,1055,中華醫事科技大學,563747,61.82,160356,17.59,110753,12.15,8370,0.92,32520,3.57,24866,2.73,4086,0.45,-,-,7152,0.78,911851,100
,102,1056,東南科技大學,477431,60.36,144575,18.28,82882,10.48,26812,3.39,22280,2.82,33486,4.23,-,-,-,-,3466,0.44,790932,100
,102,1057,德明財經科技大學,518758,60.28,136038,15.81,81038,9.42,7281,0.85,101277,11.77,11666,1.36,-,-,-,-,4480,0.52,860538,100
,102,1058,明道大學,370257,48.52,244900,32.09,79665,10.44,11144,1.46,32757,4.29,7779,1.02,10241,1.34,-,-,6370,0.83,763114,100
,102,1059,康寧大學,123530,46.5,67102,25.26,46631,17.55,16490,6.21,5427,2.04,2195,0.83,919,0.35,-,-,3383,1.27,265678,100
,102,1060,南開科技大學,421217,60.73,118174,17.04,80678,11.63,7246,1.04,38547,5.56,20804,3,1198,0.17,-,-,5704,0.82,693570,100
,102,1061,中華科技大學,576466,61.66,161599,17.29,106269,11.37,6337,0.68,39316,4.21,34241,3.66,5813,0.62,-,-,4857,0.52,934899,100
,102,1062,僑光科技大學,483696,57.07,102566,12.1,99484,11.74,5539,0.65,38105,4.5,111932,13.21,-,-,-,-,6156,0.73,847477,100
,102,1063,育達科技大學,422070,57.58,157614,21.5,84183,11.48,11840,1.62,23152,3.16,25284,3.45,-,-,-,-,8908,1.22,733050,100
,102,1064,美和科技大學,511509,60.14,187270,22.02,88632,10.42,9911,1.17,18258,2.15,18669,2.19,3979,0.47,-,-,12317,1.45,850545,100
,102,1065,吳鳳科技大學,418640,61.98,103219,15.28,88397,13.09,14238,2.11,27783,4.11,9311,1.38,3826,0.57,-,-,10082,1.49,675497,100
,102,1066,環球科技大學,374314,51.21,189137,25.87,94350,12.91,15024,2.06,31610,4.32,14577,1.99,7770,1.06,488,0.07,3714,0.51,730986,100
