學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),2,0,2
105,1,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),4,3,1
105,1,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,學士班(日間),14,4,10
105,1,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),9,2,7
105,1,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),4,3,1
105,1,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),22,10,12
105,1,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),33,18,15
105,1,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,學士班(日間),12,3,9
105,1,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),7,3,4
105,1,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,學士班(日間),10,6,4
105,1,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,碩士班(日間),8,5,3
105,1,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,博士班,2,1,1
105,1,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,碩士班(日間),5,3,2
105,1,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),9,5,4
105,1,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,博士班,1,0,1
