學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,申請學校宿舍人數(A),學生實際住宿情形-自有宿舍住宿人數-小計(B),學生實際住宿情形-自有宿舍住宿人數-男,學生實際住宿情形-自有宿舍住宿人數-女,學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),學生實際住宿情形-學校租賃宿舍住宿人數-男,學生實際住宿情形-學校租賃宿舍住宿人數-女,學生校外租屋人數(107學年度新增)-小計(D),學生校外租屋人數(107學年度新增)-男,學生校外租屋人數(107學年度新增)-女,學校提供學生實際住宿之比率(%)E=(B+C)/（B+C+D）
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,臺南市,601,601,337,264,0,0,0,85,47,38,87.61
110,私立,技專校院,1148,大漢技術學院,花蓮縣,48,48,35,13,0,0,0,6,4,2,88.89
110,私立,技專校院,1159,和春技術學院,高雄市,6,6,2,4,0,0,0,0,0,0,100
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,桃園市,508,508,367,141,0,0,0,169,86,83,75.04
110,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,47,47,29,18,0,0,0,19,11,8,71.21
110,私立,技專校院,1183,黎明技術學院,新北市,878,713,408,305,116,89,27,30,12,18,96.51
110,私立,技專校院,1185,經國管理暨健康學院,基隆市,511,511,110,401,0,0,0,357,146,211,58.87
110,私立,技專校院,1188,大同技術學院,嘉義市,0,108,69,39,0,0,0,57,28,29,65.45
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,新北市,580,580,188,392,0,0,0,147,66,81,79.78
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,新北市,208,208,71,137,0,0,0,0,0,0,100
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,臺北市,631,631,79,552,0,0,0,233,21,212,73.03
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,新北市,1487,1487,138,1349,0,0,0,60,24,36,96.12
110,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,2232,2232,422,1810,0,0,0,580,134,446,79.37
110,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,1407,1360,319,1041,20,0,20,908,158,750,60.31
110,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,683,390,0,390,293,105,188,85,16,69,88.93
110,私立,技專校院,1286,耕莘健康管理專科學校,宜蘭縣,935,935,114,821,0,0,0,28,5,23,97.09
110,私立,技專校院,1286,耕莘健康管理專科學校,新北市,871,871,16,855,0,0,0,75,7,68,92.07
110,私立,技專校院,1287,敏惠醫護管理專科學校,臺南市,1047,1023,102,921,0,0,0,552,81,471,64.95
110,私立,技專校院,1289,育英醫護管理專科學校,高雄市,225,225,24,201,0,0,0,75,5,70,75
110,私立,技專校院,1291,聖母醫護管理專科學校,宜蘭縣,703,703,89,614,0,0,0,128,16,112,84.60
110,私立,技專校院,1292,新生醫護管理專科學校,桃園市,1416,1284,132,1152,0,0,0,197,23,174,86.70
110,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義縣,696,696,59,637,0,0,0,258,32,226,72.96
110,私立,技專校院,1293,崇仁醫護管理專科學校,嘉義市,269,269,51,218,0,0,0,100,18,82,72.90
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市,40,40,22,18,0,0,0,0,0,0,100
110,私立,宗教研修學院,1R03,臺北基督學院,新北市,136,70,39,31,0,0,0,0,0,0,100
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,臺北市,73,73,29,44,0,0,0,1,0,1,98.65
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,臺南市,42,0,0,0,42,18,24,5,3,2,89.36
110,私立,宗教研修學院,1R08,中華福音神學研究學院,桃園市,18,18,8,10,0,0,0,0,0,0,100
110,私立,宗教研修學院,1R09,唯心聖教學院,南投縣,0,0,0,0,0,0,0,9,1,8,0
110,公立,一般大學,3002,臺北市立大學,臺北市,2179,1615,616,999,15,7,8,556,247,309,74.57
