學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊國際碩士學位學程,碩士班(日間),法國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),比利時王國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),比利時王國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,4,2,2
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),日本,其他亞洲地區,1,0,1,3,3,0
105,2,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,碩士班(日間),荷蘭王國,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系交通運輸碩士班,碩士班(日間),英國,歐洲,1,1,0,0,0,0
105,2,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系物流管理博士班,博士班,美國,北美洲,3,0,3,0,0,0
105,2,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),美國,北美洲,1,0,1,0,0,0
105,2,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,碩士班(日間),比利時王國,歐洲,1,0,1,1,0,1
105,2,公立,一般大學,0008,國立中央大學,03111013,經濟學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,博士班,印度尼西亞共和國,東協,0,0,0,4,1,3
105,2,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,5,0,5
105,2,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,學士班(日間),美國,北美洲,2,0,2,0,0,0
105,2,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,碩士班(日間),美國,北美洲,2,1,1,0,0,0
105,2,公立,一般大學,0008,國立中央大學,05111031,生命科學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,2,2,0
105,2,公立,一般大學,0008,國立中央大學,06131059,資訊工程學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,3,3,0
105,2,公立,一般大學,0008,國立中央大學,06131059,資訊工程學系,碩士班(日間),法國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0008,國立中央大學,07112070,材料科學與工程研究所,碩士班(日間),法國,歐洲,0,0,0,1,1,0
105,2,公立,一般大學,0008,國立中央大學,07132066,能源工程研究所,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,1,1,0
105,2,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,碩士班(日間),日本,其他亞洲地區,3,3,0,0,0,0
