學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,參與競賽獲獎人次,學生論文出版及展演活動篇數(場數),學生論文出版及展演活動人次,在學學生出席國際會議人次
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,五專,281,8,175,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學士班(日間),946,54,177,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,學士班(進修),47,7,10,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士班(日間),13,11,10,0
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士在職專班,0,8,7,0
106,私立,技專校院,1052,遠東科技大學,學士班(日間),280,18,28,6
106,私立,技專校院,1052,遠東科技大學,學士班(進修),2,0,0,0
106,私立,技專校院,1052,遠東科技大學,碩士班(日間),50,16,23,4
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,學士班(日間),77,10,19,5
106,私立,技專校院,1054,景文科技大學,學士班(日間),167,0,0,0
106,私立,技專校院,1054,景文科技大學,碩士班(日間),0,2,1,0
106,私立,技專校院,1055,中華醫事科技大學,五專,82,0,0,0
106,私立,技專校院,1055,中華醫事科技大學,學士班(日間),104,1,2,1
106,私立,技專校院,1055,中華醫事科技大學,學士班(進修),1,0,0,0
106,私立,技專校院,1056,東南科技大學,學士班(日間),389,6,6,6
106,私立,技專校院,1057,德明財經科技大學,學士班(日間),355,3,7,0
106,私立,技專校院,1057,德明財經科技大學,碩士班(日間),0,3,3,0
106,私立,技專校院,1057,德明財經科技大學,碩士在職專班,0,3,3,0
106,私立,一般大學,1058,明道學校財團法人明道大學,學士班(日間),34,4,251,0
106,私立,一般大學,1058,明道學校財團法人明道大學,學士班(進修),1,0,0,1
106,私立,一般大學,1058,明道學校財團法人明道大學,碩士班(日間),0,13,13,15
106,私立,一般大學,1058,明道學校財團法人明道大學,碩士在職專班,0,20,20,16
106,私立,一般大學,1058,明道學校財團法人明道大學,博士班,0,0,5,0
106,私立,技專校院,1060,南開科技大學,五專,24,0,0,0
106,私立,技專校院,1060,南開科技大學,學士班(日間),102,0,0,0
106,私立,技專校院,1061,中華學校財團法人中華科技大學,學士班(日間),28,0,0,0
106,私立,技專校院,1062,僑光科技大學,學士班(日間),260,0,0,0
106,私立,技專校院,1062,僑光科技大學,學士班(進修),9,0,0,0
106,私立,技專校院,1062,僑光科技大學,碩士班(日間),0,8,10,0
106,私立,技專校院,1062,僑光科技大學,碩士在職專班,0,12,12,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學士班(日間),108,0,0,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,學士班(進修),4,0,0,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,碩士班(日間),3,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,五專,30,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(日間),79,0,0,1
106,私立,技專校院,1064,美和學校財團法人美和科技大學,學士班(進修),20,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,碩士班(日間),1,4,5,0
106,私立,技專校院,1065,吳鳳科技大學,學士班(日間),117,0,0,0
106,私立,技專校院,1065,吳鳳科技大學,碩士在職專班,0,10,30,8
106,私立,技專校院,1066,環球學校財團法人環球科技大學,學士班(日間),167,0,0,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,碩士班(日間),0,5,8,25
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學士班(日間),11,10,194,1
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,學士班(進修),14,0,0,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,學士班(日間),32,0,0,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,學士班(日間),144,0,0,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,碩士班(日間),5,0,0,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,五專,4,0,0,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(日間),170,1,6,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,學士班(進修),9,0,0,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士班(日間),2,8,8,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士在職專班,0,7,4,1
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,五專,71,0,0,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(日間),767,15,172,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,學士班(進修),1,0,0,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,碩士班(日間),4,0,0,0
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,五專,5,0,0,0
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,學士班(日間),34,0,0,0
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,五專,48,0,0,0
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,學士班(日間),235,0,0,0
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,碩士班(日間),1,0,0,0
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,學士班(日間),36,0,0,50
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,學士班(進修),1,0,0,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,五專,178,1,1,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,學士班(日間),225,1,1,1
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,二專(進修),30,0,0,0
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,學士班(日間),74,0,0,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,五專,27,0,0,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(日間),57,0,0,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,學士班(進修),10,0,0,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,碩士班(日間),4,9,11,5
106,私立,技專校院,1078,致理學校財團法人致理科技大學,五專,97,0,0,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(日間),902,0,0,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,學士班(進修),2,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,二專(進修),9,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,五專,159,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(日間),10,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,學士班(進修),1,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士班(日間),0,56,62,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士在職專班,0,36,36,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,五專,142,0,0,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(日間),428,0,0,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,學士班(進修),49,0,0,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,五專,17,0,0,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(日間),8,0,0,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,學士班(進修),2,0,0,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,碩士班(日間),11,6,4,6
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,五專,1,0,0,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,學士班(日間),43,0,0,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,碩士班(日間),1,0,0,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,五專,49,0,0,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,學士班(日間),192,0,0,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,碩士班(日間),1,0,0,0
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,學士班(日間),6,0,0,4
106,私立,技專校院,1148,大漢技術學院,學士班(日間),21,0,0,0
106,私立,技專校院,1159,和春技術學院,五專,6,0,0,0
106,私立,技專校院,1159,和春技術學院,學士班(日間),45,0,0,0
106,私立,技專校院,1159,和春技術學院,學士班(進修),19,0,0,0
106,私立,技專校院,1166,亞東技術學院,學士班(日間),103,0,16,2
106,私立,技專校院,1166,亞東技術學院,碩士班(日間),5,0,0,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,五專,30,0,0,0
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,學士班(日間),40,2,9,0
106,私立,一般大學,1176,稻江科技暨管理學院,學士班(日間),20,0,0,0
106,私立,技專校院,1182,蘭陽技術學院,五專,40,0,0,0
106,私立,技專校院,1183,黎明技術學院,五專,47,0,0,0
106,私立,技專校院,1183,黎明技術學院,學士班(日間),234,0,0,0
106,私立,技專校院,1183,黎明技術學院,學士班(進修),16,0,0,0
106,私立,技專校院,1185,經國管理暨健康學院,五專,5,0,0,0
106,私立,技專校院,1185,經國管理暨健康學院,學士班(日間),28,0,0,0
106,私立,技專校院,1185,經國管理暨健康學院,學士班(進修),2,0,0,0
106,私立,技專校院,1188,大同技術學院,學士班(日間),26,0,0,0
106,私立,技專校院,1188,大同技術學院,學士班(進修),27,0,0,0
106,私立,技專校院,1192,臺灣觀光學院,學士班(日間),7,0,0,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,學士班(日間),1,0,0,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,碩士班(日間),0,1,1,3
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,碩士班(日間),1,3,3,6
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,博士班,0,1,1,3
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,五專,91,3,17,5
106,私立,技專校院,1283,仁德醫護管理專科學校,五專,35,0,0,0
106,私立,技專校院,1284,樹人醫護管理專科學校,五專,232,15,43,400
106,私立,技專校院,1285,慈惠醫護管理專科學校,二專(日間),2,0,0,0
106,私立,技專校院,1285,慈惠醫護管理專科學校,五專,89,0,0,0
106,私立,技專校院,1286,耕莘健康管理專科學校,五專,184,0,0,0
106,私立,技專校院,1287,敏惠醫護管理專科學校,五專,167,1,7,0
106,私立,技專校院,1289,育英醫護管理專科學校,五專,83,0,0,0
106,私立,技專校院,1291,聖母醫護管理專科學校,五專,180,5,11,0
106,私立,技專校院,1292,新生醫護管理專科學校,五專,143,0,0,0
106,私立,技專校院,1293,崇仁醫護管理專科學校,五專,151,0,0,0
106,私立,宗教研修學院,1R03,臺北基督學院,學士班(日間),6,0,0,0
106,私立,宗教研修學院,1R06,一貫道崇德學院,碩士班(日間),0,0,0,28
106,公立,一般大學,3002,臺北市立大學,學士班(日間),736,35,35,6
106,公立,一般大學,3002,臺北市立大學,碩士班(日間),149,22,22,6
106,公立,一般大學,3002,臺北市立大學,碩士在職專班,312,93,93,6
106,公立,一般大學,3002,臺北市立大學,博士班,37,5,2,2
107,公立,一般大學,0001,國立政治大學,學士班(日間),262,1,1,48
107,公立,一般大學,0001,國立政治大學,碩士班(日間),36,18,13,14
107,公立,一般大學,0001,國立政治大學,碩士在職專班,1,0,0,0
107,公立,一般大學,0001,國立政治大學,博士班,3,90,43,0
107,公立,一般大學,0002,國立清華大學,學士班(日間),534,27,248,8
107,公立,一般大學,0002,國立清華大學,碩士班(日間),181,176,294,400
107,公立,一般大學,0002,國立清華大學,碩士在職專班,1,0,0,0
107,公立,一般大學,0002,國立清華大學,博士班,96,293,384,327
107,公立,一般大學,0003,國立臺灣大學,學士班(日間),91,22,42,35
107,公立,一般大學,0003,國立臺灣大學,碩士班(日間),155,196,284,741
107,公立,一般大學,0003,國立臺灣大學,碩士在職專班,2,3,3,1
107,公立,一般大學,0003,國立臺灣大學,博士班,62,376,419,440
107,公立,一般大學,0004,國立臺灣師範大學,學士班(日間),554,17,7,76
107,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),163,232,219,480
107,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,1,53,19,83
107,公立,一般大學,0004,國立臺灣師範大學,博士班,0,189,156,221
107,公立,一般大學,0005,國立成功大學,學士班(日間),105,8,15,138
107,公立,一般大學,0005,國立成功大學,碩士班(日間),174,285,317,608
107,公立,一般大學,0005,國立成功大學,碩士在職專班,19,7,7,26
107,公立,一般大學,0005,國立成功大學,博士班,47,342,361,325
107,公立,一般大學,0006,國立中興大學,學士班(日間),141,3,4,2
107,公立,一般大學,0006,國立中興大學,學士班(進修),1,0,0,0
107,公立,一般大學,0006,國立中興大學,碩士班(日間),47,150,166,177
107,公立,一般大學,0006,國立中興大學,碩士在職專班,0,4,4,0
107,公立,一般大學,0006,國立中興大學,博士班,25,82,87,76
107,公立,一般大學,0007,國立陽明交通大學,學士班(日間),116,2,2,0
107,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),125,186,259,174
107,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,0,0,1,0
107,公立,一般大學,0007,國立陽明交通大學,博士班,58,218,236,192
107,公立,一般大學,0008,國立中央大學,學士班(日間),8,4,6,0
107,公立,一般大學,0008,國立中央大學,碩士班(日間),61,55,61,37
107,公立,一般大學,0008,國立中央大學,碩士在職專班,0,0,0,1
107,公立,一般大學,0008,國立中央大學,博士班,16,40,47,29
107,公立,一般大學,0009,國立中山大學,學士班(日間),18,11,289,5
107,公立,一般大學,0009,國立中山大學,碩士班(日間),19,15,28,94
107,公立,一般大學,0009,國立中山大學,碩士在職專班,1,0,0,0
107,公立,一般大學,0009,國立中山大學,博士班,29,31,33,42
107,公立,一般大學,0012,國立臺灣海洋大學,學士班(日間),96,4,7,9
107,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),44,105,159,252
107,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,0,0,0,3
107,公立,一般大學,0012,國立臺灣海洋大學,博士班,5,47,35,53
107,公立,一般大學,0013,國立中正大學,學士班(日間),338,31,22,37
107,公立,一般大學,0013,國立中正大學,碩士班(日間),65,82,119,132
107,公立,一般大學,0013,國立中正大學,碩士在職專班,0,7,7,4
107,公立,一般大學,0013,國立中正大學,博士班,11,92,93,79
107,公立,一般大學,0014,國立高雄師範大學,學士班(日間),56,13,112,103
107,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),143,99,138,57
107,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,20,2,2,1
107,公立,一般大學,0014,國立高雄師範大學,博士班,1,78,57,20
107,公立,一般大學,0015,國立彰化師範大學,學士班(日間),505,3,3,0
107,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),81,85,158,45
107,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,6,0,0,0
107,公立,一般大學,0015,國立彰化師範大學,博士班,0,22,23,24
107,公立,一般大學,0016,國立陽明大學,學士班(日間),15,1,1,6
107,公立,一般大學,0016,國立陽明大學,碩士班(日間),0,33,33,34
107,公立,一般大學,0016,國立陽明大學,博士班,0,41,41,41
107,公立,一般大學,0017,國立臺北大學,學士班(日間),237,0,0,1
107,公立,一般大學,0017,國立臺北大學,學士班(進修),9,0,0,0
107,公立,一般大學,0017,國立臺北大學,碩士班(日間),15,0,0,5
107,公立,一般大學,0017,國立臺北大學,博士班,0,0,0,2
107,公立,一般大學,0018,國立嘉義大學,學士班(日間),88,22,30,100
107,公立,一般大學,0018,國立嘉義大學,學士班(進修),22,0,0,0
107,公立,一般大學,0018,國立嘉義大學,碩士班(日間),19,108,107,91
107,公立,一般大學,0018,國立嘉義大學,碩士在職專班,4,25,20,6
107,公立,一般大學,0018,國立嘉義大學,博士班,2,25,25,22
107,公立,一般大學,0019,國立高雄大學,學士班(日間),142,0,0,21
107,公立,一般大學,0019,國立高雄大學,學士班(進修),0,0,0,4
107,公立,一般大學,0019,國立高雄大學,碩士班(日間),13,14,17,54
107,公立,一般大學,0019,國立高雄大學,碩士在職專班,4,12,12,3
107,公立,一般大學,0019,國立高雄大學,博士班,0,2,2,5
107,公立,一般大學,0020,國立東華大學,學士班(日間),70,21,427,13
107,公立,一般大學,0020,國立東華大學,碩士班(日間),46,54,130,58
107,公立,一般大學,0020,國立東華大學,碩士在職專班,4,0,0,9
107,公立,一般大學,0020,國立東華大學,博士班,4,24,17,40
107,公立,一般大學,0021,國立暨南國際大學,學士班(日間),62,8,15,121
107,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),3,14,14,86
107,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,0,4,4,0
107,公立,一般大學,0021,國立暨南國際大學,博士班,2,27,42,36
107,公立,技專校院,0022,國立臺灣科技大學,學士班(日間),55,0,0,0
107,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),268,37,61,98
107,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,1,2,2,1
107,公立,技專校院,0022,國立臺灣科技大學,博士班,7,13,9,8
107,公立,技專校院,0023,國立雲林科技大學,學士班(日間),327,32,35,0
107,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),136,191,190,52
107,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,1,1,1,0
107,公立,技專校院,0023,國立雲林科技大學,博士班,8,68,67,22
107,公立,技專校院,0024,國立屏東科技大學,學士班(日間),866,90,114,30
107,公立,技專校院,0024,國立屏東科技大學,學士班(進修),193,1,47,0
107,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),102,149,149,152
107,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,2,3,3,0
107,公立,技專校院,0024,國立屏東科技大學,博士班,2,32,25,26
107,公立,技專校院,0025,國立臺北科技大學,學士班(日間),71,103,104,6
107,公立,技專校院,0025,國立臺北科技大學,學士班(進修),1,0,0,0
107,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),30,85,89,24
107,公立,技專校院,0025,國立臺北科技大學,博士班,6,10,9,8
107,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),67,479,3395,15
107,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),48,205,2682,26
107,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,2,25,35,0
107,公立,一般大學,0028,國立臺北藝術大學,博士班,2,59,39,1
107,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),105,26,29,0
107,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),52,2,2,0
107,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),53,62,68,21
107,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,11,16,18,0
107,公立,一般大學,0029,國立臺灣藝術大學,博士班,16,44,142,17
107,公立,一般大學,0030,國立臺東大學,學士班(日間),34,25,45,7
107,公立,一般大學,0030,國立臺東大學,碩士班(日間),0,1,1,1
107,公立,一般大學,0030,國立臺東大學,碩士在職專班,0,0,0,15
107,公立,一般大學,0031,國立宜蘭大學,學士班(日間),99,33,45,15
107,公立,一般大學,0031,國立宜蘭大學,學士班(進修),5,6,6,0
107,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),16,86,93,44
107,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,0,2,2,0
107,公立,一般大學,0032,國立聯合大學,學士班(日間),298,66,226,35
107,公立,一般大學,0032,國立聯合大學,學士班(進修),13,0,0,0
107,公立,一般大學,0032,國立聯合大學,碩士班(日間),34,72,105,46
107,公立,一般大學,0032,國立聯合大學,博士班,2,1,1,3
107,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),118,3,0,9
107,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),8,0,0,0
107,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),67,56,42,68
107,公立,技專校院,0033,國立虎尾科技大學,博士班,0,2,2,1
107,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),15,3,3,0
107,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),40,18,176,31
107,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,0,0,0,1
107,公立,一般大學,0035,國立臺南藝術大學,博士班,22,16,16,1
107,公立,一般大學,0036,國立臺南大學,學士班(日間),197,19,344,169
107,公立,一般大學,0036,國立臺南大學,學士班(進修),2,0,0,0
107,公立,一般大學,0036,國立臺南大學,碩士班(日間),39,65,103,133
107,公立,一般大學,0036,國立臺南大學,碩士在職專班,1,2,3,45
107,公立,一般大學,0036,國立臺南大學,博士班,1,30,37,56
107,公立,一般大學,0037,國立臺北教育大學,學士班(日間),150,1,60,1
107,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),33,53,108,47
107,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,5,30,29,21
107,公立,一般大學,0037,國立臺北教育大學,博士班,0,10,5,4
107,公立,一般大學,0039,國立臺中教育大學,學士班(日間),145,29,13,17
107,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),19,100,129,80
107,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,2,63,79,61
107,公立,一般大學,0039,國立臺中教育大學,博士班,0,15,16,6
107,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),4,0,0,0
107,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),0,4,8,5
107,公立,技專校院,0043,國立勤益科技大學,學士班(日間),363,3,15,2
107,公立,技專校院,0043,國立勤益科技大學,學士班(進修),3,0,0,0
107,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),27,30,7,5
107,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,2,2,0,0
107,公立,一般大學,0044,國立體育大學,學士班(日間),860,3,3,3
107,公立,一般大學,0044,國立體育大學,碩士班(日間),107,31,31,21
107,公立,一般大學,0044,國立體育大學,碩士在職專班,2,0,0,0
107,公立,一般大學,0044,國立體育大學,博士班,13,50,50,27
107,公立,技專校院,0046,國立臺北護理健康大學,學士班(日間),55,0,0,14
107,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),6,24,21,20
107,公立,技專校院,0046,國立臺北護理健康大學,博士班,0,11,11,4
107,公立,技專校院,0047,國立高雄餐旅大學,五專,10,0,0,0
107,公立,技專校院,0047,國立高雄餐旅大學,學士班(日間),64,0,0,0
107,公立,技專校院,0047,國立高雄餐旅大學,學士班(進修),18,0,0,0
107,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),0,13,3,3
107,公立,技專校院,0047,國立高雄餐旅大學,博士班,0,9,8,7
107,公立,一般大學,0048,國立金門大學,學士班(日間),14,0,0,1
107,公立,一般大學,0048,國立金門大學,碩士班(日間),0,0,0,3
107,公立,一般大學,0049,國立臺灣體育運動大學,學士班(日間),386,2,8,0
107,公立,一般大學,0049,國立臺灣體育運動大學,學士班(進修),7,0,0,0
107,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),56,24,24,11
107,公立,一般大學,0049,國立臺灣體育運動大學,碩士在職專班,1,1,1,0
107,公立,技專校院,0050,國立臺中科技大學,五專,41,0,0,5
107,公立,技專校院,0050,國立臺中科技大學,學士班(日間),156,8,47,26
107,公立,技專校院,0050,國立臺中科技大學,學士班(進修),20,0,0,0
107,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),0,3,3,8
107,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,0,3,3,16
107,公立,技專校院,0051,國立臺北商業大學,五專,8,0,0,0
107,公立,技專校院,0051,國立臺北商業大學,學士班(日間),40,0,0,0
107,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),2,24,24,12
107,公立,技專校院,0051,國立臺北商業大學,碩士在職專班,0,9,9,0
107,公立,一般大學,0052,國立屏東大學,學士班(日間),288,34,305,151
107,公立,一般大學,0052,國立屏東大學,學士班(進修),3,0,0,0
107,公立,一般大學,0052,國立屏東大學,碩士班(日間),33,82,96,92
107,公立,一般大學,0052,國立屏東大學,碩士在職專班,0,32,33,70
107,公立,一般大學,0052,國立屏東大學,博士班,0,19,27,0
107,公立,技專校院,0053,國立高雄科技大學,五專,6,0,0,0
107,公立,技專校院,0053,國立高雄科技大學,學士班(日間),448,10,10,12
107,公立,技專校院,0053,國立高雄科技大學,學士班(進修),15,0,0,0
107,公立,技專校院,0053,國立高雄科技大學,碩士班(日間),182,170,175,66
107,公立,技專校院,0053,國立高雄科技大學,博士班,14,52,60,24
107,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),13,0,0,0
107,公立,技專校院,0221,國立臺南護理專科學校,五專,98,0,0,0
107,公立,技專校院,0222,國立臺東專科學校,二專(日間),10,0,0,0
107,公立,技專校院,0222,國立臺東專科學校,五專,3,0,0,0
107,私立,一般大學,1001,東海大學,學士班(日間),495,152,235,2
107,私立,一般大學,1001,東海大學,學士班(進修),48,5,38,0
107,私立,一般大學,1001,東海大學,碩士班(日間),52,99,117,61
107,私立,一般大學,1001,東海大學,碩士在職專班,12,19,22,0
107,私立,一般大學,1001,東海大學,博士班,5,41,41,14
107,私立,一般大學,1002,輔仁大學,學士班(日間),317,45,563,1
107,私立,一般大學,1002,輔仁大學,學士班(進修),22,5,14,1
107,私立,一般大學,1002,輔仁大學,碩士班(日間),5,115,175,15
107,私立,一般大學,1002,輔仁大學,碩士在職專班,0,3,6,0
107,私立,一般大學,1002,輔仁大學,博士班,1,66,68,4
107,私立,一般大學,1003,東吳大學,學士班(日間),274,17,34,4
107,私立,一般大學,1003,東吳大學,碩士班(日間),10,78,85,19
107,私立,一般大學,1003,東吳大學,碩士在職專班,5,24,27,13
107,私立,一般大學,1003,東吳大學,博士班,0,35,35,6
107,私立,一般大學,1004,中原大學,學士班(日間),714,28,87,0
107,私立,一般大學,1004,中原大學,碩士班(日間),62,50,56,81
107,私立,一般大學,1004,中原大學,碩士在職專班,3,12,12,0
107,私立,一般大學,1004,中原大學,博士班,8,45,46,39
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),756,5,5,115
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(進修),7,0,0,0
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),60,78,81,189
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,1,8,8,45
107,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,18,54,55,83
107,私立,一般大學,1006,中國文化大學,學士班(日間),344,134,1329,1451
107,私立,一般大學,1006,中國文化大學,學士班(進修),4,0,0,0
107,私立,一般大學,1006,中國文化大學,碩士班(日間),24,108,110,305
107,私立,一般大學,1006,中國文化大學,碩士在職專班,0,94,94,72
107,私立,一般大學,1006,中國文化大學,博士班,2,21,20,37
107,私立,一般大學,1007,逢甲大學,學士班(日間),593,29,187,63
107,私立,一般大學,1007,逢甲大學,學士班(進修),5,0,2,0
107,私立,一般大學,1007,逢甲大學,碩士班(日間),86,270,339,144
107,私立,一般大學,1007,逢甲大學,碩士在職專班,0,12,12,0
107,私立,一般大學,1007,逢甲大學,博士班,12,62,96,29
107,私立,一般大學,1008,靜宜大學,學士班(日間),604,43,95,21
107,私立,一般大學,1008,靜宜大學,碩士班(日間),30,102,123,37
107,私立,一般大學,1008,靜宜大學,碩士在職專班,0,5,8,0
107,私立,一般大學,1008,靜宜大學,博士班,0,21,27,0
107,私立,一般大學,1009,長庚大學,學士班(日間),474,15,18,15
107,私立,一般大學,1009,長庚大學,碩士班(日間),32,122,129,118
107,私立,一般大學,1009,長庚大學,碩士在職專班,0,1,1,0
107,私立,一般大學,1009,長庚大學,博士班,1,135,147,94
107,私立,一般大學,1010,元智大學,學士班(日間),373,25,82,1
107,私立,一般大學,1010,元智大學,碩士班(日間),48,146,203,24
107,私立,一般大學,1010,元智大學,碩士在職專班,2,0,1,1
107,私立,一般大學,1010,元智大學,博士班,5,143,180,22
