學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,參與競賽獲獎人次,學生論文出版及展演活動篇數(場數),學生論文出版及展演活動人次,在學學生出席國際會議人次
106,公立,技專校院,0023,國立雲林科技大學,博士班,28,125,110,27
106,公立,技專校院,0024,國立屏東科技大學,學士班(日間),702,6,11,4
106,公立,技專校院,0024,國立屏東科技大學,學士班(進修),47,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),58,84,85,66
106,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,1,1,1,0
106,公立,技專校院,0024,國立屏東科技大學,博士班,8,26,25,14
106,公立,技專校院,0025,國立臺北科技大學,學士班(日間),162,73,78,65
106,公立,技專校院,0025,國立臺北科技大學,學士班(進修),17,63,78,47
106,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),0,41,48,59
106,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,0,17,17,17
106,公立,技專校院,0025,國立臺北科技大學,博士班,0,4,3,2
106,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),87,468,1631,13
106,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),51,249,526,186
106,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,1,22,32,0
106,公立,一般大學,0028,國立臺北藝術大學,博士班,5,63,41,43
106,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),335,12,99,90
106,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),125,1,1,0
106,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),69,67,86,59
106,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,6,19,30,9
106,公立,一般大學,0029,國立臺灣藝術大學,博士班,11,52,52,10
106,公立,一般大學,0030,國立臺東大學,學士班(日間),64,6,122,0
106,公立,一般大學,0030,國立臺東大學,碩士班(日間),0,13,13,10
106,公立,一般大學,0030,國立臺東大學,碩士在職專班,0,2,13,0
106,公立,一般大學,0031,國立宜蘭大學,學士班(日間),77,25,28,0
106,公立,一般大學,0031,國立宜蘭大學,學士班(進修),4,0,0,0
106,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),4,52,52,19
