學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,9.28,14.58,12,0,0
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,13.29,18,12.11,0,0
106,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,15.05,17.33,13.50,0,0
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,25.28,27.75,28.88,0,0
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,28.14,28.38,0,0,0
106,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,15.44,13.67,0,0,0
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,13,17,15.75,0,0
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,16.75,27,17.33,0,0
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,18.94,17.39,21.08,0,0
106,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,11,11.25,12.25,0,0
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,21.33,27.29,19,0,0
106,公立,一般大學,0003,國立臺灣大學,08411105,臨床動物醫學研究所,39,39,39,0,0
106,公立,一般大學,0003,國立臺灣大學,08411106,分子暨比較病理生物學研究所,35.50,22,29,0,0
106,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,39,39,38.13,39,0
106,公立,一般大學,0003,國立臺灣大學,09111138,臨床牙醫學研究所,39,39,39,0,0
106,公立,一般大學,0003,國立臺灣大學,09111139,口腔生物科學研究所,39,17,34.25,0,0
106,公立,一般大學,0003,國立臺灣大學,09121048,微生物學研究所,21.50,22.33,13,0,0
106,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,38.06,39,31.19,20.67,0
106,公立,一般大學,0003,國立臺灣大學,09121108,臨床醫學研究所,37,32,0,0,0
106,公立,一般大學,0003,國立臺灣大學,09121109,分子醫學研究所,39,31,31.67,0,0
106,公立,一般大學,0003,國立臺灣大學,09121110,免疫學研究所,27.67,17,0,0,0
106,公立,一般大學,0003,國立臺灣大學,09121111,生理學研究所,36.50,34.33,39,0,0
106,公立,一般大學,0003,國立臺灣大學,09121112,病理學研究所,39,39,37.33,39,0
106,公立,一般大學,0003,國立臺灣大學,09121114,解剖學暨細胞生物學研究所,32.08,28.50,32.33,0,0
106,公立,一般大學,0003,國立臺灣大學,09121118,腫瘤醫學研究所,37.93,6,4.20,0,0
106,公立,一般大學,0003,國立臺灣大學,09121120,基因體暨蛋白體醫學研究所,39,27,24.67,0,0
106,公立,一般大學,0003,國立臺灣大學,09121121,醫學教育暨生醫倫理研究所,33.83,39,39,39,0
106,公立,一般大學,0003,國立臺灣大學,09121140,法醫學研究所,37.25,39,0,39,0
106,公立,一般大學,0003,國立臺灣大學,09121142,腦與心智科學研究所,0,17,22.25,0,0
106,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,19.50,22.50,22,0,0
106,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,32.81,36.50,31.63,0,0
106,公立,一般大學,0003,國立臺灣大學,09141143,醫療器材與醫學影像研究所,23,14.50,2,0,0
106,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,39,29.33,39,39,0
106,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,39,39,39,0,0
106,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,23.25,27.10,17.25,8.50,0
106,公立,一般大學,0003,國立臺灣大學,09161130,藥理學研究所,32.67,29.50,29.25,0,0
106,公立,一般大學,0003,國立臺灣大學,09161131,臨床藥學研究所,39,37.50,39,0,0
106,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生碩士學位學程,0,0,2,0,0
106,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,18.93,28,0,0,0
106,公立,一般大學,0003,國立臺灣大學,09191123,職業醫學與工業衛生研究所,22.13,0,9,0,0
106,公立,一般大學,0003,國立臺灣大學,09191125,環境衛生研究所,25.33,27.50,17.75,0,0
106,公立,一般大學,0003,國立臺灣大學,09191126,流行病學與預防醫學研究所,25.50,19.75,23,0,0
106,公立,一般大學,0003,國立臺灣大學,09191127,健康政策與管理研究所,28.83,33,19.50,0,0
106,公立,一般大學,0003,國立臺灣大學,09191128,健康行為與社區科學研究所,13,18.50,13,0,0
106,公立,一般大學,0003,國立臺灣大學,09191157,食品安全與健康研究所,19.33,0,4,0,0
106,公立,一般大學,0003,國立臺灣大學,09199141,毒理學研究所,28.67,39,32,0,0
106,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,5.60,7.50,6.67,0,0
106,公立,一般大學,0003,國立臺灣大學,10152145,運動設施與健康管理碩士學位學程,0,12,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,,文學院,0,0,4,0,0
106,公立,一般大學,0004,國立臺灣師範大學,,師資培育學院,5.75,7.50,7.25,0,0
106,公立,一般大學,0004,國立臺灣師範大學,,教務處,6,6.84,6,13.67,0
106,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,6.79,9.95,7.20,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,7.13,8,8,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01114019,教育政策與行政研究所,10.17,7.45,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01115002,課程與教學研究所,8.30,9.50,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01116014,資訊教育研究所,3.33,7.50,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01116079,學習科學學士學位學程,4,5,5,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,8.75,9.50,6,6,0
106,公立,一般大學,0004,國立臺灣師範大學,01131006,科學教育研究所,4.88,11,8,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,6.40,9,7.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,7.06,8,8.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,10.75,11.44,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01141013,環境教育研究所,7.67,6.67,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,9.46,11.33,10.58,11.80,0
106,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,7.75,7.38,10.75,0,0
106,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,7.64,8.90,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,9.07,11.50,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,8.19,10.25,8,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,12.45,11.44,12,13.67,0
106,公立,一般大學,0004,國立臺灣師範大學,02151025,民族音樂研究所,9.25,8,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術研究所,8.75,8.75,13,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02191026,藝術史研究所,5.67,6,8,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,6.40,9.14,6.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02221036,臺灣史研究所,3,8,4,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,7.20,8.34,7.44,13,0
106,公立,一般大學,0004,國立臺灣師範大學,02312034,翻譯研究所,5.67,9.50,8.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,6.89,8,10.20,14.40,0
106,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,6.50,6.75,6.33,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,7.78,9.50,8,10,0
106,公立,一般大學,0004,國立臺灣師範大學,03121039,政治學研究所,8.67,0,10,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,6.13,8.08,6.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,6.48,7.78,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,9.88,9,11.75,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03143045,歐洲文化與觀光研究所,6,7.50,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03199070,復健諮商研究所,9,8,7.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03211048,大眾傳播研究所,0,4.75,6,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,10.50,12,19,18,0
106,公立,一般大學,0004,國立臺灣師範大學,03222049,圖書資訊學研究所,5,7,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04131047,全球經營與策略研究所,9.89,5.94,6.68,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,5.78,6,5.96,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,6.49,6.94,9.84,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04199054,國際人力資源發展研究所,6,7,7.50,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,5.16,7.10,6.05,9.50,0
106,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,5.30,6.90,5.83,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,5.71,6,7,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,5.62,8.36,6.75,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,6.34,8,7.13,6,0
106,公立,一般大學,0004,國立臺灣師範大學,07121069,海洋環境科技研究所,3.58,7.25,0,0,0
