學年度,設立別,學校類別,學校統計處代碼,學校名稱,學校「自籌」補助學生相關助學措施之金額-生活助學金,學校「自籌」補助學生相關助學措施之金額-緊急紓困助學金,學校「自籌」補助學生相關助學措施之金額-住宿優惠,學校「自籌」補助學生相關助學措施之金額-工讀助學金,學校「自籌」補助學生相關助學措施之金額-研究生獎助學金
105,私立,一般大學,1058,明道學校財團法人明道大學,0,149000,12666,1825929,0
105,私立,技專校院,1060,南開科技大學,913878,302000,166750,9660093,7500
105,私立,技專校院,1061,中華學校財團法人中華科技大學,8084980,370000,763000,2910334,969833
105,私立,技專校院,1062,僑光科技大學,187500,0,358800,5327862,200875
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,546814,130000,621000,3117113,80000
105,私立,技專校院,1064,美和學校財團法人美和科技大學,1171244,0,0,670189,0
105,私立,技專校院,1065,吳鳳科技大學,720000,115000,1060000,0,0
105,私立,技專校院,1066,環球學校財團法人環球科技大學,2416481,299000,976500,447405,257631
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,0,142000,642000,4197623,0
105,私立,技專校院,1068,中州學校財團法人中州科技大學,490074,79000,266800,1150506,0
105,私立,技專校院,1069,修平學校財團法人修平科技大學,95902,18000,563850,3505386,428721
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,36000,340000,1636200,13024578,51000
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,16209,417000,390000,9130846,210000
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,419301,170000,169950,2792218,160883
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,48000,339555,540000,0,0
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,224248,30850,1215000,0,0
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7465,270000,1124000,6801531,2522373
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,156000,90000,40000,3172225,24784
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,260386,105000,659000,6188630,1443200
105,私立,技專校院,1078,致理學校財團法人致理科技大學,0,297000,369317,14975264,0
105,私立,一般大學,1079,康寧學校財團法人康寧大學,1920000,133000,3388000,1593309,71
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,202800,32000,6000,0,0
105,私立,技專校院,1148,大漢技術學院,232122,84120,0,812179,0
105,私立,技專校院,1159,和春技術學院,54000,90000,159700,0,0
105,私立,技專校院,1166,亞東技術學院,842877,130000,100800,4892431,320000
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,6000,178000,514800,0,8000
105,私立,一般大學,1176,稻江科技暨管理學院,137900,110000,104400,0,0
105,私立,技專校院,1179,德霖技術學院,336000,175000,338000,5252855,0
105,私立,技專校院,1182,蘭陽技術學院,32085,0,183600,712820,0
105,私立,技專校院,1183,黎明技術學院,48000,116000,330000,2034415,0
105,私立,技專校院,1184,東方設計學院,3346,140000,1180000,3127096,0
105,私立,技專校院,1185,經國管理暨健康學院,3546,191000,461000,3523212,350000
105,私立,技專校院,1187,崇右技術學院,568528,407000,167500,877781,21000
105,私立,技專校院,1188,大同技術學院,336000,196526,164100,368130,0
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,60000,120000,204000,208845,0
105,私立,技專校院,1192,臺灣觀光學院,0,5000,380000,1095114,0
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,72000,100000,74360,666184,185200
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,0,0,0,0,524100
105,私立,技專校院,1197,台北海洋技術學院,0,77000,556500,4759232,0
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,2076000,191000,3341800,486920,0
105,私立,技專校院,1283,仁德醫護管理專科學校,1093500,262000,1118000,3776881,0
105,私立,技專校院,1284,樹人醫護管理專科學校,8162415,594000,210000,4623779,0
105,私立,技專校院,1285,慈惠醫護管理專科學校,792000,209000,2620000,0,0
105,私立,技專校院,1286,耕莘健康管理專科學校,3208913,656279,2873733,0,0
105,私立,技專校院,1287,敏惠醫護管理專科學校,1443000,233000,744512,3360455,0
105,私立,技專校院,1288,高美醫護管理專科學校,0,67855,33000,0,0
105,私立,技專校院,1289,育英醫護管理專科學校,0,130000,123200,665619,0
105,私立,技專校院,1290,崇仁醫護管理專科學校,564000,129000,1052200,150119,0
105,私立,技專校院,1291,聖母醫護管理專科學校,1467230,30000,1289200,204314,0
105,私立,技專校院,1292,新生醫護管理專科學校,306000,410000,1971750,501809,0
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,0,0,207600,0,526800
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,84000,0,0,0,0
105,私立,宗教研修學院,1R06,一貫道崇德學院,0,0,0,0,529200
105,公立,一般大學,3002,臺北市立大學,4454400,469921,355500,2409960,1721600
106,公立,一般大學,0001,國立政治大學,10716000,540000,1670119,115542426,78832279
106,公立,一般大學,0002,國立清華大學,756000,405000,1485370,17036454,116028382
106,公立,一般大學,0003,國立臺灣大學,31734000,273000,2461096,0,268542539
106,公立,一般大學,0004,國立臺灣師範大學,19581000,1503334,1112600,0,44177734
106,公立,一般大學,0005,國立成功大學,1392000,935000,700907,15001392,91587335
106,公立,一般大學,0006,國立中興大學,23850000,770000,447025,0,82466283
106,公立,一般大學,0007,國立陽明交通大學,3336000,649608,973070,10906025,101716788
106,公立,一般大學,0008,國立中央大學,2274000,520000,618010,19251972,113356195
106,公立,一般大學,0009,國立中山大學,179200,320000,328000,42869840,68291237
106,公立,一般大學,0012,國立臺灣海洋大學,1614000,246000,374050,21169294,47335000
106,公立,一般大學,0013,國立中正大學,576000,130000,592800,61146701,44917601
106,公立,一般大學,0014,國立高雄師範大學,882000,7000,0,813301,7228900
106,公立,一般大學,0015,國立彰化師範大學,906000,1413000,505420,11993392,10697879
106,公立,一般大學,0016,國立陽明大學,480000,119500,153456,3678052,40904157
106,公立,一般大學,0017,國立臺北大學,1212000,205000,446000,10942861,31924140
106,公立,一般大學,0018,國立嘉義大學,1369500,340000,367900,56768981,9593957
106,公立,一般大學,0019,國立高雄大學,120000,126000,493800,4268220,3829784
106,公立,一般大學,0020,國立東華大學,1452000,180000,1464800,6310215,34470090
106,公立,一般大學,0021,國立暨南國際大學,3240000,121350,360409,8220426,5188700
106,公立,技專校院,0022,國立臺灣科技大學,1149000,100000,419800,0,7822600
106,公立,技專校院,0023,國立雲林科技大學,960000,744000,772845,11503812,0
106,公立,技專校院,0024,國立屏東科技大學,37547062,858000,1630980,12270268,24640134
106,公立,技專校院,0025,國立臺北科技大學,15036000,0,724700,6085896,27636567
106,公立,技專校院,0026,國立高雄第一科技大學,756000,0,705200,33096897,4245451
106,公立,技專校院,0027,國立高雄應用科技大學,7821583,0,957950,0,0
106,公立,一般大學,0028,國立臺北藝術大學,210000,235000,132950,7767293,860000
106,公立,一般大學,0029,國立臺灣藝術大學,0,225000,185250,9434988,0
106,公立,一般大學,0030,國立臺東大學,1920000,20000,486000,6314935,1387056
106,公立,一般大學,0031,國立宜蘭大學,456000,95000,938000,8912873,3438173
106,公立,一般大學,0032,國立聯合大學,0,0,434000,0,0
106,公立,技專校院,0033,國立虎尾科技大學,816000,1235000,1118250,21199199,725400
106,公立,技專校院,0034,國立高雄海洋科技大學,6924000,279000,994650,947627,2075955
106,公立,一般大學,0035,國立臺南藝術大學,624000,35323,19800,2559308,0
106,公立,一般大學,0036,國立臺南大學,4250000,73000,494660,0,969000
106,公立,一般大學,0037,國立臺北教育大學,540000,245000,267200,4763040,2360234
106,公立,一般大學,0039,國立臺中教育大學,4771758,325000,245900,0,5037598
106,公立,技專校院,0042,國立澎湖科技大學,294000,390000,0,0,232000
106,公立,技專校院,0043,國立勤益科技大學,15245849,0,0,0,0
106,公立,一般大學,0044,國立體育大學,2352000,80000,159000,767418,2225600
106,公立,技專校院,0046,國立臺北護理健康大學,216000,180000,744980,3304876,150000
106,公立,技專校院,0047,國立高雄餐旅大學,48000,120000,652368,3067595,1112000
106,公立,一般大學,0048,國立金門大學,768000,164000,422000,3514795,366876
106,公立,一般大學,0049,國立臺灣體育運動大學,2754000,50000,264000,3598868,1551000
106,公立,技專校院,0050,國立臺中科技大學,240000,269000,636000,22540000,2080000
106,公立,技專校院,0051,國立臺北商業大學,834000,1070000,118800,6519000,63000
106,公立,一般大學,0052,國立屏東大學,672000,426000,574900,9567215,239464
106,公立,技專校院,0144,國立臺灣戲曲學院,269040,0,211400,0,0
106,公立,技專校院,0221,國立臺南護理專科學校,96000,47435,705600,1459229,0
106,公立,技專校院,0222,國立臺東專科學校,42000,0,270000,383474,0
106,私立,一般大學,1001,東海大學,7053500,855000,2270600,39691538,1214254
106,私立,一般大學,1002,輔仁大學,2933700,11904263,453350,62619831,9000000
106,私立,一般大學,1003,東吳大學,3157500,1505560,527320,53861897,9176170
106,私立,一般大學,1004,中原大學,941300,2035000,488900,25358814,17875146
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2566700,1167210,1612700,50725382,22839860
106,私立,一般大學,1006,中國文化大學,2250000,655000,3441069,14236854,5157174
106,私立,一般大學,1007,逢甲大學,3600000,6196000,1336300,0,6849920
106,私立,一般大學,1008,靜宜大學,1202300,500000,1107000,29098331,7084203
106,私立,一般大學,1009,長庚大學,1033700,130000,564400,14028776,23019441
106,私立,一般大學,1010,元智大學,0,0,833600,13149718,34753696
106,私立,一般大學,1011,中華大學學校財團法人中華大學,0,260000,528000,4618534,1989561
106,私立,一般大學,1012,大葉大學,881000,2641750,2311010,6671383,23768722
106,私立,一般大學,1013,華梵大學,130572,106000,448360,1494114,0
106,私立,一般大學,1014,義守大學,223000,130000,3351200,19097832,11258992
106,私立,一般大學,1015,世新大學,7816000,795000,696960,20271597,986215
106,私立,一般大學,1016,銘傳大學,1249700,681500,1386400,25191715,4529600
106,私立,一般大學,1017,實踐大學,1293100,340000,802232,34611183,697000
106,私立,技專校院,1018,朝陽科技大學,141539,200000,1062000,32861317,10000000
106,私立,一般大學,1019,高雄醫學大學,1854000,249000,467350,8940186,2209900
106,私立,一般大學,1020,南華大學,8093500,175000,1573500,5211881,0
106,私立,一般大學,1021,真理大學,83908,130000,531000,4850770,29778
106,私立,一般大學,1022,大同大學,884010,150000,136000,4705435,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,0,540000,1423500,34323781,45407500
106,私立,技專校院,1024,崑山科技大學,420762,135000,1706067,8564528,9832986
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,282000,490000,6039000,12779530,0
106,私立,技專校院,1026,樹德科技大學,390389,621000,1401000,17612538,7192074
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,361500,240000,352600,6283531,9396528
106,私立,一般大學,1028,臺北醫學大學,2746100,175000,143000,12023772,36560082
106,私立,一般大學,1029,中山醫學大學,593200,220000,958500,10034964,4216600
106,私立,技專校院,1030,龍華科技大學,2666,732000,191800,17116734,2671542
106,私立,技專校院,1031,輔英科技大學,3597162,275662,3212667,4240922,510000
106,私立,技專校院,1032,明新學校財團法人明新科技大學,393779,730000,272584,2413614,1000000
106,私立,一般大學,1033,長榮大學,1408500,690700,1866130,8276553,630000
106,私立,技專校院,1034,弘光科技大學,1311198,1695000,879750,17433291,3136355
106,私立,一般大學,1035,中國醫藥大學,1443600,580000,198300,9392510,9957731
106,私立,技專校院,1036,健行學校財團法人健行科技大學,666000,539000,948000,18943533,0
106,私立,技專校院,1037,正修學校財團法人正修科技大學,2944598,629000,1525000,28305859,2216034
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,12365656,315000,124583,886017,2300000
106,私立,一般大學,1039,玄奘大學,449200,125000,1125000,13106651,185000
106,私立,技專校院,1040,建國科技大學,1781149,135000,408900,12020230,50118
106,私立,技專校院,1041,明志科技大學,146659,11222,34000,4565390,10298365
106,私立,技專校院,1042,高苑科技大學,1982000,270000,960780,512372,1037500
106,私立,技專校院,1043,大仁科技大學,120474,423769,613000,889457,40000
106,私立,技專校院,1044,聖約翰科技大學,1512822,135000,389000,2333821,1150057
106,私立,技專校院,1045,嶺東科技大學,6714,443000,384000,4473675,2360000
106,私立,技專校院,1046,中國科技大學,480000,0,178500,25590577,203000
106,私立,技專校院,1047,中臺科技大學,0,584000,212800,12113002,380000
106,私立,一般大學,1048,亞洲大學,0,751000,1430000,22595937,7630622
106,私立,一般大學,1049,開南大學,2664000,635000,1447000,8965627,614000
106,私立,一般大學,1050,佛光大學,22056470,734320,88000,7379659,5190465
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,487660,431000,1190000,18936313,34000
106,私立,技專校院,1052,遠東科技大學,269385,564000,871000,2325726,5705460
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,1500000,60000,683000,4926156,0
106,私立,技專校院,1054,景文科技大學,892448,320000,57200,6064319,104000
106,私立,技專校院,1055,中華醫事科技大學,381000,810000,294000,13665389,0
106,私立,技專校院,1056,東南科技大學,382575,217000,595500,4368570,255000
106,私立,技專校院,1057,德明財經科技大學,0,330000,334550,16173928,120000
106,私立,一般大學,1058,明道學校財團法人明道大學,0,143000,544638,0,0
106,私立,技專校院,1060,南開科技大學,342000,204000,57500,10636322,75000
106,私立,技專校院,1061,中華學校財團法人中華科技大學,1290212,330000,488000,8104280,380836
106,私立,技專校院,1062,僑光科技大學,604842,10000,317400,4727548,24605
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,166626,70000,486000,1271460,60000
106,私立,技專校院,1064,美和學校財團法人美和科技大學,88555,25000,1202000,1274152,94091
106,私立,技專校院,1065,吳鳳科技大學,37719,136000,890000,768000,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,2202000,209000,860000,0,156000
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,0,166000,806500,85000,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,53964,63000,257600,1134833,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,62527,18000,492250,3430231,500000
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,0,220000,1425600,13407548,42000
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,28241,384000,408500,9630941,210000
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,291000,102000,86450,2078136,65000
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6445217,305000,320000,961428,0
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,151641,2748,547500,5852,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,53766,297272,1156000,7746774,2752990
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,24129,454761,133480,3729222,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,263630,197320,598500,6519847,1229000
106,私立,技專校院,1078,致理學校財團法人致理科技大學,329205,145000,353417,16366160,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,966576,184000,1019000,1627812,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,168000,185000,156000,5469057,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,112787,268000,988000,2504131,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,448800,352000,113900,1003382,29000
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,2630,282000,621000,3904825,0
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,215200,0,6000,0,0
106,私立,技專校院,1148,大漢技術學院,244848,18000,9900,566742,0
106,私立,技專校院,1159,和春技術學院,25143,113000,135700,0,0
106,私立,技專校院,1166,亞東技術學院,744520,170000,52800,5269613,320000
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,0,315000,478500,0,12000
106,私立,一般大學,1176,稻江科技暨管理學院,16300,20000,270000,0,0
106,私立,技專校院,1182,蘭陽技術學院,32931,0,526500,608725,0
106,私立,技專校院,1183,黎明技術學院,72000,72500,420000,1544963,0
106,私立,技專校院,1185,經國管理暨健康學院,3043593,141000,241000,475686,340000
106,私立,技專校院,1188,大同技術學院,438000,127116,115200,367934,0
106,私立,技專校院,1192,臺灣觀光學院,0,0,32000,0,0
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,216000,70000,28600,695246,377700
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,0,15000,5000,915835,0
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,1938421,110000,3268100,1226176,0
106,私立,技專校院,1283,仁德醫護管理專科學校,624000,294000,1403500,4420858,0
106,私立,技專校院,1284,樹人醫護管理專科學校,8738874,386500,202500,2410732,0
106,私立,技專校院,1285,慈惠醫護管理專科學校,1422000,277000,2215167,0,0
106,私立,技專校院,1286,耕莘健康管理專科學校,2879866,480600,3301633,0,0
106,私立,技專校院,1287,敏惠醫護管理專科學校,1608252,320000,731300,3637802,0
106,私立,技專校院,1289,育英醫護管理專科學校,214556,260000,61600,924217,0
106,私立,技專校院,1290,崇仁醫護管理專科學校,878129,180000,1006200,144679,0
106,私立,技專校院,1291,聖母醫護管理專科學校,1525715,45000,1197800,292726,0
106,私立,技專校院,1292,新生醫護管理專科學校,282000,281466,1712700,640140,0
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,0,2000,121200,0,391200
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,435601,0,0,0,0
106,私立,宗教研修學院,1R06,一貫道崇德學院,0,0,0,0,1134000
106,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,0,0,0,0,30
106,公立,一般大學,3002,臺北市立大學,6009600,207000,343500,4555040,702000
107,公立,一般大學,0001,國立政治大學,10554000,569500,1566686,50286690,79569999
107,公立,一般大學,0002,國立清華大學,1464000,765000,1393340,17949009,128705921
107,公立,一般大學,0003,國立臺灣大學,32448000,358000,2590090,0,190069712
107,公立,一般大學,0004,國立臺灣師範大學,20508000,1303369,1153197,0,37080911
107,公立,一般大學,0005,國立成功大學,1452000,765000,730494,9330851,65729942
107,公立,一般大學,0006,國立中興大學,24978000,850000,398605,0,85788729
107,公立,一般大學,0007,國立陽明交通大學,3936000,982060,1166640,11029094,96418195
107,公立,一般大學,0008,國立中央大學,2436000,400000,0,21924365,33988189
107,公立,一般大學,0009,國立中山大學,179200,630000,305350,51297372,53613475
