,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,總計,男,女
,101,公立,一般大學,7,國立交通大學,520123,電信工程研究所,碩士班(日間),3,2,1
,101,公立,一般大學,7,國立交通大學,520123,電信工程研究所,博士班,1,1,0
,101,公立,一般大學,7,國立交通大學,520170,電控工程研究所,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,520601,工業工程與管理學系,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,520901,環境工程研究所,碩士班(日間),2,2,0
,101,公立,一般大學,7,國立交通大學,840102,運輸科技與管理學系,碩士班(日間),1,1,0
,101,公立,一般大學,7,國立交通大學,840110,交通運輸研究所,博士班,2,1,1
,101,公立,一般大學,8,國立中央大學,210701,藝術學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,220201,中國文學系,碩士班(日間),2,1,1
,101,公立,一般大學,8,國立中央大學,220901,歷史研究所,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,221101,哲學研究所,碩士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,310101,經濟學系,碩士班(日間),3,1,2
,101,公立,一般大學,8,國立中央大學,340301,企業管理學系,碩士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,340501,財務金融學系,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,349919,人力資源管理研究所,碩士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,440401,大氣科學學系大氣物理碩士班,碩士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,460201,統計研究所,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,520101,電機工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,520106,光電科學與工程學系,碩士班(日間),1,1,0
,101,公立,一般大學,8,國立中央大學,520114,資訊工程學系,碩士班(日間),4,3,1
,101,公立,一般大學,8,國立中央大學,520126,通訊工程學系,碩士班(日間),2,1,1
