學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,一年級學生申請學校宿舍人數(A),一年級學生實際住宿情形-自有宿舍住宿人數-小計(B),一年級學生實際住宿情形-自有宿舍住宿人數-男,一年級學生實際住宿情形-自有宿舍住宿人數-女,一年級學生實際住宿情形-學校租賃宿舍住宿人數-小計(C),一年級學生實際住宿情形-學校租賃宿舍住宿人數-男,一年級學生實際住宿情形-學校租賃宿舍住宿人數-女,一年級學生校外租屋人數(107學年度新增)-小計(D),一年級學生校外租屋人數(107學年度新增)-男,一年級學生校外租屋人數(107學年度新增)-女,學校提供一年級學生實際住宿之比率(%)E=(B+C)/（B+C+D）
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,臺南市,2174,1972,1028,944,0,0,0,432,289,143,82.03
108,私立,技專校院,1024,崑山科技大學,臺南市,1039,1039,574,465,0,0,0,612,314,298,62.93
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,臺南市,1975,1842,661,1181,57,43,14,368,204,164,83.77
108,私立,技專校院,1026,樹德科技大學,高雄市,1270,1270,488,782,0,0,0,133,58,75,90.52
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,花蓮縣,690,690,247,443,0,0,0,175,72,103,79.77
108,私立,一般大學,1028,臺北醫學大學,臺北市,568,521,221,300,28,10,18,30,16,14,94.82
108,私立,一般大學,1029,中山醫學大學,臺中市,993,851,256,595,0,0,0,187,80,107,81.98
108,私立,技專校院,1030,龍華科技大學,桃園市,565,464,304,160,0,0,0,137,112,25,77.20
108,私立,技專校院,1031,輔英科技大學,高雄市,999,999,195,804,0,0,0,252,37,215,79.86
108,私立,技專校院,1032,明新學校財團法人明新科技大學,新竹縣,632,609,369,240,0,0,0,104,63,41,85.41
108,私立,一般大學,1033,長榮大學,臺南市,1707,1625,695,930,0,0,0,52,22,30,96.90
108,私立,技專校院,1034,弘光科技大學,臺中市,540,64,0,64,476,148,328,"1,052",211,841,33.92
108,私立,一般大學,1035,中國醫藥大學,臺中市,382,366,176,190,0,0,0,86,52,34,80.97
108,私立,一般大學,1035,中國醫藥大學,雲林縣,613,607,173,434,0,0,0,4,1,3,99.35
108,私立,技專校院,1036,健行學校財團法人健行科技大學,桃園市,410,380,261,119,0,0,0,81,42,39,82.43
108,私立,技專校院,1037,正修學校財團法人正修科技大學,高雄市,860,476,250,226,213,132,81,274,154,120,71.55
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,桃園市,754,635,322,313,119,57,62,29,20,9,96.30
108,私立,一般大學,1039,玄奘大學,新竹市,414,414,167,247,0,0,0,86,52,34,82.80
108,私立,技專校院,1040,建國科技大學,彰化縣,421,384,259,125,0,0,0,38,25,13,91
108,私立,技專校院,1041,明志科技大學,新北市,1013,1013,740,273,0,0,0,0,0,0,100
108,私立,技專校院,1042,高苑科技大學,高雄市,404,404,239,165,0,0,0,4,3,1,99.02
108,私立,技專校院,1043,大仁科技大學,屏東縣,511,511,216,295,0,0,0,70,43,27,87.95
108,私立,技專校院,1044,聖約翰科技大學,新北市,173,173,110,63,0,0,0,49,31,18,77.93
108,私立,技專校院,1045,嶺東科技大學,臺中市,884,887,298,589,0,0,0,190,64,126,82.36
108,私立,技專校院,1046,中國科技大學,臺北市,0,0,0,0,0,0,0,144,69,75,0
108,私立,技專校院,1046,中國科技大學,新竹縣,230,230,85,145,0,0,0,21,11,10,91.63
108,私立,技專校院,1047,中臺科技大學,臺中市,671,460,199,261,0,0,0,248,68,180,64.97
108,私立,一般大學,1048,亞洲大學,臺中市,2216,1981,651,1330,0,0,0,25,8,17,98.75
108,私立,一般大學,1049,開南大學,桃園市,664,443,180,263,0,0,0,302,101,201,59.46
108,私立,一般大學,1050,佛光大學,宜蘭縣,782,686,255,431,96,68,28,2,0,2,99.74
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,臺南市,1708,918,145,773,254,108,146,552,224,328,67.98
108,私立,技專校院,1052,遠東科技大學,臺南市,431,431,283,148,0,0,0,50,33,17,89.60
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,新竹市,705,332,0,332,306,230,76,206,109,97,75.59
108,私立,技專校院,1054,景文科技大學,新北市,695,654,227,427,0,0,0,26,14,12,96.18
108,私立,技專校院,1055,中華醫事科技大學,臺南市,737,737,194,543,0,0,0,153,44,109,82.81
108,私立,技專校院,1056,東南科技大學,新北市,368,368,251,117,0,0,0,30,15,15,92.46
108,私立,技專校院,1057,德明財經科技大學,臺北市,305,246,55,191,59,44,15,40,23,17,88.41
108,私立,一般大學,1058,明道學校財團法人明道大學,彰化縣,387,314,161,153,73,55,18,14,9,5,96.51
108,私立,技專校院,1060,南開科技大學,南投縣,315,306,187,119,0,0,0,210,140,70,59.30
108,私立,技專校院,1061,中華學校財團法人中華科技大學,臺北市,123,123,84,39,0,0,0,0,0,0,100
108,私立,技專校院,1061,中華學校財團法人中華科技大學,新竹縣,209,209,162,47,0,0,0,30,25,5,87.45
108,私立,技專校院,1062,僑光科技大學,臺中市,631,439,143,296,0,0,0,291,118,173,60.14
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,苗栗縣,275,275,147,128,0,0,0,240,100,140,53.40
108,私立,技專校院,1064,美和學校財團法人美和科技大學,屏東縣,318,318,96,222,0,0,0,20,8,12,94.08
108,私立,技專校院,1065,吳鳳科技大學,嘉義縣,472,472,324,148,0,0,0,41,25,16,92.01
108,私立,技專校院,1066,環球學校財團法人環球科技大學,雲林縣,375,345,161,184,0,0,0,68,41,27,83.54
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,臺南市,126,126,60,66,0,0,0,0,0,0,100
108,私立,技專校院,1068,中州學校財團法人中州科技大學,彰化縣,137,137,90,47,0,0,0,30,19,11,82.04
108,私立,技專校院,1069,修平學校財團法人修平科技大學,臺中市,403,384,283,101,0,0,0,91,75,16,80.84
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,桃園市,1332,1332,126,1206,0,0,0,31,6,25,97.73
