學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,年齡組別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0005,國立成功大學,編制外,30歲至未滿35歲,5,0,0,0,0,0,0,1,4,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,35歲至未滿40歲,11,0,0,0,0,0,0,8,3,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,40歲至未滿45歲,12,0,0,0,0,0,2,7,3,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,45歲至未滿50歲,4,0,0,0,0,0,0,3,1,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,50歲至未滿55歲,4,0,0,0,0,1,0,3,0,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,55歲至未滿60歲,3,0,0,0,0,0,0,1,2,0,0,0,0,0
110,公立,一般大學,0005,國立成功大學,編制外,65歲以上,3,0,0,0,0,3,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,25歲至未滿30歲,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,30歲至未滿35歲,5,0,0,5,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,35歲至未滿40歲,61,0,16,45,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,40歲至未滿45歲,111,22,45,43,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制內,45歲至未滿50歲,123,58,43,17,0,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0006,國立中興大學,編制內,50歲至未滿55歲,157,90,43,17,2,0,0,0,0,0,0,0,0,5
110,公立,一般大學,0006,國立中興大學,編制內,55歲至未滿60歲,159,111,31,10,4,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0006,國立中興大學,編制內,60歲至未滿65歲,137,104,24,2,6,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0006,國立中興大學,編制內,65歲以上,28,25,3,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,30歲至未滿35歲,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,35歲至未滿40歲,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,40歲至未滿45歲,9,0,0,0,0,1,2,6,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,45歲至未滿50歲,13,0,0,0,0,0,3,10,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,50歲至未滿55歲,10,0,0,0,0,1,2,7,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,55歲至未滿60歲,13,0,0,0,0,1,5,7,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,60歲至未滿65歲,3,0,0,0,0,1,0,2,0,0,0,0,0,0
110,公立,一般大學,0006,國立中興大學,編制外,65歲以上,4,0,0,0,0,2,1,1,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,25歲至未滿30歲,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,30歲至未滿35歲,28,0,4,24,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,35歲至未滿40歲,88,4,24,60,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制內,40歲至未滿45歲,165,40,65,56,0,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0007,國立陽明交通大學,編制內,45歲至未滿50歲,216,99,86,27,0,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0007,國立陽明交通大學,編制內,50歲至未滿55歲,190,119,56,12,2,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0007,國立陽明交通大學,編制內,55歲至未滿60歲,203,157,33,2,5,0,0,0,0,0,0,1,0,5
110,公立,一般大學,0007,國立陽明交通大學,編制內,60歲至未滿65歲,163,133,22,2,5,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0007,國立陽明交通大學,編制內,65歲以上,38,37,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,30歲至未滿35歲,4,0,0,0,0,0,0,2,2,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,35歲至未滿40歲,9,0,0,0,0,0,0,7,2,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,40歲至未滿45歲,13,0,0,0,0,0,0,10,3,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,45歲至未滿50歲,13,0,0,0,0,1,4,7,1,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,50歲至未滿55歲,4,0,0,0,0,1,1,2,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,55歲至未滿60歲,5,0,0,0,0,0,0,4,1,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,60歲至未滿65歲,2,0,0,0,0,1,0,1,0,0,0,0,0,0
110,公立,一般大學,0007,國立陽明交通大學,編制外,65歲以上,14,0,0,0,0,14,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,30歲至未滿35歲,13,0,1,12,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,35歲至未滿40歲,42,1,12,29,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,40歲至未滿45歲,100,23,41,36,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,45歲至未滿50歲,107,50,45,8,3,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0008,國立中央大學,編制內,50歲至未滿55歲,114,71,29,8,4,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0008,國立中央大學,編制內,55歲至未滿60歲,110,83,20,4,1,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0008,國立中央大學,編制內,60歲至未滿65歲,109,86,21,1,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制內,65歲以上,27,26,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,30歲至未滿35歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,35歲至未滿40歲,4,0,0,0,0,0,0,1,3,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,40歲至未滿45歲,8,0,0,0,0,0,0,6,2,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,45歲至未滿50歲,5,0,0,0,0,0,1,4,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,50歲至未滿55歲,4,0,0,0,0,0,0,3,1,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,55歲至未滿60歲,2,0,0,0,0,0,0,0,2,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,60歲至未滿65歲,2,0,0,0,0,0,1,1,0,0,0,0,0,0
110,公立,一般大學,0008,國立中央大學,編制外,65歲以上,26,0,0,0,0,22,3,0,0,1,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,30歲至未滿35歲,9,0,0,9,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,35歲至未滿40歲,66,1,13,52,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,40歲至未滿45歲,108,16,43,49,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,45歲至未滿50歲,91,36,32,23,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,50歲至未滿55歲,76,49,19,5,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0009,國立中山大學,編制內,55歲至未滿60歲,65,49,10,5,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0009,國立中山大學,編制內,60歲至未滿65歲,86,66,15,4,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0009,國立中山大學,編制內,65歲以上,34,30,4,0,0,0,0,0,0,0,0,0,0,0
