學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,學位別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,技專校院,0047,國立高雄餐旅大學,編制外,副學士,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110,公立,技專校院,0047,國立高雄餐旅大學,編制外,博士,15,1,0,0,0,0,0,13,1,0,0,0,0,0
110,公立,技專校院,0047,國立高雄餐旅大學,編制外,碩士,12,0,0,0,0,0,0,2,5,3,0,1,1,0
110,公立,一般大學,0048,國立金門大學,編制內,學士,1,0,0,0,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0048,國立金門大學,編制內,博士,125,31,72,21,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0048,國立金門大學,編制內,碩士,6,1,4,0,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0048,國立金門大學,編制外,學士,1,0,0,0,0,0,0,0,0,0,0,0,1,0
110,公立,一般大學,0048,國立金門大學,編制外,博士,14,0,0,0,0,0,1,13,0,0,0,0,0,0
110,公立,一般大學,0048,國立金門大學,編制外,碩士,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0049,國立臺灣體育運動大學,編制內,學士,11,0,1,0,0,0,0,0,0,0,1,0,0,9
110,公立,一般大學,0049,國立臺灣體育運動大學,編制內,博士,63,19,32,12,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0049,國立臺灣體育運動大學,編制內,碩士,49,6,9,6,6,0,0,0,0,1,2,3,0,16
110,公立,一般大學,0049,國立臺灣體育運動大學,編制外,博士,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0049,國立臺灣體育運動大學,編制外,碩士,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,技專校院,0050,國立臺中科技大學,編制內,學士,6,0,1,0,0,0,0,0,0,0,0,1,0,4
110,公立,技專校院,0050,國立臺中科技大學,編制內,博士,279,93,121,65,0,0,0,0,0,0,0,0,0,0
110,公立,技專校院,0050,國立臺中科技大學,編制內,碩士,81,7,24,30,14,0,0,0,0,0,0,0,0,6
110,公立,技專校院,0050,國立臺中科技大學,編制外,學士,2,0,0,0,0,0,0,0,0,0,0,0,0,2
110,公立,技專校院,0050,國立臺中科技大學,編制外,博士,26,0,0,0,0,0,1,25,0,0,0,0,0,0
110,公立,技專校院,0050,國立臺中科技大學,編制外,碩士,24,0,0,0,0,0,0,0,1,0,0,0,0,23
110,公立,技專校院,0051,國立臺北商業大學,編制內,學士,4,0,0,0,1,0,0,0,0,0,0,0,0,3
110,公立,技專校院,0051,國立臺北商業大學,編制內,博士,164,53,77,34,0,0,0,0,0,0,0,0,0,0
110,公立,技專校院,0051,國立臺北商業大學,編制內,碩士,40,2,9,4,15,0,0,0,0,0,0,0,0,10
110,公立,技專校院,0051,國立臺北商業大學,編制外,博士,10,0,0,0,0,0,0,9,1,0,0,0,0,0
110,公立,技專校院,0051,國立臺北商業大學,編制外,碩士,2,0,0,0,0,0,0,0,1,0,0,1,0,0
110,公立,一般大學,0052,國立屏東大學,編制內,學士,2,0,0,0,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0052,國立屏東大學,編制內,博士,318,89,138,90,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0052,國立屏東大學,編制內,碩士,29,3,4,7,10,0,0,0,0,0,1,0,0,4
110,公立,一般大學,0052,國立屏東大學,編制外,博士,4,0,0,0,0,0,0,4,0,0,0,0,0,0
110,公立,一般大學,0052,國立屏東大學,編制外,碩士,2,0,0,0,0,0,0,1,1,0,0,0,0,0
110,公立,技專校院,0053,國立高雄科技大學,編制內,學士,18,4,4,0,0,0,0,0,0,0,0,0,0,10
110,公立,技專校院,0053,國立高雄科技大學,編制內,博士,717,339,261,116,0,0,0,0,0,1,0,0,0,0
110,公立,技專校院,0053,國立高雄科技大學,編制內,碩士,78,3,17,22,22,0,0,0,0,0,2,2,1,9
110,公立,技專校院,0053,國立高雄科技大學,編制外,博士,35,0,0,0,0,1,5,27,2,0,0,0,0,0
110,公立,技專校院,0053,國立高雄科技大學,編制外,碩士,12,0,0,0,0,0,0,1,10,0,0,0,1,0
110,公立,技專校院,0144,國立臺灣戲曲學院,編制內,學士,2,1,0,0,0,0,0,0,0,0,1,0,0,0
