學年度,設立別 ,學校類別,學校代碼,學校名稱,中文圖書總類,哲學類,宗教類,科學類,應用科學類,社會科學類,史地類(含世界史地類),語言文學類,藝術類,外文圖書,,線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),,報紙(種),期刊中日文(種),西文(種),圖書閱覽座位數,借書(含視聽資料及其他館藏)人次,圖書(含視聽資料及其他館藏)借閱冊數,線上及光碟資料庫(含電子書及電子期刊)檢索人次
101,私立,技專校院,1056,東南科技大學,10297,12934,3409,27256,45877,27182,13690,34546,13497,27171,5192,113,0,1556,18963,7781,7,543,44,606,19630,47803,45050
101,私立,技專校院,1057,德明財經科技大學,18612,12570,2605,20934,35035,53568,17635,37307,12433,28399,29374,243,10,60180,69669,13037,12,792,328,676,79234,113765,222440
101,私立,技專校院,1060,南開科技大學,8989,10684,3071,17960,32631,25388,17432,40248,14166,20054,18075,128,7,30193,209427,11792,16,525,188,630,18302,53141,105933
101,私立,技專校院,1061,中華科技大學,7041,7871,3221,20011,38248,20930,10756,25462,6958,48776,5826,40,0,37334,91755,3877,10,656,107,787,16003,23118,51623
101,私立,技專校院,1062,僑光科技大學,16187,7884,2627,16155,29189,41641,12992,26980,6243,31118,11103,66,7,78760,113423,8550,12,892,304,676,75834,140891,163999
101,私立,技專校院,1063,育達科技大學,8216,14617,4508,20311,45417,63094,20686,58188,12787,39065,6736,75,0,18793,126483,16439,7,813,115,816,64251,128822,34159
101,私立,技專校院,1064,美和科技大學,14638,12152,4081,19435,50690,47618,16073,41361,13391,33380,0,66,0,472,10639,14156,6,501,211,750,54371,209875,1529775
101,私立,技專校院,1065,吳鳳科技大學,5419,10572,3034,28909,41635,28471,14619,38235,13159,35647,5892,93,0,48036,44913,7697,13,643,130,393,12511,44716,38012
101,私立,技專校院,1066,環球科技大學,8505,13901,4126,20627,40388,42320,17745,46371,23853,40018,0,86,0,39644,37324,9133,9,432,96,495,30321,124701,27097
101,私立,技專校院,1068,中州科技大學,6648,8739,2998,37801,65506,26480,9754,58421,51298,25464,7644,38,0,3916,46041,9668,14,751,89,580,12026,110820,26259
101,私立,技專校院,1069,修平科技大學,7056,11368,3526,21625,60230,28714,16702,39822,8866,30295,751,179,114,9755,32738,17974,19,799,185,710,14580,49518,35448
101,私立,技專校院,1070,長庚科技大學,3202,17475,2725,17490,55927,24377,10957,40634,9970,36228,0,51,0,21068,15285,27515,17,494,204,822,14643,146429,581335
101,私立,技專校院,1071,臺北城市科技大學,9851,8443,1740,23657,42533,19220,11974,33951,8794,16493,18780,55,0,12417,72702,6507,10,899,159,1124,7624,19998,22087
101,私立,技專校院,1072,大華科技大學,15417,7320,3402,29582,46994,36287,15312,29248,14025,23893,0,116,41,9597,70898,15426,11,214,133,1015,9722,29067,322653
101,私立,技專校院,1073,醒吾科技大學,8120,11087,4578,13912,31622,35729,19572,38185,10758,22089,6117,46,4,33225,70254,5786,9,404,359,1191,14711,45490,33580
101,私立,技專校院,1147,文藻外語學院,10989,9045,5149,7781,13289,23268,16147,38784,10570,133370,0,170,0,43222,395450,54756,39,808,492,859,81862,260228,577974
101,私立,技專校院,1148,大漢技術學院,5515,7141,2766,19438,36190,34382,12713,22208,6811,14301,5392,66,0,7,3,4376,3,202,0,254,5823,18102,13142
101,私立,技專校院,1150,慈濟技術學院,6293,15766,9697,15783,52700,38198,15325,39638,12811,33634,8737,122,0,12846,18380,24219,10,389,217,430,41993,111616,56315
101,私立,技專校院,1154,永達技術學院,4958,5691,2278,31295,37041,21808,12518,28150,5524,15996,0,94,0,4,9401,3411,8,101,28,330,3550,4150,4520
101,私立,技專校院,1159,和春技術學院,4147,11955,5187,22538,34728,29576,13203,54903,9872,14602,5311,93,5,16334,46686,9714,11,623,74,469,8066,23003,25675
101,私立,技專校院,1164,致理技術學院,10266,10994,2919,18897,33074,50500,15148,43915,10158,28246,5502,142,5,24476,97408,13783,10,1160,419,686,64122,131597,74698
101,私立,技專校院,1166,亞東技術學院,19624,8792,2481,20911,44239,20358,12937,25356,9544,21247,16782,64,0,41864,148103,8981,16,427,156,755,12702,38588,81222
101,私立,技專校院,1168,桃園創新技術學院,9344,4738,2451,17502,36774,19209,8363,19500,11190,68958,0,80,0,24494,1741,7044,28,443,203,893,20782,46656,207840
101,私立,技專校院,1179,德霖技術學院,4362,4043,1877,19754,42866,32819,5667,24327,8075,24236,9176,94,0,4774,62868,6002,78,469,64,387,17637,44924,26034
101,私立,技專校院,1181,南榮技術學院,4313,6518,2625,23456,48073,19027,9645,29885,11702,23958,0,38,0,80,53209,3226,10,449,88,466,10271,52948,1670
101,私立,技專校院,1182,蘭陽技術學院,3462,9319,4208,18640,31414,20443,8735,29787,6878,14009,2201,21,0,15,67407,3454,7,692,35,807,2532,16089,315
101,私立,技專校院,1183,黎明技術學院,7998,8632,3058,21476,39877,17129,14865,21643,6421,25723,4911,26,0,4062,6450,9297,10,70,0,384,5802,12003,465
101,私立,技專校院,1184,東方設計學院,14888,7514,3621,21401,36142,20821,12788,34430,18983,28070,0,60,2,44,55796,17490,12,424,156,538,11355,35802,206167
