學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,02112037,設計學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,07151068,機電工程學系,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01131017,健康促進與衛生教育學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,01116079,學習科學學士學位學程,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,03142041,地理學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),16690,6900,
107,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,06131065,資訊工程學系,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,05191083,營養科學學士學位學程,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),16850,10530,
107,公立,一般大學,0004,國立臺灣師範大學,07141080,光電工程學士學位學程,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,07161081,車輛與能源工程學士學位學程,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),16850,10750,
107,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,學士班(日間),16850,10750,
