,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,教師總數,男,女,男,女,男,女,男,女,男,女,男,女,總計 ,男,女
,101,公立,一般大學,4,國立臺灣師範大學,工業教育學系,20,17,3,9,0,7,3,0,0,1,0,0,0,19,16,3
,101,公立,一般大學,4,國立臺灣師範大學,環境教育研究所,7,5,2,4,0,0,2,1,0,0,0,0,0,7,5,2
,101,公立,一般大學,4,國立臺灣師範大學,資訊教育研究所,7,4,3,4,2,0,0,0,1,0,0,0,0,7,4,3
,101,公立,一般大學,4,國立臺灣師範大學,體育學系,35,27,8,11,3,10,3,3,0,3,2,0,0,30,24,6
,101,公立,一般大學,4,國立臺灣師範大學,健康促進與衛生教育學系,13,7,6,6,3,0,1,1,2,0,0,0,0,13,7,6
,101,公立,一般大學,4,國立臺灣師範大學,特殊教育學系,19,5,14,3,8,1,4,1,1,0,0,0,1,18,5,13
,101,公立,一般大學,4,國立臺灣師範大學,教育政策與行政研究所,5,3,2,2,0,1,2,0,0,0,0,0,0,5,3,2
,101,公立,一般大學,4,國立臺灣師範大學,科技應用與人力資源發展學系,13,12,1,5,0,5,0,2,1,0,0,0,0,13,12,1
,101,公立,一般大學,4,國立臺灣師範大學,美術學系,24,17,7,13,6,2,1,1,0,0,0,1,0,23,16,7
,101,公立,一般大學,4,國立臺灣師範大學,音樂學系,36,12,24,10,10,2,11,0,2,0,1,0,0,35,12,23
,101,公立,一般大學,4,國立臺灣師範大學,民族音樂研究所,4,4,0,2,0,1,0,1,0,0,0,0,0,4,4,0
,101,公立,一般大學,4,國立臺灣師範大學,藝術史研究所,6,2,4,1,3,1,0,0,1,0,0,0,0,6,2,4
,101,公立,一般大學,4,國立臺灣師範大學,表演藝術研究所,6,5,1,3,0,0,0,0,1,0,0,2,0,4,3,1
,101,公立,一般大學,4,國立臺灣師範大學,臺灣語文學系,8,2,6,1,1,1,2,0,3,0,0,0,0,8,2,6
,101,公立,一般大學,4,國立臺灣師範大學,國文學系,51,19,32,12,13,4,12,1,1,1,4,1,2,43,17,26
,101,公立,一般大學,4,國立臺灣師範大學,應用華語文學系,10,4,6,0,2,2,3,2,0,0,0,0,1,9,4,5
,101,公立,一般大學,4,國立臺灣師範大學,英語學系,51,15,36,4,8,4,14,4,10,2,3,1,1,44,12,32
,101,公立,一般大學,4,國立臺灣師範大學,翻譯研究所,8,4,4,0,0,2,2,1,1,1,0,0,1,6,3,3
,101,公立,一般大學,4,國立臺灣師範大學,歷史學系,22,16,6,7,1,7,3,2,0,0,0,0,2,20,16,4
,101,公立,一般大學,4,國立臺灣師範大學,臺灣史研究所,5,2,3,0,0,2,3,0,0,0,0,0,0,5,2,3
,101,公立,一般大學,4,國立臺灣師範大學,設計學系,12,10,2,6,2,2,0,0,0,0,0,2,0,10,8,2
,101,公立,一般大學,4,國立臺灣師範大學,政治學研究所,6,6,0,6,0,0,0,0,0,0,0,0,0,6,6,0
,101,公立,一般大學,4,國立臺灣師範大學,地理學系,26,20,6,5,4,12,1,3,0,0,0,0,1,25,20,5
,101,公立,一般大學,4,國立臺灣師範大學,東亞學系,15,10,5,3,0,1,1,6,4,0,0,0,0,15,10,5
,101,公立,一般大學,4,國立臺灣師範大學,歐洲文化與觀光研究所,5,4,1,1,0,1,0,2,1,0,0,0,0,5,4,1
,101,公立,一般大學,4,國立臺灣師範大學,全球經營與策略研究所,5,2,3,1,0,1,3,0,0,0,0,0,0,5,2,3
,101,公立,一般大學,4,國立臺灣師範大學,大眾傳播研究所,7,4,3,4,0,0,2,0,1,0,0,0,0,7,4,3
,101,公立,一般大學,4,國立臺灣師範大學,圖書資訊學研究所,7,3,4,2,3,0,0,1,1,0,0,0,0,7,3,4
,101,公立,一般大學,4,國立臺灣師範大學,圖文傳播學系,11,8,3,5,1,1,0,1,1,1,1,0,0,9,7,2
,101,公立,一般大學,4,國立臺灣師範大學,企業管理學士學位學程,5,3,2,1,0,2,0,0,2,0,0,0,0,5,3,2
,101,公立,一般大學,4,國立臺灣師範大學,管理研究所,6,3,3,2,0,1,2,0,1,0,0,0,0,6,3,3
,101,公立,一般大學,4,國立臺灣師範大學,國際人力資源發展研究所,5,2,3,0,1,2,0,0,2,0,0,0,0,5,2,3
,101,公立,一般大學,4,國立臺灣師範大學,管理學院,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,4,國立臺灣師範大學,生命科學系,34,25,9,12,3,6,1,3,3,1,2,3,0,28,21,7
,101,公立,一般大學,4,國立臺灣師範大學,化學系,29,22,7,11,1,7,1,3,2,0,0,1,3,25,21,4
