學年度,設立別,學校類別,學校統計處代碼,學校名稱,兼任教師數-教師總數,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上總人數,兼任助理教授以上總人數男,兼任助理教授以上總人數女,兼任講師以上總人數,兼任講師以上總人數男,兼任講師以上總人數女
106,私立,一般大學,1014,義守大學,370,250,120,12,0,9,0,55,19,174,101,0,0,95,76,19,370,250,120
106,私立,一般大學,1015,世新大學,433,285,148,29,5,42,12,70,41,144,90,0,0,199,141,58,433,285,148
106,私立,一般大學,1016,銘傳大學,595,385,210,30,4,46,10,110,47,199,149,0,0,247,186,61,595,385,210
106,私立,一般大學,1017,實踐大學,704,425,279,21,7,56,26,123,49,225,197,0,0,282,200,82,704,425,279
106,私立,技專校院,1018,朝陽科技大學,558,362,196,14,0,26,5,73,34,249,157,0,0,152,113,39,558,362,196
106,私立,一般大學,1019,高雄醫學大學,128,66,62,4,2,9,2,23,26,30,32,0,0,66,36,30,128,66,62
106,私立,一般大學,1020,南華大學,264,139,125,6,5,5,0,31,29,97,91,0,0,76,42,34,264,139,125
106,私立,一般大學,1021,真理大學,161,87,74,8,2,19,1,16,19,44,52,0,0,65,43,22,161,87,74
106,私立,一般大學,1022,大同大學,163,123,40,22,1,17,3,37,13,47,23,0,0,93,76,17,163,123,40
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,341,187,154,6,1,13,4,47,24,121,125,0,0,95,66,29,341,187,154
106,私立,技專校院,1024,崑山科技大學,265,203,62,16,1,11,1,52,6,124,54,0,0,87,79,8,265,203,62
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,322,184,138,6,1,8,2,42,14,128,121,0,0,73,56,17,322,184,138
106,私立,技專校院,1026,樹德科技大學,388,217,171,5,0,13,4,49,20,150,147,0,0,91,67,24,388,217,171
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,408,332,76,44,3,72,5,95,27,121,41,0,0,246,211,35,408,332,76
106,私立,一般大學,1028,臺北醫學大學,292,165,127,29,4,23,12,46,30,67,81,0,0,144,98,46,292,165,127
106,私立,一般大學,1029,中山醫學大學,229,138,91,28,8,16,5,39,7,55,71,0,0,103,83,20,229,138,91
106,私立,技專校院,1030,龍華科技大學,358,242,116,4,0,9,4,63,24,166,88,0,0,104,76,28,358,242,116
106,私立,技專校院,1031,輔英科技大學,164,73,91,2,0,11,2,24,15,36,74,0,0,54,37,17,164,73,91
106,私立,技專校院,1032,明新學校財團法人明新科技大學,325,199,126,4,0,8,4,46,16,141,106,0,0,78,58,20,325,199,126
106,私立,一般大學,1033,長榮大學,313,191,122,24,2,19,6,63,34,85,80,0,0,148,106,42,313,191,122
106,私立,技專校院,1034,弘光科技大學,472,269,203,15,1,12,7,97,43,145,152,0,0,175,124,51,472,269,203
106,私立,一般大學,1035,中國醫藥大學,304,222,82,46,4,38,12,77,32,61,34,0,0,209,161,48,304,222,82
106,私立,技專校院,1036,健行學校財團法人健行科技大學,235,143,92,5,0,8,1,42,17,88,74,0,0,73,55,18,235,143,92
106,私立,技專校院,1037,正修學校財團法人正修科技大學,545,343,202,9,1,27,2,90,30,217,169,0,0,159,126,33,545,343,202
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,342,212,130,1,0,10,0,41,10,160,120,0,0,62,52,10,342,212,130
106,私立,一般大學,1039,玄奘大學,172,115,57,5,1,5,1,36,18,69,37,0,0,66,46,20,172,115,57
106,私立,技專校院,1040,建國科技大學,222,152,70,3,0,3,1,30,11,116,58,0,0,48,36,12,222,152,70
