學年度,設立別,學校類別,學校統計處代碼,學校名稱,各項資本支出情形-機械儀器及設備,各項資本支出情形-圖書及博物,各項資本支出情形-無形資產,各項資本支出情形-土地及土地改良物,各項資本支出情形-房屋及建築,各項資本支出情形-其他動產及不動產,各項資本支出情形-合計
106,私立,一般大學,1035,中國醫藥大學,173289,32093,22386,6326237,40092,19556,6613653
106,私立,技專校院,1036,健行學校財團法人健行科技大學,127821,6715,15546,530,129582,88493,368687
106,私立,技專校院,1037,正修學校財團法人正修科技大學,154032,8686,7447,3750,15241,101544,290700
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,49315,5339,5006,0,354527,1528,415715
106,私立,一般大學,1039,玄奘大學,23953,2053,3421,468,0,8336,38231
106,私立,技專校院,1040,建國科技大學,44179,7354,5906,880,9858,17719,85896
106,私立,技專校院,1041,明志科技大學,73328,2462,19439,0,86361,50974,232564
106,私立,技專校院,1042,高苑科技大學,32972,3570,3766,0,3572,3046,46926
106,私立,技專校院,1043,大仁科技大學,30685,3143,4523,0,0,15,38366
106,私立,技專校院,1044,聖約翰科技大學,21968,3687,2417,234,10151,10416,48873
106,私立,技專校院,1045,嶺東科技大學,68610,10865,3713,3141,230029,62896,379254
106,私立,技專校院,1046,中國科技大學,81890,2745,19536,0,571,8241,112983
106,私立,技專校院,1047,中臺科技大學,23961,8677,2589,0,0,21939,57166
106,私立,一般大學,1048,亞洲大學,62963,14705,5465,0,186309,14163,283605
106,私立,一般大學,1049,開南大學,9341,5180,0,0,0,1022,15543
106,私立,一般大學,1050,佛光大學,27362,9949,9915,2100,0,50,49376
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,62966,11469,7947,6145,3068,20065,111660
106,私立,技專校院,1052,遠東科技大學,60004,4865,7818,0,0,31,72718
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,34975,1450,6228,2113,71667,13353,129786
106,私立,技專校院,1054,景文科技大學,13034,1686,8242,715,8463,23763,55903
106,私立,技專校院,1055,中華醫事科技大學,40016,13007,1347,15775,3151,8586,81882
106,私立,技專校院,1056,東南科技大學,36054,2207,2946,0,11539,2111,54857
106,私立,技專校院,1057,德明財經科技大學,31795,3561,10584,0,2464,10003,58407
106,私立,一般大學,1058,明道學校財團法人明道大學,17130,302,2494,677,13851,7133,41587
106,私立,技專校院,1060,南開科技大學,26322,3939,3843,0,22000,14556,70660
106,私立,技專校院,1061,中華學校財團法人中華科技大學,49192,2487,0,1900,30353,6986,90918
106,私立,技專校院,1062,僑光科技大學,33537,8241,5593,0,0,46843,94214
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,13241,1591,2329,0,6275,1928,25364
106,私立,技專校院,1064,美和學校財團法人美和科技大學,33287,3274,4512,0,0,7551,48624
106,私立,技專校院,1065,吳鳳科技大學,27311,5543,2565,981,2303,5237,43940
106,私立,技專校院,1066,環球學校財團法人環球科技大學,48779,6333,13679,137,102592,4079,175599
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,12536,1048,1368,0,1434,75,16461
106,私立,技專校院,1068,中州學校財團法人中州科技大學,20919,1002,2635,0,0,1380,25936
106,私立,技專校院,1069,修平學校財團法人修平科技大學,23581,7313,4173,792,0,19893,55752
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,24545,7776,8885,0,19781,10896,71883
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,54190,5067,3788,0,54017,12476,129538
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,17554,1938,861,0,925,367,21645
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,17896,3750,5732,0,64614,24658,116650
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,5120,738,723,0,0,525,7106
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,48827,10892,8524,416,103214,2727,174600
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,20929,2982,6190,0,1245,0,31346
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,12993,10410,2015,30703,0,28935,85056
106,私立,技專校院,1078,致理學校財團法人致理科技大學,40923,11898,22874,0,20193,15296,111184
106,私立,一般大學,1079,康寧學校財團法人康寧大學,17034,1830,1380,0,20951,7887,49082
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,26855,3867,1410,0,25749,3867,61748
106,私立,技專校院,1081,東方學校財團法人東方設計大學,20930,4883,3245,0,2850,5096,37004
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,9013,1924,1193,880,18418,9087,40515
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,20732,2440,4905,0,18897,7631,54605
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,8822,404,116,2819,16916,5991,35068
106,私立,技專校院,1148,大漢技術學院,3035,269,359,199,4688,1055,9605
106,私立,技專校院,1159,和春技術學院,11529,782,0,0,0,110,12421
106,私立,技專校院,1166,亞東技術學院,91248,9263,14189,0,15484,16977,147161
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,19648,36,1161,0,0,2009,22854
106,私立,一般大學,1176,稻江科技暨管理學院,4589,2435,1880,0,0,5995,14899
106,私立,技專校院,1182,蘭陽技術學院,11750,964,382,0,0,670,13766
106,私立,技專校院,1183,黎明技術學院,23854,1035,1280,234,8583,2969,37955
106,私立,技專校院,1185,經國管理暨健康學院,23667,3700,1306,17446,10426,2576,59121
106,私立,技專校院,1188,大同技術學院,7670,505,4186,0,0,7689,20050
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,1793,445,805,0,0,635,3678
106,私立,技專校院,1192,臺灣觀光學院,2187,793,0,0,0,418,3398
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,15523,7793,2869,1560,460,3659,31864
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,2947,4926,144,0,0,2905,10922
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,21731,2484,3010,0,6999,17039,51263
106,私立,技專校院,1283,仁德醫護管理專科學校,24497,5304,9014,6400,0,11433,56648
106,私立,技專校院,1284,樹人醫護管理專科學校,40714,2871,3094,8795,33929,2033,91436
106,私立,技專校院,1285,慈惠醫護管理專科學校,48093,3100,1072,0,432,0,52697
106,私立,技專校院,1286,耕莘健康管理專科學校,23383,3793,4233,0,0,18623,50032
