學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,私立,一般大學,1012,大葉大學,是,學位論文(文憑送審),2,0,0,2,2,100
106,私立,一般大學,1013,華梵大學,是,專門著作,5,4,1,0,5,100
106,私立,一般大學,1013,華梵大學,是,應用科技(技術報告),1,1,0,0,1,100
106,私立,一般大學,1013,華梵大學,是,藝術作品(作品及成就),1,0,0,1,1,100
106,私立,一般大學,1014,義守大學,是,專門著作,32,17,13,2,32,100
106,私立,一般大學,1014,義守大學,是,應用科技(技術報告),2,2,0,0,2,100
106,私立,一般大學,1014,義守大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1015,世新大學,是,專門著作,13,3,6,0,9,69.23
106,私立,一般大學,1015,世新大學,是,藝術作品(作品及成就),1,0,1,0,1,100
106,私立,一般大學,1016,銘傳大學,是,專門著作,27,8,8,1,17,62.96
106,私立,一般大學,1016,銘傳大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1017,實踐大學,是,專門著作,17,3,5,0,8,47.06
106,私立,一般大學,1017,實踐大學,是,應用科技(技術報告),2,0,1,0,1,50
106,私立,一般大學,1017,實踐大學,是,藝術作品(作品及成就),6,0,3,1,4,66.67
106,私立,一般大學,1017,實踐大學,是,教學實務(技術報告),2,0,1,0,1,50
106,私立,一般大學,1017,實踐大學,是,學位論文(文憑送審),2,0,1,1,2,100
106,私立,一般大學,1019,高雄醫學大學,是,專門著作,39,8,18,1,27,69.23
106,私立,一般大學,1019,高雄醫學大學,是,學位論文(文憑送審),1,0,0,1,1,100
106,私立,一般大學,1020,南華大學,是,專門著作,8,4,4,0,8,100
106,私立,一般大學,1020,南華大學,是,應用科技(技術報告),1,0,1,0,1,100
106,私立,一般大學,1020,南華大學,是,教學實務(技術報告),1,0,1,0,1,100
106,私立,一般大學,1021,真理大學,否,專門著作,14,1,8,1,10,71.43
106,私立,一般大學,1022,大同大學,是,專門著作,5,1,4,0,5,100
106,私立,一般大學,1022,大同大學,是,學位論文(文憑送審),2,0,0,2,2,100
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,專門著作,0,3,7,0,10,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,應用科技(技術報告),0,0,0,0,0,0
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,是,教學實務(技術報告),0,0,0,1,1,0
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,是,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1026,樹德科技大學,否,專門著作,0,0,1,0,1,0
106,私立,技專校院,1026,樹德科技大學,否,應用科技(技術報告),0,0,4,0,4,0
106,私立,技專校院,1026,樹德科技大學,否,藝術作品(作品及成就),0,0,1,0,1,0
106,私立,技專校院,1026,樹德科技大學,否,教學實務(技術報告),0,1,0,0,1,0
106,私立,技專校院,1026,樹德科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,專門著作,13,4,6,1,11,84.62
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,是,教學實務(技術報告),1,0,1,0,1,100
106,私立,一般大學,1028,臺北醫學大學,是,專門著作,57,18,30,3,51,89.47
106,私立,一般大學,1028,臺北醫學大學,是,教學實務(技術報告),1,0,0,1,1,100
106,私立,一般大學,1029,中山醫學大學,是,專門著作,18,3,6,0,9,50
106,私立,技專校院,1030,龍華科技大學,否,專門著作,0,0,1,0,1,0
106,私立,技專校院,1030,龍華科技大學,否,應用科技(技術報告),0,1,0,0,1,0
106,私立,技專校院,1030,龍華科技大學,否,教學實務(技術報告),0,1,0,0,1,0
106,私立,技專校院,1031,輔英科技大學,否,專門著作,1,1,1,0,2,100
106,私立,技專校院,1031,輔英科技大學,否,應用科技(技術報告),1,0,0,0,0,0
106,私立,技專校院,1031,輔英科技大學,否,教學實務(技術報告),0,1,0,1,2,0
106,私立,技專校院,1031,輔英科技大學,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1032,明新學校財團法人明新科技大學,否,專門著作,1,1,0,0,1,100
106,私立,技專校院,1032,明新學校財團法人明新科技大學,否,應用科技(技術報告),1,0,0,0,0,0
106,私立,技專校院,1032,明新學校財團法人明新科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,一般大學,1033,長榮大學,是,專門著作,14,3,10,1,14,100
106,私立,一般大學,1033,長榮大學,是,藝術作品(作品及成就),2,1,0,1,2,100
106,私立,一般大學,1033,長榮大學,是,教學實務(技術報告),1,0,1,0,1,100
106,私立,一般大學,1033,長榮大學,是,學位論文(文憑送審),13,0,0,13,13,100
106,私立,技專校院,1034,弘光科技大學,是,專門著作,0,1,1,0,2,0
106,私立,技專校院,1034,弘光科技大學,是,應用科技(技術報告),0,0,1,0,1,0
106,私立,技專校院,1034,弘光科技大學,是,學位論文(文憑送審),0,0,0,1,1,0
