,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,僑生總計,男,女,港澳生總計,男,女
,101,公立,一般大學,1,國立政治大學,310401,民族學系,學士班(日間),2,1,1,2,0,2
,101,公立,一般大學,1,國立政治大學,310501,心理學系,學士班(日間),3,2,1,5,3,2
,101,公立,一般大學,1,國立政治大學,310501,心理學系,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,1,國立政治大學,310702,東亞研究所,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,310705,日本研究碩士學位學程,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,310801,公共行政學系,學士班(日間),3,2,1,2,1,1
,101,公立,一般大學,1,國立政治大學,310811,地政學系,學士班(日間),4,3,1,10,7,3
,101,公立,一般大學,1,國立政治大學,310811,地政學系,碩士班(日間),0,0,0,1,1,0
,101,公立,一般大學,1,國立政治大學,310905,外交學系,學士班(日間),4,0,4,2,2,0
,101,公立,一般大學,1,國立政治大學,311002,國家發展研究所,碩士班(日間),1,1,0,1,1,0
,101,公立,一般大學,1,國立政治大學,311003,勞工研究所,碩士班(日間),0,0,0,3,2,1
,101,公立,一般大學,1,國立政治大學,320102,傳播學士學位學程,學士班(日間),5,1,4,0,0,0
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,學士班(日間),11,3,8,4,0,4
,101,公立,一般大學,1,國立政治大學,320201,新聞學系,碩士班(日間),3,1,2,1,1,0
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,學士班(日間),8,0,8,2,0,2
,101,公立,一般大學,1,國立政治大學,320301,廣播電視學系,碩士班(日間),5,4,1,0,0,0
,101,公立,一般大學,1,國立政治大學,320603,圖書資訊與檔案學研究所,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,320802,廣告學系,學士班(日間),5,0,5,2,0,2
,101,公立,一般大學,1,國立政治大學,340105,智慧財產研究所,碩士班(日間),2,1,1,1,1,0
,101,公立,一般大學,1,國立政治大學,340201,會計學系,學士班(日間),3,0,3,2,1,1
,101,公立,一般大學,1,國立政治大學,340201,會計學系,碩士班(日間),1,0,1,0,0,0
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,學士班(日間),13,3,10,6,4,2
,101,公立,一般大學,1,國立政治大學,340301,企業管理學系,碩士班(日間),8,4,4,1,0,1
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,學士班(日間),10,7,3,4,2,2
,101,公立,一般大學,1,國立政治大學,340408,國際經營與貿易學系,碩士班(日間),5,1,4,1,1,0
,101,公立,一般大學,1,國立政治大學,340504,財務管理學系,學士班(日間),3,0,3,4,2,2
,101,公立,一般大學,1,國立政治大學,340505,金融學系,學士班(日間),4,2,2,1,1,0
,101,公立,一般大學,1,國立政治大學,340601,風險管理與保險學系,學士班(日間),4,4,0,1,1,0
