學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
110,公立,一般大學,0012,國立臺灣海洋大學,8.89,9.41,10.65,16,2
110,公立,一般大學,0013,國立中正大學,6.77,7.87,7.80,11.83,5.50
110,公立,一般大學,0014,國立高雄師範大學,8.89,9.76,10.88,10,4
110,公立,一般大學,0015,國立彰化師範大學,8.63,9.83,9.86,12.71,4
110,公立,一般大學,0017,國立臺北大學,9.26,9.16,9.37,14.25,9.33
110,公立,一般大學,0018,國立嘉義大學,10.83,12.08,12.71,14.06,2
110,公立,一般大學,0019,國立高雄大學,8.91,9.54,10.81,13.67,0
110,公立,一般大學,0020,國立東華大學,9.84,11.23,11.23,16.19,0
110,公立,一般大學,0021,國立暨南國際大學,7.96,9.30,9.70,16,0
110,公立,技專校院,0022,國立臺灣科技大學,6.67,8.86,8.63,13.88,4
110,公立,技專校院,0023,國立雲林科技大學,11.71,12.37,11.33,11.89,3.60
110,公立,技專校院,0024,國立屏東科技大學,9.96,11.50,12.81,13.68,2
110,公立,技專校院,0025,國立臺北科技大學,8.67,10.46,11.20,14.40,4.63
110,公立,一般大學,0028,國立臺北藝術大學,9.91,11.37,12.09,12.62,0
110,公立,一般大學,0029,國立臺灣藝術大學,10.16,10.76,12.39,11.75,0
110,公立,一般大學,0030,國立臺東大學,9.32,10.60,10.94,12.92,0
110,公立,一般大學,0031,國立宜蘭大學,10.88,12.42,12.20,12.38,5
110,公立,一般大學,0032,國立聯合大學,10.97,12.31,12.84,11.83,8
110,公立,技專校院,0033,國立虎尾科技大學,10.80,11.63,12.60,15.31,8
110,公立,一般大學,0035,國立臺南藝術大學,8.72,10.10,11.35,13,0
110,公立,一般大學,0036,國立臺南大學,10.88,11.25,11.34,0,0
110,公立,一般大學,0037,國立臺北教育大學,10.09,11.18,10.80,15.20,2
110,公立,一般大學,0039,國立臺中教育大學,12.17,12.67,12.64,14.25,2
110,公立,技專校院,0042,國立澎湖科技大學,9.57,10.42,13.84,15.09,8
110,公立,技專校院,0043,國立勤益科技大學,14.69,16.55,14.52,15.02,12.86
110,公立,一般大學,0044,國立體育大學,13.77,14.58,14.42,13.65,19.33
110,公立,技專校院,0046,國立臺北護理健康大學,10.66,11.88,11.78,15.19,18.85
110,公立,技專校院,0047,國立高雄餐旅大學,12.97,15.04,16.55,18.64,14.50
110,公立,一般大學,0048,國立金門大學,10.11,11.80,12.56,10.97,16
110,公立,一般大學,0049,國立臺灣體育運動大學,12.04,12.56,12.87,12.14,10.55
110,公立,技專校院,0050,國立臺中科技大學,11.20,12.53,13.02,12.87,6.06
110,公立,技專校院,0051,國立臺北商業大學,14.21,14.37,14.39,14.44,5.18
110,公立,一般大學,0052,國立屏東大學,9.35,10.96,9.80,12.77,2
110,公立,技專校院,0053,國立高雄科技大學,10.64,11.70,11.81,13.40,2.78
110,公立,技專校院,0144,國立臺灣戲曲學院,9.50,9.13,10,11,0
110,公立,技專校院,0221,國立臺南護理專科學校,7.56,11.01,13.55,15.45,9.34
110,公立,技專校院,0222,國立臺東專科學校,11.04,10.75,11.72,14.29,0
110,私立,一般大學,1001,東海大學,8.10,10.68,10.66,13.58,10.87
110,私立,一般大學,1002,輔仁大學,9.83,11.17,11.02,11.43,2.17
110,私立,一般大學,1003,東吳大學,9.22,10.46,8.60,12.24,4
110,私立,一般大學,1004,中原大學,8.30,10,10.52,7.93,2.25
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,8.54,9.99,10.27,11.06,6.84
110,私立,一般大學,1006,中國文化大學,8.82,10.13,11.09,11.18,8.50
110,私立,一般大學,1007,逢甲大學,9.49,12.90,11.67,13.58,6
110,私立,一般大學,1008,靜宜大學,7.96,9.45,9.57,11.56,2.64
110,私立,一般大學,1009,長庚大學,7.09,8.21,8.16,13.85,11
110,私立,一般大學,1010,元智大學,7.25,9.37,9.91,14.25,2.50
110,私立,一般大學,1011,中華大學學校財團法人中華大學,7.15,9.29,9.92,10.44,2
110,私立,一般大學,1012,大葉大學,6.86,8.90,10.27,12.30,2
110,私立,一般大學,1013,華梵大學,5.66,7.80,9.09,10.19,2
110,私立,一般大學,1014,義守大學,8.01,9.40,8.83,12.28,2
110,私立,一般大學,1015,世新大學,7.95,9.78,10.34,12.59,2
110,私立,一般大學,1016,銘傳大學,7.89,10.11,10.21,11.68,6.33
110,私立,一般大學,1017,實踐大學,9.77,10.59,11.73,11.87,2
110,私立,技專校院,1018,朝陽科技大學,8.52,10.99,11.31,12.15,0.50
110,私立,一般大學,1019,高雄醫學大學,4.75,7.24,7.09,5.90,4.08
110,私立,一般大學,1020,南華大學,8.70,10.82,10.99,12,0
110,私立,一般大學,1021,真理大學,8.35,9.46,10.77,11.73,0
110,私立,一般大學,1022,大同大學,8.66,10.25,10.41,12.11,10
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,9.39,10.96,11.07,12.07,1.80
110,私立,技專校院,1024,崑山科技大學,11.77,12.61,13.20,13.78,2
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,7,9.70,10.67,11.72,6.63
110,私立,技專校院,1026,樹德科技大學,10.02,10.74,11.41,12.08,4
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,7.49,8.49,8.41,10.62,0
110,私立,一般大學,1028,臺北醫學大學,4.09,4.29,3.19,0.94,4
110,私立,一般大學,1029,中山醫學大學,7.24,8.34,8.28,4.24,2
110,私立,技專校院,1030,龍華科技大學,7.08,10.14,12.48,13.74,3
110,私立,技專校院,1031,輔英科技大學,9.76,11.74,13.25,13.28,35.81
110,私立,技專校院,1032,明新學校財團法人明新科技大學,11.13,11.46,12.63,14.08,0
110,私立,一般大學,1033,長榮大學,8.16,9.61,10.20,12.03,7
110,私立,技專校院,1034,弘光科技大學,7.39,11.07,11.88,13.69,1.33
110,私立,一般大學,1035,中國醫藥大學,5.97,6.53,5.84,0.67,3
110,私立,技專校院,1036,健行學校財團法人健行科技大學,11.09,12.05,13.38,14.77,11
110,私立,技專校院,1037,正修學校財團法人正修科技大學,12.57,14.12,14.13,15.62,18.89
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,6.51,10.04,12.04,13.35,3
110,私立,一般大學,1039,玄奘大學,6.02,9.32,10.32,10.74,0
110,私立,技專校院,1040,建國科技大學,10.08,13.66,14.48,15.07,2
110,私立,技專校院,1041,明志科技大學,8.21,10.68,10.88,12.84,10.50
110,私立,技專校院,1042,高苑科技大學,9.80,10.08,11,11.55,0
110,私立,技專校院,1043,大仁科技大學,6.83,8.39,8.71,12.17,2
110,私立,技專校院,1044,聖約翰科技大學,10.92,11.33,12.26,13.33,2
110,私立,技專校院,1045,嶺東科技大學,9.79,11.29,12.06,13.06,2
110,私立,技專校院,1046,中國科技大學,5.16,8.94,10.78,12.26,4
110,私立,技專校院,1047,中臺科技大學,9.26,10.72,12.07,12.56,7.20
110,私立,一般大學,1048,亞洲大學,5.89,10.44,10.12,11.96,8
110,私立,一般大學,1049,開南大學,8.63,9.70,10.44,14.11,2
110,私立,一般大學,1050,佛光大學,6.99,8.81,9.33,14.67,2
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,9.33,11.10,12.70,13.85,2
110,私立,技專校院,1052,遠東科技大學,7.60,10.07,10.98,11.84,8
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,7.64,11.14,13.01,13.20,6.78
110,私立,技專校院,1054,景文科技大學,8.39,9.04,11.29,11.47,2
110,私立,技專校院,1055,中華醫事科技大學,8.47,10.92,12.17,18.69,34.22
110,私立,技專校院,1056,東南科技大學,10.23,11.15,11.78,14.98,2
110,私立,技專校院,1057,德明財經科技大學,9.50,11.19,11.62,11.89,0
110,私立,一般大學,1058,明道學校財團法人明道大學,5.72,7.11,10.09,10.75,3
110,私立,技專校院,1060,南開科技大學,9.38,11.70,13.29,14.75,3
110,私立,技專校院,1061,中華學校財團法人中華科技大學,10.78,12.63,14.55,16.04,2
110,私立,技專校院,1062,僑光科技大學,5.71,10.19,11.27,11.79,3
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,7.50,9.81,11.34,14.73,26
110,私立,技專校院,1064,美和學校財團法人美和科技大學,4.98,11.46,12.46,14.66,12.62
110,私立,技專校院,1065,吳鳳科技大學,9.30,12.65,12.87,15.84,4
110,私立,技專校院,1066,環球學校財團法人環球科技大學,7.04,9.12,11.22,11.70,2
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,5,8.71,11.59,6.85,2
110,私立,技專校院,1068,中州學校財團法人中州科技大學,6,11.08,13.11,14.03,0
110,私立,技專校院,1069,修平學校財團法人修平科技大學,9.96,12.90,15.67,15.32,2
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,7.01,9.35,9.21,13.22,15.11
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,6.83,9.67,11.37,11.68,1.43
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,1,8.93,11.93,12.65,0
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,6.85,10.59,11.99,12.90,0
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,8.43,10.21,11.97,13.53,3.33
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,9.80,11.73,12.15,14.35,2.67
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,6.67,9.82,11.28,12.76,16.24
110,私立,技專校院,1078,致理學校財團法人致理科技大學,6.36,10.06,10.17,9.58,9.33
110,私立,一般大學,1079,康寧學校財團法人康寧大學,6.55,9.68,12.72,13.56,13
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,8.13,11.57,14.56,16.09,6.50
110,私立,技專校院,1081,東方學校財團法人東方設計大學,11.50,14.93,15.82,16.17,3.50
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,7.48,9.25,10.84,12.15,0
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4.40,9.68,12.06,13.79,2.75
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,9.63,11,12.19,12.90,9
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,5.42,6.40,7.08,5.03,0
110,私立,技專校院,1148,大漢技術學院,4.29,13.76,12.18,14.11,0
110,私立,技專校院,1159,和春技術學院,7,9.57,10.30,12.58,0
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,11.10,10.73,15.35,15.39,1.67
110,私立,技專校院,1182,蘭陽技術學院,0,11.20,13.10,13.80,0
110,私立,技專校院,1183,黎明技術學院,7.66,9.43,11.82,12.65,4
110,私立,技專校院,1185,經國管理暨健康學院,5.50,12.61,14.43,14.90,8.55
110,私立,技專校院,1188,大同技術學院,5.50,13.50,13.67,15,3
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,5.22,6.25,6.99,7.15,0
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,6.33,7.20,8.09,0,0
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,5.33,10.30,11.07,9.72,10.97
110,私立,技專校院,1283,仁德醫護管理專科學校,5.52,11,12.65,16.05,31.43
110,私立,技專校院,1284,樹人醫護管理專科學校,1.50,8.80,9.87,12.43,9.98
110,私立,技專校院,1285,慈惠醫護管理專科學校,2,2,8.38,12.96,3.38
110,私立,技專校院,1286,耕莘健康管理專科學校,0,10.89,11.64,22.47,37.22
110,私立,技專校院,1287,敏惠醫護管理專科學校,7,7.40,12.11,13.55,9.63
110,私立,技專校院,1289,育英醫護管理專科學校,0,3.75,8.86,11.16,12.35
110,私立,技專校院,1291,聖母醫護管理專科學校,6,7.83,10.36,12.13,9.45
110,私立,技專校院,1292,新生醫護管理專科學校,0,6.25,12.58,13.07,7.93
110,私立,技專校院,1293,崇仁醫護管理專科學校,0,9,12.58,18.88,28.22
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,7.50,7.50,7.42,0,0
110,私立,宗教研修學院,1R03,臺北基督學院,0,0,8,9,0
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,5,4.67,8.17,0,0
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,8,6.80,7.17,0,0
110,私立,宗教研修學院,1R06,一貫道崇德學院,7,11.33,11,0,0
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,2.50,5.80,9.33,0,0
110,私立,宗教研修學院,1R08,中華福音神學研究學院,4,0,3.57,0,0
110,私立,宗教研修學院,1R09,唯心聖教學院,0,9,9,0,0
110,公立,一般大學,3002,臺北市立大學,11.61,12.18,11.61,11.50,4
