學年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師平均每週授課時數-教授,專任教師平均每週授課時數-副教授,專任教師平均每週授課時數-助理教授,專任教師平均每週授課時數-講師,專任教師平均每週授課時數-其他教師
107,私立,一般大學,1019,高雄醫學大學,5.10,7.15,7.19,6.72,4.98
107,私立,一般大學,1020,南華大學,9.53,11.63,11.95,13.20,0
107,私立,一般大學,1021,真理大學,8.03,9.32,10.45,12.07,3
107,私立,一般大學,1022,大同大學,8.65,9.59,9.66,12.95,12
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,9.80,10.70,10.91,12.55,2
107,私立,技專校院,1024,崑山科技大學,12.36,13.23,13.60,14.76,17.50
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,7.66,9.57,10.38,10.98,8.71
107,私立,技專校院,1026,樹德科技大學,9.76,11.09,11.41,11.16,2
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,5.61,7.73,8.13,9.38,4
107,私立,一般大學,1028,臺北醫學大學,3.70,4.09,3.35,0.64,3
107,私立,一般大學,1029,中山醫學大學,7.47,8.71,8.59,3.17,2.50
107,私立,技專校院,1030,龍華科技大學,8.50,9.38,11.22,12.92,3.25
107,私立,技專校院,1031,輔英科技大學,7.85,10.27,10.64,12.65,1.86
107,私立,技專校院,1032,明新學校財團法人明新科技大學,8.91,11.30,12.08,13.12,9.71
107,私立,一般大學,1033,長榮大學,8.25,10.46,11.34,11.77,7
107,私立,技專校院,1034,弘光科技大學,7.92,10.63,10.43,13.39,2.17
107,私立,一般大學,1035,中國醫藥大學,6.67,8.02,7.03,12,3
107,私立,技專校院,1036,健行學校財團法人健行科技大學,10.81,12.43,13.46,14.10,17.25
107,私立,技專校院,1037,正修學校財團法人正修科技大學,12.35,14.38,14.56,14.96,9.50
107,私立,技專校院,1038,萬能學校財團法人萬能科技大學,8.64,11.44,13.91,14.60,30.67
107,私立,一般大學,1039,玄奘大學,8.01,10.22,10.79,11.85,0
107,私立,技專校院,1040,建國科技大學,10.27,13.91,14.67,15.10,5
107,私立,技專校院,1041,明志科技大學,8.33,10.06,10.84,11.85,9.50
107,私立,技專校院,1042,高苑科技大學,7.88,9.93,11.54,12.90,6
107,私立,技專校院,1043,大仁科技大學,6.88,8.95,8.49,10.82,2
107,私立,技專校院,1044,聖約翰科技大學,8.17,9.49,11.31,12.58,3
107,私立,技專校院,1045,嶺東科技大學,10.05,11.42,12.18,13.86,11.60
107,私立,技專校院,1046,中國科技大學,8.78,9.47,12.03,12.89,4.80
107,私立,技專校院,1047,中臺科技大學,8.66,10.90,12.45,12.81,6.67
107,私立,一般大學,1048,亞洲大學,5.63,10.26,9.99,11.41,8.10
107,私立,一般大學,1049,開南大學,8.04,10.26,10.19,14.58,2
107,私立,一般大學,1050,佛光大學,6.09,8.56,9.61,13.56,2
107,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,10.49,11.53,13.89,13.89,4
107,私立,技專校院,1052,遠東科技大學,13.24,12.88,15.46,15.61,8
107,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,8.26,10.58,12.46,13.52,8.73
107,私立,技專校院,1054,景文科技大學,9.08,10.17,11.46,12.82,2
107,私立,技專校院,1055,中華醫事科技大學,8.05,10.86,11.34,12.14,5.38
107,私立,技專校院,1056,東南科技大學,9,9.88,12.07,13.92,2
107,私立,技專校院,1057,德明財經科技大學,8.84,11.23,11.89,12.17,0
107,私立,一般大學,1058,明道學校財團法人明道大學,4.93,8.18,10.30,13.20,0
107,私立,技專校院,1060,南開科技大學,8.83,11.63,12.65,14.25,2.25
107,私立,技專校院,1061,中華學校財團法人中華科技大學,10.22,11.41,13.74,13.69,6
107,私立,技專校院,1062,僑光科技大學,7.13,10.59,11.91,12.18,4.33
107,私立,技專校院,1063,廣亞學校財團法人育達科技大學,5.81,11.30,11.99,14.73,7.33
107,私立,技專校院,1064,美和學校財團法人美和科技大學,8.20,11.52,12.78,14.48,2.50
107,私立,技專校院,1065,吳鳳科技大學,9.88,12.28,13,16.06,4
107,私立,技專校院,1066,環球學校財團法人環球科技大學,9.19,11.87,12.20,12.95,4
107,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,6.50,9.32,13.02,16.58,2
107,私立,技專校院,1068,中州學校財團法人中州科技大學,8.75,12.21,14.98,14.50,0
107,私立,技專校院,1069,修平學校財團法人修平科技大學,10.77,11.95,14.16,15.77,2
107,私立,技專校院,1070,長庚學校財團法人長庚科技大學,5.90,9.95,11.90,12.71,4.20
107,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,10.87,11.08,12.21,12.93,2.38
107,私立,技專校院,1072,大華學校財團法人敏實科技大學,12.25,13.76,15.14,13.98,5
107,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,9.12,10.32,13.09,14.18,1
107,私立,技專校院,1074,南榮學校財團法人南榮科技大學,8,13.91,15.40,14.75,7
107,私立,技專校院,1075,文藻學校財團法人文藻外語大學,7.34,10.68,11.86,13.33,3.33
107,私立,技專校院,1076,華夏學校財團法人華夏科技大學,9.82,10.57,12.90,14.06,3.50
107,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,5.40,9.16,9.97,11.71,14.78
107,私立,技專校院,1078,致理學校財團法人致理科技大學,8.19,10.43,10.96,11.64,8
107,私立,一般大學,1079,康寧學校財團法人康寧大學,7.60,10.70,13.41,14.92,6
107,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,8,10.62,14.23,14.71,4
107,私立,技專校院,1081,東方學校財團法人東方設計大學,10.14,11.56,11.85,13.90,1.25
107,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,9.04,10.86,11.78,13.46,2
107,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,3,9.20,11.58,14.16,3.50
107,私立,一般大學,1125,中信學校財團法人中信金融管理學院,5.65,3.50,7.32,4.05,0
107,私立,技專校院,1148,大漢技術學院,15,14.32,14.31,14.73,1
107,私立,技專校院,1159,和春技術學院,9.33,12.31,14.90,15.41,2.50
107,私立,技專校院,1166,亞東技術學院,10.18,11.65,11.99,13.63,10.80
107,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,8.14,11.99,14.51,15.60,2.67
107,私立,一般大學,1176,稻江科技暨管理學院,0.66,11.37,15.02,15.29,2
107,私立,技專校院,1182,蘭陽技術學院,0,12.33,13.60,16.01,2
107,私立,技專校院,1183,黎明技術學院,6.36,9.20,11.27,12.15,1.33
107,私立,技專校院,1185,經國管理暨健康學院,0,9.85,12.55,13.73,3.80
107,私立,技專校院,1188,大同技術學院,10,12.77,13.79,13,1
107,私立,技專校院,1192,臺灣觀光學院,2,13.50,11.70,10.70,22
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,5.83,10.28,9.61,11.45,0
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,3.67,8.33,9.09,0,0
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,7.67,9.54,11.78,11.16,12.52
107,私立,技專校院,1283,仁德醫護管理專科學校,6.06,10,12.46,20.69,29.42
107,私立,技專校院,1284,樹人醫護管理專科學校,4,10,10.46,13.30,11.84
107,私立,技專校院,1285,慈惠醫護管理專科學校,0,3.50,10.42,14.55,3.50
107,私立,技專校院,1286,耕莘健康管理專科學校,0,14.82,14.91,17.57,11.69
107,私立,技專校院,1287,敏惠醫護管理專科學校,8,5.20,10.11,19.40,30.52
107,私立,技專校院,1289,育英醫護管理專科學校,0,6,11.89,12.59,13.28
107,私立,技專校院,1291,聖母醫護管理專科學校,0,7.43,10.14,12.57,2.50
107,私立,技專校院,1292,新生醫護管理專科學校,12,14.80,13.51,26.33,35.41
107,私立,技專校院,1293,崇仁醫護管理專科學校,4,10.84,12.53,13.42,10.91
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,5,8.33,6.57,0,0
107,私立,宗教研修學院,1R03,臺北基督學院,0,0,8.86,12,0
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,3.50,5,6.67,9,0
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,8.33,7.50,6.89,0,0
107,私立,宗教研修學院,1R06,一貫道崇德學院,9,9.67,10.50,0,0
