學年度,設立別,學校類別,學校統計處代碼,學校名稱,紙本圖書收藏冊數(冊)-中文紙本圖書-總類,紙本圖書收藏冊數(冊)-中文紙本圖書-哲學類,紙本圖書收藏冊數(冊)-中文紙本圖書-宗教類,紙本圖書收藏冊數(冊)-中文紙本圖書-自然科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-應用科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-社會科學類,紙本圖書收藏冊數(冊)-中文紙本圖書-史地類(含世界史地類),紙本圖書收藏冊數(冊)-中文紙本圖書-語言文學類,紙本圖書收藏冊數(冊)-中文紙本圖書-藝術類,紙本圖書收藏冊數(冊)-外文紙本圖書,期刊合訂本(未以紙本圖書編目)(冊),電子資料可使用量-線上資料庫(種),電子資料可使用量-光碟及其他類型資料庫(種),電子資料可使用量-電子期刊(種),電子資料可使用量-電子書(冊),視聽資料(件),現期書報(種)-報紙(種),現期書報(種)期刊-中日文(種),現期書報(種)期刊-西文(種),圖書館服務(人次)-圖書閱覽座位數,圖書館服務(人次)-借閱人次(僅含紙本圖書及非書資料),圖書館服務(人次)-借閱冊次(僅含紙本圖書及非書資料),圖書館服務(人次)-線上及光碟資料庫(含電子書及電子期刊)檢索人次
106,公立,技專校院,0144,國立臺灣戲曲學院,3257,8004,2520,3401,10436,12410,10053,37695,21173,8069,0,69,11,6278,15327,11391,11,129,10,220,1041,12936,5777
106,公立,技專校院,0221,國立臺南護理專科學校,4502,7421,1802,6182,20877,13658,9539,20039,4301,6069,4647,62,0,21645,10710,7245,4,164,17,152,4121,8118,105320
106,公立,技專校院,0222,國立臺東專科學校,4004,6208,1630,8467,24885,10035,6377,18177,7616,3641,82,19,116,13718,6211,1164,5,152,2,320,2904,7513,25536
106,私立,一般大學,1001,東海大學,104138,51920,24721,21645,53671,131984,100242,129163,37937,280848,130681,220,5,61092,691899,53916,16,782,220,1502,77011,192956,2254484
106,私立,一般大學,1002,輔仁大學,76410,43517,29351,27357,86507,147079,78962,130364,31938,398469,137620,475,3,60400,1725454,66286,16,1354,589,2278,97879,259649,6618310
106,私立,一般大學,1003,東吳大學,88254,27930,15468,15862,33359,148835,75806,115575,46507,326022,0,280,0,37439,1518379,42245,20,851,227,2406,93334,232318,2511621
106,私立,一般大學,1004,中原大學,17713,32709,25343,53117,108796,128573,37385,85022,40051,245272,0,256,38,63119,1931035,48795,9,1054,322,1562,95910,251798,2108423
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,86640,51035,16499,73528,116555,197909,109116,183045,38516,511917,0,548,28,68648,2564759,68719,25,1000,545,3173,144234,320893,715970
106,私立,一般大學,1006,中國文化大學,128722,58575,23142,63392,98835,174793,136067,168416,73256,450101,0,209,0,53140,373274,57928,13,481,315,1818,78583,232996,1510866
106,私立,一般大學,1007,逢甲大學,44095,31360,12295,51424,133109,125601,61452,99906,31556,171658,92485,284,28,49493,827480,47867,10,886,231,1358,76043,167930,2350628
106,私立,一般大學,1008,靜宜大學,69550,36772,19417,36257,69604,109574,58341,144325,35661,221602,0,341,10,25693,666303,44394,24,3149,1833,2192,60246,140520,1798457
106,私立,一般大學,1009,長庚大學,13899,11949,2271,15573,54590,37517,14590,34468,11101,215361,0,199,4,112132,256401,29633,14,263,60,1348,32081,133621,2654666
106,私立,一般大學,1010,元智大學,37065,20215,9754,26544,46469,54976,30886,96430,27952,95077,31447,136,0,50366,341040,34123,0,578,281,1100,51275,98504,762899
106,私立,一般大學,1011,中華大學學校財團法人中華大學,13824,12762,4745,26203,47158,38980,14534,40759,17768,75294,0,108,1,38813,224801,13395,9,354,21,895,13424,34154,372282
106,私立,一般大學,1012,大葉大學,32881,18594,6981,34074,70607,57390,21436,54323,21591,76913,40476,224,3,71726,442691,26219,13,624,163,1124,20891,60054,569837
106,私立,一般大學,1013,華梵大學,39835,18271,23490,12130,24425,27020,20227,34405,22253,54497,311,36,26,11198,100727,6852,8,1499,578,600,14436,52574,14755
106,私立,一般大學,1014,義守大學,26253,17335,5178,43663,70432,50714,19731,44350,14670,82352,42345,223,0,76810,699230,12690,11,481,69,3061,76715,130933,2875933
106,私立,一般大學,1015,世新大學,47366,27564,9056,19246,30218,89978,52004,100948,40675,123981,45691,271,137,49135,9383,26950,7,523,62,1040,58172,115439,968267
106,私立,一般大學,1016,銘傳大學,84263,44590,13192,49572,110179,141615,63930,141141,45684,180874,37068,213,4,66573,1355474,94176,17,1529,175,1788,92169,218345,1940539
106,私立,一般大學,1017,實踐大學,31257,19002,6321,19978,55129,71556,27116,60411,33593,85916,9426,137,20,30468,451495,27495,19,1459,684,838,63144,128519,382102
106,私立,技專校院,1018,朝陽科技大學,11045,26286,12639,42151,79373,93067,27649,82023,30225,111124,0,244,12,55675,973671,49891,21,653,120,1298,154217,248124,1118020
106,私立,一般大學,1019,高雄醫學大學,10571,11671,3310,11813,23525,24364,11574,31435,12854,57297,0,125,7,25578,89012,13891,5,97,11,1163,29715,74250,335235
106,私立,一般大學,1020,南華大學,18073,23027,22350,14911,34259,49486,31827,79887,31860,70599,22320,192,10,12609,1830693,38676,12,2617,1502,746,48397,138820,85211
