年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費,學校承接計畫經費-小計,學校承接計畫經費-政府部門資助,學校承接計畫經費-企業部門資助,學校承接計畫經費-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費
105,私立,技專校院,1068,中州學校財團法人中州科技大學,137,545449456,47090256,41962713,3667343,1460200,8.63,343724.50
105,私立,技專校院,1069,修平學校財團法人修平科技大學,225,800198129,101629974,86612966,15017008,0,12.70,451688.77
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,354,1728185040,193652875,115329383,16321641,62001851,11.21,547042.02
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,249,1062541844,44108231,28610470,13050884,2446877,4.15,177141.49
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,119,431105886,30295538,25781605,3331933,1182000,7.03,254584.35
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,244,968024620,71460066,44918963,21503449,5037654,7.38,292869.12
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,110,326724395,20524274,14387108,5172666,964500,6.28,186584.31
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,272,1097772145,110110072,95159740,5672120,9278212,10.03,404816.44
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,171,570000000,64618867,57319238,7219629,80000,11.34,377888.11
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,150,687024616,26661284,18821197,6520567,1319520,3.88,177741.89
105,私立,技專校院,1078,致理學校財團法人致理科技大學,268,1162423672,111690011,96635559,12374452,2680000,9.61,416753.77
105,私立,一般大學,1079,康寧學校財團法人康寧大學,171,493153796,21793256,17167228,1580000,3046028,4.42,127445.94
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,27,181251139,450000,300000,0,150000,0.25,16666.67
105,私立,技專校院,1148,大漢技術學院,51,159186500,5047690,3322190,1665500,60000,3.17,98974.31
105,私立,技專校院,1159,和春技術學院,124,358436273,48601889,37558019,11043870,0,13.56,391950.72
105,私立,技專校院,1166,亞東技術學院,171,931179185,70214326,55475750,8228576,6510000,7.54,410610.09
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,161,608556498,47090496,34984162,12106334,0,7.74,292487.55
105,私立,一般大學,1176,稻江科技暨管理學院,63,336441956,15412563,12901703,2117500,393360,4.58,244643.86
105,私立,技專校院,1179,德霖技術學院,203,694230830,28629509,12603435,15525074,501000,4.12,141032.06
105,私立,技專校院,1182,蘭陽技術學院,98,311885713,6556350,3210350,975000,2371000,2.10,66901.53
105,私立,技專校院,1183,黎明技術學院,147,533557120,32429065,28508065,3866000,55000,6.08,220605.88
105,私立,技專校院,1184,東方設計學院,155,491882692,32007380,13347698,17961882,697800,6.51,206499.23
105,私立,技專校院,1185,經國管理暨健康學院,136,479580950,66985190,62231928,4539262,214000,13.97,492538.16
105,私立,技專校院,1187,崇右技術學院,104,401315341,22104920,15309620,6795300,0,5.51,212547.31
105,私立,技專校院,1188,大同技術學院,69,266600580,25172826,22248826,2774000,150000,9.44,364823.57
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,71,480000,1015000,1015000,0,0,211.46,14295.77
105,私立,技專校院,1192,臺灣觀光學院,47,170026525,4114050,2977050,327000,810000,2.42,87532.98
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,107,237783995,46612251,43161251,2025000,1426000,19.60,435628.51
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,21,2564260,4004260,1440000,0,2564260,156.16,190679.05
105,私立,技專校院,1197,台北海洋技術學院,174,681509292,71090019,61685222,5186157,4218640,10.43,408563.33
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,140,478338914,38265138,36062116,1983022,220000,8,273322.41
105,私立,技專校院,1283,仁德醫護管理專科學校,208,571929935,47529058,46729058,500000,300000,8.31,228505.09
105,私立,技專校院,1284,樹人醫護管理專科學校,213,628994261,64966557,62197877,1283700,1484980,10.33,305007.31
105,私立,技專校院,1285,慈惠醫護管理專科學校,171,582280716,37594799,36854569,390200,350030,6.46,219852.63
105,私立,技專校院,1286,耕莘健康管理專科學校,174,528749251,75957768,73468868,2081353,407547,14.37,436538.90
105,私立,技專校院,1287,敏惠醫護管理專科學校,127,62257765,51443064,48836014,2607050,0,82.63,405063.50
105,私立,技專校院,1288,高美醫護管理專科學校,32,91353865,0,0,0,0,0,0
105,私立,技專校院,1289,育英醫護管理專科學校,74,183063173,43118520,42119320,500000,499200,23.55,582682.70
105,私立,技專校院,1290,崇仁醫護管理專科學校,121,315259765,66476960,66357231,0,119729,21.09,549396.36
105,私立,技專校院,1291,聖母醫護管理專科學校,115,336355500,69213205,67116670,1696535,400000,20.58,601853.96
105,私立,技專校院,1292,新生醫護管理專科學校,190,521830860,29312402,28612402,700000,0,5.62,154275.80
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,8,30251000,80000,80000,0,0,0.26,10000
105,私立,宗教研修學院,1R03,臺北基督學院,13,62286667,0,0,0,0,0,0
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,9,19296366,0,0,0,0,0,0
105,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,14,143163800,0,0,0,0,0,0
105,私立,宗教研修學院,1R06,一貫道崇德學院,3,50721997,0,0,0,0,0,0
105,公立,一般大學,3002,臺北市立大學,329,1640313257,316389053,313825916,2495137,68000,19.29,961668.85
106,公立,一般大學,0001,國立政治大學,722,3912533411,878114627,819784007,4722408,53608212,22.44,1216225.25
106,公立,一般大學,0002,國立清華大學,824,6519121444,2555831231,2181643040,266302437,107885754,39.21,3101736.93
106,公立,一般大學,0003,國立臺灣大學,2045,16976767416,8171746770,7516553901,330204852,324988017,48.13,3995964.19
106,公立,一般大學,0004,國立臺灣師範大學,826,5465414719,2302259906,2204864599,60067724,37327583,42.12,2787239.60
106,公立,一般大學,0005,國立成功大學,1326,8536218761,4945929594,4174974632,398529848,372425114,57.94,3729961.99
106,公立,一般大學,0006,國立中興大學,769,4564723922,2165499420,1815982291,282212871,67304258,47.44,2815994.04
106,公立,一般大學,0007,國立陽明交通大學,722,5783589181,3109498831,2646699847,276289412,186509572,53.76,4306785.08
106,公立,一般大學,0008,國立中央大學,653,4165452334,2370348432,2023319058,150935693,196093681,56.90,3629936.34
106,公立,一般大學,0009,國立中山大學,509,3413908280,1447517684,1215207593,152245767,80064324,42.40,2843846.14
106,公立,一般大學,0012,國立臺灣海洋大學,414,2352371342,906503695,712907886,137931138,55664671,38.54,2189622.45
106,公立,一般大學,0013,國立中正大學,542,2600494692,933891136,920471420,7481276,5938440,35.91,1723046.38
106,公立,一般大學,0014,國立高雄師範大學,290,1381728279,373772370,339359278,5022920,29390172,27.05,1288870.24
106,公立,一般大學,0015,國立彰化師範大學,373,1618740102,415242522,387365784,23025613,4851125,25.65,1113250.73
106,公立,一般大學,0016,國立陽明大學,398,2522807563,1160934896,1075775940,48956526,36202430,46.02,2916921.85
106,公立,一般大學,0017,國立臺北大學,380,1607467289,260421264,247533523,6342195,6545546,16.20,685319.12
106,公立,一般大學,0018,國立嘉義大學,515,2212042981,544396998,475701035,56357545,12338418,24.61,1057081.55
106,公立,一般大學,0019,國立高雄大學,235,1047277083,287733089,259042272,21045848,7644969,27.47,1224396.12
106,公立,一般大學,0020,國立東華大學,492,2232589288,436663895,385455171,39031733,12176991,19.56,887528.24
106,公立,一般大學,0021,國立暨南國際大學,268,1291740301,408514634,400633327,3279768,4601539,31.63,1524308.34
106,公立,技專校院,0022,國立臺灣科技大學,458,2912961297,1393625435,1095572004,224033077,74020354,47.84,3042850.29
106,公立,技專校院,0023,國立雲林科技大學,365,2145164089,1012447225,916034640,72549657,23862928,47.20,2773828.01
106,公立,技專校院,0024,國立屏東科技大學,398,2221952200,859337514,696765961,143361608,19209945,38.67,2159139.48
106,公立,技專校院,0025,國立臺北科技大學,470,3563510396,1248309301,1050646679,149097142,48565480,35.03,2655977.24
106,公立,技專校院,0026,國立高雄第一科技大學,269,1615553498,540783014,446617786,68712361,25452867,33.47,2010345.78
106,公立,技專校院,0027,國立高雄應用科技大學,351,1803358987,658449474,579577410,53536316,25335748,36.51,1875924.43
106,公立,一般大學,0028,國立臺北藝術大學,160,810445899,177328648,157238518,14558000,5532130,21.88,1108304.05
106,公立,一般大學,0029,國立臺灣藝術大學,162,994591391,81688908,76664445,2132500,2891963,8.21,504252.52
106,公立,一般大學,0030,國立臺東大學,192,905962316,362814383,341978420,6075812,14760151,40.05,1889658.24
106,公立,一般大學,0031,國立宜蘭大學,233,1199203595,304793275,262390348,38007555,4395372,25.42,1308125.64
106,公立,一般大學,0032,國立聯合大學,288,1204299668,320805201,281757861,31479484,7567856,26.64,1113906.95
106,公立,技專校院,0033,國立虎尾科技大學,329,1653341403,652142705,572008737,48609096,31524872,39.44,1982196.67
106,公立,技專校院,0034,國立高雄海洋科技大學,230,1215609277,348004194,221776568,111293866,14933760,28.63,1513061.71
106,公立,一般大學,0035,國立臺南藝術大學,105,539168779,114786456,110455903,2832524,1498029,21.29,1093204.34
106,公立,一般大學,0036,國立臺南大學,237,1020141226,280024184,232155902,27545544,20322738,27.45,1181536.64
106,公立,一般大學,0037,國立臺北教育大學,223,1356646186,412641002,405757886,2443272,4439844,30.42,1850408.08
106,公立,一般大學,0039,國立臺中教育大學,199,1060406085,236103735,230982181,5121554,0,22.27,1186450.93
106,公立,技專校院,0042,國立澎湖科技大學,123,526957076,90719971,82242013,8477958,0,17.22,737560.74
106,公立,技專校院,0043,國立勤益科技大學,281,1439796684,338742751,284220611,37562190,16959950,23.53,1205490.22
106,公立,一般大學,0044,國立體育大學,101,613122369,80360323,67185316,8804423,4370584,13.11,795646.76
