學年度,設立別,學校類別,學校統計處代碼,學校名稱,教師類別,編制外專任教師支給數額情形-教授-平均支給數額,編制外專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-副教授-平均支給數額,編制外專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-助理教授-平均支給數額,編制外專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-講師-平均支給數額,編制外專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,私立,一般大學,1176,稻江科技暨管理學院,專業技術人員,無,無,無,無,"67,209",94.95,"52,047",89.53
107,私立,一般大學,1176,稻江科技暨管理學院,專案教學人員,無,無,無,無,"67,209",94.95,"55,047",94.69
107,私立,技專校院,1182,蘭陽技術學院,專案教學人員,無,無,無,無,無,無,"56,595",97.35
107,私立,技專校院,1182,蘭陽技術學院,專業技術人員,無,無,"78,730",97.6,"69,000",97.49,"56,595",97.35
107,私立,技專校院,1183,黎明技術學院,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1183,黎明技術學院,專業技術人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1185,經國管理暨健康學院,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1185,經國管理暨健康學院,專業技術人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1188,大同技術學院,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1188,大同技術學院,專業技術人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1192,臺灣觀光學院,專案教學人員,無,無,"34,440",42.69,"30,325",42.84,"26,210",45.08
107,私立,技專校院,1192,臺灣觀光學院,專業技術人員,無,無,"34,440",42.69,"30,325",42.84,"26,210",45.08
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,專案教學人員,"100,165",100,"80,670",100,"70,780",100,無,無
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,專案教學人員,"100,165",100,無,無,無,無,無,無
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,專案教學人員,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,專業技術教師,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1283,仁德醫護管理專科學校,專案教學人員,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1283,仁德醫護管理專科學校,專業技術教師,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1284,樹人醫護管理專科學校,專案教學人員,無,無,無,無,"69,880",98.73,"57,355",98.66
107,私立,技專校院,1285,慈惠醫護管理專科學校,專案教學人員,無,無,無,無,無,無,"57,355",98.66
107,私立,技專校院,1286,耕莘健康管理專科學校,專案教學人員,無,無,無,無,無,無,"58,135",100
107,私立,技專校院,1287,敏惠醫護管理專科學校,專案教學人員,無,無,無,無,無,無,"57,355",98.66
107,私立,技專校院,1287,敏惠醫護管理專科學校,專業技術教師,無,無,無,無,"69,880",98.73,無,無
107,私立,技專校院,1289,育英醫護管理專科學校,專案教學人員,無,無,無,無,"53,530",75.63,"44,441",76.44
107,私立,技專校院,1290,崇仁醫護管理專科學校,專案教學人員,無,無,無,無,"68,150",96.28,"49,934",85.89
107,私立,技專校院,1290,崇仁醫護管理專科學校,專業技術教師,無,無,無,無,無,無,"49,934",85.89
107,私立,技專校院,1291,聖母醫護管理專科學校,專案教學人員,無,無,無,無,無,無,"57,355",98.66
107,私立,技專校院,1292,新生醫護管理專科學校,專案教學人員,無,無,無,無,"69,000",97.49,"51,120",87.93
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,專案教學人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R03,臺北基督學院,專業技術人員,無,無,無,無,"63,950",90.35,無,無
107,私立,宗教研修學院,1R03,臺北基督學院,專案教學人員,"86,555",86.41,無,無,"63,950",90.35,無,無
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,專業技術人員,"94,720",94.56,無,無,無,無,無,無
107,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,專案教學人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,專案教學人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R06,一貫道崇德學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R06,一貫道崇德學院,專案教學人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,專業技術人員,無,無,無,無,無,無,無,無
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,專案教學人員,無,無,無,無,無,無,無,無
107,公立,一般大學,3002,臺北市立大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,3002,臺北市立大學,專案教學人員,無,無,無,無,"70,780",100,無,無
108,公立,一般大學,0001,國立政治大學,專案教學人員,"108,495",100,"93,705",100,"74,082",100,"64,772",100
108,公立,一般大學,0001,國立政治大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0002,國立清華大學,專案教學人員,"100,090",99.93,"99,535",100,"74,651",100,"71,397",100
108,公立,一般大學,0002,國立清華大學,專業技術人員,"116,825",100,無,無,無,無,無,無
108,公立,一般大學,0003,國立臺灣大學,專案教學人員,"116,825",100,"91,990",100,"81,431",100,"61,050",100
108,公立,一般大學,0003,國立臺灣大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0004,國立臺灣師範大學,專案教學人員,無,無,無,無,"75,292",100,"64,685",100
108,公立,一般大學,0004,國立臺灣師範大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0005,國立成功大學,專案教學人員,"116,825",100,無,無,"77,770",100,"63,767",100
108,公立,一般大學,0005,國立成功大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0006,國立中興大學,專案教學人員,"116,825",100,無,無,"78,372",100,"63,280",100
108,公立,一般大學,0006,國立中興大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0007,國立陽明交通大學,專案教學人員,"123,339",100,無,無,"81,335",100,"72,740",100
108,公立,一般大學,0007,國立陽明交通大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0008,國立中央大學,專案教學人員,"116,825",100,"89,930",100,"82,633",100,"69,385",100
108,公立,一般大學,0008,國立中央大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0009,國立中山大學,專案教學人員,"116,805",100,"85,473",100,"73,150",100,無,無
108,公立,一般大學,0009,國立中山大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0012,國立臺灣海洋大學,專案教學人員,無,無,無,無,"73,224",100,"68,940",100
108,公立,一般大學,0012,國立臺灣海洋大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0013,國立中正大學,專案教學人員,"116,825",100,無,無,"80,184",100,"67,640",100
108,公立,一般大學,0013,國立中正大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0014,國立高雄師範大學,專案教學人員,無,無,無,無,"73,868",100,無,無
108,公立,一般大學,0014,國立高雄師範大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0015,國立彰化師範大學,專案教學人員,無,無,"83,760",100,"75,068",100,無,無
108,公立,一般大學,0015,國立彰化師範大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0016,國立陽明大學,專案教學人員,"107,548",100,"89,418",100,"76,452",100,"61,016",100
108,公立,一般大學,0016,國立陽明大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0017,國立臺北大學,專案教學人員,"116,825",100,"87,875",100,"75,445",100,"63,280",100
108,公立,一般大學,0017,國立臺北大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0018,國立嘉義大學,專案教學人員,無,無,無,無,"77,338",100,"62,048",100
108,公立,一般大學,0018,國立嘉義大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0019,國立高雄大學,專案教學人員,無,無,"99,535",100,"76,526",100,"66,365",100
108,公立,一般大學,0019,國立高雄大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0020,國立東華大學,專案教學人員,無,無,"82,215",100,"75,354",100,"61,873",100
108,公立,一般大學,0020,國立東華大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0021,國立暨南國際大學,專案教學人員,無,無,無,無,"77,154",100,"62,063",100
108,公立,一般大學,0021,國立暨南國際大學,專業技術人員,無,無,無,無,"73,865",100,"58,135",100
108,公立,技專校院,0022,國立臺灣科技大學,專案教學人員,"143,360",100,"101,994",100,"77,957",100,"55,133",94.84
108,公立,技專校院,0022,國立臺灣科技大學,專業技術人員,"148,458",100,"80,670",100,"72,843",100,"58,135",100
108,公立,技專校院,0023,國立雲林科技大學,專案教學人員,無,無,"96,448",100,"76,206",100,"63,680",100
108,公立,技專校院,0023,國立雲林科技大學,專業技術人員,無,無,無,無,"73,865",100,無,無
108,公立,技專校院,0024,國立屏東科技大學,專案教學人員,無,無,"92,761",100,"75,558",100,"62,022",100
108,公立,技專校院,0024,國立屏東科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,公立,技專校院,0025,國立臺北科技大學,專案教學人員,無,無,無,無,"69,308",97.92,"60,764",100
108,公立,一般大學,0028,國立臺北藝術大學,專案教學人員,"101,538",100,"81,185",100,"72,152",100,無,無
108,公立,一般大學,0028,國立臺北藝術大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0029,國立臺灣藝術大學,專案教學人員,"100,165",100,"80,670",100,"71,192",100,"58,135",100
108,公立,一般大學,0029,國立臺灣藝術大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0030,國立臺東大學,專案教學人員,無,無,無,無,"75,925",100,"59,678",100
108,公立,一般大學,0030,國立臺東大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0031,國立宜蘭大學,專案教學人員,無,無,"83,760",100,"74,622",100,無,無
108,公立,一般大學,0031,國立宜蘭大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0032,國立聯合大學,專案教學人員,無,無,"93,360",100,"74,055",100,"68,766",100
108,公立,一般大學,0032,國立聯合大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0033,國立虎尾科技大學,專案教學人員,無,無,"89,247",100,"76,654",100,"66,538",100
108,公立,一般大學,0035,國立臺南藝術大學,專案教學人員,"100,165",100,無,無,"71,038",100,"63,278",100
108,公立,一般大學,0035,國立臺南藝術大學,專業技術人員,無,無,"86,500",100,無,無,無,無
108,公立,一般大學,0036,國立臺南大學,專案教學人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0036,國立臺南大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0037,國立臺北教育大學,專案教學人員,無,無,"97,480",100,"75,155",100,"59,848",100
108,公立,一般大學,0037,國立臺北教育大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0039,國立臺中教育大學,專案教學人員,無,無,無,無,"73,524",100,"60,190",100
108,公立,一般大學,0039,國立臺中教育大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0042,國立澎湖科技大學,專案教學人員,無,無,"87,875",100,"75,173",100,"65,595",100
108,公立,技專校院,0042,國立澎湖科技大學,專業技術人員,無,無,"83,760",100,無,無,無,無
108,公立,技專校院,0043,國立勤益科技大學,專案教學人員,"107,025",100,"87,760",100,"76,288",100,無,無
108,公立,一般大學,0044,國立體育大學,專案教學人員,無,無,無,無,無,無,無,無
108,公立,一般大學,0044,國立體育大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0046,國立臺北護理健康大學,專案教學人員,無,無,"81,700",100,"74,309",100,"69,455",100
108,公立,技專校院,0047,國立高雄餐旅大學,專案教學人員,"88,207",88.06,無,無,"72,522",100,"58,135",100
108,公立,技專校院,0047,國立高雄餐旅大學,專業技術人員,"104,738",100,"85,358",100,"71,295",100,"58,135",100
108,公立,一般大學,0048,國立金門大學,專案教學人員,無,無,"95,545",100,"78,448",100,無,無
108,公立,一般大學,0048,國立金門大學,專業技術人員,無,無,無,無,無,無,"65,335",100
108,公立,一般大學,0049,國立臺灣體育運動大學,專案教學人員,無,無,無,無,無,無,"58,135",100
108,公立,一般大學,0049,國立臺灣體育運動大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0050,國立臺中科技大學,專案教學人員,無,無,"87,647",100,"76,107",100,"61,516",100
108,公立,技專校院,0051,國立臺北商業大學,專案教學人員,無,無,無,無,"73,068",100,"62,250",100
108,公立,技專校院,0051,國立臺北商業大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,公立,一般大學,0052,國立屏東大學,專案教學人員,無,無,無,無,"75,668",100,"66,365",100
108,公立,一般大學,0052,國立屏東大學,專業技術人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0053,國立高雄科技大學,專案教學人員,無,無,"81,185",100,"71,855",100,"60,763",100
108,公立,技專校院,0053,國立高雄科技大學,專業技術人員,無,無,無,無,無,無,"58,135",100
108,公立,技專校院,0144,國立臺灣戲曲學院,專案教學人員,無,無,無,無,無,無,無,無
108,公立,技專校院,0221,國立臺南護理專科學校,專案教學人員,無,無,無,無,無,無,"48,550",83.51
108,公立,技專校院,0222,國立臺東專科學校,專案教學人員,無,無,無,無,"79,184",100,"65,850",100
108,私立,一般大學,1001,東海大學,專案教學人員,"113,493",100,無,無,"73,272",100,"61,021",100
108,私立,一般大學,1001,東海大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1002,輔仁大學,專案教學人員,"116,825",100,"79,300",98.30,"70,780",100,"58,135",100
108,私立,一般大學,1002,輔仁大學,專業技術人員,"100,165",100,"78,615",97.45,"70,780",100,"58,135",100
108,私立,一般大學,1003,東吳大學,專案教學人員,"116,825",100,"97,668",100,"73,010",100,"58,135",100
108,私立,一般大學,1003,東吳大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1004,中原大學,專案教學人員,"116,825",100,"81,700",100,"90,535",100,無,無
108,私立,一般大學,1004,中原大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,專案教學人員,"108,495",100,無,無,"72,246",100,無,無
108,私立,一般大學,1005,淡江大學學校財團法人淡江大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1006,中國文化大學,專案教學人員,"100,165",100,"80,328",99.58,"72,668",100,"59,677",100
108,私立,一般大學,1006,中國文化大學,專業技術人員,無,無,無,無,"71,810",100,無,無
108,私立,一般大學,1007,逢甲大學,專案教學人員,"102,456",100,無,無,"72,324",100,"61,220",100
108,私立,一般大學,1007,逢甲大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1008,靜宜大學,專案教學人員,無,無,"87,100",100,"72,608",100,"54,972",94.56
108,私立,一般大學,1008,靜宜大學,專業技術人員,無,無,無,無,無,無,"53,365",91.79
108,私立,一般大學,1009,長庚大學,專案教學人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1009,長庚大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1010,元智大學,專案教學人員,"116,825",100,無,無,"75,184",100,"64,204",100
108,私立,一般大學,1010,元智大學,專業技術人員,無,無,無,無,"74,152",100,無,無
108,私立,一般大學,1011,中華大學學校財團法人中華大學,專案教學人員,無,無,無,無,"83,265",100,"60,190",100
108,私立,一般大學,1011,中華大學學校財團法人中華大學,專業技術人員,無,無,"83,760",100,"75,925",100,無,無
108,私立,一般大學,1012,大葉大學,專案教學人員,"111,380",100,"93,755",100,"70,831",100,"58,915",100
108,私立,一般大學,1012,大葉大學,專業技術人員,無,無,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,一般大學,1013,華梵大學,專案教學人員,無,無,"82,730",100,"71,295",100,"61,220",100
108,私立,一般大學,1013,華梵大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1014,義守大學,專案教學人員,"116,825",100,"90,618",100,"77,087",100,"58,959",100
108,私立,一般大學,1014,義守大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1015,世新大學,專案教學人員,"115,333",100,"94,390",100,"71,810",100,"58,546",100
108,私立,一般大學,1015,世新大學,專業技術人員,無,無,無,無,"71,809",100,無,無
108,私立,一般大學,1016,銘傳大學,專案教學人員,"112,696",100,"80,670",100,"71,754",100,"58,135",100
108,私立,一般大學,1016,銘傳大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1017,實踐大學,專案教學人員,"111,754",100,"92,447",100,"72,137",100,"58,135",100
108,私立,一般大學,1017,實踐大學,專業技術人員,無,無,"81,700",100,"70,883",100,"58,135",100
108,私立,技專校院,1018,朝陽科技大學,專案教學人員,無,無,無,無,"71,736",100,"58,135",100
108,私立,技專校院,1018,朝陽科技大學,專業技術人員,無,無,"90,418",100,"70,780",100,無,無
108,私立,一般大學,1019,高雄醫學大學,專案教學人員,"112,645",100,"97,135",100,"79,218",100,"80,430",100
108,私立,一般大學,1019,高雄醫學大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1020,南華大學,專案教學人員,"108,495",100,無,無,"72,068",100,"79,055",100
108,私立,一般大學,1020,南華大學,專業技術人員,無,無,無,無,"72,324",100,無,無
108,私立,一般大學,1021,真理大學,專案教學人員,無,無,無,無,"69,125",97.66,"55,680",95.78
108,私立,一般大學,1021,真理大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1022,大同大學,專案教學人員,無,無,無,無,"70,223",99.21,"57,355",98.66
108,私立,一般大學,1022,大同大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,專案教學人員,無,無,無,無,"73,609",100,無,無
108,私立,技專校院,1024,崑山科技大學,專案教學人員,無,無,無,無,"73,868",100,"59,165",100
108,私立,技專校院,1024,崑山科技大學,專業技術人員,無,無,無,無,"71,467",100,無,無
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,專案教學人員,無,無,"99,535",100,"79,012",100,"73,684",100
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,專業技術人員,無,無,無,無,"77,985",100,"66,368",100
108,私立,技專校院,1026,樹德科技大學,專案教學人員,無,無,"87,988",100,"72,443",100,"60,340",100
108,私立,技專校院,1026,樹德科技大學,專業技術人員,無,無,無,無,"71,450",100,無,無
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,專案教學人員,無,無,無,無,"76,268",100,"60,913",100
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1028,臺北醫學大學,專案教學人員,無,無,無,無,"74,210",100,無,無
108,私立,一般大學,1028,臺北醫學大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1029,中山醫學大學,專案教學人員,"111,145",100,"81,700",100,"72,838",100,"58,677",100
108,私立,一般大學,1029,中山醫學大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,技專校院,1030,龍華科技大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
108,私立,技專校院,1030,龍華科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,私立,技專校院,1031,輔英科技大學,專案教學人員,無,無,無,無,"75,376",100,無,無
108,私立,技專校院,1031,輔英科技大學,專業技術人員,無,無,"79,640",98.72,"71,939",100,無,無
108,私立,技專校院,1032,明新學校財團法人明新科技大學,專案教學人員,無,無,無,無,"56,218",79.43,"48,998",84.28
108,私立,技專校院,1032,明新學校財團法人明新科技大學,專業技術人員,"45,604",45.53,"78,730",97.60,"51,597",72.90,"56,595",97.35
108,私立,一般大學,1033,長榮大學,專案教學人員,"104,685",100,無,無,"71,810",100,無,無
108,私立,一般大學,1033,長榮大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,私立,技專校院,1034,弘光科技大學,專案教學人員,"116,825",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1034,弘光科技大學,專業技術人員,"111,925",100,無,無,"70,780",100,"58,135",100
108,私立,一般大學,1035,中國醫藥大學,專案教學人員,無,無,"78,680",97.53,"67,340",95.14,無,無
108,私立,一般大學,1035,中國醫藥大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,技專校院,1036,健行學校財團法人健行科技大學,專案教學人員,無,無,"90,618",100,"75,376",100,"58,821",100
108,私立,技專校院,1036,健行學校財團法人健行科技大學,專業技術人員,"100,165",100,"81,700",100,"71,398",100,"59,507",100
108,私立,技專校院,1037,正修學校財團法人正修科技大學,專案教學人員,無,無,無,無,"71,336",100,"55,865",96.10
108,私立,技專校院,1037,正修學校財團法人正修科技大學,專業技術人員,無,無,無,無,"68,150",96.28,無,無
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,專案教學人員,無,無,"80,790",100,"72,536",100,"57,007",98.06
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,專業技術人員,無,無,"80,790",100,"62,046",87.66,"56,595",97.35
108,私立,一般大學,1039,玄奘大學,專案教學人員,"110,063",100,無,無,"73,867",100,"60,193",100
108,私立,一般大學,1039,玄奘大學,專業技術人員,無,無,"82,111",100,"72,323",100,"60,190",100
108,私立,技專校院,1040,建國科技大學,專案教學人員,無,無,無,無,"71,315",100,"57,183",98.36
108,私立,技專校院,1040,建國科技大學,專業技術人員,無,無,"78,730",97.60,"70,030",98.94,無,無
108,私立,技專校院,1041,明志科技大學,專案教學人員,"107,025",100,無,無,"72,427",100,無,無
108,私立,技專校院,1042,高苑科技大學,專案教學人員,無,無,無,無,無,無,"56,580",97.33
108,私立,技專校院,1042,高苑科技大學,專業技術人員,無,無,無,無,"69,255",97.85,無,無
108,私立,技專校院,1043,大仁科技大學,專案教學人員,無,無,"78,680",97.53,"64,748",91.48,"57,011",98.07
108,私立,技專校院,1043,大仁科技大學,專業技術人員,"50,000",49.92,無,無,"69,435",98.10,"56,580",97.33
108,私立,技專校院,1044,聖約翰科技大學,專案教學人員,無,無,無,無,"72,968",100,"60,440",100
108,私立,技專校院,1044,聖約翰科技大學,專業技術人員,無,無,"85,520",100,"73,483",100,無,無
108,私立,技專校院,1045,嶺東科技大學,專案教學人員,無,無,"80,670",100,"71,810",100,"58,135",100
108,私立,技專校院,1045,嶺東科技大學,專業技術人員,無,無,"80,670",100,"70,780",100,無,無
108,私立,技專校院,1046,中國科技大學,專案教學人員,無,無,"82,780",100,"77,312",100,"57,355",98.66
108,私立,技專校院,1046,中國科技大學,專業技術人員,無,無,無,無,"70,292",99.31,無,無
108,私立,技專校院,1047,中臺科技大學,專案教學人員,無,無,無,無,"71,957",100,"58,135",100
108,私立,一般大學,1048,亞洲大學,專案教學人員,"109,183",100,"50,000",61.98,"74,172",100,"56,347",96.92
108,私立,一般大學,1048,亞洲大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1049,開南大學,專案教學人員,無,無,"80,670",100,"71,810",100,"58,135",100
108,私立,一般大學,1049,開南大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,一般大學,1050,佛光大學,專案教學人員,無,無,無,無,無,無,"49,487",85.12
108,私立,一般大學,1050,佛光大學,專業技術人員,無,無,無,無,無,無,無,無
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,專案教學人員,"105,600",100,無,無,"72,400",100,"60,336",100
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,專業技術人員,無,無,"80,059",99.24,"71,190",100,"58,022",99.81
108,私立,技專校院,1052,遠東科技大學,專案教學人員,無,無,無,無,"72,222",100,"59,163",100
108,私立,技專校院,1052,遠東科技大學,專業技術人員,無,無,無,無,"71,810",100,"116,270",100
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,專案教學人員,"111,380",100,無,無,"70,910",100,"57,355",98.66
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,專業技術人員,無,無,"76,763",95.16,"70,910",100,"57,355",98.66
108,私立,技專校院,1054,景文科技大學,專案教學人員,無,無,無,無,無,無,"58,135",100
108,私立,技專校院,1054,景文科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,私立,技專校院,1055,中華醫事科技大學,專案教學人員,無,無,無,無,"70,030",98.94,"56,595",97.35
108,私立,技專校院,1055,中華醫事科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1056,東南科技大學,專案教學人員,無,無,無,無,"72,704",100,"58,241",100
108,私立,技專校院,1056,東南科技大學,專業技術人員,無,無,無,無,"70,911",100,"57,280",98.53
108,私立,技專校院,1057,德明財經科技大學,專案教學人員,無,無,無,無,"72,895",100,"60,045",100
108,私立,技專校院,1057,德明財經科技大學,專業技術人員,無,無,無,無,"70,780",100,無,無
108,私立,一般大學,1058,明道學校財團法人明道大學,專案教學人員,"111,380",100,無,無,"71,357",100,"57,355",98.66
108,私立,一般大學,1058,明道學校財團法人明道大學,專業技術人員,無,無,"77,635",96.24,"70,086",99.02,無,無
108,私立,技專校院,1060,南開科技大學,專案教學人員,無,無,無,無,"71,058",100,"56,595",97.35
108,私立,技專校院,1060,南開科技大學,專業技術人員,無,無,無,無,"71,060",100,無,無
108,私立,技專校院,1061,中華學校財團法人中華科技大學,專案教學人員,無,無,無,無,"70,030",98.94,"56,595",97.35
108,私立,技專校院,1061,中華學校財團法人中華科技大學,專業技術人員,無,無,無,無,"71,550",100,"56,595",97.35
108,私立,技專校院,1062,僑光科技大學,專案教學人員,"100,165",100,"80,670",100,"71,810",100,"62,189",100
108,私立,技專校院,1062,僑光科技大學,專業技術人員,無,無,"81,288",100,"70,780",100,"58,135",100
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,專案教學人員,無,無,"81,700",100,"73,524",100,"59,310",100
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,專業技術人員,無,無,"81,185",100,"71,295",100,無,無
108,私立,技專校院,1064,美和學校財團法人美和科技大學,專案教學人員,無,無,無,無,"71,810",100,"63,793",100
108,私立,技專校院,1064,美和學校財團法人美和科技大學,專業技術人員,無,無,無,無,"75,925",100,無,無
108,私立,技專校院,1065,吳鳳科技大學,專案教學人員,無,無,無,無,無,無,"56,742",97.60
108,私立,技專校院,1065,吳鳳科技大學,專業技術人員,無,無,無,無,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1066,環球學校財團法人環球科技大學,專案教學人員,無,無,無,無,"70,910",100,無,無
108,私立,技專校院,1066,環球學校財團法人環球科技大學,專業技術人員,無,無,無,無,"69,880",98.73,"57,355",98.66
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,專案教學人員,無,無,無,無,"68,190",96.34,"55,055",94.70
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,專業技術人員,無,無,"76,715",95.10,"67,543",95.43,無,無
108,私立,技專校院,1068,中州學校財團法人中州科技大學,專案教學人員,無,無,無,無,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1069,修平學校財團法人修平科技大學,專業技術人員,無,無,無,無,無,無,"59,165",100
