學年度,設立別,學校類別,學校統計處代碼,學校名稱,教師類別,編制外專任教師支給數額情形-教授-平均支給數額,編制外專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-副教授-平均支給數額,編制外專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-助理教授-平均支給數額,編制外專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制外專任教師支給數額情形-講師-平均支給數額,編制外專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
107,公立,技專校院,0042,國立澎湖科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0042,國立澎湖科技大學,專業技術人員,無,無,"80,670",100,無,無,無,無
107,公立,技專校院,0043,國立勤益科技大學,專案教學人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0044,國立體育大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0044,國立體育大學,專案教學人員,無,無,無,無,無,無,無,無
107,公立,技專校院,0046,國立臺北護理健康大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,技專校院,0047,國立高雄餐旅大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0047,國立高雄餐旅大學,專業技術人員,"100,165",100,"80,670",100,"70,780",100,"58,135",100
107,公立,一般大學,0048,國立金門大學,專業技術人員,無,無,無,無,無,無,"58,135",100
107,公立,一般大學,0048,國立金門大學,專案教學人員,無,無,"80,670",100,"70,780",100,無,無
107,公立,一般大學,0049,國立臺灣體育運動大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0049,國立臺灣體育運動大學,專案教學人員,無,無,無,無,無,無,"58,135",100
107,公立,技專校院,0050,國立臺中科技大學,專案教學人員,"100,165",100,無,無,"70,780",100,"58,135",100
107,公立,技專校院,0051,國立臺北商業大學,專案教學人員,無,無,無,無,"70,780",100,無,無
107,公立,一般大學,0052,國立屏東大學,專業技術人員,無,無,無,無,無,無,無,無
107,公立,一般大學,0052,國立屏東大學,專案教學人員,無,無,無,無,"70,780",100,"58,135",100
107,公立,技專校院,0053,國立高雄科技大學,專案教學人員,無,無,"80,670",100,"70,780",100,"58,135",100
107,公立,技專校院,0144,國立臺灣戲曲學院,專案教學人員,無,無,無,無,無,無,無,無
107,公立,技專校院,0221,國立臺南護理專科學校,專案教學人員,無,無,無,無,無,無,"55,213",94.97
