年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
105,私立,技專校院,1068,中州學校財團法人中州科技大學,137,19969736,14842193,3667343,1460200,145764.50
105,私立,技專校院,1069,修平學校財團法人修平科技大學,225,19656008,4639000,15017008,0,87360.04
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,354,67608056,4700000,7067161,55840895,190983.21
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,249,15352761,0,13050884,2301877,61657.67
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,119,5700533,1520000,3244533,936000,47903.64
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,244,35277103,10336000,21503449,3437654,144578.29
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,110,7592166,1455000,5172666,964500,69019.69
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,272,21553119,7071468,5560600,8921051,79239.41
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,171,7249629,0,7169629,80000,42395.49
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,150,11505119,3665032,6520567,1319520,76700.79
105,私立,技專校院,1078,致理學校財團法人致理科技大學,268,20297279,5480180,12137099,2680000,75736.12
105,私立,一般大學,1079,康寧學校財團法人康寧大學,171,2252928,0,1184000,1068928,13175.02
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,27,150000,0,0,150000,5555.56
105,私立,技專校院,1148,大漢技術學院,51,2611500,886000,1665500,60000,51205.88
105,私立,技專校院,1159,和春技術學院,124,11301154,257284,11043870,0,91138.34
105,私立,技專校院,1166,亞東技術學院,171,17406550,2667974,8228576,6510000,101792.69
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,161,14075294,1968960,12106334,0,87424.19
105,私立,一般大學,1176,稻江科技暨管理學院,63,13235258,10774398,2117500,343360,210083.46
105,私立,技專校院,1179,德霖技術學院,203,16266074,340000,15525074,401000,80128.44
105,私立,技專校院,1182,蘭陽技術學院,98,3445550,99550,975000,2371000,35158.67
105,私立,技專校院,1183,黎明技術學院,147,3821000,300000,3466000,55000,25993.20
105,私立,技專校院,1184,東方設計學院,155,16321682,0,15623882,697800,105301.17
105,私立,技專校院,1185,經國管理暨健康學院,136,4753262,0,4539262,214000,34950.46
105,私立,技專校院,1187,崇右技術學院,104,7229300,434000,6795300,0,69512.50
105,私立,技專校院,1188,大同技術學院,69,3251000,327000,2774000,150000,47115.94
105,私立,技專校院,1192,臺灣觀光學院,47,1727000,590000,327000,810000,36744.68
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,107,3501000,50000,2025000,1426000,32719.63
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,21,2564260,0,0,2564260,122107.62
105,私立,技專校院,1197,台北海洋技術學院,174,10720778,1646981,5125157,3948640,61613.67
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,140,2483022,350000,1913022,220000,17735.87
105,私立,技專校院,1283,仁德醫護管理專科學校,208,1400000,600000,500000,300000,6730.77
105,私立,技專校院,1284,樹人醫護管理專科學校,213,1414000,0,903500,510500,6638.50
105,私立,技專校院,1285,慈惠醫護管理專科學校,171,335000,0,235000,100000,1959.06
105,私立,技專校院,1286,耕莘健康管理專科學校,174,2373495,0,2021353,352142,13640.78
105,私立,技專校院,1287,敏惠醫護管理專科學校,127,2607050,0,2607050,0,20527.95
105,私立,技專校院,1289,育英醫護管理專科學校,74,560000,0,500000,60000,7567.57
105,私立,技專校院,1290,崇仁醫護管理專科學校,121,3109929,2990200,0,119729,25701.89
105,私立,技專校院,1291,聖母醫護管理專科學校,115,17291496,15194961,1696535,400000,150360.83
105,私立,技專校院,1292,新生醫護管理專科學校,190,850000,150000,700000,0,4473.68
105,公立,一般大學,3002,臺北市立大學,329,5528014,2964877,2495137,68000,16802.47
106,公立,一般大學,0001,國立政治大學,722,290916700,235390480,4022408,51503812,402931.72
106,公立,一般大學,0002,國立清華大學,824,616670966,306444000,232714553,77512413,748387.09
