學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),7,5,2
105,1,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),8,5,3
105,1,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),2,1,1
105,1,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),6,5,1
105,1,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),4,3,1
105,1,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),5,3,2
105,1,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),2,1,1
105,1,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),2,0,2
105,1,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),7,6,1
105,1,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),9,5,4
105,1,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),4,4,0
105,1,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),1,0,1
105,1,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),4,1,3
105,1,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),38,18,20
105,1,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),17,2,15
105,1,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),27,3,24
105,1,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),10,4,6
105,1,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),2,2,0
105,1,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),2,1,1
105,1,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),6,1,5
105,1,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),4,1,3
105,1,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),2,1,1
105,1,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),3,2,1
105,1,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),7,4,3
105,1,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),3,1,2
105,1,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),2,0,2
105,1,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),2,1,1
105,1,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),2,1,1
105,1,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),6,2,4
105,1,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),8,5,3
105,1,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),6,2,4
105,1,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),2,0,2
105,1,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),10,3,7
105,1,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),8,1,7
105,1,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),5,2,3
105,1,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),1,0,1
105,1,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),13,5,8
105,1,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),15,15,0
105,1,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,學士班(日間),24,19,5
105,1,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),20,19,1
105,1,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),24,17,7
