學年度,設立別,學校類別,學校統計處代碼,學校名稱,工讀助學金純助學型-人數,工讀助學金純助學型-金額,工讀助學金純助學型-時數,工讀助學金純勞僱型-人數,工讀助學金純勞僱型-金額,工讀助學金純勞僱型-時數,工讀助學金純附服務負擔型-人數,工讀助學金純附服務負擔型-金額,工讀助學金純附服務負擔型-時數,生活助學金純助學型-人數,生活助學金純助學型-金額,生活助學金純助學型-時數,生活助學金純附服務負擔型-人數,生活助學金純附服務負擔型-金額,生活助學金純附服務負擔型-時數
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,0,0,0.00,127,11222,71.00,0,0,0.00,0,0,0.00,40,6000,30.00
109,私立,技專校院,1026,樹德科技大學,0,0,0.00,563,7045,46.00,0,0,0.00,0,0,0.00,74,6000,30.00
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,0,0,0.00,732,1143,7.00,0,0,0.00,35,3000,0.00,43,3005,9.00
109,私立,一般大學,1028,臺北醫學大學,0,0,0.00,417,5449,29.00,0,0,0.00,0,0,0.00,73,6000,30.00
109,私立,一般大學,1029,中山醫學大學,0,0,0.00,420,5652,34.00,0,0,0.00,228,3000,0.00,0,0,0.00
109,私立,技專校院,1030,龍華科技大學,0,0,0.00,39,24000,150.00,120,4847,30.00,0,0,0.00,42,6000,30.00
109,私立,技專校院,1031,輔英科技大學,0,0,0.00,203,10826,68.00,0,0,0.00,0,0,0.00,276,6000,30.00
109,私立,技專校院,1032,明新學校財團法人明新科技大學,0,0,0.00,153,24659,174.00,0,0,0.00,0,0,0.00,88,6000,30.00
109,私立,一般大學,1033,長榮大學,0,0,0.00,548,4188,22.00,0,0,0.00,0,0,0.00,470,5431,30.00
109,私立,技專校院,1034,弘光科技大學,0,0,0.00,333,9953,64.00,0,0,0.00,0,0,0.00,159,6160,30.00
109,私立,一般大學,1035,中國醫藥大學,0,0,0.00,396,907,6.00,0,0,0.00,134,6000,0.00,0,0,0.00
109,私立,技專校院,1036,健行學校財團法人健行科技大學,0,0,0.00,669,8902,56.00,0,0,0.00,0,0,0.00,89,5521,28.00
109,私立,技專校院,1037,正修學校財團法人正修科技大學,0,0,0.00,637,3289,21.00,0,0,0.00,365,3000,0.00,0,0,0.00
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,0,0,0.00,36,9768,61.00,0,0,0.00,172,8609,0.00,176,7687,27.00
109,私立,一般大學,1039,玄奘大學,0,0,0.00,75,4102,25.00,0,0,0.00,0,0,0.00,50,5020,30.00
109,私立,技專校院,1040,建國科技大學,0,0,0.00,116,6044,40.00,0,0,0.00,0,0,0.00,74,4439,22.00
109,私立,技專校院,1041,明志科技大學,0,0,0.00,1094,5004,32.00,0,0,0.00,0,0,0.00,17,6000,11.00
109,私立,技專校院,1042,高苑科技大學,0,0,0.00,11,5257,34.00,0,0,0.00,0,0,0.00,63,6000,30.00
109,私立,技專校院,1043,大仁科技大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,74,6000,30.00
109,私立,技專校院,1044,聖約翰科技大學,0,0,0.00,34,1356,9.00,0,0,0.00,0,0,0.00,51,2461,12.00
109,私立,技專校院,1045,嶺東科技大學,0,0,0.00,39,11374,75.00,0,0,0.00,0,0,0.00,53,6000,30.00
109,私立,技專校院,1046,中國科技大學,0,0,0.00,167,10315,64.00,0,0,0.00,0,0,0.00,63,6000,30.00
109,私立,技專校院,1047,中臺科技大學,0,0,0.00,123,14088,88.00,0,0,0.00,0,0,0.00,75,6000,30.00
109,私立,一般大學,1048,亞洲大學,0,0,0.00,923,3464,22.00,491,2740,17.00,0,0,0.00,112,6000,30.00
109,私立,一般大學,1049,開南大學,0,0,0.00,257,1300,8.00,0,0,0.00,50,3000,0.00,71,6000,30.00
109,私立,一般大學,1050,佛光大學,0,0,0.00,872,5096,26.00,0,0,0.00,959,1935,0.00,23,6000,22.00
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,0,0,0.00,327,9485,60.00,0,0,0.00,19,4890,0.00,83,5556,26.00
109,私立,技專校院,1052,遠東科技大學,0,0,0.00,16,1220,8.00,0,0,0.00,0,0,0.00,89,6000,30.00
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,0,0,0.00,173,4442,28.00,0,0,0.00,0,0,0.00,76,6000,22.00
109,私立,技專校院,1054,景文科技大學,0,0,0.00,150,3572,22.00,0,0,0.00,61,25442,0.00,0,0,0.00
109,私立,技專校院,1055,中華醫事科技大學,0,0,0.00,262,23985,148.00,88,3673,24.00,117,1432,0.00,0,0,0.00
109,私立,技專校院,1056,東南科技大學,0,0,0.00,35,6796,43.00,0,0,0.00,0,0,0.00,36,6033,30.00
109,私立,技專校院,1057,德明財經科技大學,0,0,0.00,514,3500,50.00,0,0,0.00,0,0,0.00,22,7200,30.00
109,私立,一般大學,1058,明道學校財團法人明道大學,3,4667,0.00,111,10782,67.00,0,0,0.00,0,0,0.00,146,6177,30.00
109,私立,技專校院,1060,南開科技大學,0,0,0.00,228,7462,47.00,0,0,0.00,0,0,0.00,47,6000,27.00
109,私立,技專校院,1061,中華學校財團法人中華科技大學,0,0,0.00,10,6923,21.00,0,0,0.00,0,0,0.00,56,6000,30.00
109,私立,技專校院,1062,僑光科技大學,0,0,0.00,93,9736,54.00,0,0,0.00,0,0,0.00,93,7072,30.00
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,0,0,0.00,66,3023,19.00,0,0,0.00,0,0,0.00,55,6000,30.00
109,私立,技專校院,1064,美和學校財團法人美和科技大學,0,0,0.00,17,6715,38.00,0,0,0.00,0,0,0.00,87,5483,0.00
109,私立,技專校院,1065,吳鳳科技大學,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,102,6000,30.00
109,私立,技專校院,1066,環球學校財團法人環球科技大學,0,0,0.00,201,6411,40.00,0,0,0.00,0,0,0.00,68,6072,30.00
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,0,0,0.00,2,3825,24.00,0,0,0.00,0,0,0.00,53,6000,30.00
109,私立,技專校院,1068,中州學校財團法人中州科技大學,0,0,0.00,0,0,0.00,101,6839,41.00,0,0,0.00,13,6681,45.00
109,私立,技專校院,1069,修平學校財團法人修平科技大學,0,0,0.00,62,4325,27.00,0,0,0.00,0,0,0.00,40,6000,30.00
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,0,0,0.00,326,18867,119.00,98,5888,7.00,0,0,0.00,33,6000,30.00
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,0,0,0.00,10,23832,158.00,173,7698,38.00,60,6000,28.00,0,0,0.00
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,0,0,0.00,50,4480,28.00,0,0,0.00,7,3000,0.00,0,0,0.00
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,0,0,0.00,95,25000,159.00,0,0,0.00,58,6000,30.00,0,0,0.00
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,0,0,0.00,218,9118,54.00,0,0,0.00,0,0,0.00,70,6000,25.00
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,0,0,0.00,25,10219,64.00,0,0,0.00,0,0,0.00,14,6000,30.00
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,0,0,0.00,330,1874,12.00,0,0,0.00,0,0,0.00,13,6000,5.00
109,私立,技專校院,1078,致理學校財團法人致理科技大學,0,0,0.00,214,3341,21.00,0,0,0.00,0,0,0.00,75,6000,30.00
109,私立,一般大學,1079,康寧學校財團法人康寧大學,0,0,0.00,426,7616,45.00,0,0,0.00,0,0,0.00,129,8372,37.00
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,0,0,0.00,96,3167,21.00,0,0,0.00,0,0,0.00,32,6000,30.00
109,私立,技專校院,1081,東方學校財團法人東方設計大學,0,0,0.00,118,865,5.00,0,0,0.00,0,0,0.00,52,6000,30.00
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,0,0,0.00,36,4333,27.00,0,0,0.00,0,0,0.00,33,6840,21.00
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,0,0,0.00,870,3117,20.00,2,6000,37.00,0,0,0.00,22,6000,30.00
109,私立,技專校院,1084,亞東學校財團法人亞東科技大學,0,0,0.00,410,5443,34.00,0,0,0.00,0,0,0.00,56,6000,25.00
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,0,0,0.00,50,2949,14.00,134,7351,26.00,0,0,0.00,5,6000,30.00
109,私立,技專校院,1148,大漢技術學院,0,0,0.00,32,1769,11.00,0,0,0.00,0,0,0.00,6,6000,30.00
109,私立,技專校院,1159,和春技術學院,0,0,0.00,0,0,0.00,4,6000,40.00,0,0,0.00,6,6809,49.00
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,0,0,0.00,0,0,0.00,5,7204,45.00,0,0,0.00,0,0,0.00
109,私立,技專校院,1182,蘭陽技術學院,0,0,0.00,0,0,0.00,20,1661,10.00,0,0,0.00,1,6000,30.00
109,私立,技專校院,1183,黎明技術學院,0,0,0.00,131,2089,14.00,0,0,0.00,1,2642,0.00,54,6000,30.00
109,私立,技專校院,1185,經國管理暨健康學院,0,0,0.00,27,8912,55.00,0,0,0.00,0,0,0.00,70,6000,26.00
109,私立,技專校院,1188,大同技術學院,0,0,0.00,31,11916,74.00,0,0,0.00,0,0,0.00,14,6000,24.00
109,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,0,0,0.00,82,1111,7.00,0,0,0.00,0,0,0.00,4,6000,30.00
109,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,0,0,0.00,0,0,0.00,741,3067,17.00,0,0,0.00,0,0,0.00
109,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,0,0,0.00,94,636,4.00,0,0,0.00,41,2000,0.00,89,3632,9.00
109,私立,技專校院,1283,仁德醫護管理專科學校,0,0,0.00,347,4558,26.00,0,0,0.00,336,973,0.00,91,5576,29.00
109,私立,技專校院,1284,樹人醫護管理專科學校,708,3000,0.00,190,7800,49.00,351,1800,9.00,73,8500,0.00,1033,6000,30.00
109,私立,技專校院,1285,慈惠醫護管理專科學校,0,0,0.00,0,0,0.00,0,0,0.00,36,3000,0.00,0,0,0.00
109,私立,技專校院,1286,耕莘健康管理專科學校,0,0,0.00,5,7000,40.00,0,0,0.00,0,0,0.00,161,6000,30.00
109,私立,技專校院,1287,敏惠醫護管理專科學校,0,0,0.00,224,1187,7.00,58,994,5.00,256,250,0.00,142,500,1.00
109,私立,技專校院,1289,育英醫護管理專科學校,0,0,0.00,249,1349,9.00,335,638,4.00,0,0,0.00,26,7000,22.00
109,私立,技專校院,1291,聖母醫護管理專科學校,0,0,0.00,10,5312,33.00,0,0,0.00,0,0,0.00,120,6000,30.00
109,私立,技專校院,1292,新生醫護管理專科學校,0,0,0.00,48,6400,40.00,0,0,0.00,71,4000,30.00,0,0,0.00
109,私立,技專校院,1293,崇仁醫護管理專科學校,0,0,0.00,10,752,5.00,0,0,0.00,0,0,0.00,147,6000,23.00
109,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R03,臺北基督學院,0,0,0.00,27,2982,19.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,0,0,0.00,6,5000,30.00,24,3840,8.00,0,0,0.00,24,6000,8.00
109,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,0,0,0.00,9,1725,11.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R06,一貫道崇德學院,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R08,中華福音神學研究學院,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
109,私立,宗教研修學院,1R09,唯心聖教學院,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
109,公立,一般大學,3002,臺北市立大學,0,0,0.00,0,0,0.00,219,6042,38.00,0,0,0.00,533,6400,30.00
