學年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,營運能力-現金餘絀變動率燈號,營運能力-現金餘絀變動率(%)數值,營運能力-本期餘絀比率燈號,營運能力-本期餘絀比率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,償債能力-可用資金比率燈號,償債能力-可用資金比率(%)數值,財務結構-負債權益比率燈號,財務結構-負債權益比率(%)數值,其他-舉債指數
105,私立,技專校院,1061,中華學校財團法人中華科技大學,●,-8.79,●,-5.74,●,0.98,●,7.78,●,55.32,●,-0.26,●,14.41,2.10
105,私立,技專校院,1062,僑光科技大學,●,-0.85,●,3.32,●,27.57,●,178.72,●,1386.77,●,315.64,●,3.02,0
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,●,-13.23,●,-11.19,●,-4.04,●,-51.54,●,839.51,●,204.89,●,3.48,0
105,私立,技專校院,1064,美和學校財團法人美和科技大學,●,-1.38,●,-4.78,●,7.03,●,43.15,●,292.25,●,66.87,●,8.32,0
105,私立,技專校院,1065,吳鳳科技大學,●,-6.39,●,-7.27,●,1.87,●,79.27,●,430.19,●,79.17,●,3.16,0
105,私立,技專校院,1066,環球學校財團法人環球科技大學,●,-6.20,●,-105.01,●,-2.08,●,3.26,●,252.45,●,63.68,●,9.72,0
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,●,-21.35,●,-4.27,●,-15.94,●,34.73,●,295.64,●,46.39,●,2.41,0
105,私立,技專校院,1068,中州學校財團法人中州科技大學,●,-15.02,●,-14.42,●,-5.13,●,-12.59,●,232.63,●,71.44,●,10.93,0
105,私立,技專校院,1069,修平學校財團法人修平科技大學,●,-8.79,●,-3.27,●,6.15,●,53.90,●,339.48,●,78.92,●,10.18,0
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,●,-0.90,●,4.57,●,28.85,●,163.96,●,1040.38,●,321.25,●,2.07,0
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,●,-0.18,●,-6.91,●,19.98,●,137.29,●,772.66,●,224.09,●,24.86,0
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,●,-16.70,●,-5.37,●,-8.83,●,-17.65,●,67.21,●,4.35,●,17.37,-15.99
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,●,-2.15,●,-8.46,●,7.41,●,102.72,●,594.51,●,95.45,●,4.45,0
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,●,-21.24,●,-25.96,●,-19.09,●,-177.94,●,256.58,●,36.54,●,3.64,0
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,●,-0.02,●,1.30,●,7.07,●,85.18,●,705.63,●,159.43,●,7.03,0
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,●,-5.62,●,-3.60,●,3.25,●,31.90,●,410.73,●,66.33,●,4.98,0
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,●,6.16,●,-0.16,●,3.01,●,17.42,●,227.45,●,45.13,●,4.69,0
105,私立,技專校院,1078,致理學校財團法人致理科技大學,●,-0.02,●,-4.54,●,11.73,●,98.80,●,815.02,●,189.19,●,6.29,0
105,私立,一般大學,1079,康寧學校財團法人康寧大學,●,-5.83,●,-2.18,●,-14.54,●,13.16,●,118.99,●,29.84,●,4.27,0
105,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,●,-3.39,●,5.10,●,16.51,●,171.84,●,1585.28,●,436.36,●,3.19,0
105,私立,技專校院,1081,東方學校財團法人東方設計大學,●,-6.53,●,-13.05,●,-11.46,●,-39.13,●,304.69,●,63.16,●,6.36,0
105,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,●,-8.55,●,-12.89,●,1.87,●,15.99,●,417.63,●,115.45,●,8.35,0
105,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,●,-9.60,●,4.82,●,16.76,●,99.70,●,154.47,●,44.40,●,20.53,0.52
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,●,74.52,●,6.01,●,-2.80,●,62.66,●,106.94,●,70.48,●,11.60,0
105,私立,技專校院,1148,大漢技術學院,●,-16.29,●,-34.28,●,-32.83,●,-87.15,●,1392.29,●,233.70,●,1.61,0
105,私立,技專校院,1159,和春技術學院,●,-16.23,●,-8.42,●,-9.71,●,42.23,●,495.06,●,187.33,●,3.84,0
105,私立,技專校院,1166,亞東技術學院,●,-4.87,●,2.15,●,19.28,●,295.11,●,5036.11,●,1295.26,●,1.14,0
105,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,●,-14.86,●,-16,●,5.05,●,15.97,●,382.15,●,74.36,●,8.44,0
105,私立,一般大學,1176,稻江科技暨管理學院,●,-5.20,●,2.30,●,-13.26,●,-28.93,●,186.41,●,50.20,●,5.34,0
105,私立,技專校院,1182,蘭陽技術學院,●,-12.63,●,-10.24,●,-15.16,●,39.56,●,189.95,●,40.68,●,4.94,0
105,私立,技專校院,1183,黎明技術學院,●,-1.01,●,-21.24,●,10.81,●,30.57,●,153.30,●,36.50,●,14.46,0
105,私立,技專校院,1185,經國管理暨健康學院,●,-1.11,●,-1.88,●,-5.59,●,-18.37,●,336.53,●,95.65,●,10.88,0
105,私立,技專校院,1188,大同技術學院,●,-9.05,●,0.03,●,-12.74,●,-46.02,●,357.38,●,67.26,●,4.18,0
105,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,●,-16.87,●,37.41,●,26.15,●,184.15,●,78.33,●,-4.64,●,7.67,0
105,私立,技專校院,1192,臺灣觀光學院,●,-18.73,●,-14.47,●,-15.81,●,-31.44,●,179.57,●,50.99,●,7.52,0
105,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,●,0.49,●,51.58,●,7.68,●,129.47,●,1046.43,●,437.69,●,2.20,0
105,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,●,33.81,●,16.07,●,28.78,●,91.47,●,293.93,●,151.20,●,7.49,0
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,●,0.76,●,-4.34,●,12.99,●,88.45,●,419.58,●,159.95,●,15.99,0
105,私立,技專校院,1283,仁德醫護管理專科學校,●,1.98,●,-3.41,●,19.09,●,78.47,●,259.03,●,56.30,●,10.30,0
105,私立,技專校院,1284,樹人醫護管理專科學校,●,1.36,●,1.12,●,18.61,●,133.73,●,652.76,●,204.40,●,6.82,0
105,私立,技專校院,1285,慈惠醫護管理專科學校,●,-2.36,●,-4.50,●,12.15,●,86.32,●,374.51,●,110.68,●,8.11,0
105,私立,技專校院,1286,耕莘健康管理專科學校,●,3.98,●,1.11,●,18.39,●,104.27,●,382.85,●,143.24,●,36.12,0
105,私立,技專校院,1287,敏惠醫護管理專科學校,●,2.84,●,3.76,●,10.62,●,66.34,●,275.64,●,93.39,●,15.99,0
105,私立,技專校院,1288,高美醫護管理專科學校,●,-10.46,●,6.55,●,8.78,●,35.42,●,72.84,●,-1.52,●,24.91,6.52
105,私立,技專校院,1289,育英醫護管理專科學校,●,-2.80,●,3.11,●,6.16,●,70.71,●,445.61,●,170.40,●,7.26,0
105,私立,技專校院,1290,崇仁醫護管理專科學校,●,1.61,●,0.79,●,12.74,●,121.51,●,468.71,●,162.13,●,4.85,0
