年度,設立別,學校類別,學校統計處代碼,學校名稱,營運能力-累積餘絀比率燈號,營運能力-累積餘絀比率(%)數值,營運能力-資產效益比率燈號,營運能力-資產效益比率(%)數值,營運能力-學雜費收入變動率燈號,營運能力-學雜費收入變動率(%)數值,償債能力-現金流量比率燈號,償債能力-現金流量比率(%)數值,償債能力-速動比率燈號,償債能力-速動比率(%)數值,財務結構-負債變動率燈號,財務結構-負債變動率(%)數值,其他-舉債指數
105,私立,一般大學,1058,明道學校財團法人明道大學,●,77.91,●,2.51,●,-10.11,●,46.51,●,100.86,●,-28.97,0.50
105,私立,技專校院,1060,南開科技大學,●,93.01,●,0.28,●,-9.39,●,68.55,●,603.96,●,-14.71,0
105,私立,技專校院,1061,中華學校財團法人中華科技大學,●,87.05,●,0.40,●,-8.79,●,40.75,●,55.32,●,-13.37,2.10
105,私立,技專校院,1062,僑光科技大學,●,89.62,●,7.90,●,-0.85,●,278.58,●,1386.77,●,-41.14,0
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,●,95.11,●,-0.88,●,-13.23,●,8.58,●,839.51,●,-36.97,0
105,私立,技專校院,1064,美和學校財團法人美和科技大學,●,88.67,●,3.39,●,-1.38,●,98.08,●,292.25,●,-47.22,0
105,私立,技專校院,1065,吳鳳科技大學,●,96.47,●,0.48,●,-6.39,●,136.63,●,430.19,●,-45.55,0
105,私立,技專校院,1066,環球學校財團法人環球科技大學,●,87.53,●,-0.63,●,-6.20,●,52.62,●,252.45,●,-32.49,0
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,●,97.34,●,-2.36,●,-21.35,●,41.68,●,295.64,●,37.51,0
105,私立,技專校院,1068,中州學校財團法人中州科技大學,●,90.83,●,-1.54,●,-15.02,●,34.59,●,232.63,●,-24.84,0
105,私立,技專校院,1069,修平學校財團法人修平科技大學,●,88.43,●,2.46,●,-8.79,●,102.01,●,339.48,●,-21.95,0
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,●,43.20,●,2.11,●,-0.90,●,209.68,●,1040.38,●,2.84,0
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,●,63.46,●,4.22,●,-0.18,●,192.88,●,772.66,●,0.94,0
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,●,87.08,●,-2.17,●,-16.70,●,31.93,●,67.21,●,-15.04,-15.99
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,●,92.24,●,3.73,●,-2.15,●,205.86,●,594.51,●,7.80,0
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,●,101.73,●,-5.51,●,-21.24,●,-78.06,●,256.58,●,-47.64,0
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,●,90.33,●,3.09,●,-0.02,●,118.56,●,705.63,●,9.20,0
105,私立,技專校院,1076,華夏學校財團法人華夏科技大學,●,94.13,●,1.18,●,-5.62,●,100.83,●,410.73,●,-19.75,0
105,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,●,89.18,●,0.97,●,6.16,●,137.95,●,227.45,●,-10.72,0
105,私立,技專校院,1078,致理學校財團法人致理科技大學,●,89.47,●,4.81,●,-0.02,●,166.25,●,815.02,●,3.65,0
105,私立,一般大學,1079,康寧學校財團法人康寧大學,●,92.52,●,-1.97,●,-5.83,●,41.73,●,118.99,●,-15.43,0
105,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,●,94.05,●,3,●,-3.39,●,204.98,●,1585.28,●,7.74,0
105,私立,技專校院,1081,東方學校財團法人東方設計大學,●,97.82,●,-4.09,●,-6.53,●,23.06,●,304.69,●,8.32,0
105,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,●,91.58,●,0.60,●,-8.55,●,58.86,●,417.63,●,-30,0
105,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,●,79.13,●,4.49,●,-9.60,●,123.44,●,154.47,●,-24.59,0.52
105,私立,一般大學,1125,中信學校財團法人中信金融管理學院,●,81.96,●,-0.54,●,74.52,●,74.80,●,106.94,●,89.79,0
105,私立,技專校院,1148,大漢技術學院,●,87.77,●,-3.54,●,-16.29,●,-11.26,●,1392.29,●,-29.40,0
105,私立,技專校院,1159,和春技術學院,●,96.24,●,-1.52,●,-16.23,●,88.12,●,495.06,●,8.83,0
