學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02191026,藝術史研究所,2,1,1,0,1,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02299Y15,文學院,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,7,4,3,0,1,2,1,1,0,1,1,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02312034,翻譯研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,02321028,臺灣語文學系,1,0,1,0,1,0,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03143042,東亞學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,03143045,歐洲文化與觀光研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04131047,全球經營與策略研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05111056,生命科學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,2,2,0,1,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0004,國立臺灣師範大學,99999999,教務處,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,一般大學,0005,國立成功大學,02222111,考古學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,4,3,1,1,0,0,1,1,0,1,0,0,0
106,公立,一般大學,0005,國立成功大學,05111003,生命科學系,2,2,0,0,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,05321019,地球科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,05331021,物理學系,3,3,0,2,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,05331023,太空與電漿科學研究所,3,3,0,2,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,05411027,數學系,2,2,0,1,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,2,2,0,0,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,07311075,建築學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,09121054,分子醫學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,09121077,醫學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,09121078,臨床醫學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0005,國立成功大學,09161087,藥理學研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,4,2,2,1,0,1,0,0,0,0,2,0,0
106,公立,一般大學,0006,國立中興大學,02322005,中國文學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,04143020,行銷學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0006,國立中興大學,08111064,國際農學碩士學位學程,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,02151003,音樂研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,3,2,1,1,0,1,0,0,1,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,04131017,經營管理研究所,1,0,1,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,04199023,科技管理研究所,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,04212027,科技法律研究所,1,0,1,0,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,1,1,0,0,0,0,0,1,0,0,0,0,0
