學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
105,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,705509,58.81,220822,18.41,140489,11.71,6848,0.57,49337,4.11,34007,2.83,23,0,1809,0.15,40884,3.41,1199729,100
105,私立,技專校院,1052,遠東科技大學,522753,53.75,245702,25.26,125180,12.87,10270,1.06,52942,5.44,12762,1.31,0,0,0,0,2893,0.30,972503,100
105,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,457347,58.17,168149,21.39,94171,11.98,8334,1.06,26163,3.33,28432,3.62,0,0,0,0,3637,0.46,786233,100
105,私立,技專校院,1054,景文科技大學,471963,60.77,149033,19.19,88143,11.35,5798,0.75,21306,2.74,19856,2.56,0,0,0,0,20582,2.65,776681,100
105,私立,技專校院,1055,中華醫事科技大學,533670,57.04,194538,20.79,105160,11.24,15173,1.62,31783,3.40,49668,5.31,0,0,0,0,5599,0.60,935592,100
105,私立,技專校院,1056,東南科技大學,451923,54.61,170774,20.64,89382,10.80,33266,4.02,16806,2.03,62385,7.54,0,0,0,0,3039,0.37,827576,100
105,私立,技專校院,1057,德明財經科技大學,491591,59.57,134112,16.25,69346,8.40,6644,0.81,99810,12.10,15292,1.85,0,0,0,0,8409,1.02,825203,100
105,私立,一般大學,1058,明道學校財團法人明道大學,300921,43.75,260249,37.84,64585,9.39,12708,1.85,24937,3.63,14043,2.04,4978,0.72,0,0,5424,0.79,687844,100
105,私立,技專校院,1060,南開科技大學,399685,58.59,125844,18.45,77364,11.34,13078,1.92,36376,5.33,21822,3.20,198,0.03,0,0,7855,1.15,682222,100
105,私立,技專校院,1061,中華學校財團法人中華科技大學,474474,55.41,172602,20.16,106550,12.44,5300,0.62,32691,3.82,52805,6.17,3338,0.39,6062,0.71,2546,0.30,856367,100
105,私立,技專校院,1062,僑光科技大學,434383,52.56,121313,14.68,106066,12.83,4559,0.55,31684,3.83,121460,14.70,0,0,0,0,7037,0.85,826502,100
105,私立,技專校院,1063,廣亞學校財團法人育達科技大學,296138,49.95,138700,23.39,73041,12.32,24251,4.09,13494,2.28,31116,5.25,0,0,0,0,16159,2.73,592899,100
105,私立,技專校院,1064,美和學校財團法人美和科技大學,453482,55.16,188264,22.90,93742,11.40,41402,5.04,18873,2.30,17723,2.16,681,0.08,0,0,7926,0.96,822095,100
105,私立,技專校院,1065,吳鳳科技大學,347246,54.13,115240,17.97,86930,13.55,41577,6.48,26918,4.20,13590,2.12,603,0.09,0,0,9356,1.46,641459,100
105,私立,技專校院,1066,環球學校財團法人環球科技大學,346789,50.11,173472,25.07,87103,12.59,20599,2.98,38946,5.63,20164,2.91,1351,0.20,0,0,3650,0.53,692073,100
105,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,238659,59.24,54484,13.52,49783,12.36,3408,0.85,41268,10.24,8532,2.12,0,0,6541,1.62,215,0.05,402890,100
105,私立,技專校院,1068,中州學校財團法人中州科技大學,222461,43.78,177531,34.94,75101,14.78,1893,0.37,16756,3.30,4502,0.89,1561,0.31,0,0,8320,1.64,508125,100
105,私立,技專校院,1069,修平學校財團法人修平科技大學,451724,63.22,135154,18.91,84365,11.81,5853,0.82,17443,2.44,11223,1.57,735,0.10,0,0,8039,1.13,714536,100
105,私立,技專校院,1070,長庚學校財團法人長庚科技大學,700777,53.08,299702,22.70,148357,11.24,2810,0.21,31916,2.42,68739,5.21,0,0,27,0,67792,5.14,1320121,100
105,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,537797,62.94,132316,15.49,129405,15.15,7642,0.89,22668,2.65,16356,1.91,0,0,0,0,8222,0.96,854407,100
105,私立,技專校院,1072,大華學校財團法人敏實科技大學,198962,45.59,141169,32.35,68770,15.76,8543,1.96,6815,1.56,6919,1.59,3264,0.75,0,0,1993,0.46,436434,100
105,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,473679,53.96,212905,24.25,81222,9.25,10442,1.19,27913,3.18,69407,7.91,0,0,0,0,2255,0.26,877823,100
105,私立,技專校院,1074,南榮學校財團法人南榮科技大學,185611,53.43,49499,14.25,49982,14.39,1180,0.34,48330,13.91,5909,1.70,95,0.03,0,0,6805,1.96,347410,100
105,私立,技專校院,1075,文藻學校財團法人文藻外語大學,621714,59.68,209559,20.12,82109,7.88,11484,1.10,77909,7.48,22901,2.20,0,0,0,0,16036,1.54,1041711,100
