學年度,設立別,學校類別,學校統計處代碼,學校名稱,在學學生數-小計,在學學生數-男,在學學生數-女,獲弱勢學生助學計畫補助之受惠學生人數-小計,獲弱勢學生助學計畫補助之受惠學生人數-男,獲弱勢學生助學計畫補助之受惠學生人數-女,每千名學生獲弱勢學生助學計畫補助之受惠學生人數比率(‰)
109,私立,技專校院,1056,東南科技大學,5168,3493,1675,200,115,85,38.70
109,私立,技專校院,1057,德明財經科技大學,7419,3194,4225,334,95,239,45.02
109,私立,一般大學,1058,明道學校財團法人明道大學,2525,1500,1025,148,80,68,58.61
109,私立,技專校院,1060,南開科技大學,3755,2545,1210,229,122,107,60.99
109,私立,技專校院,1061,中華學校財團法人中華科技大學,4773,3366,1407,210,125,85,44
109,私立,技專校院,1062,僑光科技大學,10610,5081,5529,683,227,456,64.37
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,3962,1926,2036,209,53,156,52.75
109,私立,技專校院,1064,美和學校財團法人美和科技大學,6560,1911,4649,430,106,324,65.55
109,私立,技專校院,1065,吳鳳科技大學,5058,3324,1734,736,410,326,145.51
109,私立,技專校院,1066,環球學校財團法人環球科技大學,3673,1763,1910,307,108,199,83.58
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,1130,569,561,74,34,40,65.49
109,私立,技專校院,1068,中州學校財團法人中州科技大學,2668,1375,1293,148,27,121,55.47
109,私立,技專校院,1069,修平學校財團法人修平科技大學,5030,3836,1194,275,177,98,54.67
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,6333,645,5688,564,48,516,89.06
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,9858,6218,3640,482,263,219,48.89
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,771,487,284,22,13,9,28.53
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,7943,3499,4444,360,123,237,45.32
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,9012,2403,6609,422,98,324,46.83
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,4043,2543,1500,171,63,108,42.30
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,3163,759,2404,85,15,70,26.87
109,私立,技專校院,1078,致理學校財團法人致理科技大學,11576,3840,7736,567,136,431,48.98
109,私立,一般大學,1079,康寧學校財團法人康寧大學,3465,855,2610,34,2,32,9.81
109,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,5370,3226,2144,138,72,66,25.70
109,私立,技專校院,1081,東方學校財團法人東方設計大學,2072,1056,1016,92,25,67,44.40
109,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,2609,1234,1375,130,53,77,49.83
109,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4192,2380,1812,109,38,71,26
109,私立,一般大學,1125,中信學校財團法人中信金融管理學院,825,460,365,11,5,6,13.33
109,私立,技專校院,1148,大漢技術學院,999,605,394,10,1,9,10.01
109,私立,技專校院,1159,和春技術學院,688,493,195,23,13,10,33.43
109,私立,技專校院,1166,亞東技術學院,4388,2959,1429,259,151,108,59.02
109,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,3363,1916,1447,112,25,87,33.30
109,私立,技專校院,1182,蘭陽技術學院,577,314,263,4,3,1,6.93
