,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,畢業生總人數,男,女
,101,公立,一般大學,1,國立政治大學,380101,法律學系,學士班(日間),217,84,133
,101,公立,一般大學,1,國立政治大學,380101,法律學系,碩士班(日間),56,25,31
,101,公立,一般大學,1,國立政治大學,380101,法律學系,博士班,3,2,1
,101,公立,一般大學,1,國立政治大學,380204,法律科際整合研究所,碩士班(日間),8,5,3
,101,公立,一般大學,1,國立政治大學,389998,法學院碩士在職專班,碩士在職專班,44,25,19
,101,公立,一般大學,1,國立政治大學,440302,應用物理研究所,碩士班(日間),10,8,2
,101,公立,一般大學,1,國立政治大學,460102,應用數學系,學士班(日間),52,44,8
,101,公立,一般大學,1,國立政治大學,460102,應用數學系,碩士班(日間),12,10,2
,101,公立,一般大學,1,國立政治大學,460201,統計學系,學士班(日間),44,23,21
,101,公立,一般大學,1,國立政治大學,460201,統計學系,碩士班(日間),29,19,10
,101,公立,一般大學,1,國立政治大學,460201,統計學系,博士班,5,3,2
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,學士班(日間),70,42,28
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,碩士班(日間),22,13,9
,101,公立,一般大學,1,國立政治大學,480109,資訊管理學系,博士班,2,2,0
,101,公立,一般大學,1,國立政治大學,480505,數位內容碩士學位學程,碩士班(日間),8,4,4
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系,學士班(日間),50,41,9
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系,碩士班(日間),30,24,6
,101,公立,一般大學,1,國立政治大學,520116,資訊科學系碩士在職專班,碩士在職專班,18,12,6
,101,公立,一般大學,1,國立政治大學,720111,神經科學研究所,碩士班(日間),5,3,2
,101,公立,一般大學,1,國立政治大學,760301,社會工作研究所,碩士班(日間),13,5,8
,101,公立,一般大學,2,國立清華大學,220101,台灣文學研究所,碩士班(日間),5,1,4
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,學士班(日間),44,8,36
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,碩士班(日間),3,0,3
,101,公立,一般大學,2,國立清華大學,220201,中國文學系,博士班,10,4,6
,101,公立,一般大學,2,國立清華大學,220301,外國語文學系,學士班(日間),64,14,50
,101,公立,一般大學,2,國立清華大學,220301,外國語文學系,碩士班(日間),7,0,7
,101,公立,一般大學,2,國立清華大學,220701,語言學研究所,碩士班(日間),8,3,5
,101,公立,一般大學,2,國立清華大學,220701,語言學研究所,博士班,5,2,3
,101,公立,一般大學,2,國立清華大學,220901,歷史研究所,碩士班(日間),14,7,7
,101,公立,一般大學,2,國立清華大學,220901,歷史研究所,博士班,3,1,2
,101,公立,一般大學,2,國立清華大學,221001,人類學研究所,碩士班(日間),10,5,5
,101,公立,一般大學,2,國立清華大學,221101,哲學研究所,碩士班(日間),8,4,4
,101,公立,一般大學,2,國立清華大學,229999,人文社會學院學士班,學士班(日間),43,11,32
,101,公立,一般大學,2,國立清華大學,310101,經濟學系,學士班(日間),118,41,77
,101,公立,一般大學,2,國立清華大學,310101,經濟學系,碩士班(日間),24,10,14
,101,公立,一般大學,2,國立清華大學,310101,經濟學系,博士班,2,1,1
,101,公立,一般大學,2,國立清華大學,310301,社會學研究所,碩士班(日間),16,5,11
,101,公立,一般大學,2,國立清華大學,310719,台灣研究教師在職進修碩士學位班,碩士在職專班,10,1,9
,101,公立,一般大學,2,國立清華大學,311019,學習科學研究所,碩士班(日間),3,2,1
,101,公立,一般大學,2,國立清華大學,340303,經營管理碩士在職專班,碩士在職專班,36,24,12
,101,公立,一般大學,2,國立清華大學,340310,國際專業管理碩士班,碩士班(日間),23,8,15
,101,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,學士班(日間),54,20,34
,101,公立,一般大學,2,國立清華大學,340501,計量財務金融學系,碩士班(日間),18,10,8
,101,公立,一般大學,2,國立清華大學,349901,科技管理研究所,碩士班(日間),25,12,13
,101,公立,一般大學,2,國立清華大學,349901,科技管理研究所,博士班,4,1,3
,101,公立,一般大學,2,國立清華大學,349939,高階經營管理碩士在職專班,碩士在職專班,37,28,9
,101,公立,一般大學,2,國立清華大學,349951,服務科學研究所,碩士班(日間),18,10,8
,101,公立,一般大學,2,國立清華大學,349996,科技管理學院學士班,學士班(日間),36,10,26
,101,公立,一般大學,2,國立清華大學,380203,科技法律研究所,碩士班(日間),19,7,12
,101,公立,一般大學,2,國立清華大學,420103,生命科學系,學士班(日間),52,31,21
,101,公立,一般大學,2,國立清華大學,420302,生物科技研究所,碩士班(日間),22,8,14
,101,公立,一般大學,2,國立清華大學,420302,生物科技研究所,博士班,12,11,1
,101,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,碩士班(日間),21,12,9
,101,公立,一般大學,2,國立清華大學,420313,分子與細胞生物研究所,博士班,8,6,2
,101,公立,一般大學,2,國立清華大學,420605,生物資訊與結構生物研究所,碩士班(日間),21,11,10
,101,公立,一般大學,2,國立清華大學,420605,生物資訊與結構生物研究所,博士班,18,13,5
,101,公立,一般大學,2,國立清華大學,429903,生命科學院學士班,學士班(日間),17,14,3
,101,公立,一般大學,2,國立清華大學,429904,系統神經科學研究所,碩士班(日間),3,3,0
,101,公立,一般大學,2,國立清華大學,440101,化學系,學士班(日間),64,36,28
,101,公立,一般大學,2,國立清華大學,440101,化學系,碩士班(日間),85,57,28
,101,公立,一般大學,2,國立清華大學,440101,化學系,博士班,35,25,10
,101,公立,一般大學,2,國立清華大學,440301,物理學系,學士班(日間),69,61,8
,101,公立,一般大學,2,國立清華大學,440301,物理學系,碩士班(日間),47,35,12
,101,公立,一般大學,2,國立清華大學,440301,物理學系,博士班,20,19,1
,101,公立,一般大學,2,國立清華大學,440601,天文研究所,碩士班(日間),3,2,1
,101,公立,一般大學,2,國立清華大學,440601,天文研究所,博士班,1,0,1
,101,公立,一般大學,2,國立清華大學,449905,先進光源科技學位學程,碩士班(日間),4,3,1
,101,公立,一般大學,2,國立清華大學,449999,理學院學士班,學士班(日間),27,18,9
,101,公立,一般大學,2,國立清華大學,460101,數學系,學士班(日間),39,30,9
,101,公立,一般大學,2,國立清華大學,460101,數學系,碩士班(日間),20,13,7
,101,公立,一般大學,2,國立清華大學,460101,數學系,博士班,3,1,2
,101,公立,一般大學,2,國立清華大學,460201,統計學研究所,碩士班(日間),23,20,3
,101,公立,一般大學,2,國立清華大學,460201,統計學研究所,博士班,3,0,3
,101,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,碩士班(日間),34,21,13
,101,公立,一般大學,2,國立清華大學,480401,資訊系統與應用研究所,博士班,4,0,4
,101,公立,一般大學,2,國立清華大學,520101,電機工程學系,學士班(日間),121,104,17
,101,公立,一般大學,2,國立清華大學,520101,電機工程學系,碩士班(日間),111,96,15
,101,公立,一般大學,2,國立清華大學,520101,電機工程學系,博士班,9,7,2
,101,公立,一般大學,2,國立清華大學,520103,電子工程研究所,碩士班(日間),63,51,12
,101,公立,一般大學,2,國立清華大學,520103,電子工程研究所,博士班,9,9,0
,101,公立,一般大學,2,國立清華大學,520106,光電工程研究所,碩士班(日間),38,31,7
,101,公立,一般大學,2,國立清華大學,520106,光電工程研究所,博士班,6,5,1
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,學士班(日間),138,109,29
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,碩士班(日間),133,104,29
,101,公立,一般大學,2,國立清華大學,520114,資訊工程學系,博士班,23,21,2
,101,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,碩士班(日間),45,41,4
,101,公立,一般大學,2,國立清華大學,520126,通訊工程研究所,博士班,5,4,1
,101,公立,一般大學,2,國立清華大學,520196,電機資訊學院學士班,學士班(日間),23,19,4
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,學士班(日間),102,90,12
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,碩士班(日間),108,92,16
,101,公立,一般大學,2,國立清華大學,520201,動力機械工程學系,博士班,21,20,1
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,學士班(日間),58,40,18
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,碩士班(日間),75,52,23
,101,公立,一般大學,2,國立清華大學,520401,化學工程學系,博士班,31,20,11
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,學士班(日間),129,99,30
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,碩士班(日間),103,79,24
,101,公立,一般大學,2,國立清華大學,520502,材料科學工程學系,博士班,37,31,6
,101,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,碩士班(日間),20,16,4
,101,公立,一般大學,2,國立清華大學,520518,奈米工程與微系統研究所,博士班,8,6,2
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,學士班(日間),57,33,24
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,碩士班(日間),77,42,35
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系碩士在職專班,碩士在職專班,22,14,8
,101,公立,一般大學,2,國立清華大學,520601,工業工程與工程管理學系,博士班,6,2,4
,101,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,學士班(日間),48,33,15
,101,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,碩士班(日間),29,18,11
,101,公立,一般大學,2,國立清華大學,521104,生醫工程與環境科學系,博士班,12,8,4
,101,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,學士班(日間),86,63,23
,101,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,碩士班(日間),72,61,11
,101,公立,一般大學,2,國立清華大學,521201,工程與系統科學系,博士班,17,16,1
,101,公立,一般大學,2,國立清華大學,521202,核子工程與科學研究所,碩士班(日間),22,19,3
,101,公立,一般大學,2,國立清華大學,521202,核子工程與科學研究所,博士班,1,1,0
,101,公立,一般大學,2,國立清華大學,521399,原子科學院學士班,學士班(日間),14,9,5
,101,公立,一般大學,2,國立清華大學,529999,工學院學士班,學士班(日間),18,15,3
,101,公立,一般大學,2,國立清華大學,720107,分子醫學研究所,碩士班(日間),23,16,7
,101,公立,一般大學,2,國立清華大學,720107,分子醫學研究所,博士班,4,3,1
,101,公立,一般大學,3,國立臺灣大學,210401,音樂學研究所,碩士班(日間),8,3,5
,101,公立,一般大學,3,國立臺灣大學,210501,戲劇學系,學士班(日間),19,8,11
,101,公立,一般大學,3,國立臺灣大學,210501,戲劇學系,碩士班(日間),5,0,5
,101,公立,一般大學,3,國立臺灣大學,210703,藝術史研究所,碩士班(日間),8,1,7
,101,公立,一般大學,3,國立臺灣大學,220101,臺灣文學研究所,碩士班(日間),13,5,8
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,學士班(日間),54,16,38
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系國際學生學士班,學士班(日間),13,5,8
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,學士班(進修),4,0,4
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,碩士班(日間),24,5,19
,101,公立,一般大學,3,國立臺灣大學,220201,中國文學系,博士班,14,8,6
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,學士班(日間),111,22,89
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,學士班(進修),1,0,1
,101,公立,一般大學,3,國立臺灣大學,220301,外國語文學系,碩士班(日間),11,1,10
