學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
106,私立,技專校院,1056,東南科技大學,581658,19867,-54257,4,0,-34386
106,私立,技專校院,1057,德明財經科技大學,2397770,207179,-107510,39,0,99708
106,私立,一般大學,1058,明道學校財團法人明道大學,69333,61709,-40460,-27402,0,-6153
106,私立,技專校院,1060,南開科技大學,573865,39496,-60533,-11586,0,-32623
106,私立,技專校院,1061,中華學校財團法人中華科技大學,-31447,54945,-93868,-12879,0,-51802
106,私立,技專校院,1062,僑光科技大學,1618332,351788,-94208,-3341,0,254239
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,575364,14486,-48855,-275,0,-34644
106,私立,技專校院,1064,美和學校財團法人美和科技大學,356782,98550,-48523,590,0,50617
106,私立,技專校院,1065,吳鳳科技大學,311059,75591,-44830,-3142,0,27619
106,私立,技專校院,1066,環球學校財團法人環球科技大學,48739,11421,-175226,-2700,0,-166505
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,99395,-17744,-13010,-407,0,-31161
106,私立,技專校院,1068,中州學校財團法人中州科技大學,159081,24142,-13805,-23623,0,-13286
106,私立,技專校院,1069,修平學校財團法人修平科技大學,346116,59686,-55826,-38533,0,-34673
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,2807136,685013,-236377,2939,0,451575
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,1443746,330627,-128588,-2795,0,199244
106,私立,技專校院,1072,大華學校財團法人敏實科技大學,31164,36067,-21666,352,0,14753
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,465336,118083,-116750,-296,0,1037
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,31927,-30807,-6913,-4130,0,-41850
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,959423,147844,-168117,5913,0,-14360
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,241541,56774,-31294,-150,0,25330
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,163431,134045,-84925,1281,0,50401
106,私立,技專校院,1078,致理學校財團法人致理科技大學,1189434,180439,-111576,1455,0,70318
106,私立,一般大學,1079,康寧學校財團法人康寧大學,95951,62834,-49298,-1184,0,12352
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,1650955,133947,-77375,-189,0,56383
106,私立,技專校院,1081,東方學校財團法人東方設計大學,145983,-5864,-40430,1921,0,-44373
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,210498,39884,-39931,-18884,0,-18931
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,151756,142975,-55002,-81895,0,6078
106,私立,一般大學,1125,中信學校財團法人中信金融管理學院,42481,15897,-35922,-577,0,-20602
106,私立,技專校院,1148,大漢技術學院,191621,-11467,-12845,1611,0,-22701
106,私立,技專校院,1159,和春技術學院,229346,-45518,-12875,-601,0,-58994
106,私立,技專校院,1166,亞東技術學院,4838939,297524,-147191,3856,0,154189
106,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,141824,532,-22031,-47598,0,-69097
106,私立,一般大學,1176,稻江科技暨管理學院,77174,31003,-14806,163,0,16360
106,私立,技專校院,1182,蘭陽技術學院,56650,-3120,-13766,-4815,0,-21701
106,私立,技專校院,1183,黎明技術學院,123852,89900,-37997,-19149,0,32754
106,私立,技專校院,1185,經國管理暨健康學院,242945,42056,-56949,-7584,0,-22477
106,私立,技專校院,1188,大同技術學院,50772,-11616,-20035,55,0,-31596
106,私立,技專校院,1189,亞太學校財團法人亞太創意技術學院,-51921,-66122,26689,-425,0,-39858
106,私立,技專校院,1192,臺灣觀光學院,40026,-681,-4285,-974,0,-5940
106,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,1081824,152438,-31864,1866,0,122440
106,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,148638,23470,-10922,-1058,0,11490
106,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,469138,156742,-48546,-25619,0,82577
106,私立,技專校院,1283,仁德醫護管理專科學校,234731,137071,-47285,-21196,0,68590
106,私立,技專校院,1284,樹人醫護管理專科學校,708649,153158,-91436,5819,0,67541
