,學年度,學校代碼,學校名稱,"機械儀器
及設備",圖書及博物,無形資產,"土地及
土地改良物",房屋及建築,"其他動產
及不動產",合計
,102,1060,南開科技大學,30507,5424,7528,-,8,20713,64181
,102,1061,中華科技大學,53286,6089,-,-,73723,6079,139177
,102,1062,僑光科技大學,34297,8338,6533,-,41,15762,64972
,102,1063,育達科技大學,22361,6524,12400,2970,13423,12937,70615
,102,1064,美和科技大學,68879,8185,11037,-,-,10701,98801
,102,1065,吳鳳科技大學,28714,5491,5071,7645,2929,2319,52169
,102,1066,環球科技大學,47361,8079,9040,614,177270,4458,246822
,102,1067,台灣首府大學,17842,5000,1162,486,7377,161,32027
,102,1068,中州科技大學,22881,1660,6447,-,18483,10507,59978
,102,1069,修平科技大學,49982,11303,5151,-,-,9048,75484
,102,1070,長庚科技大學,37357,9405,3835,-,20571,13587,84755
,102,1071,臺北城市科技大學,36400,7349,12189,-,17740,8213,81891
,102,1072,大華科技大學,23746,5178,3971,-,99988,251,133133
,102,1073,醒吾科技大學,24077,9642,8261,-,17030,5094,64104
,102,1074,南榮科技大學,37619,2236,6927,-,298,3144,50224
,102,1075,文藻外語大學,36251,10756,4754,-,5527,3523,60810
,102,1076,華夏科技大學,31842,5148,3804,28220,1890,798,71702
,102,1125,中信金融管理學院,2939,365,477,-,-,877,4658
,102,1148,大漢技術學院,9401,401,1345,-,8244,1029,20419
,102,1150,慈濟技術學院,10055,12216,4436,-,-,39650,66357
,102,1154,永達技術學院,10283,898,4194,-,-,99,15474
,102,1159,和春技術學院,49776,769,1036,-,-,128,51708
,102,1164,致理技術學院,31563,11410,15639,740,108455,18510,186317
,102,1166,亞東技術學院,37022,3005,7173,-,-,5760,52960
,102,1168,桃園創新技術學院,31730,2685,3252,-,-,7585,45252
,102,1176,稻江科技暨管理學院,7326,3651,2610,-,6660,9348,29595
,102,1179,德霖技術學院,23990,4294,4965,-,7201,4127,44577
,102,1182,蘭陽技術學院,28306,1466,5056,-,8350,6248,49427
,102,1183,黎明技術學院,19522,1269,2963,3822,24767,3185,55528
,102,1184,東方設計學院,29135,6260,4153,5070,14090,9615,68324
,102,1185,經國管理暨健康學院,24581,3349,3002,-,114937,24730,170600
,102,1187,崇右技術學院,11720,2436,2742,-,20728,9275,46900
,102,1188,大同技術學院,8191,2497,1464,-,-,19011,31163
,102,1189,亞太創意技術學院,12085,1400,5619,-,133,4094,23331
,102,1192,臺灣觀光學院,10786,574,2463,8198,322,9961,32304
,102,1195,馬偕醫學院,27725,7086,4350,-,8801,15954,63916
,102,1196,法鼓文理學院,894,3073,389,-,-,1811,6166
,102,1197,台北海洋技術學院,37457,2003,2418,32379,246661,35757,356676
,102,1281,康寧醫護暨管理專科學校,16959,2704,2464,-,-,2469,24597
,102,1282,馬偕醫護管理專科學校,17994,5075,3931,-,-,9223,36223
,102,1283,仁德醫護管理專科學校,18059,6612,2941,-,-,19185,46796
,102,1284,樹人醫護管理專科學校,27734,2103,18075,-,2950,1018,51880
,102,1285,慈惠醫護管理專科學校,35573,2250,1898,7160,-,-,46881
,102,1286,耕莘健康管理專科學校,24658,3571,3520,-,9443,13908,55100
,102,1287,敏惠醫護管理專科學校,16578,7936,4210,1500,14052,23802,68078
,102,1288,高美醫護管理專科學校,14968,599,563,-,-,1035,17164
,102,1289,育英醫護管理專科學校,10230,2745,3123,2210,4370,7169,29846
,102,1290,崇仁醫護管理專科學校,18238,2414,678,-,16585,10197,48112
,102,1291,聖母醫護管理專科學校,22050,1250,3441,-,3189,3252,33181
,102,1292,新生醫護管理專科學校,19086,3209,2613,-,89382,12817,127106
,102,1R02,基督教台灣浸會神學院,41,1395,-,-,-,134,1570
,102,1R03,臺北基督學院,2419,416,564,-,-,773,4172
,103,1001,東海大學,102151,45424,19040,6508,40110,30424,243658
,103,1002,輔仁大學,204724,55198,18752,121,71031,20408,370235
,103,1003,東吳大學,36833,31403,10051,16499,28527,26873,150187
,103,1004,中原大學,101329,45777,14511,-,68672,50026,280315
,103,1005,淡江大學,202597,93899,10563,27312,119501,4825,458695
,103,1006,中國文化大學,249393,67979,19576,-,91821,20714,449484
,103,1007,逢甲大學,74240,52262,21783,-,66268,42832,257385
,103,1008,靜宜大學,55607,19771,6429,22773,15734,17157,137471
,103,1009,長庚大學,191984,10125,14889,-,24571,12306,253876
,103,1010,元智大學,85803,37719,10474,-,38531,2980,175507
,103,1011,中華大學,29417,23512,5244,11084,2000,37801,109057
,103,1012,大葉大學,80025,26894,7683,-,104388,2533,221522
,103,1013,華梵大學,23733,7186,3825,-,37180,10978,82902
,103,1014,義守大學,134836,26228,5574,-,28391,10732,205760
,103,1015,世新大學,33245,16098,2373,88480,19018,12157,171371
,103,1016,銘傳大學,62822,29053,6083,-,16861,33073,147891
,103,1017,實踐大學,76627,12995,10520,-,59562,4171,163875
,103,1018,朝陽科技大學,97474,15571,17189,5671,-,6957,142862
,103,1019,高雄醫學大學,82690,18083,13896,-,38035,20324,173028
,103,1020,南華大學,20447,11358,4229,220,9275,12265,57794
,103,1021,真理大學,17195,14316,6501,4035,1286,3550,46883
,103,1022,大同大學,29550,11930,2239,-,8580,9118,61417
,103,1023,南臺科技大學,141702,15288,9063,3193,330180,8570,507995
,103,1024,崑山科技大學,138876,11756,13261,-,59338,18512,241744
,103,1025,嘉南藥理大學,98295,23957,5460,92589,416906,4493,641700
,103,1026,樹德科技大學,21655,9761,12056,-,118984,74979,237435
,103,1027,慈濟大學,54874,23243,6855,7578,3721,15505,111775
,103,1028,臺北醫學大學,160336,38717,22849,22269,22102,9006,275278
,103,1029,中山醫學大學,24514,6284,4154,150,16957,22105,74164
,103,1030,龍華科技大學,101514,6715,5820,-,19440,4319,137808
,103,1031,輔英科技大學,42735,4501,4541,-,15241,-,67018
,103,1032,明新科技大學,61999,11375,10255,1642,16576,44469,146316
,103,1033,長榮大學,28665,4811,4037,407,822,31209,69951
,103,1034,弘光科技大學,58256,18758,5852,908,52132,11438,147344
,103,1035,中國醫藥大學,126061,38490,19163,-,42062,10963,236739
,103,1036,健行科技大學,91188,14776,11657,-,258524,59642,435787
,103,1037,正修科技大學,137709,13248,18238,2518,68488,120523,360725
,103,1038,萬能科技大學,61992,6191,4531,-,32558,7936,113207
,103,1039,玄奘大學,34961,6567,3996,-,75964,5504,126991
,103,1040,建國科技大學,76753,10594,12076,3670,37299,59037,199431
,103,1041,明志科技大學,78287,2290,19426,-,1396,27486,128885
,103,1042,高苑科技大學,49427,2576,10279,590,4112,6133,73117
,103,1043,大仁科技大學,48645,7500,6105,65527,-,5830,133607
,103,1044,聖約翰科技大學,27849,4018,2194,-,1055,7163,42279
,103,1045,嶺東科技大學,68365,11351,5767,-,-,1960,87444
,103,1046,中國科技大學,64754,6794,18859,376009,3095,6346,475857
,103,1047,中臺科技大學,30744,8115,3064,-,-,13858,55782
,103,1048,亞洲大學,62642,20446,10603,-,423558,14425,531675
,103,1049,開南大學,23469,10541,-,-,-,2360,36371
,103,1050,佛光大學,33119,9902,11687,29642,-,498,84847
,103,1051,台南應用科技大學,57258,9897,6313,1250,141041,19297,235056
,103,1052,遠東科技大學,94168,7445,18347,5165,-,1983,127108
,103,1053,元培醫事科技大學,37068,2630,9804,2389,49224,24029,125145
,103,1054,景文科技大學,40451,5455,9887,576,5070,13977,75416
,103,1055,中華醫事科技大學,38632,15470,1570,4000,2700,6466,68838
,103,1056,東南科技大學,65496,4663,7433,-,14621,4080,96293
,103,1057,德明財經科技大學,23374,3844,7160,-,3586,5008,42972
,103,1058,明道大學,23975,3694,1942,529,3561,8120,41821
,103,1059,康寧大學,9234,521,604,-,-,3711,14070
,103,1060,南開科技大學,60347,8709,5984,-,8468,23463,106970
,103,1061,中華科技大學,76200,3421,502,-,300,4953,85375
,103,1062,僑光科技大學,31400,8072,4342,-,15791,14896,74501
,103,1063,育達科技大學,28743,4991,8066,-,9862,893,52556
,103,1064,美和科技大學,39060,7269,8098,-,-,8954,63381
,103,1065,吳鳳科技大學,44830,5765,3107,15824,330,5628,75483
,103,1066,環球科技大學,49489,4772,7857,30,47348,4342,113836
,103,1067,台灣首府大學,20636,1000,2508,-,4989,260,29392
,103,1068,中州科技大學,38565,1803,2590,540,727,13912,58137
,103,1069,修平科技大學,32308,7442,3481,-,-,19813,63044
,103,1070,長庚科技大學,55630,9928,4439,-,4463,12808,87267
,103,1071,臺北城市科技大學,71858,7342,5892,665,242619,2840,331216
,103,1072,大華科技大學,39349,3900,2543,-,224406,1073,271270
,103,1073,醒吾科技大學,20935,5939,3201,-,12516,8479,51070
,103,1074,南榮科技大學,22102,2678,1577,-,1692,639,28689
,103,1075,文藻外語大學,38559,18784,6923,8414,1410,1230,75321
,103,1076,華夏科技大學,39879,5681,3169,28220,5044,2569,84561
,103,1125,中信金融管理學院,1331,96,41,-,-,1517,2985
,103,1148,大漢技術學院,25962,899,881,-,4889,1898,34528
,103,1150,慈濟技術學院,19570,11580,15512,364,-,29222,76247
,103,1159,和春技術學院,25140,1217,427,-,-,1348,28132
,103,1164,致理技術學院,29750,12220,16883,2270,63414,14329,138866
,103,1166,亞東技術學院,54569,5552,9543,-,580,6038,76282
,103,1168,桃園創新技術學院,36226,1820,2242,-,-,7133,47421
,103,1176,稻江科技暨管理學院,6494,3094,2677,-,7080,4834,24179
,103,1179,德霖技術學院,37565,2503,2965,36344,81879,4964,166221
,103,1182,蘭陽技術學院,27554,1473,1853,-,11873,9276,52029
