學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,總計,專任教師數一般教師-教授,專任教師數一般教師-副教授,專任教師數一般教師-助理教授,專任教師數一般教師-講師,專任教師數-專案教學人員-教授,專任教師數--專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,私立,一般大學,1022,大同大學,編制外,17,0,0,0,0,1,0,12,3,0,0,1,0,0
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,編制內,526,102,180,178,46,0,0,0,0,0,4,5,0,11
110,私立,技專校院,1023,南臺學校財團法人南臺科技大學,編制外,5,0,0,0,0,0,0,1,3,0,0,1,0,0
110,私立,技專校院,1024,崑山科技大學,編制內,279,55,114,71,22,0,0,0,0,0,8,6,2,1
110,私立,技專校院,1024,崑山科技大學,編制外,14,0,0,0,0,0,0,4,4,0,1,5,0,0
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,編制內,337,58,112,130,13,0,0,0,0,1,2,9,4,8
110,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,編制外,15,0,0,0,0,0,0,3,10,0,0,0,2,0
110,私立,技專校院,1026,樹德科技大學,編制內,196,23,66,76,10,0,0,0,0,0,3,17,0,1
110,私立,技專校院,1026,樹德科技大學,編制外,60,0,0,0,0,0,3,22,11,0,0,24,0,0
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,編制內,223,54,94,70,5,0,0,0,0,0,0,0,0,0
110,私立,一般大學,1027,慈濟學校財團法人慈濟大學,編制外,9,0,0,0,0,0,0,2,7,0,0,0,0,0
110,私立,一般大學,1028,臺北醫學大學,編制內,676,234,216,211,14,0,0,0,0,0,0,0,0,1
110,私立,一般大學,1028,臺北醫學大學,編制外,5,0,0,0,0,0,0,5,0,0,0,0,0,0
110,私立,一般大學,1029,中山醫學大學,編制內,371,140,126,91,12,0,0,0,0,0,0,0,0,2
110,私立,一般大學,1029,中山醫學大學,編制外,39,0,0,0,0,8,3,8,20,0,0,0,0,0
110,私立,技專校院,1030,龍華科技大學,編制內,203,37,87,58,12,0,0,0,0,0,2,3,0,4
110,私立,技專校院,1030,龍華科技大學,編制外,72,0,0,0,0,1,4,52,7,0,0,8,0,0
110,私立,技專校院,1031,輔英科技大學,編制內,288,23,80,87,27,0,0,0,0,0,3,3,0,65
110,私立,技專校院,1031,輔英科技大學,編制外,33,0,0,0,0,0,1,15,1,0,1,10,0,5
110,私立,技專校院,1032,明新學校財團法人明新科技大學,編制內,281,34,115,82,36,0,0,0,0,1,2,4,2,5
110,私立,技專校院,1032,明新學校財團法人明新科技大學,編制外,27,0,0,0,0,0,1,14,8,0,1,2,1,0
110,私立,一般大學,1033,長榮大學,編制內,289,48,97,120,12,0,0,0,0,0,0,10,0,2
110,私立,一般大學,1033,長榮大學,編制外,29,0,0,0,0,5,0,23,0,0,0,1,0,0
110,私立,技專校院,1034,弘光科技大學,編制內,245,44,76,67,7,0,0,0,0,4,10,18,1,18
110,私立,技專校院,1034,弘光科技大學,編制外,92,1,0,0,0,0,1,23,3,1,2,20,2,39
110,私立,一般大學,1035,中國醫藥大學,編制內,515,212,168,126,2,0,0,0,0,1,1,4,0,1
110,私立,一般大學,1035,中國醫藥大學,編制外,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,私立,技專校院,1036,健行學校財團法人健行科技大學,編制內,225,25,87,81,22,0,0,0,0,0,0,0,0,10
110,私立,技專校院,1036,健行學校財團法人健行科技大學,編制外,52,0,1,0,0,1,3,20,10,2,1,11,3,0
110,私立,技專校院,1037,正修學校財團法人正修科技大學,編制內,381,69,133,85,43,0,0,0,0,8,13,19,2,9
110,私立,技專校院,1037,正修學校財團法人正修科技大學,編制外,30,0,0,0,0,1,2,15,7,0,0,5,0,0
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,編制內,166,20,65,45,27,0,0,0,0,0,3,2,2,2
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,編制外,72,0,0,0,0,0,0,14,7,0,1,43,7,0
110,私立,一般大學,1039,玄奘大學,編制內,68,7,22,24,9,0,0,0,0,0,4,2,0,0
110,私立,一般大學,1039,玄奘大學,編制外,39,0,0,0,0,7,0,19,4,0,2,7,0,0
110,私立,技專校院,1040,建國科技大學,編制內,175,24,66,57,18,0,0,0,0,0,1,4,0,5
110,私立,技專校院,1040,建國科技大學,編制外,20,0,0,0,0,0,0,5,11,0,1,2,1,0
110,私立,技專校院,1041,明志科技大學,編制內,189,54,54,58,17,0,0,0,0,0,0,1,1,4
110,私立,技專校院,1041,明志科技大學,編制外,10,1,0,0,0,0,0,8,1,0,0,0,0,0
110,私立,技專校院,1042,高苑科技大學,編制內,167,21,66,51,26,0,0,0,0,0,0,0,0,3
110,私立,技專校院,1042,高苑科技大學,編制外,4,0,0,0,0,0,0,0,3,0,0,1,0,0
110,私立,技專校院,1043,大仁科技大學,編制內,145,18,64,35,20,0,0,0,0,0,3,3,1,1
110,私立,技專校院,1043,大仁科技大學,編制外,19,0,0,0,0,0,2,4,8,0,1,2,2,0
110,私立,技專校院,1044,聖約翰科技大學,編制內,95,13,38,28,13,0,0,0,0,0,1,1,0,1
110,私立,技專校院,1044,聖約翰科技大學,編制外,27,0,0,0,0,0,1,3,20,0,0,3,0,0
110,私立,技專校院,1045,嶺東科技大學,編制內,237,22,93,75,23,0,0,0,0,0,8,10,2,4
110,私立,技專校院,1045,嶺東科技大學,編制外,32,0,0,0,0,0,1,16,4,0,2,9,0,0
110,私立,技專校院,1046,中國科技大學,編制內,221,10,59,96,37,0,0,0,0,2,3,11,0,3
110,私立,技專校院,1046,中國科技大學,編制外,9,0,0,0,0,0,0,3,2,0,1,3,0,0
110,私立,技專校院,1047,中臺科技大學,編制內,214,35,78,75,25,0,0,0,0,0,1,0,0,0
110,私立,技專校院,1047,中臺科技大學,編制外,18,0,0,0,0,0,0,10,3,0,0,0,0,5
110,私立,一般大學,1048,亞洲大學,編制內,338,82,105,110,12,0,0,0,0,11,4,12,0,2
110,私立,一般大學,1048,亞洲大學,編制外,49,0,0,0,0,7,1,23,18,0,0,0,0,0
110,私立,一般大學,1049,開南大學,編制內,178,26,73,73,3,0,0,0,0,1,0,0,1,1
110,私立,一般大學,1049,開南大學,編制外,8,0,0,0,0,1,0,2,5,0,0,0,0,0
110,私立,一般大學,1050,佛光大學,編制內,150,35,57,43,1,0,0,0,0,2,5,6,0,1
110,私立,一般大學,1050,佛光大學,編制外,12,0,0,0,0,0,0,7,5,0,0,0,0,0
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,編制內,284,23,98,85,42,0,0,0,0,2,6,24,1,3
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,編制外,45,1,0,0,0,0,0,33,0,0,3,7,1,0
110,私立,技專校院,1052,遠東科技大學,編制內,154,30,52,45,16,0,0,0,0,0,2,6,0,3
110,私立,技專校院,1052,遠東科技大學,編制外,12,0,0,0,0,0,0,7,2,0,0,1,2,0
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,編制內,156,16,49,64,18,0,0,0,0,0,0,2,1,6
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,編制外,13,2,0,0,0,0,1,7,1,0,0,1,1,0
110,私立,技專校院,1054,景文科技大學,編制內,156,18,50,45,31,0,0,0,0,0,1,7,0,4
110,私立,技專校院,1054,景文科技大學,編制外,10,0,0,0,0,0,0,0,2,0,0,8,0,0
110,私立,技專校院,1055,中華醫事科技大學,編制內,225,20,86,69,38,0,0,0,0,0,1,2,1,8
110,私立,技專校院,1055,中華醫事科技大學,編制外,36,0,0,0,0,0,0,1,2,0,0,2,2,29
110,私立,技專校院,1056,東南科技大學,編制內,135,15,52,38,23,0,0,0,0,0,0,5,1,1
110,私立,技專校院,1056,東南科技大學,編制外,19,0,0,0,0,0,0,2,8,0,0,6,3,0
110,私立,技專校院,1057,德明財經科技大學,編制內,191,15,69,68,33,0,0,0,0,0,3,3,0,0
110,私立,技專校院,1057,德明財經科技大學,編制外,30,0,0,0,0,0,0,16,12,0,0,2,0,0
110,私立,一般大學,1058,明道學校財團法人明道大學,編制內,74,10,18,36,3,0,0,0,0,0,1,5,0,1
110,私立,一般大學,1058,明道學校財團法人明道大學,編制外,35,0,0,0,0,3,2,21,2,0,2,5,0,0
110,私立,技專校院,1060,南開科技大學,編制內,108,16,51,22,11,0,0,0,0,0,2,5,0,1
110,私立,技專校院,1060,南開科技大學,編制外,5,0,0,0,0,0,0,3,1,0,0,1,0,0
110,私立,技專校院,1061,中華學校財團法人中華科技大學,編制內,133,8,38,44,33,0,0,0,0,1,3,2,1,3
110,私立,技專校院,1061,中華學校財團法人中華科技大學,編制外,11,0,0,0,0,0,1,5,1,0,0,3,1,0
110,私立,技專校院,1062,僑光科技大學,編制內,195,13,84,50,29,0,0,0,0,0,4,11,0,4
110,私立,技專校院,1062,僑光科技大學,編制外,32,0,0,0,0,1,0,3,8,0,2,16,2,0
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,編制內,72,5,23,28,9,0,0,0,0,0,1,3,0,3
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,編制外,18,0,0,0,0,0,1,7,6,0,1,3,0,0
110,私立,技專校院,1064,美和學校財團法人美和科技大學,編制內,151,10,38,53,26,0,0,0,0,0,2,4,4,14
110,私立,技專校院,1064,美和學校財團法人美和科技大學,編制外,45,1,0,0,0,0,0,4,8,0,0,1,0,31
110,私立,技專校院,1065,吳鳳科技大學,編制內,118,10,46,30,23,0,0,0,0,0,3,3,0,3
110,私立,技專校院,1065,吳鳳科技大學,編制外,21,0,0,0,0,0,0,7,10,0,0,3,1,0
110,私立,技專校院,1066,環球學校財團法人環球科技大學,編制內,110,8,32,39,20,0,0,0,0,2,3,5,1,0
110,私立,技專校院,1066,環球學校財團法人環球科技大學,編制外,12,0,0,0,0,0,0,2,3,0,0,2,1,4
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,編制內,51,1,13,31,2,0,0,0,0,0,0,2,0,2
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,編制外,8,0,0,0,0,0,0,2,3,0,0,1,2,0
110,私立,技專校院,1068,中州學校財團法人中州科技大學,編制內,72,6,27,22,11,0,0,0,0,0,3,3,0,0
110,私立,技專校院,1068,中州學校財團法人中州科技大學,編制外,10,0,0,0,0,0,1,2,6,0,0,1,0,0
110,私立,技專校院,1069,修平學校財團法人修平科技大學,編制內,155,20,52,54,21,0,0,0,0,1,0,6,1,0
110,私立,技專校院,1069,修平學校財團法人修平科技大學,編制外,6,0,0,0,0,0,0,0,0,0,0,0,1,5
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,編制內,239,37,91,60,33,0,0,0,0,0,0,1,0,17
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,編制外,93,0,0,0,0,1,1,27,3,0,0,0,0,61
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,編制內,186,8,73,40,36,0,0,0,0,0,5,11,0,13
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,編制外,57,0,0,0,0,0,1,17,8,1,0,27,3,0
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,編制內,23,1,10,6,3,0,0,0,0,0,0,2,1,0
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,編制外,11,0,0,0,0,0,4,4,2,0,0,1,0,0
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,編制內,169,16,53,32,49,0,0,0,0,2,5,11,1,0
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,編制外,40,0,0,0,0,0,0,5,11,1,3,19,1,0
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,編制內,240,23,91,82,34,0,0,0,0,2,1,4,0,3
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,編制外,31,2,1,0,0,1,1,19,7,0,0,0,0,0
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,編制內,116,11,43,28,25,0,0,0,0,0,2,2,0,5
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,編制外,4,0,0,0,0,0,0,1,1,0,0,2,0,0
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,編制內,119,6,36,61,14,0,0,0,0,0,0,0,0,2
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,編制外,48,0,0,0,0,0,0,8,11,0,0,0,0,29
110,私立,技專校院,1078,致理學校財團法人致理科技大學,編制內,244,22,104,70,35,0,0,0,0,3,2,4,1,3
