學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上總人數,專任助理教授以上總人數男,專任助理教授以上總人數女,專任講師以上總人數,專任講師以上總人數男,專任講師以上總人數女
106,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,9,5,4,3,2,1,2,1,0,0,0,0,0,9,5,4,9,5,4
106,公立,一般大學,0002,國立清華大學,03111011,經濟學系,26,16,10,9,3,6,4,1,3,0,0,0,0,26,16,10,26,16,10
106,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,16,8,8,4,2,3,3,1,3,0,0,0,0,16,8,8,16,8,8
106,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,8,4,4,0,0,3,3,1,1,0,0,0,0,8,4,4,8,4,4
106,公立,一般大學,0002,國立清華大學,03199111,學習科學與科技研究所,16,8,8,6,3,2,5,0,0,0,0,0,0,16,8,8,16,8,8
106,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,15,11,4,8,0,2,3,1,1,0,0,0,0,15,11,4,15,11,4
106,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,9,5,4,3,1,0,3,2,0,0,0,0,0,9,5,4,9,5,4
106,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,8,4,4,3,2,1,2,0,0,0,0,0,0,8,4,4,8,4,4
106,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,12,8,4,4,1,2,1,2,2,0,0,0,0,12,8,4,12,8,4
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,5,3,2,3,2,0,0,0,0,0,0,0,0,5,3,2,5,3,2
106,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,9,8,1,4,0,2,0,2,1,0,0,0,0,9,8,1,9,8,1
106,公立,一般大學,0002,國立清華大學,05121028,分子與細胞生物研究所,11,7,4,3,2,2,2,2,0,0,0,0,0,11,7,4,11,7,4
106,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,9,6,3,4,1,2,0,0,2,0,0,0,0,9,6,3,9,6,3
106,公立,一般大學,0002,國立清華大學,05124072,分子醫學研究所,10,9,1,3,1,3,0,3,0,0,0,0,0,10,9,1,10,9,1
106,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,7,5,2,3,0,1,1,1,1,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,10,6,4,2,1,4,3,0,0,0,0,0,0,10,6,4,10,6,4
106,公立,一般大學,0002,國立清華大學,05311037,化學系,27,24,3,17,3,6,0,1,0,0,0,0,0,27,24,3,27,24,3
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,35,31,4,21,3,4,0,6,1,0,0,0,0,35,31,4,35,31,4
106,公立,一般大學,0002,國立清華大學,05332039,天文研究所,7,5,2,4,1,1,1,0,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0002,國立清華大學,05411043,數學系,23,20,3,16,2,2,1,2,0,0,0,0,0,23,20,3,23,20,3
106,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,6,5,1,2,1,3,0,0,0,0,0,0,0,6,5,1,6,5,1
106,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,9,5,4,3,3,2,1,0,0,0,0,0,0,9,5,4,9,5,4
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,43,39,4,26,3,11,1,2,0,0,0,0,0,43,39,4,43,39,4
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,23,21,2,15,0,4,0,2,2,0,0,0,0,23,21,2,23,21,2
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,36,30,6,22,4,7,1,1,1,0,0,0,0,36,30,6,36,30,6
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,7,5,2,3,1,1,1,1,0,0,0,0,0,7,5,2,7,5,2
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,24,20,4,17,0,2,3,1,1,0,0,0,0,24,20,4,24,20,4
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,67,63,4,48,1,7,2,8,1,0,0,0,0,67,63,4,67,63,4
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,45,42,3,36,1,4,1,2,1,0,0,0,0,45,42,3,45,42,3
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,20,16,4,12,2,3,0,1,2,0,0,0,0,20,16,4,20,16,4
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,21,16,5,12,2,3,3,1,0,0,0,0,0,21,16,5,21,16,5
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,7,6,1,2,0,2,1,2,0,0,0,0,0,7,6,1,7,6,1
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,3,3,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0
106,公立,一般大學,0002,國立清華大學,99999Z01,通識教育中心,18,9,9,3,2,4,3,2,4,0,0,0,0,18,9,9,18,9,9
106,公立,一般大學,0002,國立清華大學,99999Z03,軍訓室,5,3,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
106,公立,一般大學,0002,國立清華大學,99999Z05,師資培育中心,12,5,7,2,2,2,2,1,3,0,0,0,0,12,5,7,12,5,7
106,公立,一般大學,0002,國立清華大學,99999Z07,體育室,9,7,2,1,1,1,0,3,0,2,1,0,0,6,5,1,9,7,2
106,公立,一般大學,0002,國立清華大學,99999Z08,華語中心,3,1,2,1,0,0,0,0,0,0,2,0,0,1,1,0,3,1,2
106,公立,一般大學,0002,國立清華大學,99999Z08,語言中心,5,0,5,0,0,0,0,0,1,0,4,0,0,1,0,1,5,0,5
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,4,0,4,0,0,0,0,0,4,0,0,0,0,4,0,4,4,0,4
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,7,4,3,0,2,4,1,0,0,0,0,0,0,7,4,3,7,4,3
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,12,5,7,1,4,1,3,0,0,3,0,0,0,9,2,7,12,5,7
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,6,3,3,3,1,0,1,0,1,0,0,0,0,6,3,3,6,3,3
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,27,17,10,8,4,3,5,6,1,0,0,0,0,27,17,10,27,17,10
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,14,7,7,1,2,3,3,3,2,0,0,0,0,14,7,7,14,7,7
106,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,20,18,2,9,0,4,0,5,1,0,0,0,1,19,18,1,19,18,1
106,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,76,32,44,9,15,15,14,7,10,1,4,0,1,70,31,39,75,32,43
106,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,12,3,9,0,4,2,2,1,2,0,1,0,0,11,3,8,12,3,9
106,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,2,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0
106,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,5,1,4,1,1,0,1,0,2,0,0,0,0,5,1,4,5,1,4
