學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,8,國立中央大學,220310,英美語文學系,5,4,1,2,1,1,0,0,0,1,0,0,0
101,公立,一般大學,8,國立中央大學,220314,法國語文學系,3,3,0,0,0,0,0,1,0,0,0,2,0
101,公立,一般大學,8,國立中央大學,310510,認知神經科學研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,8,國立中央大學,420103,生命科學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,8,國立中央大學,420604,系統生物與生物資訊研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,440201,地球科學學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,440301,物理學系,4,4,0,2,0,0,0,2,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,440601,天文研究所,4,4,0,1,0,0,0,2,0,0,0,1,0
101,公立,一般大學,8,國立中央大學,460101,數學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,460201,統計研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,480109,資訊管理學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,8,國立中央大學,520403,化學工程與材料工程學系,2,2,0,2,0,0,0,0,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,210401,音樂學系,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,9,國立中山大學,220301,外國語文學系,2,2,0,0,0,1,0,0,0,1,0,0,0
101,公立,一般大學,9,國立中山大學,221101,哲學研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,310201,政治學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,440101,化學系,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,460102,應用數學系,3,3,0,3,0,0,0,0,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,520101,電機工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,520106,光電工程學系,2,2,0,1,0,0,0,1,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,520114,資訊工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,9,國立中山大學,999901,通識教育中心人文與社會科學教育組,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,12,國立臺灣海洋大學,999901,外語教學研究中心,2,2,0,0,0,0,0,0,0,1,0,1,0
101,公立,一般大學,13,國立中正大學,220301,外國語文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,13,國立中正大學,220701,語言學研究所,2,1,1,1,1,0,0,0,0,0,0,0,0
101,公立,一般大學,13,國立中正大學,221101,哲學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,13,國立中正大學,520101,電機工程學系,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,13,國立中正大學,520114,資訊工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,14,國立高雄師範大學,220308,英語學系,3,0,3,0,0,0,1,0,2,0,0,0,0
101,公立,一般大學,14,國立高雄師範大學,310722,客家文化研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,15,國立彰化師範大學,220308,英語學系,3,3,0,0,0,0,0,1,0,2,0,0,0
101,公立,一般大學,15,國立彰化師範大學,340301,企業管理學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,15,國立彰化師範大學,760102,復健諮商研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,16,國立陽明大學,221103,心智哲學研究所,2,1,1,0,0,1,0,0,0,0,0,0,1
101,公立,一般大學,16,國立陽明大學,229999,人文與社會教育中心,2,1,1,0,0,0,0,0,0,0,0,1,1
101,公立,一般大學,16,國立陽明大學,420103,生命科學系暨基因體科學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
