學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內專任教師支給數額情形-教授-平均支給數額,編制內專任教師支給數額情形-教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-副教授-平均支給數額,編制內專任教師支給數額情形-副教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-助理教授-平均支給數額,編制內專任教師支給數額情形-助理教授-與公立學校支給數額相較之比率(%),編制內專任教師支給數額情形-講師-平均支給數額,編制內專任教師支給數額情形-講師-與公立學校支給數額相較之比率(%)
108,私立,技專校院,1081,東方學校財團法人東方設計大學,"56,272",56.18,"47,727",59.16,"41,928",59.24,"35,326",60.77
108,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,"85,575",85.43,"73,205",90.75,"63,850",90.21,"51,680",88.90
108,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1125,中信學校財團法人中信金融管理學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1148,大漢技術學院,"76,131",76.01,"67,755",83.99,"57,763",81.61,"46,885",80.65
108,私立,技專校院,1159,和春技術學院,"93,110",92.96,"68,441",84.84,"65,022",91.86,"53,206",91.52
108,私立,技專校院,1166,亞東技術學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,一般大學,1176,稻江科技暨管理學院,"91,127",90.98,"76,650",95.02,"67,209",94.95,"55,047",94.69
108,私立,技專校院,1182,蘭陽技術學院,"93,610",93.46,"78,730",97.60,"69,000",97.49,"56,595",97.35
108,私立,技專校院,1183,黎明技術學院,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1185,經國管理暨健康學院,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1188,大同技術學院,"56,605",56.51,"48,015",59.52,"42,192",59.61,"35,554",61.16
108,私立,技專校院,1192,臺灣觀光學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,"94,165",94.01,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1283,仁德醫護管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1284,樹人醫護管理專科學校,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1285,慈惠醫護管理專科學校,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1286,耕莘健康管理專科學校,"100,165",100,"80,670",100,"70,780",100,"58,135",100
108,私立,技專校院,1287,敏惠醫護管理專科學校,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1289,育英醫護管理專科學校,"100,165",100,"61,014",75.63,"53,530",75.63,"44,441",76.44
108,私立,技專校院,1291,聖母醫護管理專科學校,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,技專校院,1292,新生醫護管理專科學校,"93,610",93.46,"78,730",97.60,"69,000",97.49,"51,120",87.93
108,私立,技專校院,1293,崇仁醫護管理專科學校,"92,540",92.39,"77,800",96.44,"68,150",96.28,"53,196",91.50
108,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,宗教研修學院,1R03,臺北基督學院,"86,555",86.41,"72,905",90.37,"63,950",90.35,"52,685",90.63
108,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
108,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,"68,470",68.36,"60,640",75.17,"54,525",77.03,"44,410",76.39
108,私立,宗教研修學院,1R06,一貫道崇德學院,"84,720",84.58,"74,220",92,"65,924",93.14,"54,240",93.30
108,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,"86,580",86.44,"76,410",94.72,"66,290",93.66,"56,175",96.63
109,私立,一般大學,1001,東海大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1002,輔仁大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1003,東吳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1004,中原大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1006,中國文化大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1007,逢甲大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1008,靜宜大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1009,長庚大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1010,元智大學,"100,165",100,"81,048",100,"71,067",100,"58,289",100
109,私立,一般大學,1011,中華大學學校財團法人中華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1012,大葉大學,"94,720",94.56,"79,690",98.79,"69,880",98.73,"57,355",98.66
109,私立,一般大學,1013,華梵大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1014,義守大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1015,世新大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1016,銘傳大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1017,實踐大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,技專校院,1018,朝陽科技大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1019,高雄醫學大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1020,南華大學,"100,165",100,"80,670",100,"70,780",100,"58,135",100
109,私立,一般大學,1021,真理大學,"92,360",92.21,"77,690",96.31,"68,095",96.21,"55,680",95.78
109,私立,一般大學,1022,大同大學,"83,443",83.31,"67,038",83.10,"60,427",85.37,"42,994",73.96
