學年度,設立別,學校類別,學校統計處代碼,學校名稱,身分類別,學術主管不符合聘任資格且未改善之單位名稱,備註
107,私立,一般大學,1016,銘傳大學,學術(系、所、學位學程)主管,應用英語學系,
107,私立,一般大學,1016,銘傳大學,學術(學院)主管,國際學院,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,社會工作學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,建築設計學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,媒體傳達設計學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,會計暨稅務學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,應用中文學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,應用日文學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,應用英語學系,
107,私立,一般大學,1017,實踐大學,學術(系、所、學位學程)主管,觀光管理學系,
107,私立,一般大學,1017,實踐大學,學術(學院)主管,設計學院,
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,學術(系、所、學位學程)主管,應用英語系,
107,私立,技專校院,1024,崑山科技大學,學術(系、所、學位學程)主管,公共關係暨廣告系,
107,私立,技專校院,1024,崑山科技大學,學術(系、所、學位學程)主管,休閒遊憩與運動管理系,
107,私立,技專校院,1024,崑山科技大學,學術(系、所、學位學程)主管,房地產開發與管理系,
107,私立,技專校院,1024,崑山科技大學,學術(系、所、學位學程)主管,視訊傳播設計系,
107,私立,技專校院,1024,崑山科技大學,學術(系、所、學位學程)主管,餐飲管理及廚藝系,
107,私立,技專校院,1024,崑山科技大學,學術(學院)主管,民生應用學院,
107,私立,技專校院,1024,崑山科技大學,學術(學院)主管,創意媒體學院,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,生活產品設計系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,企業管理系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,休閒與觀光管理系,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,車用電子學士學位學程,
107,私立,技專校院,1026,樹德科技大學,學術(系、所、學位學程)主管,兒童與家庭服務系,
