學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別[日間],專業必修實際開設學分數,專業選修實際開設學分數
105,2,公立,一般大學,0004,國立臺灣師範大學,05311059,化學系,學士班(日間),41,34
105,2,公立,一般大學,0004,國立臺灣師範大學,05321060,地球科學系,學士班(日間),9,49
105,2,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),41,40
105,2,公立,一般大學,0004,國立臺灣師範大學,05411062,數學系,學士班(日間),63,70
105,2,公立,一般大學,0004,國立臺灣師範大學,07141063,電機工程學系,學士班(日間),22,66
105,2,公立,一般大學,0004,國立臺灣師範大學,07141065,資訊工程學系,學士班(日間),15,54
105,2,公立,一般大學,0004,國立臺灣師範大學,07151068,機電工程學系,學士班(日間),34,49
105,2,公立,一般大學,0004,國立臺灣師範大學,10141074,運動競技學系,學士班(日間),246,30
105,2,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),64,25
105,2,公立,一般大學,0005,國立成功大學,02221110,歷史學系,學士班(日間),12,63
105,2,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),102,47
105,2,公立,一般大學,0005,國立成功大學,02321106,台灣文學系,學士班(日間),22,45
105,2,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),48,36
105,2,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),30,36
105,2,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),26,28
105,2,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),21,35
105,2,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),31,34
105,2,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),24,27
105,2,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),27,22
105,2,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),48,36
105,2,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),21,38
105,2,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),17,8
105,2,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),36,25
105,2,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),19,31
105,2,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),33,16
105,2,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),23,27
105,2,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),31,27
105,2,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),38,34
105,2,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),110,30
105,2,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),50,19
105,2,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),33,14
105,2,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),32,33
105,2,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),31,16
105,2,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),93,93
105,2,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),32,7
105,2,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),117,44
105,2,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),38,21
105,2,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),32,29
105,2,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),28,20
105,2,公立,一般大學,0005,國立成功大學,07194071,工程科學系,學士班(日間),26,31
105,2,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),30,36
105,2,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),43,27
105,2,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),35,21
105,2,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),45,82
105,2,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),32,31
105,2,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),158,97
105,2,公立,一般大學,0005,國立成功大學,09131090,護理學系,學士班(日間),40,19
105,2,公立,一般大學,0005,國立成功大學,09141094,醫學檢驗生物技術學系,學士班(日間),35,18
105,2,公立,一般大學,0005,國立成功大學,09151082,物理治療學系,學士班(日間),55,18
105,2,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),61,16
105,2,公立,一般大學,0005,國立成功大學,09161086,藥學系,學士班(日間),32,5
105,2,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),27,38
105,2,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),10,65
105,2,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),67,38
105,2,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),27,43
105,2,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),36,20
105,2,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),13,24
105,2,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),12,24
105,2,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),15,36
105,2,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),6,30
105,2,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),30,40
105,2,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),34,77
105,2,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),18,43
105,2,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),10,11
105,2,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),28,37
105,2,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),35,19
105,2,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),44,72
105,2,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),148,60
105,2,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),21,39
105,2,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),41,28
105,2,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,學士班(日間),23,25
105,2,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,學士班(日間),35,19
105,2,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,學士班(日間),20,33
105,2,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),44,186
105,2,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),61,104
105,2,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,學士班(日間),28,62
105,2,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),23,28
105,2,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),18,2
105,2,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),61,74
105,2,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),15,29
105,2,公立,一般大學,0006,國立中興大學,08112066,動物科學系,學士班(日間),27,39
105,2,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),17,50
105,2,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),19,49
105,2,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),17,39
105,2,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),16,37
105,2,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),20,29
105,2,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,學士班(日間),106,98
105,2,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),20,55
105,2,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),45,45
105,2,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),21,31
105,2,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),38,3
105,2,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),11,0
