學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),境外學位生數小計,境外學位生數男,境外學位生數女,境外學位生數之在學比率(%)
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),17,13,4,4.83
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,5,4,1,6.94
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),30,19,11,27.52
106,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,5,4,1,27.78
106,公立,一般大學,0002,國立清華大學,06134048,社群網路與人智計算國際研究生博士學位學程,博士班,12,11,1,100.00
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),13,9,4,5.56
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,碩士班(日間),8,5,3,5.23
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,18,13,5,17.14
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),8,6,2,1.97
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),10,9,1,3.95
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,20,16,4,13.07
106,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,1,1,0,3.45
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),8,7,1,1.98
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,碩士班(日間),4,4,0,2.33
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,45,35,10,45.92
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,學士班(日間),6,6,0,1.36
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),10,7,3,2.75
106,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,8,8,0,10.00
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),1,1,0,0.52
106,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,7,6,1,13.73
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),4,2,2,3.39
106,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,博士班,3,3,0,10.71
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),7,5,2,5.07
106,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,6,5,1,30.00
106,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),5,4,1,4.39
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),24,23,1,5.25
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),12,11,1,4.27
106,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,10,9,1,10.99
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),26,12,14,9.52
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),17,12,5,8.85
106,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,7,4,3,14.00
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,學士班(日間),13,8,5,6.88
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),5,4,1,4.31
106,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,9,6,3,16.67
106,公立,一般大學,0002,國立清華大學,07193065,生物醫學工程研究所,碩士班(日間),1,1,0,3.57
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,碩士班(日間),7,4,3,12.28
106,公立,一般大學,0002,國立清華大學,07194059,奈米工程與微系統研究所,博士班,17,10,7,37.78
106,公立,一般大學,0002,國立清華大學,07194069,原子科學院學士班,學士班(日間),1,0,1,1.30
106,公立,一般大學,0002,國立清華大學,07199071,工學院學士班,學士班(日間),1,0,1,0.79
106,公立,一般大學,0002,國立清華大學,09121073,醫學科學系,學士班(日間),7,3,4,8.33
106,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,10,7,3,32.26
106,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),21,9,12,19.63
106,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),17,5,12,29.82
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),7,3,4,20.00
106,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,2,1,1,28.57
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,學士班(日間),9,2,7,4.76
106,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,碩士班(日間),12,1,11,31.58
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),5,2,3,14.71
106,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,博士班,1,0,1,14.29
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),23,10,13,8.71
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),16,9,7,19.75
106,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,7,5,2,14.29
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,學士班(日間),22,9,13,13.92
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),10,5,5,23.81
106,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,7,6,1,50.00
