學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,一般大學,0008,國立中央大學,12個月,8,141,197,154,132,66,5,19,16,16,5,0
109,公立,一般大學,0008,國立中央大學,1個月,61,76,65,52,26,5,389,159,73,58,36,7
109,公立,一般大學,0008,國立中央大學,2個月,18,60,40,46,26,3,121,114,88,117,28,0
109,公立,一般大學,0008,國立中央大學,3個月,18,56,54,43,24,8,46,168,109,74,21,0
109,公立,一般大學,0008,國立中央大學,4個月,21,78,59,27,25,7,28,185,92,100,39,0
109,公立,一般大學,0008,國立中央大學,5個月,22,62,58,46,39,7,35,111,83,43,19,1
109,公立,一般大學,0008,國立中央大學,6個月,15,95,62,40,31,10,14,92,95,50,9,0
109,公立,一般大學,0008,國立中央大學,7個月,7,40,44,30,23,5,14,90,65,20,11,1
109,公立,一般大學,0008,國立中央大學,8個月,14,58,53,43,40,4,7,163,63,24,2,1
109,公立,一般大學,0008,國立中央大學,9個月,16,68,73,46,30,8,8,61,59,15,6,0
109,公立,一般大學,0008,國立中央大學,10個月,27,93,108,94,56,14,6,61,43,12,3,0
109,公立,一般大學,0008,國立中央大學,11個月,27,97,141,81,59,11,5,43,45,20,4,0
109,公立,一般大學,0009,國立中山大學,12個月,13,72,118,107,82,101,0,0,3,1,0,0
109,公立,一般大學,0009,國立中山大學,1個月,71,120,45,67,81,100,1673,542,398,197,152,33
109,公立,一般大學,0009,國立中山大學,2個月,20,57,37,25,38,46,21,78,26,20,19,23
109,公立,一般大學,0009,國立中山大學,3個月,25,49,16,12,15,8,41,153,73,19,12,14
109,公立,一般大學,0009,國立中山大學,4個月,21,108,23,18,13,7,25,82,31,7,4,7
109,公立,一般大學,0009,國立中山大學,5個月,40,30,37,19,11,5,6,45,59,5,3,6
109,公立,一般大學,0009,國立中山大學,6個月,9,40,26,15,25,6,3,7,4,4,2,4
109,公立,一般大學,0009,國立中山大學,7個月,33,41,31,21,13,4,1,5,2,3,1,0
109,公立,一般大學,0009,國立中山大學,8個月,8,52,42,9,17,11,4,3,6,0,1,0
