學年度,設立別,學校類別,學校統計處代碼,學校名稱,授課時間,現行支給數額規定開始適用之日期,教授,副教授,助理教授,講師
110,私立,技專校院,1046,中國科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1047,中臺科技大學,日間,104/11/26,795,685,630,575
110,私立,技專校院,1047,中臺科技大學,夜間,104/11/26,830,710,665,615
110,私立,一般大學,1048,亞洲大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1048,亞洲大學,夜間,108/8/1,995,850,800,740
110,私立,一般大學,1049,開南大學,日間,96/5/1,795,685,630,575
110,私立,一般大學,1049,開南大學,夜間,96/5/1,830,710,665,615
110,私立,一般大學,1050,佛光大學,日間,108/8/1,955,820,760,695
110,私立,一般大學,1050,佛光大學,夜間,108/8/1,995,850,800,740
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1052,遠東科技大學,日間,108/08/14,955,820,760,695
110,私立,技專校院,1052,遠東科技大學,夜間,108/08/14,995,850,800,740
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1054,景文科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1054,景文科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1055,中華醫事科技大學,日間,110/04/14,795,685,630,575
110,私立,技專校院,1055,中華醫事科技大學,夜間,110/04/14,830,710,665,615
110,私立,技專校院,1056,東南科技大學,日間,108/12/24,795,685,630,575
110,私立,技專校院,1056,東南科技大學,夜間,108/12/24,830,710,665,615
110,私立,技專校院,1057,德明財經科技大學,日間,86/08/01,795,685,630,575
110,私立,技專校院,1057,德明財經科技大學,夜間,86/08/01,830,710,665,615
110,私立,一般大學,1058,明道學校財團法人明道大學,日間,105/8/1,925,795,735,575
110,私立,一般大學,1058,明道學校財團法人明道大學,夜間,105/8/1,965,825,775,615
110,私立,技專校院,1060,南開科技大學,日間,110/09/14,795,685,630,575
110,私立,技專校院,1060,南開科技大學,夜間,110/09/14,830,710,665,615
110,私立,技專校院,1061,中華學校財團法人中華科技大學,日間,107/01/01,795,685,630,575
110,私立,技專校院,1061,中華學校財團法人中華科技大學,夜間,107/01/01,830,710,665,615
110,私立,技專校院,1062,僑光科技大學,日間,86/03/21,795,685,630,575
110,私立,技專校院,1062,僑光科技大學,夜間,86/03/21,830,710,665,615
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,日間,109/01/01,955,820,760,695
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,夜間,109/01/01,995,850,800,740
110,私立,技專校院,1064,美和學校財團法人美和科技大學,日間,108/04/12,795,685,630,575
110,私立,技專校院,1064,美和學校財團法人美和科技大學,夜間,108/04/12,830,710,665,615
110,私立,技專校院,1065,吳鳳科技大學,日間,90/08/08,795,685,630,575
110,私立,技專校院,1065,吳鳳科技大學,夜間,90/08/08,830,710,665,615
110,私立,技專校院,1066,環球學校財團法人環球科技大學,日間,86/10/30,795,685,630,575
