,學年度,學期,設立別 ,學校類別,學校代碼,學校名稱,小計,低收入戶學生,中低收入戶學生,身心障礙學生及身心障礙人士子女,特殊境遇家庭之子女,原住民學生
,101,1,公立,一般大學,39,國立臺中教育大學,344,49,27,173,22,73
,101,1,公立,一般大學,40,國立屏東教育大學,484,65,43,178,19,179
,101,1,公立,一般大學,44,國立體育大學,249,40,6,92,10,101
,101,1,公立,一般大學,48,國立金門大學,357,72,20,215,5,45
,101,1,公立,一般大學,49,國立臺灣體育運動大學,469,93,24,139,11,202
,101,1,公立,一般大學,3001,臺北市立教育大學,268,54,12,130,9,63
,101,1,公立,一般大學,3102,臺北市立體育學院,339,56,14,96,11,162
,101,1,公立,技專校院,22,國立臺灣科技大學,613,98,39,380,24,72
,101,1,公立,技專校院,23,國立雲林科技大學,706,126,50,419,39,72
,101,1,公立,技專校院,24,國立屏東科技大學,1167,278,136,530,41,182
,101,1,公立,技專校院,25,國立臺北科技大學,898,139,52,558,24,125
,101,1,公立,技專校院,26,國立高雄第一科技大學,631,140,51,322,38,80
,101,1,公立,技專校院,27,國立高雄應用科技大學,1090,218,80,604,45,143
,101,1,公立,技專校院,33,國立虎尾科技大學,918,149,72,557,47,93
,101,1,公立,技專校院,34,國立高雄海洋科技大學,750,182,115,335,29,89
,101,1,公立,技專校院,42,國立澎湖科技大學,301,106,27,135,9,24
,101,1,公立,技專校院,43,國立勤益科技大學,1013,181,69,616,30,117
,101,1,公立,技專校院,46,國立臺北護理健康大學,377,75,28,184,8,82
,101,1,公立,技專校院,47,國立高雄餐旅大學,512,126,55,234,24,73
,101,1,公立,技專校院,50,國立臺中科技大學,1520,246,114,835,38,287
,101,1,公立,技專校院,136,國立屏東商業技術學院,495,102,76,220,27,70
,101,1,公立,技專校院,142,國立臺北商業技術學院,1055,176,39,469,13,358
,101,1,公立,技專校院,144,國立臺灣戲曲學院,70,18,4,30,1,17
,101,1,公立,技專校院,221,國立臺南護理專科學校,203,69,8,68,9,49
,101,1,公立,技專校院,222,國立臺東專科學校,248,76,9,46,3,114
,101,1,私立,一般大學,1001,東海大學,939,165,79,590,48,57
,101,1,私立,一般大學,1002,輔仁大學,1394,296,74,797,30,197
,101,1,私立,一般大學,1003,東吳大學,797,192,38,443,17,107
,101,1,私立,一般大學,1004,中原大學,809,143,48,517,40,61
,101,1,私立,一般大學,1005,淡江大學,1482,316,82,882,52,150
,101,1,私立,一般大學,1006,中國文化大學,1701,427,90,847,49,288
,101,1,私立,一般大學,1007,逢甲大學,1171,182,108,739,75,67
,101,1,私立,一般大學,1008,靜宜大學,904,187,94,477,55,91
,101,1,私立,一般大學,1009,長庚大學,382,54,17,282,9,20
,101,1,私立,一般大學,1010,元智大學,370,47,17,269,14,23
,101,1,私立,一般大學,1011,中華大學,583,116,28,348,17,74
,101,1,私立,一般大學,1012,大葉大學,751,155,78,425,25,68
,101,1,私立,一般大學,1013,華梵大學,271,84,11,147,4,25
,101,1,私立,一般大學,1014,義守大學,1327,266,149,667,47,198
,101,1,私立,一般大學,1015,世新大學,752,165,49,366,27,145
,101,1,私立,一般大學,1016,銘傳大學,1080,245,51,600,49,135
,101,1,私立,一般大學,1017,實踐大學,1206,252,59,627,48,220
,101,1,私立,一般大學,1019,高雄醫學大學,357,49,16,233,21,38
,101,1,私立,一般大學,1020,南華大學,496,123,16,270,22,65
,101,1,私立,一般大學,1021,真理大學,705,195,37,320,23,130
,101,1,私立,一般大學,1022,大同大學,204,46,11,134,4,9
,101,1,私立,一般大學,1027,慈濟大學,281,35,15,150,12,69
,101,1,私立,一般大學,1028,臺北醫學大學,261,33,9,184,6,29
,101,1,私立,一般大學,1029,中山醫學大學,497,90,31,283,26,67
,101,1,私立,一般大學,1033,長榮大學,1023,230,99,434,62,198
,101,1,私立,一般大學,1035,中國醫藥大學,438,60,17,291,11,59
,101,1,私立,一般大學,1039,玄奘大學,635,156,29,285,12,153
,101,1,私立,一般大學,1048,亞洲大學,964,206,80,500,39,139
,101,1,私立,一般大學,1049,開南大學,824,173,36,405,26,184
,101,1,私立,一般大學,1050,佛光大學,261,63,5,133,4,56
,101,1,私立,一般大學,1058,明道大學,730,124,60,394,13,139
,101,1,私立,一般大學,1059,康寧大學,309,123,16,119,7,44
,101,1,私立,一般大學,1067,台灣首府大學,1011,291,80,381,33,226
