,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,101,私立,技專校院,1150,慈濟技術學院,花蓮縣,自有,2333,441,1892,0,0,0
,101,私立,技專校院,1154,永達技術學院,屏東縣,自有,516,386,130,0,0,0
,101,私立,技專校院,1159,和春技術學院,高雄市,自有,1044,580,464,0,0,0
,101,私立,技專校院,1164,致理技術學院,新北市,自有,271,43,228,0,0,0
,101,私立,技專校院,1166,亞東技術學院,新北市,自有,24,12,12,0,0,0
,101,私立,技專校院,1168,桃園創新技術學院,桃園縣,自有,553,319,234,0,0,0
,101,私立,技專校院,1179,德霖技術學院,新北市,自有,434,210,224,0,0,0
,101,私立,技專校院,1181,南榮技術學院,臺南市,自有,779,372,407,0,0,0
,101,私立,技專校院,1182,蘭陽技術學院,宜蘭縣,自有,740,417,323,0,0,0
,101,私立,技專校院,1183,黎明技術學院,新北市,自有,238,110,128,0,0,0
,101,私立,技專校院,1184,東方設計學院,高雄市,自有,588,204,384,0,0,0
,101,私立,技專校院,1185,經國管理暨健康學院,基隆市,自有,241,0,241,0,0,0
,101,私立,技專校院,1187,崇右技術學院,基隆市,自有,337,73,264,0,0,0
,101,私立,技專校院,1188,大同技術學院,嘉義市,自有,398,0,398,0,0,0
,101,私立,技專校院,1188,大同技術學院,嘉義縣,自有,459,259,200,0,0,0
,101,私立,技專校院,1189,亞太創意技術學院,苗栗縣,自有,1445,717,728,0,0,0
,101,私立,技專校院,1190,高鳳數位內容學院,屏東縣,自有,648,360,288,0,0,0
,101,私立,技專校院,1191,華夏技術學院,新北市,自有,15,15,0,15,0,15
,101,私立,技專校院,1192,臺灣觀光學院,花蓮縣,自有,1102,640,462,0,0,0
,101,私立,技專校院,1197,台北海洋技術學院,新北市,自有,534,293,241,0,0,0
,101,私立,技專校院,1197,台北海洋技術學院,臺北市,自有,273,137,136,0,0,0
,101,私立,技專校院,1281,康寧醫護暨管理專科學校,臺北市,自有,893,54,839,0,0,0
,101,私立,技專校院,1282,馬偕醫護管理專科學校,新北市,自有,1040,64,976,0,0,0
,101,私立,技專校院,1282,馬偕醫護管理專科學校,臺北市,自有,704,48,656,0,0,0
,101,私立,技專校院,1283,仁德醫護管理專科學校,苗栗縣,自有,2012,351,1661,0,0,0
,101,私立,技專校院,1284,樹人醫護管理專科學校,高雄市,自有,1312,322,990,0,0,0
,101,私立,技專校院,1285,慈惠醫護管理專科學校,屏東縣,自有,590,0,590,320,143,177
,101,私立,技專校院,1286,耕莘健康管理專科學校,新北市,自有,970,6,964,0,0,0
