學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,公立,技專校院,0051,國立臺北商業大學,https://NTCBADM.NTUB.EDU.TW/PUB/TCHSCHEDULE_SEARCH.ASPX,https://WEB.PCC.GOV.TW/PIS/MAIN/PIS/CLIENT/INDEX.DO,https://INFO.NTUB.EDU.TW
110,公立,一般大學,0052,國立屏東大學,https://webap.nptu.edu.tw/web1/Message/default.aspx,https://web.pcc.gov.tw/pishtml/pisindex.html,https://pubinfo.nptu.edu.tw/index.php
110,公立,技專校院,0053,國立高雄科技大學,https://webap.nkust.edu.tw/nkust/,http://web.pcc.gov.tw/pishtml/pisindex.html,https://public.nkust.edu.tw/
110,公立,技專校院,0144,國立臺灣戲曲學院,http://210.71.61.91/tcpa/index.html,http://web.pcc.gov.tw/pis/main/pis/client/index.do,http://www.tcpa.edu.tw/p/404-1000-17046.php?Lang=zh-tw
110,公立,技專校院,0221,國立臺南護理專科學校,https://www.ntin.edu.tw/administration_president1.aspx?id=45,https://www.ntin.edu.tw/administration_president1.aspx?id=942,https://public-info.ntin.edu.tw/mashup-ui/page/menu
110,公立,技專校院,0222,國立臺東專科學校,http://b001.ntc.edu.tw/p/412-1001-1126.php?Lang=zh-tw,http://web.pcc.gov.tw/PISHTML/PISINDEX.HTML,http://b005.ntc.edu.tw/p/426-1005-1.php?Lang=zh-tw
110,私立,一般大學,1001,東海大學,https://fsis.thu.edu.tw/wwwstud/frontend/CourseList.php,http://general.thu.edu.tw/www/purchasing/web/scholarships/list.php?cid=18,http://account.thu.edu.tw/web/finance/finance_detail.php?id=1&lang=zh_tw
110,私立,一般大學,1002,輔仁大學,http://www.academic.fju.edu.tw/administration.jsp?labelID=10,http://www.ga.fju.edu.tw/,https://www.fju.edu.tw/fee/1_1.html
110,私立,一般大學,1003,東吳大學,http://www.scu.edu.tw/~curr/p3-2cos.htm,https://web-ch.scu.edu.tw/custody/file/2969,https://finance.scu.edu.tw/
110,私立,一般大學,1004,中原大學,https://itouch.cycu.edu.tw/active_system/CourseQuerySystem/,http://itouch.cycu.edu.tw/active_project/cycu2200h_01/cycu_07/,https://itouch.cycu.edu.tw/modules/cycu2500h_01/rdininfo/index.do
110,私立,一般大學,1005,淡江大學學校財團法人淡江大學,http://esquery.tku.edu.tw/acad/,https://info.tku.edu.tw/purchase.aspx,https://info.tku.edu.tw/
110,私立,一般大學,1006,中國文化大學,https://www.pccu.edu.tw/unit.html?unitType=cr&unitType=cr,https://omi.pccu.edu.tw/p/412-1306-8409.php?Lang=zh-tw,https://omi.pccu.edu.tw/
110,私立,一般大學,1007,逢甲大學,https://reurl.cc/kL57nr,https://ipurchase.fcu.edu.tw/purchasing/view/public.html#/bidannouncement,https://fcuinfo.fcu.edu.tw/
110,私立,一般大學,1008,靜宜大學,https://alcat.pu.edu.tw/2011courseAbstract/main.php,https://pur.pu.edu.tw/,https://info.pu.edu.tw/
110,私立,一般大學,1009,長庚大學,https://www.is.cgu.edu.tw/portal/DesktopDefault.aspx?tabindex=1&tabid=61,https://generalaffairs.cgu.edu.tw/p/404-1013-82319.php?Lang=zh-tw,http://cgupublic.cgu.edu.tw/
110,私立,一般大學,1010,元智大學,https://portal.yzu.edu.tw/cosSelect/index.aspx,https://www.yzu.edu.tw/admin/ga/index.php/tw/2016-03-18-05-45-08/2016-03-18-06-00-05,https://www.yzu.edu.tw/index.php/tw/official-information
110,私立,一般大學,1011,中華大學學校財團法人中華大學,https://course.chu.edu.tw/,http://140.126.122.87/purchase/,https://www.staff.chu.edu.tw/financial_info/indexJ.htm
110,私立,一般大學,1012,大葉大學,http://syl.dyu.edu.tw/,http://ga.dyu.edu.tw/a2801/purframeset.html,https://info.dyu.edu.tw/
110,私立,一般大學,1013,華梵大學,http://webcourse.hfu.edu.tw/acadann1.aspx,http://ga.hfu.edu.tw/members7/archive.php?class=702,http://wwwold.hfu.edu.tw/~fee/fee/index.htm
110,私立,一般大學,1014,義守大學,https://netreg.isu.edu.tw/wapp/wapp_sha/wap_s140000_bilingual.asp,https://www2.isu.edu.tw/2018/showpage_v01.php?dept_mno=607&dept_id=3&page_id=33118,https://www2.isu.edu.tw/ipages/336-1-17162.html
110,私立,一般大學,1015,世新大學,https://ap4.shu.edu.tw/stu1/stu1/sc01021.aspx,https://ga.web.shu.edu.tw/%e5%85%ac%e9%96%8b%e6%8b%9b%e6%a8%99/%e6%8b%9b%e6%a8%99%e6%9a%a8%e6%b1%ba%e6%a8%99%e5%85%ac%e5%91%8a/,https://finance.web.shu.edu.tw/
110,私立,一般大學,1016,銘傳大學,https://public.mcu.edu.tw/zh-hant/content/%E9%96%8B%E8%AA%B2%E8%88%87%E5%B8%AB%E8%B3%87%E8%B3%87%E8%A8%8A,https://public.mcu.edu.tw/zh-hant/content/%E5%AD%B8%E6%A0%A1%E6%8E%A1%E8%B3%BC%E5%8F%8A%E8%99%95%E7%90%86%E9%87%8D%E5%A4%A7%E8%B3%87%E7%94%A2%E6%83%85%E5%BD%A2,https://public.mcu.edu.tw/
110,私立,一般大學,1017,實踐大學,https://www.usc.edu.tw/info,https://www.usc.edu.tw/info,https://www.usc.edu.tw/info
110,私立,技專校院,1018,朝陽科技大學,https://cts.cyut.edu.tw/CTS0006,http://alltop.cyut.edu.tw/ALLTOP/module_cyu/E1/E1130_buy_check_6_view.php,http://web.cyut.edu.tw/p/412-1000-4388.php?Lang=zh-tw
110,私立,一般大學,1019,高雄醫學大學,https://wac.kmu.edu.tw/qur/qurq0006.php,https://info.kmu.edu.tw/index.php/other-information/purchase,https://info.kmu.edu.tw/
110,私立,一般大學,1020,南華大學,https://std.nhu.edu.tw/Academic/SelCourse/QueryCourses.aspx?open=1&fId=98,https://po3.nhu.edu.tw/Web/News?mid=3036&tid=45&n=%E6%8E%A1%E8%B3%BC%E5%85%AC%E5%91%8A,https://nhuinfo.nhu.edu.tw/
