學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,學制班別,授課語言,修習全外語院、系所、學位學程之學生人數-本國學生數-小計,修習全外語院、系所、學位學程之學生人數-本國學生數-男,修習全外語院、系所、學位學程之學生人數-本國學生數-女,修習全外語院、系所、學位學程之學生人數-境外學生數-小計,修習全外語院、系所、學位學程之學生人數-境外學生數-男,修習全外語院、系所、學位學程之學生人數-境外學生數-女
107,公立,一般大學,0014,國立高雄師範大學,07141044,工程國際碩士學位學程,碩士班(日間),英語,0,0,0,1,1,0
107,公立,一般大學,0016,國立陽明大學,07193018,光電博士學位學程(台灣聯合大學系統),博士班,英語,0,0,0,1,0,1
107,公立,一般大學,0016,國立陽明大學,09191040,國際衛生碩士學位學程,碩士班(日間),英語,2,1,1,14,2,12
107,公立,一般大學,0016,國立陽明大學,09121016,跨領域神經科學國際研究生博士學位學程,博士班,英語,13,3,10,7,4,3
107,公立,一般大學,0017,國立臺北大學,07399040,城市治理英語碩士學位學程,碩士班(日間),英語,0,0,0,7,4,3
107,公立,一般大學,0017,國立臺北大學,04121020,財務金融英語碩士學位學程,碩士班(日間),英語,0,0,0,11,4,7
107,公立,一般大學,0018,國立嘉義大學,05111048,生命科學全英文碩士學位學程,碩士班(日間),英語,0,0,0,4,0,4
107,公立,一般大學,0018,國立嘉義大學,01111006,師範學院教學專業國際碩士學位學程,碩士班(日間),英語,0,0,0,14,8,6
107,公立,一般大學,0018,國立嘉義大學,08192094,農學院農業科技全英碩士學位學程,碩士班(日間),英語,0,0,0,9,0,9
107,公立,一般大學,0018,國立嘉義大學,10151110,管理學院外籍生全英文授課觀光暨管理碩士學位學程,碩士班(日間),英語,0,0,0,30,10,20
107,公立,一般大學,0019,國立高雄大學,04131010,國際商業管理碩士學位學程,碩士班(日間),英語,1,1,0,23,11,12
107,公立,一般大學,0019,國立高雄大學,05499037,應用科學碩士學位學程,碩士班(日間),英語,0,0,0,2,2,0
107,公立,一般大學,0020,國立東華大學,05211100,人文與環境碩士學位學程,碩士班(日間),英語,1,1,0,5,3,2
107,公立,一般大學,0020,國立東華大學,05311071,化學系,博士班,英語,0,0,0,5,3,2
107,公立,一般大學,0020,國立東華大學,07112090,材料科學與工程學系,博士班,英語,0,0,0,4,3,1
107,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理博士班,博士班,英語,0,0,0,12,7,5
107,公立,一般大學,0020,國立東華大學,05331072,物理學系應用物理碩士班,碩士班(日間),英語,0,0,0,9,3,6
107,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,學士班(日間),英語,55,42,13,36,30,6
107,公立,一般大學,0020,國立東華大學,06131086,資訊工程學系,碩士班(日間),英語,0,0,0,2,1,1
107,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),英語,47,18,29,30,13,17
107,公立,技專校院,0022,國立臺灣科技大學,07199033,工程學院_大學部先進科技全英語外國學生專班,學士班(日間),英語,0,0,0,20,16,4
107,公立,技專校院,0022,國立臺灣科技大學,07191012,工業管理系,博士班,英語,0,0,0,30,24,6
107,公立,技專校院,0022,國立臺灣科技大學,07191012,工業管理系,碩士班(日間),英語,0,0,0,52,28,24
107,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,學士班(日間),英語,0,0,0,25,13,12
107,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,博士班,英語,0,0,0,56,42,14
107,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系,碩士班(日間),英語,0,0,0,25,14,11
107,公立,技專校院,0022,國立臺灣科技大學,07111026,化學工程系_化工醫檢分析器材國際學生產學合作專班,學士班(日間),英語,0,0,0,5,2,3
107,公立,技專校院,0022,國立臺灣科技大學,04131008,企業管理系,博士班,英語,0,0,0,14,8,6
107,公立,技專校院,0022,國立臺灣科技大學,04131008,企業管理系,碩士班(日間),英語,0,0,0,21,5,16
107,公立,技專校院,0022,國立臺灣科技大學,07141019,光電工程研究所,博士班,英語,0,0,0,3,3,0
107,公立,技專校院,0022,國立臺灣科技大學,07141019,光電工程研究所,碩士班(日間),英語,0,0,0,1,0,1
107,公立,技專校院,0022,國立臺灣科技大學,07151024,自動化及控制研究所,博士班,英語,0,0,0,2,2,0
107,公立,技專校院,0022,國立臺灣科技大學,07151024,自動化及控制研究所,碩士班(日間),英語,0,0,0,6,4,2
107,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,博士班,英語,0,0,0,36,28,8
107,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,碩士班(日間),英語,0,0,0,12,6,6
107,公立,技專校院,0022,國立臺灣科技大學,07311038,建築系,博士班,英語,0,0,0,4,0,4
107,公立,技專校院,0022,國立臺灣科技大學,07311038,建築系,碩士班(日間),英語,0,0,0,19,7,12
107,公立,技專校院,0022,國立臺灣科技大學,04199011,科技管理研究所,碩士班(日間),英語,0,0,0,2,0,2
107,公立,技專校院,0022,國立臺灣科技大學,04121010,財務金融研究所,博士班,英語,0,0,0,2,1,1
107,公立,技專校院,0022,國立臺灣科技大學,04121010,財務金融研究所,碩士班(日間),英語,0,0,0,19,8,11
107,公立,技專校院,0022,國立臺灣科技大學,06131020,資訊工程系,博士班,英語,0,0,0,24,19,5
107,公立,技專校院,0022,國立臺灣科技大學,06131020,資訊工程系,碩士班(日間),英語,0,0,0,22,21,1
107,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,博士班,英語,0,0,0,16,10,6
107,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,碩士班(日間),英語,0,0,0,25,15,10
