學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),性別,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素 
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),男,2,1,0,0,1,0,0,...,0
106,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),女,1,0,0,0,0,0,0,...,1
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),男,5,3,2,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05111106,應用科學系,學士班(日間),女,2,2,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),男,5,0,0,0,1,0,0,...,4
106,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),女,3,3,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),男,3,0,0,0,1,0,1,...,1
106,公立,一般大學,0002,國立清華大學,05199032,生命科學院學士班,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),男,4,4,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,學士班(日間),女,2,1,1,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),男,9,4,0,0,1,0,0,...,4
106,公立,一般大學,0002,國立清華大學,05311037,化學系,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),男,15,9,0,1,0,0,0,...,5
106,公立,一般大學,0002,國立清華大學,05331038,物理學系,學士班(日間),女,5,1,0,0,2,0,0,...,2
106,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),男,6,1,0,0,1,0,0,...,4
106,公立,一般大學,0002,國立清華大學,05399042,理學院學士班,學士班(日間),女,3,1,0,0,0,0,1,...,1
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),男,19,14,0,1,2,0,0,...,2
106,公立,一般大學,0002,國立清華大學,05411043,數學系,學士班(日間),女,4,1,0,0,1,0,0,...,2
106,公立,一般大學,0002,國立清華大學,05411092,應用數學系,學士班(日間),男,9,4,5,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),男,24,14,1,0,1,0,0,...,8
106,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),女,4,1,0,0,0,0,0,...,3
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),男,3,0,0,0,0,0,0,...,3
106,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),男,14,5,0,0,0,0,2,...,7
106,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,學士班(日間),女,4,2,0,0,0,0,0,...,2
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),男,16,10,0,0,0,0,0,...,6
106,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,學士班(日間),女,2,1,0,0,0,0,0,...,1
