學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05311051,化學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,05411059,數學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),115,24,0,0,139
106,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,學士班(日間),108,24,0,0,132
106,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,學士班(日間),110,24,0,0,134
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),111,24,0,0,135
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),113,24,0,0,137
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),116,24,0,0,140
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),106,24,0,0,130
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),108,24,0,0,132
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),107,24,0,0,131
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),110,24,0,0,134
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),104,24,0,0,128
106,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),100,24,0,0,124
106,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),158,24,0,0,182
106,公立,一般大學,0003,國立臺灣大學,09111137,牙醫學系,學士班(日間),215,24,0,0,239
106,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),205,24,0,0,229
106,公立,一般大學,0003,國立臺灣大學,09121107,醫學系七年制,學士班(日間),247,24,0,0,271
106,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),104,24,0,0,128
