學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),科目類別,必選修,每學期課程開課數,課程數-上課人數達100至199人,課程數-上課人數達200人以上
107,1,公立,一般大學,0005,國立成功大學,學士班(日間),專業科目,選修,649,20,5
107,1,公立,一般大學,0005,國立成功大學,學士班(日間),專業科目,必修,1118,80,37
107,2,公立,一般大學,0005,國立成功大學,學士班(日間),共同科目,選修,14,0,0
107,2,公立,一般大學,0005,國立成功大學,學士班(日間),通識科目,選修,66,0,1
107,2,公立,一般大學,0005,國立成功大學,學士班(日間),通識科目,必修,271,40,8
107,2,公立,一般大學,0005,國立成功大學,學士班(日間),專業科目,選修,661,22,2
107,2,公立,一般大學,0005,國立成功大學,學士班(日間),專業科目,必修,1110,59,0
107,1,公立,一般大學,0006,國立中興大學,學士班(日間),共同科目,選修,60,7,1
107,1,公立,一般大學,0006,國立中興大學,學士班(日間),共同科目,必修,223,4,8
107,1,公立,一般大學,0006,國立中興大學,學士班(日間),通識科目,必修,164,30,14
107,1,公立,一般大學,0006,國立中興大學,學士班(日間),專業科目,選修,686,41,10
107,1,公立,一般大學,0006,國立中興大學,學士班(日間),專業科目,必修,816,50,30
107,2,公立,一般大學,0006,國立中興大學,學士班(日間),共同科目,選修,694,2,0
107,2,公立,一般大學,0006,國立中興大學,學士班(日間),共同科目,必修,620,14,0
107,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),共同科目,選修,241,10,5
107,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),通識科目,選修,107,13,5
107,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),專業科目,選修,439,17,4
107,1,公立,一般大學,0007,國立陽明交通大學,學士班(日間),專業科目,必修,397,38,21
107,2,公立,一般大學,0007,國立陽明交通大學,學士班(日間),共同科目,選修,620,0,0
107,2,公立,一般大學,0007,國立陽明交通大學,學士班(日間),專業科目,選修,215,14,0
107,2,公立,一般大學,0007,國立陽明交通大學,學士班(日間),專業科目,必修,329,17,1
107,1,公立,一般大學,0008,國立中央大學,學士班(日間),通識科目,選修,42,18,0
107,1,公立,一般大學,0008,國立中央大學,學士班(日間),專業科目,選修,428,36,1
107,1,公立,一般大學,0008,國立中央大學,學士班(日間),專業科目,必修,662,64,24
107,2,公立,一般大學,0008,國立中央大學,學士班(日間),通識科目,選修,52,10,0
107,2,公立,一般大學,0008,國立中央大學,學士班(日間),專業科目,選修,461,26,0
107,2,公立,一般大學,0008,國立中央大學,學士班(日間),專業科目,必修,629,27,0
107,1,公立,一般大學,0009,國立中山大學,學士班(日間),通識科目,選修,48,13,0
107,1,公立,一般大學,0009,國立中山大學,學士班(日間),專業科目,選修,607,44,18
107,1,公立,一般大學,0009,國立中山大學,學士班(日間),專業科目,必修,465,19,0
107,2,公立,一般大學,0009,國立中山大學,學士班(日間),通識科目,選修,54,13,0
