學年度,設立別,學校類別,學校統計處代碼,學校名稱,108學年度購買圖書經費,108學年度學生數,108學年度每生平均圖書經費,107學年度購買圖書經費,107學年度學生數,107學年度每生平均圖書經費,106學年度購買圖書經費,106學年度學生數,106學年度每生平均圖書經費,近3學年度購買圖書經費之平均
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,5573008,4036,1381,6368542,4366,1459,5607576,4799,1168,5849709
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,14208762,3064,4637,13823231,2979,4640,14892689,2947,5054,14308227
110,私立,技專校院,1078,致理學校財團法人致理科技大學,12745372,11369,1121,13493289,11509,1172,14450713,11624,1243,13563125
110,私立,一般大學,1079,康寧學校財團法人康寧大學,2442950,3641,671,2635867,4304,612,3518747,4968,708,2865855
110,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,4181588,5732,730,5726510,6344,903,5498738,6568,837,5135612
110,私立,技專校院,1081,東方學校財團法人東方設計大學,3024210,2273,1330,4263946,2832,1506,5050700,3192,1582,4112952
110,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,1713928,2014,851,2321000,2415,961,2470200,2685,920,2168376
110,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,4879904,4440,1099,5255340,4856,1082,4785876,5330,898,4973707
110,私立,技專校院,1084,亞東學校財團法人亞東科技大學,15567081,4497,3462,13116703,4522,2901,9262526,4484,2066,12648770
110,私立,一般大學,1125,中信學校財團法人中信金融管理學院,737035,718,1027,1059983,661,1604,3553605,485,7327,1783541
110,私立,技專校院,1148,大漢技術學院,447400,1075,416,448839,1163,386,488722,1305,374,461654
110,私立,技專校院,1159,和春技術學院,456066,979,466,844568,1446,584,826100,2475,334,708911
110,私立,技專校院,1168,南亞科技學校財團法人南亞技術學院,611700,2689,227,649940,3010,216,1810283,3542,511,1023974
110,私立,技專校院,1182,蘭陽技術學院,100000,667,150,387817,921,421,901214,1058,852,463010
110,私立,技專校院,1183,黎明技術學院,2556544,5060,505,2464783,4925,500,1479027,4576,323,2166785
110,私立,技專校院,1185,經國管理暨健康學院,4044730,3709,1091,4142504,3732,1110,4729029,3874,1221,4305421
110,私立,技專校院,1188,大同技術學院,1017639,1337,761,1264194,1803,701,1058361,2112,501,1113398
110,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,8793929,684,12857,8750968,708,12360,7807911,666,11724,8450936
110,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,5578876,305,18291,5049054,280,18032,4714747,267,17658,5114226
110,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,3335803,4223,790,4288112,4276,1003,4285740,4381,978,3969885
110,私立,技專校院,1283,仁德醫護管理專科學校,1692624,6433,263,1433311,6425,223,1931826,6601,293,1685920
110,私立,技專校院,1284,樹人醫護管理專科學校,3324286,7286,456,3801261,7149,532,3616441,7097,510,3580663
110,私立,技專校院,1285,慈惠醫護管理專科學校,1200000,4504,266,2400000,5040,476,3100000,5556,558,2233333
110,私立,技專校院,1286,耕莘健康管理專科學校,5302463,4911,1080,4625335,5093,908,5272068,5217,1011,5066622
110,私立,技專校院,1287,敏惠醫護管理專科學校,4361141,3904,1117,4342567,3869,1122,2996892,3858,777,3900200
110,私立,技專校院,1289,育英醫護管理專科學校,3054994,1996,1531,2825000,2013,1403,2722083,1969,1382,2867359
110,私立,技專校院,1291,聖母醫護管理專科學校,1489171,2561,581,1619979,2777,583,2172130,3155,688,1760427
110,私立,技專校院,1292,新生醫護管理專科學校,4456150,6031,739,4036211,6058,666,2716767,6024,451,3736376
110,私立,技專校院,1293,崇仁醫護管理專科學校,3170940,3330,952,2624007,3392,774,2974474,3503,849,2923140
110,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,1341024,41,32708,1384874,31,44673,1328733,27,49212,1351544
110,私立,宗教研修學院,1R03,臺北基督學院,1475000,81,18210,1208589,89,13580,1268188,116,10933,1317259
110,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,30223,171,177,84574,128,661,40549,72,563,51782
110,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,2960336,107,27667,2900327,93,31186,5127967,54,94962,3662877
110,私立,宗教研修學院,1R06,一貫道崇德學院,291199,58,5021,111449,50,2229,300000,28,10714,234216
110,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,400000,67,5970,400000,47,8511,0,0,0,266667
110,公立,一般大學,3002,臺北市立大學,17705830,7809,2267,18123454,7774,2331,17212090,7675,2243,17680458
