學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,88,88,0,272,2,2
108,公立,一般大學,0029,國立臺灣藝術大學,博士班,11,11,0,46,0,4
108,公立,一般大學,0030,國立臺東大學,碩士班(日間),81,77,0,244,1,0
108,公立,一般大學,0030,國立臺東大學,碩士在職專班,141,130,0,420,3,0
108,公立,一般大學,0030,國立臺東大學,博士班,6,0,0,30,0,0
108,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),164,164,0,588,43,2
108,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,57,57,0,177,9,1
108,公立,一般大學,0032,國立聯合大學,碩士班(日間),159,102,0,475,62,23
108,公立,一般大學,0032,國立聯合大學,碩士在職專班,2,2,0,6,0,0
108,公立,一般大學,0032,國立聯合大學,博士班,1,0,0,3,2,0
108,公立,技專校院,0033,國立虎尾科技大學,博士班,2,2,0,14,0,0
108,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,40,35,0,113,16,3
108,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),374,372,8,1110,58,33
108,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),123,28,0,318,36,22
108,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,11,0,0,32,1,0
108,公立,一般大學,0035,國立臺南藝術大學,博士班,3,0,0,15,0,0
108,公立,一般大學,0036,國立臺南大學,碩士班(日間),203,203,0,608,19,0
108,公立,一般大學,0036,國立臺南大學,碩士在職專班,188,188,0,568,3,0
108,公立,一般大學,0036,國立臺南大學,博士班,27,27,0,136,0,0
108,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),251,74,0,774,0,0
108,公立,一般大學,0037,國立臺北教育大學,博士班,13,0,0,66,1,0
108,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,224,116,0,692,1,0
108,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),200,152,0,645,0,1
108,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,174,148,0,534,1,0
108,公立,一般大學,0039,國立臺中教育大學,博士班,9,0,0,43,4,0
