學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,私立,一般大學,1176,稻江科技暨管理學院,碩士班(日間),25,25,0,105,0,0
108,私立,一般大學,1176,稻江科技暨管理學院,碩士在職專班,23,23,1,72,0,0
108,私立,技專校院,1185,經國管理暨健康學院,碩士在職專班,20,20,0,60,60,0
108,私立,技專校院,1185,經國管理暨健康學院,碩士班(日間),11,11,0,33,33,0
108,私立,技專校院,1192,臺灣觀光學院,碩士班(日間),2,2,0,0,6,0
108,私立,一般大學,1195,馬偕學校財團法人馬偕醫學院,碩士班(日間),9,9,0,29,0,0
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,碩士班(日間),38,28,1,113,4,0
108,私立,一般大學,1196,法鼓學校財團法人法鼓文理學院,博士班,1,1,0,5,0,0
108,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,碩士班(日間),10,10,0,29,0,1
108,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,碩士班(日間),9,0,0,24,3,4
108,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,碩士班(日間),27,0,0,78,2,2
108,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,碩士班(日間),11,7,0,32,0,1
108,公立,一般大學,3002,臺北市立大學,碩士班(日間),252,252,0,740,26,8
108,公立,一般大學,3002,臺北市立大學,碩士在職專班,262,262,0,784,8,0
108,公立,一般大學,3002,臺北市立大學,博士班,18,18,0,90,0,0
109,公立,一般大學,0001,國立政治大學,博士班,116,66,0,600,3,0
109,公立,一般大學,0001,國立政治大學,碩士在職專班,455,383,0,1379,2,16
109,公立,一般大學,0001,國立政治大學,碩士班(日間),1176,1134,1,3589,41,11
109,公立,一般大學,0002,國立清華大學,碩士班(日間),1936,1912,70,5874,544,41
109,公立,一般大學,0002,國立清華大學,碩士在職專班,356,324,25,1150,63,2
109,公立,一般大學,0002,國立清華大學,博士班,246,143,11,1165,150,6
109,公立,一般大學,0003,國立臺灣大學,博士班,435,48,0,2175,24,0
109,公立,一般大學,0003,國立臺灣大學,碩士班(日間),3711,3125,0,11133,47,2
109,公立,一般大學,0003,國立臺灣大學,碩士在職專班,520,426,0,1560,0,0
109,公立,一般大學,0004,國立臺灣師範大學,碩士班(日間),1185,1073,0,3517,129,14
109,公立,一般大學,0004,國立臺灣師範大學,博士班,166,33,0,802,51,1
109,公立,一般大學,0004,國立臺灣師範大學,碩士在職專班,507,456,0,1477,42,29
109,公立,一般大學,0005,國立成功大學,博士班,201,121,2,1172,43,4
109,公立,一般大學,0005,國立成功大學,碩士在職專班,357,234,1,1207,18,7
109,公立,一般大學,0005,國立成功大學,碩士班(日間),2775,1896,16,9998,484,77
109,公立,一般大學,0006,國立中興大學,碩士在職專班,461,461,0,1491,77,1
109,公立,一般大學,0006,國立中興大學,博士班,92,92,0,441,62,0
109,公立,一般大學,0006,國立中興大學,碩士班(日間),1412,1412,0,4449,332,10
109,公立,一般大學,0007,國立陽明交通大學,博士班,310,310,0,1596,183,5
109,公立,一般大學,0007,國立陽明交通大學,碩士在職專班,456,456,0,1492,89,2
109,公立,一般大學,0007,國立陽明交通大學,碩士班(日間),2478,2478,0,8079,538,53
109,公立,一般大學,0008,國立中央大學,碩士在職專班,418,418,0,1175,61,32
109,公立,一般大學,0008,國立中央大學,碩士班(日間),1412,1412,0,4312,245,32
109,公立,一般大學,0008,國立中央大學,博士班,144,144,0,698,55,7
109,公立,一般大學,0009,國立中山大學,碩士班(日間),1143,1143,0,3882,306,0
109,公立,一般大學,0009,國立中山大學,碩士在職專班,319,319,0,980,48,0
109,公立,一般大學,0009,國立中山大學,博士班,110,110,0,496,147,0
109,公立,一般大學,0012,國立臺灣海洋大學,碩士在職專班,171,171,0,556,25,1
109,公立,一般大學,0012,國立臺灣海洋大學,博士班,30,30,0,175,6,0
109,公立,一般大學,0012,國立臺灣海洋大學,碩士班(日間),543,543,0,1779,182,2
109,公立,一般大學,0013,國立中正大學,碩士班(日間),1015,1015,1,3422,86,6
109,公立,一般大學,0013,國立中正大學,博士班,64,64,0,356,6,0
109,公立,一般大學,0013,國立中正大學,碩士在職專班,370,370,0,1201,2,1
109,公立,一般大學,0014,國立高雄師範大學,碩士在職專班,308,267,0,937,7,0
109,公立,一般大學,0014,國立高雄師範大學,博士班,50,5,0,250,0,0
109,公立,一般大學,0014,國立高雄師範大學,碩士班(日間),296,225,0,888,0,0
109,公立,一般大學,0015,國立彰化師範大學,碩士班(日間),523,475,0,1641,10,1
109,公立,一般大學,0015,國立彰化師範大學,博士班,47,13,0,248,0,0
109,公立,一般大學,0015,國立彰化師範大學,碩士在職專班,425,357,0,1309,2,0
109,公立,一般大學,0017,國立臺北大學,碩士班(日間),457,407,0,1540,31,2
109,公立,一般大學,0017,國立臺北大學,博士班,20,6,0,114,0,0
109,公立,一般大學,0017,國立臺北大學,碩士在職專班,166,157,0,544,5,9
109,公立,一般大學,0018,國立嘉義大學,博士班,24,24,1,125,6,2
109,公立,一般大學,0018,國立嘉義大學,碩士在職專班,241,241,0,770,20,2
109,公立,一般大學,0018,國立嘉義大學,碩士班(日間),398,398,5,1321,37,3
109,公立,一般大學,0019,國立高雄大學,碩士在職專班,105,87,0,298,34,0
109,公立,一般大學,0019,國立高雄大學,博士班,2,2,0,9,2,0
109,公立,一般大學,0019,國立高雄大學,碩士班(日間),217,194,0,669,43,0
109,公立,一般大學,0020,國立東華大學,博士班,58,35,0,285,10,1
109,公立,一般大學,0020,國立東華大學,碩士班(日間),375,353,0,1110,30,10
109,公立,一般大學,0020,國立東華大學,碩士在職專班,98,90,0,294,1,0
109,公立,一般大學,0021,國立暨南國際大學,博士班,28,10,0,140,8,2
109,公立,一般大學,0021,國立暨南國際大學,碩士班(日間),272,234,0,836,20,7
109,公立,一般大學,0021,國立暨南國際大學,碩士在職專班,120,110,0,343,23,0
109,公立,技專校院,0022,國立臺灣科技大學,博士班,153,102,0,836,29,4
109,公立,技專校院,0022,國立臺灣科技大學,碩士班(日間),1547,1539,0,5349,191,8
109,公立,技專校院,0022,國立臺灣科技大學,碩士在職專班,299,292,0,934,55,3
109,公立,技專校院,0023,國立雲林科技大學,碩士班(日間),717,708,0,2255,65,11
109,公立,技專校院,0023,國立雲林科技大學,博士班,34,9,0,180,3,2
109,公立,技專校院,0023,國立雲林科技大學,碩士在職專班,244,226,0,770,7,1
109,公立,技專校院,0024,國立屏東科技大學,碩士在職專班,100,51,0,300,0,0
109,公立,技專校院,0024,國立屏東科技大學,博士班,27,15,0,139,11,0
109,公立,技專校院,0024,國立屏東科技大學,碩士班(日間),372,298,1,1227,89,7
109,公立,技專校院,0025,國立臺北科技大學,博士班,93,93,0,442,37,18
109,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,455,287,0,1341,154,14
109,公立,技專校院,0025,國立臺北科技大學,碩士班(日間),1252,1252,0,3838,478,28
109,公立,一般大學,0028,國立臺北藝術大學,博士班,8,1,0,42,2,0
109,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,41,41,0,125,2,0
109,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),199,197,0,610,5,1
109,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),152,152,0,461,2,4
109,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,74,74,0,227,0,1
109,公立,一般大學,0029,國立臺灣藝術大學,博士班,15,15,0,65,6,4
109,公立,一般大學,0030,國立臺東大學,碩士班(日間),76,74,0,228,0,0
109,公立,一般大學,0030,國立臺東大學,碩士在職專班,166,160,0,496,2,0
109,公立,一般大學,0030,國立臺東大學,博士班,7,3,0,35,0,0
109,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),142,142,0,512,23,6
109,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,68,68,0,241,7,2
109,公立,一般大學,0031,國立宜蘭大學,博士班,2,2,0,9,3,0
109,公立,一般大學,0032,國立聯合大學,碩士班(日間),159,159,0,478,55,4
109,公立,一般大學,0032,國立聯合大學,碩士在職專班,16,16,0,48,0,0
109,公立,一般大學,0032,國立聯合大學,博士班,2,2,0,12,0,0
109,公立,技專校院,0033,國立虎尾科技大學,博士班,4,4,0,26,0,0
109,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),355,355,0,1100,34,29
109,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,55,53,0,173,3,4
109,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,3,0,0,9,0,0
109,公立,一般大學,0035,國立臺南藝術大學,博士班,3,0,0,21,0,0
109,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),123,30,0,352,26,15
109,公立,一般大學,0036,國立臺南大學,碩士班(日間),201,201,0,609,11,0
109,公立,一般大學,0036,國立臺南大學,碩士在職專班,162,162,0,491,2,0
109,公立,一般大學,0036,國立臺南大學,博士班,19,19,0,95,1,0
109,公立,一般大學,0037,國立臺北教育大學,博士班,13,0,0,70,0,0
109,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),293,153,0,900,4,0
109,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,281,232,0,854,0,0
109,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),169,157,0,562,14,0
109,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,171,154,0,526,4,0
109,公立,一般大學,0039,國立臺中教育大學,博士班,9,3,0,47,0,0
109,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),19,13,0,51,11,0
109,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,14,4,0,43,4,0
109,公立,技專校院,0043,國立勤益科技大學,碩士班(日間),260,202,2,875,43,0
109,公立,技專校院,0043,國立勤益科技大學,博士班,4,0,0,21,0,0
109,公立,技專校院,0043,國立勤益科技大學,碩士在職專班,112,0,0,368,13,2
109,公立,一般大學,0044,國立體育大學,碩士班(日間),96,94,0,272,10,9
109,公立,一般大學,0044,國立體育大學,博士班,23,11,0,114,1,0
109,公立,一般大學,0044,國立體育大學,碩士在職專班,44,42,0,121,13,0
109,公立,技專校院,0046,國立臺北護理健康大學,碩士在職專班,35,35,0,102,4,3
109,公立,技專校院,0046,國立臺北護理健康大學,博士班,10,10,0,47,3,0
109,公立,技專校院,0046,國立臺北護理健康大學,碩士班(日間),148,148,0,441,8,7
109,公立,技專校院,0047,國立高雄餐旅大學,博士班,8,8,0,37,4,0
109,公立,技專校院,0047,國立高雄餐旅大學,碩士班(日間),60,59,0,192,14,0
109,公立,技專校院,0047,國立高雄餐旅大學,碩士在職專班,9,9,0,31,0,0
109,公立,一般大學,0048,國立金門大學,碩士在職專班,36,36,0,114,0,0
109,公立,一般大學,0048,國立金門大學,碩士班(日間),81,81,0,269,9,0
109,公立,一般大學,0049,國立臺灣體育運動大學,碩士班(日間),58,44,0,186,0,0
109,公立,一般大學,0049,國立臺灣體育運動大學,碩士在職專班,31,31,0,97,0,0
109,公立,技專校院,0050,國立臺中科技大學,碩士班(日間),143,143,0,444,3,0
109,公立,技專校院,0050,國立臺中科技大學,碩士在職專班,74,74,0,225,0,0
109,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),99,99,5,299,0,0
109,公立,技專校院,0051,國立臺北商業大學,碩士在職專班,11,11,0,33,0,0
109,公立,一般大學,0052,國立屏東大學,博士班,7,5,0,36,1,0
109,公立,一般大學,0052,國立屏東大學,碩士在職專班,127,119,0,384,5,1
109,公立,一般大學,0052,國立屏東大學,碩士班(日間),237,234,0,711,5,0
109,公立,技專校院,0053,國立高雄科技大學,博士班,50,50,1,274,3,0
109,公立,技專校院,0053,國立高雄科技大學,碩士在職專班,715,715,0,2384,111,1
109,公立,技專校院,0053,國立高雄科技大學,碩士班(日間),938,938,22,3253,168,10
109,私立,一般大學,1001,東海大學,博士班,31,8,0,147,0,13
109,私立,一般大學,1001,東海大學,碩士在職專班,211,175,0,691,0,5
109,私立,一般大學,1001,東海大學,碩士班(日間),330,288,0,1075,3,31
109,私立,一般大學,1002,輔仁大學,碩士在職專班,367,326,0,1145,1,0
109,私立,一般大學,1002,輔仁大學,碩士班(日間),563,481,0,1799,7,1
109,私立,一般大學,1002,輔仁大學,博士班,63,9,0,326,17,0
109,私立,一般大學,1003,東吳大學,碩士在職專班,224,181,0,712,0,11
109,私立,一般大學,1003,東吳大學,碩士班(日間),317,281,0,982,2,7
109,私立,一般大學,1003,東吳大學,博士班,7,1,0,35,0,0
109,私立,一般大學,1004,中原大學,博士班,53,53,0,256,38,8
109,私立,一般大學,1004,中原大學,碩士班(日間),590,579,6,1759,69,36
109,私立,一般大學,1004,中原大學,碩士在職專班,270,270,32,807,17,19
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,224,198,36,667,5,0
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,43,17,10,225,7,0
109,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),599,559,25,1739,28,30
109,私立,一般大學,1006,中國文化大學,博士班,41,21,0,219,0,1
109,私立,一般大學,1006,中國文化大學,碩士班(日間),345,315,0,1077,3,5
109,私立,一般大學,1006,中國文化大學,碩士在職專班,148,118,0,466,10,1
109,私立,一般大學,1007,逢甲大學,碩士班(日間),599,599,18,1729,105,25
109,私立,一般大學,1007,逢甲大學,博士班,77,77,2,420,15,0
109,私立,一般大學,1007,逢甲大學,碩士在職專班,314,314,2,960,13,2
109,私立,一般大學,1008,靜宜大學,碩士在職專班,72,72,0,215,1,1
109,私立,一般大學,1008,靜宜大學,博士班,1,1,0,6,0,0
109,私立,一般大學,1008,靜宜大學,碩士班(日間),179,179,0,569,0,0
109,私立,一般大學,1009,長庚大學,碩士在職專班,68,58,0,204,0,1
109,私立,一般大學,1009,長庚大學,碩士班(日間),390,376,0,1197,30,11
109,私立,一般大學,1009,長庚大學,博士班,60,20,0,292,24,4
109,私立,一般大學,1010,元智大學,碩士班(日間),331,331,0,1050,70,0
109,私立,一般大學,1010,元智大學,碩士在職專班,141,141,0,421,20,0
109,私立,一般大學,1010,元智大學,博士班,33,33,0,169,10,0
109,私立,一般大學,1011,中華大學學校財團法人中華大學,博士班,11,11,0,60,1,0
109,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士班(日間),150,150,0,468,9,0
109,私立,一般大學,1011,中華大學學校財團法人中華大學,碩士在職專班,53,53,0,175,1,0
109,私立,一般大學,1012,大葉大學,碩士班(日間),230,218,0,656,59,16
109,私立,一般大學,1012,大葉大學,博士班,22,6,0,111,12,0
109,私立,一般大學,1012,大葉大學,碩士在職專班,219,213,1,626,68,7
109,私立,一般大學,1013,華梵大學,碩士班(日間),48,37,0,139,6,0
109,私立,一般大學,1013,華梵大學,碩士在職專班,35,32,0,98,7,0
109,私立,一般大學,1013,華梵大學,博士班,5,3,0,26,0,0
109,私立,一般大學,1014,義守大學,碩士在職專班,123,47,0,399,18,0
109,私立,一般大學,1014,義守大學,博士班,19,14,0,95,6,1
109,私立,一般大學,1014,義守大學,碩士班(日間),148,147,0,461,6,2
109,私立,一般大學,1015,世新大學,碩士在職專班,142,136,0,440,2,5
109,私立,一般大學,1015,世新大學,碩士班(日間),184,181,0,610,1,3
109,私立,一般大學,1015,世新大學,博士班,14,10,0,71,0,0
109,私立,一般大學,1016,銘傳大學,碩士班(日間),218,213,0,671,0,0
109,私立,一般大學,1016,銘傳大學,碩士在職專班,237,231,0,749,0,0
109,私立,一般大學,1016,銘傳大學,博士班,12,5,0,63,0,0
109,私立,一般大學,1017,實踐大學,碩士班(日間),102,102,0,308,11,1
109,私立,一般大學,1017,實踐大學,博士班,2,2,0,10,0,0
109,私立,一般大學,1017,實踐大學,碩士在職專班,31,31,0,97,0,0
109,私立,技專校院,1018,朝陽科技大學,碩士班(日間),226,220,3,727,8,0
109,私立,技專校院,1018,朝陽科技大學,碩士在職專班,84,75,0,284,0,0
109,私立,技專校院,1018,朝陽科技大學,博士班,17,12,0,89,0,0
109,私立,一般大學,1019,高雄醫學大學,博士班,55,40,0,246,32,0
109,私立,一般大學,1019,高雄醫學大學,碩士在職專班,71,67,0,146,67,0
109,私立,一般大學,1019,高雄醫學大學,碩士班(日間),240,232,0,507,215,1
109,私立,一般大學,1020,南華大學,博士班,4,0,0,22,0,0
109,私立,一般大學,1020,南華大學,碩士班(日間),198,182,0,583,26,7
109,私立,一般大學,1020,南華大學,碩士在職專班,111,104,0,336,0,0
109,私立,一般大學,1021,真理大學,碩士在職專班,9,9,0,27,0,0
109,私立,一般大學,1021,真理大學,碩士班(日間),28,27,0,74,10,0
109,私立,一般大學,1022,大同大學,碩士在職專班,32,28,0,100,1,0
109,私立,一般大學,1022,大同大學,博士班,15,12,0,78,0,0
109,私立,一般大學,1022,大同大學,碩士班(日間),94,94,0,283,6,2
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,博士班,20,16,0,101,0,0
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士在職專班,119,111,0,357,0,0
109,私立,技專校院,1023,南臺學校財團法人南臺科技大學,碩士班(日間),256,247,0,767,3,2
109,私立,技專校院,1024,崑山科技大學,碩士班(日間),140,108,0,378,43,2
109,私立,技專校院,1024,崑山科技大學,博士班,8,6,0,41,2,0
109,私立,技專校院,1024,崑山科技大學,碩士在職專班,67,66,0,198,3,0
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士在職專班,61,57,0,147,39,0
109,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,碩士班(日間),73,71,0,86,138,0
109,私立,技專校院,1026,樹德科技大學,碩士在職專班,164,154,0,486,12,0
109,私立,技專校院,1026,樹德科技大學,碩士班(日間),90,86,0,271,8,0
109,私立,技專校院,1026,樹德科技大學,博士班,2,0,0,10,1,0
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士班(日間),81,75,0,247,1,0
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,碩士在職專班,9,5,0,27,0,0
109,私立,一般大學,1027,慈濟學校財團法人慈濟大學,博士班,21,11,0,105,3,0
109,私立,一般大學,1028,臺北醫學大學,博士班,91,82,0,438,30,2
109,私立,一般大學,1028,臺北醫學大學,碩士班(日間),243,243,0,813,7,3
109,私立,一般大學,1028,臺北醫學大學,碩士在職專班,86,85,0,274,2,0
109,私立,一般大學,1029,中山醫學大學,碩士班(日間),182,176,0,575,1,0
109,私立,一般大學,1029,中山醫學大學,博士班,40,25,0,202,0,0
109,私立,一般大學,1029,中山醫學大學,碩士在職專班,56,54,0,171,0,0
109,私立,技專校院,1030,龍華科技大學,碩士班(日間),68,68,12,168,77,4
109,私立,技專校院,1030,龍華科技大學,碩士在職專班,34,34,0,105,0,2
109,私立,技專校院,1031,輔英科技大學,碩士在職專班,23,23,0,5,67,0
109,私立,技專校院,1031,輔英科技大學,碩士班(日間),38,30,0,0,132,0
109,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士在職專班,112,111,0,309,27,0
109,私立,技專校院,1032,明新學校財團法人明新科技大學,碩士班(日間),95,87,0,259,27,0
109,私立,一般大學,1033,長榮大學,博士班,6,5,0,30,0,1
109,私立,一般大學,1033,長榮大學,碩士班(日間),104,95,0,296,18,3
109,私立,一般大學,1033,長榮大學,碩士在職專班,49,47,0,129,19,0
109,私立,技專校院,1034,弘光科技大學,碩士在職專班,17,16,0,49,1,1
109,私立,技專校院,1034,弘光科技大學,碩士班(日間),57,57,0,175,9,1
109,私立,技專校院,1034,弘光科技大學,博士班,5,5,0,24,1,0
109,私立,一般大學,1035,中國醫藥大學,博士班,65,65,0,287,43,0
109,私立,一般大學,1035,中國醫藥大學,碩士班(日間),192,192,0,484,123,9
109,私立,一般大學,1035,中國醫藥大學,碩士在職專班,28,28,0,71,12,1
109,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士班(日間),118,111,0,350,8,0
109,私立,技專校院,1036,健行學校財團法人健行科技大學,碩士在職專班,17,17,0,51,0,0
109,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士班(日間),154,154,6,484,6,7
109,私立,技專校院,1037,正修學校財團法人正修科技大學,碩士在職專班,79,79,0,247,0,0
109,私立,技專校院,1037,正修學校財團法人正修科技大學,博士班,3,3,0,16,0,1
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士在職專班,31,31,0,12,83,0
109,私立,技專校院,1038,萬能學校財團法人萬能科技大學,碩士班(日間),43,43,0,82,55,0
109,私立,一般大學,1039,玄奘大學,碩士在職專班,19,12,0,58,0,0
109,私立,一般大學,1039,玄奘大學,碩士班(日間),43,17,0,126,6,0
109,私立,一般大學,1039,玄奘大學,博士班,2,0,0,11,0,0
109,私立,技專校院,1040,建國科技大學,碩士班(日間),61,61,0,205,1,0
109,私立,技專校院,1041,明志科技大學,碩士班(日間),195,159,0,567,52,0
109,私立,技專校院,1041,明志科技大學,博士班,3,0,0,13,2,0
109,私立,技專校院,1041,明志科技大學,碩士在職專班,5,0,0,14,1,0
109,私立,技專校院,1042,高苑科技大學,碩士在職專班,69,64,0,180,27,0
109,私立,技專校院,1042,高苑科技大學,碩士班(日間),16,15,0,47,1,0
109,私立,技專校院,1043,大仁科技大學,碩士班(日間),14,14,0,13,30,0
109,私立,技專校院,1043,大仁科技大學,碩士在職專班,69,67,0,182,25,0
109,私立,技專校院,1044,聖約翰科技大學,碩士班(日間),26,21,15,78,0,0
109,私立,技專校院,1044,聖約翰科技大學,碩士在職專班,33,31,14,99,0,0
109,私立,技專校院,1045,嶺東科技大學,碩士班(日間),88,86,0,265,0,0
109,私立,技專校院,1045,嶺東科技大學,碩士在職專班,78,78,0,234,0,0
109,私立,技專校院,1046,中國科技大學,碩士班(日間),38,38,0,116,2,0
109,私立,技專校院,1046,中國科技大學,碩士在職專班,24,24,0,82,0,0
109,私立,技專校院,1047,中臺科技大學,碩士班(日間),50,48,0,138,18,0
109,私立,技專校院,1047,中臺科技大學,碩士在職專班,72,64,0,216,0,0
109,私立,技專校院,1047,中臺科技大學,博士班,6,5,0,27,3,0
109,私立,一般大學,1048,亞洲大學,碩士班(日間),201,113,0,485,139,0
109,私立,一般大學,1048,亞洲大學,博士班,29,6,0,134,11,2
109,私立,一般大學,1048,亞洲大學,碩士在職專班,185,120,0,288,269,0
109,私立,一般大學,1049,開南大學,碩士班(日間),77,74,0,254,3,0
109,私立,一般大學,1049,開南大學,碩士在職專班,166,162,0,497,0,2
109,私立,一般大學,1050,佛光大學,碩士在職專班,50,50,0,150,0,0
109,私立,一般大學,1050,佛光大學,博士班,5,5,0,25,0,0
109,私立,一般大學,1050,佛光大學,碩士班(日間),131,131,0,403,0,0
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士班(日間),27,27,0,85,0,0
109,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,碩士在職專班,32,32,0,95,3,0
109,私立,技專校院,1052,遠東科技大學,碩士班(日間),83,81,0,265,0,0
109,私立,技專校院,1052,遠東科技大學,碩士在職專班,13,13,0,39,0,0
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,碩士在職專班,14,14,0,42,0,0
109,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,碩士班(日間),78,78,0,240,2,5
109,私立,技專校院,1054,景文科技大學,碩士班(日間),10,10,0,31,0,0
109,私立,技專校院,1054,景文科技大學,碩士在職專班,26,26,0,78,0,0
109,私立,技專校院,1055,中華醫事科技大學,碩士班(日間),29,29,0,89,0,0
109,私立,技專校院,1055,中華醫事科技大學,碩士在職專班,9,9,0,27,0,0
109,私立,技專校院,1056,東南科技大學,碩士在職專班,15,15,0,45,0,0
109,私立,技專校院,1056,東南科技大學,碩士班(日間),36,36,0,105,3,0
109,私立,技專校院,1057,德明財經科技大學,碩士班(日間),5,5,0,15,0,0
109,私立,技專校院,1057,德明財經科技大學,碩士在職專班,16,16,0,55,0,0
109,私立,一般大學,1058,明道學校財團法人明道大學,碩士班(日間),29,8,0,91,0,0
109,私立,一般大學,1058,明道學校財團法人明道大學,博士班,1,0,0,5,0,0
109,私立,一般大學,1058,明道學校財團法人明道大學,碩士在職專班,41,15,0,133,0,0
109,私立,技專校院,1060,南開科技大學,碩士在職專班,30,30,0,90,0,0
109,私立,技專校院,1060,南開科技大學,碩士班(日間),34,34,0,78,24,0
109,私立,技專校院,1061,中華學校財團法人中華科技大學,碩士班(日間),91,91,0,109,64,4
109,私立,技專校院,1061,中華學校財團法人中華科技大學,碩士在職專班,41,41,0,35,44,0
109,私立,技專校院,1062,僑光科技大學,碩士班(日間),32,32,0,39,79,0
109,私立,技專校院,1062,僑光科技大學,碩士在職專班,11,11,0,38,0,0
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,碩士班(日間),29,29,0,90,0,0
109,私立,技專校院,1063,廣亞學校財團法人育達科技大學,碩士在職專班,71,71,0,215,0,0
109,私立,技專校院,1064,美和學校財團法人美和科技大學,碩士在職專班,37,37,0,110,1,0
109,私立,技專校院,1064,美和學校財團法人美和科技大學,碩士班(日間),17,17,0,51,1,0
109,私立,技專校院,1065,吳鳳科技大學,碩士班(日間),20,20,0,46,15,0
109,私立,技專校院,1065,吳鳳科技大學,碩士在職專班,33,33,0,86,13,0
109,私立,技專校院,1066,環球學校財團法人環球科技大學,碩士在職專班,11,11,0,33,0,0
109,私立,技專校院,1066,環球學校財團法人環球科技大學,碩士班(日間),47,47,0,141,0,0
109,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,碩士班(日間),12,12,0,39,0,0
109,私立,技專校院,1068,中州學校財團法人中州科技大學,碩士在職專班,15,15,0,46,0,0
109,私立,技專校院,1068,中州學校財團法人中州科技大學,碩士班(日間),5,5,0,19,0,0
109,私立,技專校院,1069,修平學校財團法人修平科技大學,碩士班(日間),16,16,0,15,35,0
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士班(日間),20,20,1,63,1,2
109,私立,技專校院,1070,長庚學校財團法人長庚科技大學,碩士在職專班,22,22,0,56,5,7
109,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,碩士班(日間),25,0,0,57,18,0
109,私立,技專校院,1072,大華學校財團法人敏實科技大學,碩士班(日間),1,0,0,3,0,0
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,碩士在職專班,41,40,0,40,92,0
109,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,碩士班(日間),17,17,0,22,30,0
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,碩士班(日間),28,25,0,83,4,0
109,私立,技專校院,1075,文藻學校財團法人文藻外語大學,碩士在職專班,9,8,0,27,0,0
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,碩士班(日間),10,10,0,30,0,0
109,私立,技專校院,1076,華夏學校財團法人華夏科技大學,碩士在職專班,32,22,0,93,3,0
109,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,碩士班(日間),14,14,0,42,0,0
109,私立,技專校院,1078,致理學校財團法人致理科技大學,碩士在職專班,16,15,0,50,0,0
109,私立,技專校院,1078,致理學校財團法人致理科技大學,碩士班(日間),12,12,0,39,0,0
109,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士在職專班,6,6,0,18,0,0
109,私立,一般大學,1079,康寧學校財團法人康寧大學,碩士班(日間),7,7,0,21,0,0
109,私立,技專校院,1081,東方學校財團法人東方設計大學,碩士班(日間),22,22,0,76,0,0
109,私立,技專校院,1081,東方學校財團法人東方設計大學,博士班,6,6,0,30,0,0
109,私立,技專校院,1081,東方學校財團法人東方設計大學,碩士在職專班,33,33,0,123,0,0
