,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,3,國立臺灣大學,420103,生命科學系,學士班(日間),17,4,21
,101,公立,一般大學,3,國立臺灣大學,420107,昆蟲學系,學士班(日間),9,1,10
,101,公立,一般大學,3,國立臺灣大學,420310,生化科技學系,學士班(日間),4,4,8
,101,公立,一般大學,3,國立臺灣大學,440101,化學系,學士班(日間),15,3,18
,101,公立,一般大學,3,國立臺灣大學,440203,地質科學系,學士班(日間),13,3,16
,101,公立,一般大學,3,國立臺灣大學,440301,物理學系,學士班(日間),11,0,11
,101,公立,一般大學,3,國立臺灣大學,440401,大氣科學系,學士班(日間),7,1,8
,101,公立,一般大學,3,國立臺灣大學,460101,數學系,學士班(日間),22,5,27
,101,公立,一般大學,3,國立臺灣大學,480109,資訊管理學系,學士班(日間),14,5,19
,101,公立,一般大學,3,國立臺灣大學,520101,電機工程學系,學士班(日間),31,8,39
,101,公立,一般大學,3,國立臺灣大學,520114,資訊工程學系,學士班(日間),27,6,33
,101,公立,一般大學,3,國立臺灣大學,520201,機械工程學系,學士班(日間),39,2,41
,101,公立,一般大學,3,國立臺灣大學,520239,生物產業機電工程學系,學士班(日間),14,0,14
,101,公立,一般大學,3,國立臺灣大學,520301,土木工程學系,學士班(日間),26,3,29
,101,公立,一般大學,3,國立臺灣大學,520315,生物環境系統工程學系,學士班(日間),9,0,9
,101,公立,一般大學,3,國立臺灣大學,520401,化學工程學系,學士班(日間),23,2,25
,101,公立,一般大學,3,國立臺灣大學,520502,材料科學與工程學系,學士班(日間),4,0,4
,101,公立,一般大學,3,國立臺灣大學,521302,工程科學及海洋工程學系,學士班(日間),8,1,9
,101,公立,一般大學,3,國立臺灣大學,620102,農藝學系,學士班(日間),9,4,13
,101,公立,一般大學,3,國立臺灣大學,620203,動物科學技術學系,學士班(日間),8,5,13
,101,公立,一般大學,3,國立臺灣大學,620303,園藝暨景觀學系,學士班(日間),7,5,12
,101,公立,一般大學,3,國立臺灣大學,620402,植物病理與微生物學系,學士班(日間),2,4,6
,101,公立,一般大學,3,國立臺灣大學,620501,農業經濟學系,學士班(日間),10,10,20
,101,公立,一般大學,3,國立臺灣大學,620510,生物產業傳播暨發展學系,學士班(日間),4,12,16
,101,公立,一般大學,3,國立臺灣大學,620801,農業化學系,學士班(日間),6,2,8
,101,公立,一般大學,3,國立臺灣大學,621002,森林環境暨資源學系,學士班(日間),6,12,18
,101,公立,一般大學,3,國立臺灣大學,640101,獸醫學系,學士班(日間),7,5,12
,101,公立,一般大學,3,國立臺灣大學,720101,醫學系,學士班(日間),12,0,12
,101,公立,一般大學,3,國立臺灣大學,720201,公共衛生學系,學士班(日間),4,5,9
,101,公立,一般大學,3,國立臺灣大學,720301,藥學系,學士班(日間),9,3,12
,101,公立,一般大學,3,國立臺灣大學,720401,物理治療學系,學士班(日間),2,6,8
,101,公立,一般大學,3,國立臺灣大學,720402,職能治療學系,學士班(日間),1,6,7
,101,公立,一般大學,3,國立臺灣大學,720601,護理學系,學士班(日間),1,7,8
,101,公立,一般大學,3,國立臺灣大學,720708,醫學檢驗暨生物技術學系,學士班(日間),6,3,9
,101,公立,一般大學,3,國立臺灣大學,720801,牙醫學系,學士班(日間),3,3,6
,101,公立,一般大學,3,國立臺灣大學,760301,社會工作學系,學士班(日間),3,9,12
,101,公立,一般大學,4,國立臺灣師範大學,140101,教育學系學士班,學士班(日間),8,19,27
,101,公立,一般大學,4,國立臺灣師範大學,140107,教育心理與輔導學系學士班,學士班(日間),4,16,20
,101,公立,一般大學,4,國立臺灣師範大學,140201,公民教育與活動領導學系學士班,學士班(日間),7,8,15
,101,公立,一般大學,4,國立臺灣師範大學,140203,華語文教學系學士班,學士班(日間),0,4,4
