學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,公立,技專校院,0025,國立臺北科技大學,碩士在職專班,418,309,109,...,...,...,...,...,...
105,公立,技專校院,0025,國立臺北科技大學,博士班,75,62,13,...,...,...,...,...,...
105,公立,技專校院,0026,國立高雄第一科技大學,學士班(日間),1336,620,716,...,...,...,...,...,...
105,公立,技專校院,0026,國立高雄第一科技大學,碩士班(日間),389,234,155,...,...,...,...,...,...
105,公立,技專校院,0026,國立高雄第一科技大學,碩士在職專班,197,132,65,...,...,...,...,...,...
105,公立,技專校院,0026,國立高雄第一科技大學,博士班,13,8,5,...,...,...,...,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,學士班(日間),1820,1126,694,...,...,...,...,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,學士班(進修),414,232,182,...,...,...,...,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,碩士班(日間),547,404,143,...,...,...,...,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,碩士在職專班,436,255,181,...,...,...,...,...,...
105,公立,技專校院,0027,國立高雄應用科技大學,博士班,34,26,8,...,...,...,...,...,...
105,公立,一般大學,0028,國立臺北藝術大學,學士班(日間),363,119,244,...,...,...,...,...,...
105,公立,一般大學,0028,國立臺北藝術大學,碩士班(日間),197,64,133,...,...,...,...,...,...
105,公立,一般大學,0028,國立臺北藝術大學,碩士在職專班,36,11,25,...,...,...,...,...,...
105,公立,一般大學,0028,國立臺北藝術大學,博士班,2,1,1,...,...,...,...,...,...
105,公立,一般大學,0029,國立臺灣藝術大學,學士班(日間),464,123,341,...,...,...,...,...,...
105,公立,一般大學,0029,國立臺灣藝術大學,學士班(進修),437,115,322,...,...,...,...,...,...
105,公立,一般大學,0029,國立臺灣藝術大學,碩士班(日間),165,57,108,...,...,...,...,...,...
105,公立,一般大學,0029,國立臺灣藝術大學,碩士在職專班,85,25,60,...,...,...,...,...,...
105,公立,一般大學,0029,國立臺灣藝術大學,博士班,17,7,10,...,...,...,...,...,...
105,公立,一般大學,0030,國立臺東大學,學士班(日間),795,373,422,...,...,...,...,...,...
105,公立,一般大學,0030,國立臺東大學,學士班(進修),51,29,22,...,...,...,...,...,...
105,公立,一般大學,0030,國立臺東大學,碩士班(日間),60,19,41,...,...,...,...,...,...
105,公立,一般大學,0030,國立臺東大學,碩士在職專班,211,68,143,...,...,...,...,...,...
105,公立,一般大學,0030,國立臺東大學,博士班,7,2,5,...,...,...,...,...,...
105,公立,一般大學,0031,國立宜蘭大學,學士班(日間),979,610,369,...,...,...,...,...,...
105,公立,一般大學,0031,國立宜蘭大學,學士班(進修),82,53,29,...,...,...,...,...,...
105,公立,一般大學,0031,國立宜蘭大學,碩士班(日間),150,110,40,...,...,...,...,...,...
105,公立,一般大學,0031,國立宜蘭大學,碩士在職專班,56,41,15,...,...,...,...,...,...
105,公立,一般大學,0031,國立宜蘭大學,博士班,2,2,0,...,...,...,...,...,...
105,公立,一般大學,0032,國立聯合大學,學士班(日間),1382,945,437,...,...,...,...,...,...
105,公立,一般大學,0032,國立聯合大學,學士班(進修),263,146,117,...,...,...,...,...,...
105,公立,一般大學,0032,國立聯合大學,碩士班(日間),161,117,44,...,...,...,...,...,...
105,公立,技專校院,0033,國立虎尾科技大學,學士班(日間),1786,1312,474,...,...,...,...,...,...
105,公立,技專校院,0033,國立虎尾科技大學,學士班(進修),281,191,90,...,...,...,...,...,...
105,公立,技專校院,0033,國立虎尾科技大學,碩士班(日間),329,262,67,...,...,...,...,...,...
105,公立,技專校院,0033,國立虎尾科技大學,碩士在職專班,70,45,25,...,...,...,...,...,...
105,公立,技專校院,0033,國立虎尾科技大學,博士班,1,1,0,...,...,...,...,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,五專,84,75,9,...,...,...,...,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,學士班(日間),1147,727,420,...,...,...,...,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,學士班(進修),340,200,140,...,...,...,...,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,碩士班(日間),118,78,40,...,...,...,...,...,...
105,公立,技專校院,0034,國立高雄海洋科技大學,碩士在職專班,62,41,21,...,...,...,...,...,...
105,公立,一般大學,0035,國立臺南藝術大學,學士班(日間),145,34,111,...,...,...,...,...,...
105,公立,一般大學,0035,國立臺南藝術大學,碩士班(日間),107,32,75,...,...,...,...,...,...
105,公立,一般大學,0035,國立臺南藝術大學,碩士在職專班,4,2,2,...,...,...,...,...,...
105,公立,一般大學,0035,國立臺南藝術大學,博士班,5,3,2,...,...,...,...,...,...
105,公立,一般大學,0036,國立臺南大學,學士班(日間),923,411,512,...,...,...,...,...,...
105,公立,一般大學,0036,國立臺南大學,學士班(進修),52,20,32,...,...,...,...,...,...
105,公立,一般大學,0036,國立臺南大學,碩士班(日間),233,113,120,...,...,...,...,...,...
105,公立,一般大學,0036,國立臺南大學,碩士在職專班,191,70,121,...,...,...,...,...,...
105,公立,一般大學,0036,國立臺南大學,博士班,19,8,11,...,...,...,...,...,...
105,公立,一般大學,0037,國立臺北教育大學,學士班(日間),763,247,516,...,...,...,...,...,...
105,公立,一般大學,0037,國立臺北教育大學,碩士班(日間),242,75,167,...,...,...,...,...,...
105,公立,一般大學,0037,國立臺北教育大學,碩士在職專班,264,66,198,...,...,...,...,...,...
105,公立,一般大學,0037,國立臺北教育大學,博士班,11,6,5,...,...,...,...,...,...
105,公立,一般大學,0039,國立臺中教育大學,學士班(日間),769,256,513,...,...,...,...,...,...
105,公立,一般大學,0039,國立臺中教育大學,碩士班(日間),227,62,165,...,...,...,...,...,...
105,公立,一般大學,0039,國立臺中教育大學,碩士在職專班,187,32,155,...,...,...,...,...,...
105,公立,一般大學,0039,國立臺中教育大學,博士班,17,9,8,...,...,...,...,...,...
105,公立,技專校院,0042,國立澎湖科技大學,學士班(日間),567,306,261,...,...,...,...,...,...
105,公立,技專校院,0042,國立澎湖科技大學,學士班(進修),63,26,37,...,...,...,...,...,...
105,公立,技專校院,0042,國立澎湖科技大學,碩士班(日間),22,11,11,...,...,...,...,...,...
105,公立,技專校院,0042,國立澎湖科技大學,碩士在職專班,17,9,8,...,...,...,...,...,...
105,公立,技專校院,0043,國立勤益科技大學,學士班(日間),1548,1087,461,...,...,...,...,...,...
